Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.34,9.48,9.33,9.38,7647700,9.109683
2015-12-30,9.38,9.42,9.35,9.37,6678000,9.099971
2015-12-29,9.46,9.47,9.33,9.40,10230000,9.129106
2015-12-28,9.76,9.77,9.67,9.75,6384900,9.177665
2015-12-24,9.79,9.79,9.72,9.75,2398900,9.177665
2015-12-23,9.75,9.80,9.73,9.77,4893500,9.196492
2015-12-22,9.57,9.81,9.54,9.73,9493800,9.158839
2015-12-21,9.52,9.58,9.45,9.57,7656600,9.008231
2015-12-18,9.42,9.52,9.42,9.49,10380600,8.932927
2015-12-17,9.39,9.47,9.36,9.44,6086700,8.885862
2015-12-16,9.15,9.41,9.15,9.38,11053200,8.829385
2015-12-15,9.06,9.19,9.00,9.15,6863200,8.612886
2015-12-14,9.21,9.24,8.98,9.06,10704700,8.52817
2015-12-11,9.37,9.42,9.19,9.22,6426400,8.678777
2015-12-10,9.36,9.43,9.35,9.38,4430900,8.829385
2015-12-09,9.36,9.45,9.35,9.37,5462400,8.819972
2015-12-08,9.44,9.47,9.35,9.40,5942200,8.84821
2015-12-07,9.48,9.51,9.41,9.48,5410200,8.923514
2015-12-04,9.50,9.57,9.49,9.50,4841500,8.942341
2015-12-03,9.47,9.54,9.46,9.47,6006100,8.914102
2015-12-02,9.57,9.59,9.47,9.49,8357600,8.932927
2015-12-01,9.60,9.68,9.56,9.60,6902600,9.036471
2015-11-30,9.67,9.67,9.54,9.58,8059900,9.017645
2015-11-27,9.58,9.70,9.56,9.68,2686600,9.111775
2015-11-25,9.60,9.63,9.54,9.55,3090800,8.989406
2015-11-24,9.52,9.64,9.50,9.61,6385700,9.045883
2015-11-23,9.55,9.60,9.52,9.54,4450300,8.979993
2015-11-20,9.58,9.62,9.52,9.54,6138500,8.979993
2015-11-19,9.63,9.67,9.52,9.54,5395300,8.979993
2015-11-18,9.54,9.62,9.52,9.61,5319500,9.045883
2015-11-17,9.58,9.60,9.50,9.52,7050000,8.961167
2015-11-16,9.57,9.64,9.52,9.61,6260000,9.045883
2015-11-13,9.51,9.63,9.47,9.57,5380500,9.008231
2015-11-12,9.57,9.63,9.49,9.50,6512000,8.942341
2015-11-11,9.60,9.63,9.57,9.58,3551700,9.017645
2015-11-10,9.52,9.64,9.49,9.58,6344100,9.017645
2015-11-09,9.47,9.55,9.45,9.51,8704300,8.951754
2015-11-06,9.54,9.56,9.42,9.51,13618000,8.951754
2015-11-05,9.85,9.85,9.60,9.61,12623600,9.045883
2015-11-04,9.97,9.99,9.82,9.85,8847700,9.271796
2015-11-03,10.01,10.04,9.90,9.96,5615100,9.375338
2015-11-02,9.95,10.04,9.88,10.04,8063700,9.450642
2015-10-30,9.96,10.05,9.85,9.95,12039600,9.365925
2015-10-29,10.00,10.04,9.81,9.96,8012700,9.375338
2015-10-28,9.99,10.11,9.90,10.01,9162200,9.422403
2015-10-27,10.18,10.20,9.98,9.98,11227100,9.394164
2015-10-26,10.21,10.24,10.14,10.20,4951200,9.60125
2015-10-23,10.21,10.24,10.14,10.18,3734900,9.582424
2015-10-22,10.23,10.28,10.16,10.20,6960400,9.60125
