Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,44.610001,44.799999,43.82,43.84,79300,43.679469
2015-12-30,44.740002,45.57,44.439999,44.630001,67600,44.466577
2015-12-29,44.599998,45.029999,43.970001,44.959999,89400,44.795367
2015-12-28,44.869999,45.259998,44.029999,44.360001,93200,44.197565
2015-12-24,44.990002,45.470001,44.91,45.209999,83300,45.044451
2015-12-23,45.380001,45.470001,44.709999,45.02,172100,44.855148
2015-12-22,43.50,45.02,43.169998,44.889999,74900,44.725623
2015-12-21,43.810001,44.099998,43.099998,43.43,105800,43.27097
2015-12-18,43.950001,44.029999,43.060001,43.580002,394700,43.420423
2015-12-17,45.080002,45.169998,43.950001,44.040001,113700,43.878737
2015-12-16,44.50,45.080002,44.259998,44.950001,123300,44.785405
2015-12-15,44.98,45.16,44.119999,44.299999,118700,44.137784
2015-12-14,45.459999,45.869999,44.27,44.720001,148200,44.556248
2015-12-11,45.439999,45.77,45.139999,45.48,118400,45.313463
2015-12-10,45.990002,46.759998,45.990002,46.16,88200,45.990973
2015-12-09,46.84,47.25,45.700001,46.040001,306400,45.871414
2015-12-08,48.130001,48.389999,47.169998,47.279999,124500,47.106871
2015-12-07,50.52,50.52,48.610001,48.709999,215400,48.531635
2015-12-04,50.279999,51.009998,49.93,50.779999,195200,50.594055
2015-12-03,51.599998,51.740002,50.200001,50.259998,93100,50.075959
2015-12-02,51.189999,52.09,51.049999,51.549999,277200,51.361236
2015-12-01,50.41,51.599998,50.349998,51.32,167700,51.132079
2015-11-30,50.07,50.490002,49.720001,50.139999,197700,49.956399
2015-11-27,50.099998,50.220001,49.43,50.009998,62900,49.826874
2015-11-25,51.07,51.990002,49.959999,50.189999,125400,50.006215
2015-11-24,49.66,51.50,49.259998,51.299999,139400,50.912886
2015-11-23,49.119999,49.950001,48.849998,49.740002,76700,49.36466
2015-11-20,49.41,49.470001,48.860001,49.09,171500,48.719564
2015-11-19,49.25,49.369999,48.830002,49.099998,111600,48.729487
2015-11-18,49.200001,49.580002,48.799999,49.25,240100,48.878356
2015-11-17,49.150002,49.630001,48.59,49.099998,166200,48.729487
2015-11-16,49.040001,49.790001,48.540001,49.209999,280100,48.838657
2015-11-13,49.049999,49.669998,48.849998,49.060001,230200,48.689791
2015-11-12,50.209999,50.740002,49.02,49.189999,108100,48.818808
2015-11-11,51.48,51.48,50.240002,50.790001,93700,50.406736
2015-11-10,50.91,51.27,49.950001,51.25,135800,50.863264
2015-11-09,51.389999,51.389999,50.099998,51.080002,127000,50.694549
2015-11-06,51.330002,51.939999,50.59,51.380001,134800,50.992284
2015-11-05,51.84,52.290001,50.84,51.669998,133700,51.280093
2015-11-04,51.970001,52.490002,51.59,51.84,179600,51.448812
2015-11-03,51.41,52.900002,51.18,51.939999,213500,51.548056
2015-11-02,49.029999,52.330002,48.869999,51.360001,318400,50.972435
2015-10-30,48.25,50.970001,47.880001,49.110001,372100,48.739413
2015-10-29,44.639999,50.099998,44.639999,48.330002,637600,47.9653
2015-10-28,43.220001,44.150002,42.970001,43.77,256300,43.439709
2015-10-27,43.869999,44.470001,42.709999,43.18,159100,42.854161
2015-10-26,44.91,45.32,44.07,44.27,165700,43.935936
2015-10-23,45.939999,46.220001,44.830002,45.009998,189900,44.67035
2015-10-22,44.16,46.52,43.849998,45.709999,199000,45.365068
2015-10-21,45.00,45.130001,43.990002,44.02,121300,43.687823
2015-10-20,44.669998,45.509998,44.540001,44.869999,95100,44.531407
2015-10-19,44.82,45.259998,44.27,44.810001,85100,44.471862
2015-10-16,46.509998,47.169998,44.59,44.990002,120800,44.650504
2015-10-15,45.939999,46.57,45.099998,46.450001,106700,46.099486
2015-10-14,45.91,46.299999,45.119999,45.830002,122500,45.484166
2015-10-13,45.990002,46.689999,45.639999,45.790001,129700,45.444466
2015-10-12,47.25,47.32,45.849998,46.200001,77900,45.851372
2015-10-09,46.630001,47.759998,46.23,47.220001,190700,46.863676
2015-10-08,44.700001,46.619999,44.220001,46.459999,195400,46.109409
2015-10-07,43.52,44.98,43.48,44.77,206600,44.432163
2015-10-06,43.369999,44.639999,43.009998,43.240002,235200,42.91371
2015-10-05,40.82,43.619999,40.810001,43.32,323100,42.993104
2015-10-02,38.32,40.709999,38.32,40.560001,553500,40.253933
2015-10-01,39.32,39.32,38.200001,38.34,225800,38.050684
2015-09-30,38.900002,39.470001,38.59,39.169998,219900,38.874419
2015-09-29,39.240002,39.240002,38.080002,38.610001,150600,38.318647
2015-09-28,40.459999,40.619999,38.990002,39.110001,171600,38.814874
2015-09-25,41.119999,41.27,40.419998,40.709999,132200,40.402799
2015-09-24,40.470001,41.02,39.560001,40.790001,170700,40.482197
2015-09-23,42.25,42.279999,40.419998,40.619999,156000,40.313478
2015-09-22,43.220001,43.220001,41.669998,42.07,153700,41.752537
2015-09-21,44.07,44.580002,43.369999,43.639999,131600,43.310689
2015-09-18,43.82,44.119999,43.360001,43.799999,343900,43.469481
2015-09-17,44.25,44.790001,43.900002,44.310001,200600,43.975635
2015-09-16,43.650002,44.639999,43.52,44.290001,101300,43.955786
2015-09-15,43.119999,44.009998,42.93,43.759998,110200,43.429782
2015-09-14,44.060001,44.060001,42.779999,43.040001,78700,42.715218
2015-09-11,44.16,44.349998,43.529999,44.029999,105200,43.697745
2015-09-10,44.369999,44.950001,43.900002,44.470001,165400,44.134428
2015-09-09,45.220001,45.220001,44.310001,44.360001,192000,44.025257
2015-09-08,44.98,45.139999,44.310001,44.799999,132400,44.461935
2015-09-04,44.09,44.41,43.419998,44.189999,191900,43.856538
2015-09-03,44.560001,44.990002,44.049999,44.580002,130600,44.243598
2015-09-02,45.77,45.77,44.349998,44.709999,218900,44.372614
2015-09-01,46.59,47.310001,45.18,45.360001,209900,45.017711
2015-08-31,46.759998,47.68,46.080002,47.439999,134300,47.082013
2015-08-28,45.50,47.349998,45.040001,47.049999,208000,46.694957
2015-08-27,45.50,46.560001,44.75,45.470001,307000,45.126882
2015-08-26,44.630001,45.299999,44.009998,45.25,166700,44.710049
2015-08-25,46.049999,46.049999,43.82,43.91,272300,43.386039
2015-08-24,43.790001,46.509998,43.790001,44.740002,358500,44.206137
2015-08-21,47.459999,47.959999,46.900002,47.029999,333300,46.468808
2015-08-20,49.450001,49.450001,48.34,48.349998,154900,47.773057
2015-08-19,50.459999,50.459999,49.549999,49.799999,172000,49.205755
2015-08-18,51.139999,51.459999,50.619999,50.709999,143600,50.104896
