Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.39,15.45,15.35,15.42,90900,15.192748
2015-12-30,15.27,15.34,15.27,15.32,41200,15.094221
2015-12-29,15.30,15.30,15.24,15.24,61100,15.0154
2015-12-28,15.27,15.30,15.24,15.29,69400,15.064664
2015-12-24,15.24,15.28,15.19,15.26,46300,15.035106
2015-12-23,15.15,15.24,15.15,15.19,75000,14.966137
2015-12-22,15.10,15.18,15.10,15.12,67600,14.897169
2015-12-21,15.14,15.17,15.13,15.13,57500,14.907022
2015-12-18,15.08,15.16,15.07,15.15,54600,14.926727
2015-12-17,14.99,15.11,14.99,15.06,138000,14.838054
2015-12-16,14.91,14.99,14.90,14.99,69100,14.769085
2015-12-15,14.92,14.97,14.91,14.93,47100,14.70997
2015-12-14,15.04,15.04,14.91,14.94,73200,14.719822
2015-12-11,15.07,15.13,14.98,15.02,66800,14.798643
2015-12-10,15.11,15.15,15.10,15.14,29700,14.83904
2015-12-09,15.08,15.15,15.04,15.13,63100,14.829238
2015-12-08,15.01,15.07,15.01,15.07,53000,14.770431
2015-12-07,15.05,15.05,15.00,15.02,42200,14.721425
2015-12-04,15.05,15.06,15.01,15.01,60300,14.711624
2015-12-03,15.13,15.13,15.02,15.02,63700,14.721425
2015-12-02,15.18,15.22,15.15,15.15,37700,14.84884
2015-12-01,15.19,15.21,15.13,15.18,75800,14.878245
2015-11-30,15.12,15.15,15.09,15.14,52500,14.83904
2015-11-27,15.11,15.12,15.07,15.12,13600,14.819437
2015-11-25,15.10,15.11,15.06,15.09,45300,14.790033
2015-11-24,15.09,15.10,15.07,15.08,22300,14.780232
2015-11-23,15.02,15.07,14.98,15.07,69900,14.770431
2015-11-20,14.98,15.03,14.95,15.00,86900,14.701822
2015-11-19,15.01,15.02,14.93,14.99,69400,14.692021
2015-11-18,15.01,15.04,14.97,15.00,42500,14.701822
2015-11-17,15.01,15.05,14.98,14.99,70500,14.692021
2015-11-16,15.09,15.09,15.00,15.02,57900,14.721425
2015-11-13,15.05,15.11,15.02,15.11,48700,14.809635
2015-11-12,15.01,15.09,15.01,15.09,47800,14.790033
2015-11-11,15.00,15.04,15.00,15.01,24000,14.711624
2015-11-10,15.00,15.03,14.95,15.03,36200,14.731226
2015-11-09,15.00,15.08,14.93,15.05,98200,14.674378
2015-11-06,15.24,15.24,15.10,15.11,160400,14.73288
2015-11-05,15.30,15.35,15.30,15.32,101400,14.937639
2015-11-04,15.31,15.32,15.30,15.31,89800,14.92789
2015-11-03,15.32,15.33,15.29,15.32,46400,14.937639
2015-11-02,15.30,15.31,15.25,15.30,44600,14.918139
2015-10-30,15.23,15.30,15.22,15.29,67300,14.908388
2015-10-29,15.13,15.26,15.13,15.26,25000,14.879137
2015-10-28,15.10,15.21,15.10,15.17,56600,14.791383
2015-10-27,15.00,15.12,14.99,15.09,44300,14.71338
2015-10-26,15.03,15.03,14.98,14.98,87500,14.606125
2015-10-23,15.03,15.07,15.00,15.02,36300,14.645127
2015-10-22,14.93,15.07,14.93,15.03,79900,14.654877
2015-10-21,14.92,15.02,14.91,14.94,143000,14.567123
2015-10-20,14.91,14.94,14.90,14.93,45300,14.557374
2015-10-19,14.92,14.92,14.87,14.88,46700,14.508621
2015-10-16,14.93,14.93,14.88,14.89,49000,14.518372
2015-10-15,14.91,14.94,14.88,14.88,35000,14.508621
2015-10-14,14.92,14.96,14.87,14.93,56000,14.557374
2015-10-13,14.88,14.90,14.85,14.87,34400,14.498871
2015-10-12,14.94,14.97,14.93,14.93,41200,14.48132
2015-10-09,14.94,14.94,14.91,14.93,36100,14.48132
2015-10-08,14.91,14.95,14.87,14.93,99900,14.48132
2015-10-07,14.91,14.94,14.91,14.94,15100,14.491019
2015-10-06,14.92,14.94,14.90,14.93,13600,14.48132
2015-10-05,14.94,14.94,14.89,14.91,36500,14.461921
2015-10-02,14.89,15.00,14.88,14.89,71100,14.442522
2015-10-01,14.92,14.93,14.87,14.89,38400,14.442522
2015-09-30,14.86,14.94,14.83,14.83,69400,14.384325
2015-09-29,14.83,14.90,14.80,14.80,80600,14.355227
2015-09-28,14.84,14.87,14.80,14.80,31000,14.355227
2015-09-25,14.81,14.86,14.77,14.86,22500,14.413423
2015-09-24,14.81,14.84,14.79,14.79,14700,14.345527
2015-09-23,14.84,14.85,14.78,14.81,12200,14.364927
2015-09-22,14.83,14.88,14.80,14.80,46500,14.355227
2015-09-21,14.78,14.86,14.77,14.86,51400,14.413423
2015-09-18,14.67,14.82,14.67,14.77,21500,14.326129
2015-09-17,14.65,14.76,14.54,14.69,116500,14.248532
2015-09-16,14.65,14.67,14.61,14.67,38400,14.229134
2015-09-15,14.61,14.66,14.58,14.65,68300,14.209734
2015-09-14,14.68,14.68,14.62,14.64,32500,14.200035
2015-09-11,14.75,14.75,14.63,14.71,44700,14.267932
2015-09-10,14.77,14.81,14.75,14.79,33800,14.269872
2015-09-09,14.77,14.81,14.77,14.80,41800,14.27952
2015-09-08,14.86,14.88,14.73,14.76,63600,14.240927
2015-09-04,14.72,14.88,14.72,14.87,37300,14.347058
2015-09-03,14.73,14.77,14.71,14.77,30800,14.250575
2015-09-02,14.79,14.79,14.65,14.68,30800,14.16374
2015-09-01,14.77,14.80,14.71,14.75,80600,14.231278
2015-08-31,14.68,14.78,14.66,14.71,52800,14.192685
2015-08-28,14.73,14.77,14.66,14.67,24100,14.154092
2015-08-27,14.75,14.76,14.68,14.75,48700,14.231278
2015-08-26,14.76,14.78,14.65,14.66,68000,14.144443
2015-08-25,14.79,14.83,14.68,14.74,82700,14.22163
2015-08-24,14.83,14.91,14.75,14.75,60400,14.231278
2015-08-21,14.83,14.91,14.83,14.84,27700,14.318113
2015-08-20,14.92,14.92,14.82,14.83,29600,14.308465
2015-08-19,14.86,14.92,14.84,14.90,23300,14.376003
2015-08-18,14.83,14.88,14.83,14.85,39700,14.327762
2015-08-17,14.86,14.90,14.84,14.88,27900,14.356707
2015-08-14,14.80,14.83,14.80,14.82,25800,14.298816
2015-08-13,14.91,14.92,14.79,14.80,59300,14.27952
2015-08-12,14.84,14.92,14.84,14.92,36100,14.3953
2015-08-11,14.81,14.92,14.81,14.90,49900,14.296886
2015-08-10,14.78,14.85,14.78,14.79,43600,14.191339
2015-08-07,14.90,14.90,14.80,14.81,35400,14.21053
2015-08-06,14.76,14.86,14.74,14.86,55100,14.258506
2015-08-05,14.85,14.85,14.75,14.76,67600,14.162554
2015-08-04,14.84,14.90,14.84,14.85,80400,14.248911
2015-08-03,14.86,14.86,14.82,14.83,77800,14.22972
2015-07-31,14.76,14.83,14.76,14.82,59000,14.220125
2015-07-30,14.71,14.73,14.68,14.72,51800,14.124173
2015-07-29,14.69,14.72,14.66,14.71,34900,14.114578
2015-07-28,14.70,14.74,14.65,14.66,50000,14.066601
2015-07-27,14.68,14.73,14.65,14.73,27900,14.133768
2015-07-24,14.64,14.68,14.63,14.67,23000,14.076197
2015-07-23,14.63,14.65,14.57,14.63,45700,14.037816
2015-07-22,14.63,14.64,14.59,14.61,24200,14.018625
2015-07-21,14.64,14.65,14.59,14.63,72400,14.037816
2015-07-20,14.66,14.66,14.64,14.64,40800,14.047411
2015-07-17,14.68,14.70,14.64,14.67,45200,14.076197
