Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,20.969999,21.120001,20.84,20.85,252400,20.8012
2015-12-30,21.200001,21.33,20.969999,21.08,192900,21.030661
2015-12-29,21.43,21.66,21.00,21.309999,130200,21.260122
2015-12-28,20.950001,21.450001,20.92,21.35,206900,21.30003
2015-12-24,20.83,21.08,20.68,21.01,267100,20.960825
2015-12-23,20.75,21.120001,20.65,20.93,295500,20.881012
2015-12-22,20.35,20.75,20.25,20.690001,207800,20.641574
2015-12-21,20.030001,20.389999,19.879999,20.299999,294500,20.252486
2015-12-18,19.90,20.01,19.639999,19.870001,966900,19.823494
2015-12-17,20.129999,20.24,19.66,19.90,198800,19.853423
2015-12-16,19.67,20.17,19.389999,20.15,262000,20.102837
2015-12-15,18.24,19.51,18.08,19.50,548200,19.454359
2015-12-14,18.110001,19.190001,17.790001,18.040001,425000,17.997777
2015-12-11,17.24,17.940001,17.09,17.870001,335100,17.828175
2015-12-10,17.549999,17.83,17.290001,17.790001,219700,17.708457
2015-12-09,17.959999,18.08,17.50,17.530001,160500,17.449648
2015-12-08,18.200001,18.40,17.799999,17.959999,117300,17.877676
2015-12-07,18.950001,18.959999,18.32,18.51,175400,18.425156
2015-12-04,18.959999,19.209999,18.91,18.969999,211400,18.883046
2015-12-03,19.309999,19.52,18.93,18.99,192800,18.902955
2015-12-02,18.940001,19.360001,18.870001,19.309999,191000,19.221488
2015-12-01,18.59,18.91,18.40,18.90,139500,18.813367
2015-11-30,18.370001,18.68,18.120001,18.610001,104900,18.524698
2015-11-27,18.40,18.52,18.299999,18.40,35700,18.315659
2015-11-25,18.299999,18.48,18.200001,18.43,109600,18.345522
2015-11-24,18.290001,18.58,18.200001,18.34,65900,18.255935
2015-11-23,18.639999,18.85,18.389999,18.43,118400,18.345522
2015-11-20,18.59,18.780001,18.530001,18.709999,357500,18.624238
2015-11-19,18.27,18.540001,18.02,18.52,118600,18.43511
2015-11-18,18.120001,18.41,18.00,18.26,127800,18.176302
2015-11-17,18.26,18.50,18.00,18.02,97900,17.937402
2015-11-16,17.889999,18.309999,17.860001,18.18,197200,18.096668
2015-11-13,17.889999,18.15,17.77,17.950001,245500,17.867723
2015-11-12,18.450001,18.65,17.99,18.01,142000,17.927447
2015-11-11,18.690001,18.84,18.49,18.610001,72300,18.524698
2015-11-10,18.40,18.799999,18.33,18.68,139200,18.594376
2015-11-09,19.34,19.35,18.379999,18.49,177800,18.405247
2015-11-06,19.09,19.379999,18.85,19.35,248800,19.261305
2015-11-05,19.139999,19.209999,18.82,19.110001,189300,19.022406
2015-11-04,19.280001,19.549999,19.07,19.139999,231200,19.052267
2015-11-03,19.200001,19.43,19.01,19.280001,230100,19.191627
2015-11-02,18.879999,19.309999,18.870001,19.200001,333900,19.111993
2015-10-30,19.02,19.280001,18.860001,18.870001,146200,18.783506
2015-10-29,19.41,19.51,18.959999,19.059999,110700,18.972634
2015-10-28,19.290001,19.860001,19.08,19.52,209800,19.430526
2015-10-27,19.790001,19.809999,19.24,19.32,131800,19.231442
2015-10-26,20.08,20.27,19.639999,19.82,107700,19.72915
2015-10-23,20.08,20.24,19.73,20.17,97900,20.077547
2015-10-22,19.450001,20.120001,19.299999,19.93,116100,19.838647
2015-10-21,19.74,20.00,19.25,19.290001,151600,19.201581
2015-10-20,19.940001,20.049999,19.709999,19.73,118900,19.639563
2015-10-19,20.07,20.27,19.719999,19.92,136900,19.828692
2015-10-16,20.18,20.23,19.83,20.200001,109800,20.10741
2015-10-15,19.82,20.15,19.540001,20.129999,233300,20.037729
2015-10-14,20.290001,20.52,19.75,19.799999,207300,19.709242
2015-10-13,20.299999,20.77,20.209999,20.34,285100,20.246767
2015-10-12,20.23,20.49,20.23,20.450001,142200,20.356264
2015-10-09,20.26,20.48,20.10,20.25,164500,20.15718
