Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.73,15.78,15.63,15.63,3900,15.47269
2015-12-30,15.64,15.76,15.64,15.72,7600,15.561785
2015-12-29,15.69,15.71,15.65,15.65,5300,15.492489
2015-12-28,15.76,15.76,15.68,15.72,9100,15.561785
2015-12-24,15.69,15.76,15.68,15.76,6000,15.601382
2015-12-23,15.74,15.74,15.61,15.72,2500,15.561785
2015-12-22,15.63,15.72,15.52,15.69,9500,15.532086
2015-12-21,15.88,15.88,15.48,15.65,14600,15.492489
2015-12-18,15.82,15.88,15.49,15.88,6500,15.720174
2015-12-17,15.56,15.84,15.46,15.84,6400,15.680577
2015-12-16,15.39,15.69,15.24,15.69,14500,15.532086
2015-12-15,15.51,15.52,15.29,15.31,3700,15.155911
2015-12-14,15.45,15.59,15.32,15.52,11800,15.363798
2015-12-11,15.43,15.62,15.43,15.46,4700,15.304401
2015-12-10,15.32,15.46,15.32,15.45,5500,15.225206
2015-12-09,15.24,15.40,15.20,15.26,9000,15.037971
2015-12-08,15.43,15.43,15.22,15.28,7900,15.05768
2015-12-07,15.51,15.54,15.19,15.54,7900,15.313897
2015-12-04,15.25,15.50,15.13,15.49,10500,15.264624
2015-12-03,15.42,15.49,15.13,15.21,4900,14.988699
2015-12-02,15.44,15.50,15.25,15.44,27400,15.215352
2015-12-01,15.44,15.44,15.23,15.40,7600,15.175934
2015-11-30,15.47,15.47,15.31,15.38,8400,15.156225
2015-11-27,15.53,15.53,15.53,15.53,400,15.304042
2015-11-25,15.48,15.51,15.48,15.48,2600,15.25477
2015-11-24,15.45,15.46,15.41,15.42,5300,15.195643
2015-11-23,15.44,15.44,15.39,15.42,3600,15.195643
2015-11-20,15.39,15.40,15.39,15.40,3200,15.175934
2015-11-19,15.32,15.46,15.31,15.31,9100,15.087244
2015-11-18,15.25,15.33,15.25,15.33,1600,15.106953
2015-11-17,15.26,15.30,15.25,15.25,10600,15.028117
2015-11-16,15.42,15.42,15.38,15.38,6500,15.156225
2015-11-13,15.32,15.39,15.31,15.32,5000,15.097098
2015-11-12,15.35,15.45,15.35,15.37,5700,15.146371
2015-11-11,15.36,15.42,15.33,15.34,4700,15.116807
2015-11-10,15.30,15.46,15.24,15.28,6100,15.05768
2015-11-09,15.29,15.48,15.12,15.29,15300,15.013334
2015-11-06,15.81,15.81,15.32,15.37,8400,15.091887
2015-11-05,16.00,16.00,15.45,15.45,7900,15.170439
2015-11-04,15.86,15.86,15.40,15.43,14700,15.150802
2015-11-03,15.86,15.86,15.71,15.78,5800,15.494468
2015-11-02,15.80,15.94,15.71,15.85,17600,15.563202
2015-10-30,15.58,15.71,15.53,15.71,6400,15.425735
2015-10-29,15.65,15.69,15.59,15.61,8200,15.327544
2015-10-28,15.45,15.65,15.40,15.62,5600,15.337363
2015-10-27,15.35,15.61,15.35,15.38,12400,15.101706
2015-10-26,15.35,15.49,15.35,15.39,7600,15.111525
2015-10-23,15.43,15.44,15.35,15.35,13000,15.072249
2015-10-22,15.35,15.46,15.28,15.35,12700,15.072249
2015-10-21,15.35,15.45,15.23,15.27,5800,14.993697
2015-10-20,15.38,15.50,15.32,15.32,5400,15.042791
2015-10-19,15.59,15.59,15.40,15.41,2700,15.131163
2015-10-16,15.60,15.60,15.53,15.54,6900,15.258811
2015-10-15,15.66,15.66,15.57,15.60,4100,15.317726
2015-10-14,15.74,15.74,15.65,15.66,5500,15.376639
2015-10-13,15.99,15.99,15.38,15.67,11900,15.386459
2015-10-12,15.56,15.79,15.56,15.71,5400,15.37173
2015-10-09,15.45,15.49,15.45,15.49,4800,15.156467
2015-10-08,15.38,15.54,15.27,15.47,7100,15.136898
2015-10-07,15.38,15.45,15.33,15.45,5100,15.117329
2015-10-06,15.29,15.33,15.29,15.33,800,14.999913
2015-10-05,15.23,15.35,15.23,15.35,8500,15.019482
