Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.51,13.55,13.44,13.50,90600,13.301393
2015-12-30,13.35,13.46,13.32,13.44,117200,13.242275
2015-12-29,13.44,13.46,13.36,13.36,147100,13.163452
2015-12-28,13.36,13.46,13.34,13.43,89800,13.232423
2015-12-24,13.42,13.46,13.34,13.36,27100,13.163452
2015-12-23,13.28,13.41,13.28,13.34,69800,13.143747
2015-12-22,13.27,13.34,13.25,13.28,98000,13.084629
2015-12-21,13.38,13.38,13.27,13.27,96600,13.074777
2015-12-18,13.25,13.30,13.17,13.27,91100,13.074777
2015-12-17,13.11,13.23,13.11,13.20,77900,13.005806
2015-12-16,12.95,13.14,12.91,13.10,125000,12.907278
2015-12-15,13.03,13.03,12.93,12.97,82700,12.779191
2015-12-14,13.12,13.12,12.95,12.99,82600,12.798896
2015-12-11,13.10,13.16,13.04,13.05,82600,12.858014
2015-12-10,13.16,13.20,13.11,13.16,90100,12.890528
2015-12-09,13.10,13.16,13.07,13.15,69900,12.880733
2015-12-08,13.02,13.10,13.00,13.06,50800,12.792576
2015-12-07,13.08,13.08,12.97,12.97,86100,12.704419
2015-12-04,12.97,13.06,12.95,13.05,105700,12.782781
2015-12-03,13.12,13.12,12.94,12.95,200000,12.684828
2015-12-02,13.17,13.17,13.10,13.12,65900,12.851347
2015-12-01,13.15,13.15,13.08,13.12,52700,12.851347
2015-11-30,13.10,13.11,13.03,13.06,115700,12.792576
2015-11-27,13.10,13.12,13.10,13.10,15500,12.831757
2015-11-25,13.05,13.07,13.02,13.05,53600,12.782781
2015-11-24,13.06,13.08,12.98,13.00,52600,12.733804
2015-11-23,13.02,13.06,13.00,13.05,47100,12.782781
2015-11-20,12.98,13.03,12.98,13.03,28700,12.76319
2015-11-19,12.98,13.03,12.94,12.99,58600,12.724009
2015-11-18,13.01,13.01,12.93,12.93,81200,12.665238
2015-11-17,12.95,12.95,12.87,12.94,53300,12.675033
2015-11-16,12.93,12.99,12.93,12.95,38500,12.684828
2015-11-13,12.88,12.95,12.85,12.93,40900,12.665238
2015-11-12,12.88,12.97,12.83,12.83,69900,12.567285
2015-11-11,12.92,12.95,12.85,12.90,52200,12.635852
2015-11-10,12.95,12.95,12.87,12.90,40200,12.635852
2015-11-09,13.01,13.05,12.93,12.96,102000,12.628016
2015-11-06,13.16,13.19,13.03,13.05,68500,12.715711
2015-11-05,13.20,13.25,13.19,13.20,35400,12.861868
2015-11-04,13.21,13.25,13.19,13.23,34400,12.891099
2015-11-03,13.29,13.30,13.21,13.21,117300,12.871612
2015-11-02,13.27,13.30,13.23,13.28,101700,12.939819
2015-10-30,13.11,13.20,13.11,13.20,50900,12.861868
2015-10-29,13.10,13.16,13.09,13.13,69100,12.793661
2015-10-28,13.08,13.20,13.08,13.09,57200,12.754686
2015-10-27,13.03,13.13,13.03,13.08,38200,12.744942
2015-10-26,13.07,13.13,13.07,13.08,42900,12.744942
2015-10-23,13.06,13.13,13.06,13.10,44000,12.76443
2015-10-22,13.02,13.10,12.99,13.10,97400,12.76443
2015-10-21,13.01,13.05,12.99,13.03,45000,12.696223
2015-10-20,12.95,13.00,12.90,12.98,48700,12.647503
2015-10-19,12.99,13.00,12.92,12.99,28500,12.657247
2015-10-16,12.89,12.99,12.89,12.94,63200,12.608528
2015-10-15,12.89,12.94,12.87,12.91,50400,12.579297
2015-10-14,12.93,12.96,12.90,12.94,113200,12.608528
2015-10-13,12.89,12.91,12.83,12.88,43300,12.550065
2015-10-12,12.92,12.99,12.92,12.99,32300,12.590989
2015-10-09,12.86,12.93,12.86,12.92,72100,12.523139
2015-10-08,12.88,12.90,12.85,12.86,65400,12.464982
2015-10-07,12.87,12.91,12.86,12.88,72200,12.484368
2015-10-06,12.84,12.92,12.84,12.92,31000,12.523139
2015-10-05,12.89,12.91,12.83,12.89,47700,12.494061
2015-10-02,12.87,12.90,12.84,12.89,109000,12.494061
2015-10-01,12.85,12.86,12.78,12.82,55200,12.426211
2015-09-30,12.74,12.82,12.73,12.82,60400,12.426211
2015-09-29,12.79,12.80,12.75,12.77,126400,12.377747
2015-09-28,12.81,12.81,12.74,12.77,72000,12.377747
2015-09-25,12.77,12.79,12.70,12.79,46800,12.397132
2015-09-24,12.74,12.79,12.73,12.76,89600,12.368054
2015-09-23,12.75,12.79,12.70,12.74,105700,12.348668
2015-09-22,12.75,12.75,12.70,12.71,131600,12.31959
2015-09-21,12.77,12.77,12.68,12.71,55500,12.31959
2015-09-18,12.72,12.77,12.72,12.74,66800,12.348668
2015-09-17,12.61,12.70,12.57,12.67,66100,12.280819
2015-09-16,12.60,12.62,12.53,12.60,78700,12.212969
2015-09-15,12.58,12.59,12.54,12.56,48400,12.174198
2015-09-14,12.68,12.68,12.55,12.55,244500,12.164505
2015-09-11,12.71,12.75,12.62,12.62,114800,12.232354
2015-09-10,12.74,12.78,12.71,12.71,79600,12.253679
2015-09-09,12.72,12.78,12.72,12.78,81200,12.321165
2015-09-08,12.80,12.82,12.76,12.76,54700,12.301884
2015-09-04,12.77,12.83,12.76,12.80,38000,12.340447
2015-09-03,12.76,12.81,12.76,12.81,49800,12.350089
2015-09-02,12.79,12.81,12.76,12.80,61500,12.340447
2015-09-01,12.84,12.84,12.78,12.80,79000,12.340447
2015-08-31,12.83,12.85,12.77,12.80,108100,12.340447
2015-08-28,12.81,12.85,12.79,12.80,46600,12.340447
2015-08-27,12.75,12.82,12.75,12.79,63600,12.330806
2015-08-26,12.83,12.83,12.72,12.78,63200,12.321165
2015-08-25,12.81,12.87,12.75,12.80,80700,12.340447
2015-08-24,12.82,12.84,12.75,12.81,182800,12.350089
2015-08-21,12.85,12.92,12.80,12.84,158900,12.379011
2015-08-20,12.90,12.93,12.84,12.85,99600,12.388652
2015-08-19,12.93,12.97,12.90,12.92,84000,12.456139
2015-08-18,12.91,12.98,12.89,12.96,81500,12.494703
2015-08-17,12.92,12.96,12.88,12.94,80900,12.47542
2015-08-14,12.85,12.93,12.84,12.91,46000,12.446498
2015-08-13,12.87,12.87,12.85,12.86,22400,12.398293
2015-08-12,12.94,12.95,12.84,12.87,95300,12.407934
2015-08-11,12.90,12.99,12.90,12.99,54000,12.458067
2015-08-10,12.90,12.97,12.86,12.88,132100,12.352572
2015-08-07,12.93,12.97,12.89,12.90,44100,12.371752
2015-08-06,12.90,12.95,12.86,12.91,45700,12.381343
2015-08-05,12.88,12.92,12.86,12.88,72000,12.352572
2015-08-04,12.94,12.97,12.87,12.88,162600,12.352572
2015-08-03,13.08,13.10,12.95,12.95,125700,12.419705
2015-07-31,13.01,13.04,12.98,13.04,60200,12.50602
2015-07-30,12.96,13.01,12.92,12.99,51100,12.458067
2015-07-29,12.97,12.99,12.95,12.96,59700,12.429296
2015-07-28,12.99,12.99,12.92,12.94,42500,12.410114
2015-07-27,12.89,12.98,12.88,12.94,66500,12.410114
2015-07-24,12.84,12.90,12.84,12.88,39400,12.352572
2015-07-23,12.84,12.88,12.81,12.83,67900,12.304619
2015-07-22,12.80,12.83,12.77,12.81,116000,12.285439
2015-07-21,12.82,12.87,12.81,12.84,52900,12.31421
2015-07-20,12.86,12.87,12.82,12.84,55200,12.31421
2015-07-17,12.88,12.89,12.81,12.84,48000,12.31421
2015-07-16,12.84,12.86,12.80,12.83,58200,12.304619
2015-07-15,12.81,12.84,12.79,12.82,66300,12.295028
2015-07-14,12.81,12.86,12.81,12.84,57600,12.31421
2015-07-13,12.90,12.90,12.80,12.83,58000,12.304619
2015-07-10,12.90,13.01,12.88,12.99,132100,12.392852
2015-07-09,12.92,12.94,12.90,12.90,94600,12.306989
2015-07-08,12.88,12.97,12.88,12.92,97700,12.32607
2015-07-07,12.88,12.92,12.87,12.90,215800,12.306989
2015-07-06,12.83,12.88,12.82,12.83,108100,12.240207
2015-07-02,12.81,12.88,12.81,12.88,75800,12.287909
2015-07-01,12.90,12.92,12.80,12.81,81000,12.221127
2015-06-30,12.87,12.87,12.78,12.85,107900,12.259288
2015-06-29,12.86,12.89,12.77,12.82,78400,12.230666
2015-06-26,12.85,12.91,12.82,12.84,114100,12.249747
2015-06-25,13.02,13.02,12.88,12.90,93600,12.306989
2015-06-24,12.99,13.02,12.98,13.00,37300,12.402392
2015-06-23,12.92,13.06,12.92,13.00,55000,12.402392
2015-06-22,13.10,13.10,13.03,13.03,49000,12.431013
2015-06-19,13.11,13.14,13.11,13.11,38600,12.507335
2015-06-18,13.05,13.10,13.04,13.10,44400,12.497795
2015-06-17,12.97,13.08,12.97,13.04,43800,12.440553
2015-06-16,13.00,13.05,12.99,13.01,25000,12.411933
2015-06-15,13.00,13.07,12.98,13.02,75800,12.421473
2015-06-12,12.92,13.02,12.90,12.98,55700,12.383311
2015-06-11,12.84,12.93,12.84,12.92,148800,12.32607
2015-06-10,12.87,12.96,12.85,12.90,124600,12.242114
2015-06-09,12.83,12.93,12.83,12.90,170500,12.242114
2015-06-08,13.01,13.01,12.87,12.90,117500,12.242114
2015-06-05,13.07,13.10,12.97,13.03,173900,12.365485
2015-06-04,13.13,13.14,13.07,13.10,40400,12.431915
2015-06-03,13.17,13.17,13.12,13.15,28600,12.479365
2015-06-02,13.20,13.20,13.15,13.18,63700,12.507835
2015-06-01,13.27,13.28,13.17,13.22,93700,12.545795
2015-05-29,13.24,13.27,13.20,13.21,30400,12.536305
2015-05-28,13.19,13.25,13.16,13.23,68300,12.555285
2015-05-27,13.22,13.23,13.17,13.20,43600,12.526815
2015-05-26,13.13,13.18,13.11,13.18,87900,12.507835
2015-05-22,13.16,13.16,13.11,13.14,27800,12.469875
2015-05-21,13.23,13.23,13.11,13.18,76800,12.507835
2015-05-20,13.22,13.24,13.16,13.21,50400,12.536305
2015-05-19,13.13,13.21,13.02,13.18,56600,12.507835
2015-05-18,13.25,13.30,13.18,13.19,117900,12.517325
2015-05-15,13.30,13.35,13.30,13.32,126700,12.640695
2015-05-14,13.33,13.33,13.29,13.30,35800,12.621715
2015-05-13,13.31,13.33,13.29,13.29,64600,12.612225
2015-05-12,13.26,13.35,13.23,13.34,59800,12.595144
2015-05-11,13.37,13.39,13.30,13.31,68700,12.566819
2015-05-08,13.39,13.45,13.37,13.37,54400,12.623468
2015-05-07,13.33,13.38,13.31,13.31,63800,12.566819
2015-05-06,13.45,13.46,13.29,13.35,87900,12.604585
2015-05-05,13.50,13.52,13.40,13.50,78800,12.74621
2015-05-04,13.58,13.58,13.45,13.45,69600,12.699001
2015-05-01,13.63,13.63,13.50,13.52,103900,12.765093
2015-04-30,13.63,13.63,13.56,13.58,79400,12.821743
2015-04-29,13.61,13.64,13.60,13.63,56700,12.868951
2015-04-28,13.69,13.69,13.63,13.63,114000,12.868951
2015-04-27,13.65,13.67,13.62,13.63,69800,12.868951
2015-04-24,13.70,13.71,13.68,13.68,44700,12.916159
2015-04-23,13.72,13.72,13.68,13.68,51300,12.916159
2015-04-22,13.72,13.75,13.70,13.70,44800,12.935042
2015-04-21,13.72,13.77,13.72,13.72,48500,12.953926
2015-04-20,13.76,13.76,13.70,13.72,55200,12.953926
2015-04-17,13.68,13.76,13.68,13.73,48400,12.963367
2015-04-16,13.76,13.76,13.62,13.68,72900,12.916159
2015-04-15,13.79,13.80,13.68,13.75,79300,12.982251
2015-04-14,13.74,13.79,13.70,13.79,95400,13.020017
2015-04-13,13.75,13.75,13.67,13.71,60900,12.944484
2015-04-10,13.79,13.80,13.76,13.78,41200,12.946372
2015-04-09,13.84,13.84,13.77,13.77,45300,12.936977
2015-04-08,13.81,13.82,13.78,13.82,36700,12.983952
2015-04-07,13.78,13.78,13.74,13.78,48600,12.946372
2015-04-06,13.74,13.79,13.69,13.74,46400,12.908792
2015-04-02,13.78,13.78,13.67,13.72,68800,12.890002
2015-04-01,13.74,13.78,13.70,13.76,115400,12.927582
2015-03-31,13.66,13.72,13.63,13.72,37500,12.890002
2015-03-30,13.70,13.72,13.63,13.69,65600,12.861816
2015-03-27,13.69,13.73,13.67,13.73,37300,12.899396
2015-03-26,13.68,13.69,13.62,13.67,43600,12.843027
2015-03-25,13.71,13.74,13.63,13.67,39100,12.843027
2015-03-24,13.72,13.73,13.70,13.72,24100,12.890002
2015-03-23,13.75,13.75,13.67,13.68,50100,12.852422
2015-03-20,13.62,13.71,13.62,13.71,48000,12.880607
2015-03-19,13.59,13.65,13.57,13.59,60300,12.767866
2015-03-18,13.49,13.62,13.48,13.60,54700,12.777262
2015-03-17,13.49,13.50,13.45,13.45,60300,12.636335
