Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.68,13.72,13.57,13.70,7500,13.56584
2015-12-30,13.47,13.68,13.47,13.68,13500,13.546036
2015-12-29,13.66,13.66,13.56,13.56,6000,13.427212
2015-12-28,13.55,13.66,13.51,13.66,6500,13.526232
2015-12-24,13.59,13.67,13.59,13.65,5800,13.516329
2015-12-23,13.53,13.59,13.50,13.57,10100,13.437113
2015-12-22,13.46,13.58,13.41,13.47,7200,13.338093
2015-12-21,13.41,13.56,13.34,13.48,9400,13.347994
2015-12-18,13.42,13.46,13.35,13.46,5600,13.32819
2015-12-17,13.33,13.39,13.33,13.37,1000,13.239072
2015-12-16,13.48,13.48,13.30,13.30,5600,13.169757
2015-12-15,13.34,13.43,13.33,13.39,9200,13.258876
2015-12-14,13.35,13.39,13.25,13.34,7400,13.209366
2015-12-11,13.37,13.43,13.34,13.38,17800,13.248974
2015-12-10,13.50,13.50,13.46,13.48,5500,13.302445
2015-12-09,13.34,13.43,13.34,13.43,1000,13.253104
2015-12-08,13.36,13.40,13.36,13.39,1400,13.213631
2015-12-07,13.59,13.59,13.30,13.37,13900,13.193894
2015-12-04,13.49,13.56,13.44,13.56,2400,13.381392
2015-12-03,13.48,13.48,13.44,13.47,2000,13.292577
2015-12-02,13.59,13.59,13.47,13.51,9300,13.33205
2015-12-01,13.51,13.55,13.51,13.51,2600,13.33205
2015-11-30,13.40,13.56,13.39,13.48,9700,13.302445
2015-11-27,13.46,13.46,13.44,13.45,3200,13.27284
2015-11-25,13.36,13.45,13.36,13.44,8100,13.262972
2015-11-24,13.37,13.44,13.37,13.39,3500,13.213631
2015-11-23,13.39,13.42,13.39,13.42,1900,13.243235
2015-11-20,13.29,13.55,13.29,13.44,13400,13.262972
2015-11-19,13.27,13.47,13.27,13.27,13500,13.095212
2015-11-18,13.24,13.32,13.24,13.32,6200,13.144552
2015-11-17,13.23,13.32,12.98,13.29,25100,13.114948
2015-11-16,13.20,13.30,13.20,13.30,2000,13.124816
2015-11-13,13.26,13.26,13.21,13.25,700,13.075475
2015-11-12,13.23,13.30,13.17,13.20,4600,13.026133
2015-11-11,13.23,13.23,13.13,13.20,6800,13.026133
2015-11-10,13.15,13.23,13.08,13.23,3200,13.055738
2015-11-09,13.17,13.28,13.12,13.13,15400,12.911662
2015-11-06,13.17,13.23,13.14,13.22,2700,13.000165
2015-11-05,13.19,13.19,13.19,13.19,300,12.970663
2015-11-04,13.19,13.31,13.17,13.26,10100,13.0395
2015-11-03,13.25,13.27,13.18,13.21,12500,12.990331
2015-11-02,13.24,13.25,13.19,13.22,13300,13.000165
2015-10-30,13.23,13.25,13.18,13.23,7600,13.009998
2015-10-29,13.24,13.30,13.08,13.20,6800,12.980497
2015-10-28,13.24,13.27,13.23,13.24,5600,13.019832
2015-10-27,13.28,13.33,13.25,13.25,3800,13.029666
2015-10-26,13.26,13.35,13.20,13.35,14000,13.128003
2015-10-23,13.19,13.29,13.17,13.23,3800,13.009998
2015-10-22,13.26,13.26,13.10,13.26,6900,13.0395
2015-10-21,13.21,13.21,13.21,13.21,700,12.990331
2015-10-20,13.19,13.23,13.19,13.22,1700,13.000165
2015-10-19,13.25,13.25,13.25,13.25,400,13.029666
2015-10-16,13.26,13.26,13.24,13.24,2800,13.019832
2015-10-15,13.20,13.23,13.17,13.23,5200,13.009998
2015-10-14,13.15,13.23,13.15,13.22,1000,13.000165
2015-10-13,13.15,13.19,13.12,13.18,3900,12.96083
2015-10-12,13.25,13.27,13.20,13.21,3300,12.945096
2015-10-09,13.24,13.25,13.22,13.22,1200,12.954896
2015-10-08,13.20,13.30,13.20,13.24,6900,12.974495
2015-10-07,13.27,13.28,13.14,13.16,12900,12.896099
2015-10-06,13.37,13.38,13.32,13.32,2100,13.05289
2015-10-05,13.29,13.34,13.24,13.34,2200,13.07249
2015-10-02,13.33,13.34,13.33,13.34,1000,13.07249
2015-10-01,13.32,13.39,13.28,13.30,4100,13.033292
2015-09-30,13.22,13.32,13.22,13.32,5700,13.05289
2015-09-29,13.29,13.31,13.15,13.15,5500,12.886299
2015-09-28,13.36,13.39,13.28,13.29,3700,13.023492
2015-09-25,13.29,13.42,13.29,13.35,1400,13.082289
2015-09-24,13.35,13.35,13.28,13.29,3400,13.023492
2015-09-23,13.34,13.42,13.33,13.42,1900,13.150885
2015-09-22,13.22,13.39,13.22,13.39,12300,13.121487
2015-09-21,13.26,13.26,13.18,13.18,1000,12.915698
2015-09-18,13.26,13.26,13.18,13.26,4100,12.994094
2015-09-17,13.05,13.25,13.04,13.25,16100,12.984294
2015-09-16,13.02,13.04,13.02,13.04,600,12.778505
2015-09-15,13.06,13.06,13.00,13.02,3100,12.758907
2015-09-14,13.08,13.12,13.06,13.06,2200,12.798105
2015-09-11,13.11,13.11,13.06,13.08,1700,12.817703
2015-09-10,13.13,13.14,13.10,13.11,2400,12.802024
2015-09-09,13.18,13.20,13.15,13.17,6000,12.860615
2015-09-08,13.15,13.18,13.12,13.17,3200,12.860615
2015-09-04,13.05,13.18,13.05,13.16,8800,12.850849
2015-09-03,13.14,13.14,13.14,13.14,000,12.83132
2015-09-02,13.19,13.19,13.13,13.14,4800,12.83132
2015-09-01,13.19,13.19,13.16,13.16,5800,12.850849
2015-08-31,13.13,13.19,13.10,13.18,1700,12.87038
2015-08-28,13.10,13.16,13.08,13.12,7500,12.811789
2015-08-27,13.13,13.13,12.92,13.09,8100,12.782494
2015-08-26,13.01,13.09,13.01,13.08,3100,12.772729
2015-08-25,13.12,13.16,12.90,13.00,14200,12.694608
2015-08-24,13.27,13.27,13.08,13.08,15900,12.772729
2015-08-21,13.27,13.31,13.12,13.12,1100,12.811789
2015-08-20,13.24,13.27,13.24,13.24,3300,12.92897
2015-08-19,13.24,13.31,13.20,13.31,3700,12.997326
2015-08-18,13.29,13.30,13.23,13.30,1500,12.987561
2015-08-17,13.30,13.32,13.26,13.26,1900,12.948501
2015-08-14,13.29,13.30,13.28,13.29,1300,12.977796
2015-08-13,13.18,13.27,13.18,13.26,8700,12.948501
2015-08-12,13.17,13.23,13.14,13.21,8000,12.899675
2015-08-11,13.13,13.24,13.13,13.19,10400,12.835225
2015-08-10,13.15,13.15,13.11,13.11,2900,12.757377
2015-08-07,13.12,13.19,13.10,13.12,8000,12.767108
2015-08-06,13.11,13.14,13.10,13.10,4400,12.747646
2015-08-05,13.13,13.15,13.10,13.11,9400,12.757377
2015-08-04,13.19,13.21,13.11,13.11,6400,12.757377
2015-08-03,13.23,13.28,13.14,13.16,12000,12.806032
2015-07-31,13.16,13.20,13.16,13.20,4600,12.844956
2015-07-30,13.10,13.17,13.05,13.13,21800,12.776839
2015-07-29,13.15,13.22,13.12,13.15,12100,12.796301
2015-07-28,13.06,13.20,13.06,13.12,9000,12.767108
2015-07-27,13.20,13.22,13.09,13.11,4800,12.757377
2015-07-24,13.19,13.24,13.13,13.20,25900,12.844956
2015-07-23,13.13,13.13,13.13,13.13,3800,12.776839
2015-07-22,13.17,13.17,13.08,13.13,24600,12.776839
2015-07-21,13.21,13.21,13.10,13.17,22300,12.815763
2015-07-20,13.17,13.25,13.16,13.18,13400,12.825495
2015-07-17,13.19,13.21,13.16,13.16,10100,12.806032
2015-07-16,13.21,13.21,13.16,13.19,6600,12.835225
2015-07-15,13.22,13.28,13.15,13.18,13900,12.825495
2015-07-14,13.21,13.28,13.15,13.20,15300,12.844956
2015-07-13,13.48,13.48,13.18,13.21,21200,12.854687
2015-07-10,13.44,13.54,13.41,13.51,6400,13.101856
2015-07-09,13.46,13.66,13.37,13.50,8900,13.092158
2015-07-08,13.45,13.58,13.37,13.47,14800,13.063064
2015-07-07,13.32,13.49,13.24,13.35,14000,12.946689
2015-07-06,13.24,13.33,13.23,13.24,9400,12.840012
2015-07-02,13.32,13.32,13.20,13.30,9400,12.8982
2015-07-01,13.34,13.34,13.19,13.24,6400,12.840012
2015-06-30,13.12,13.27,13.12,13.27,11200,12.869106
2015-06-29,13.08,13.15,13.08,13.09,10400,12.694544
2015-06-26,13.23,13.35,13.11,13.17,16000,12.772127
2015-06-25,13.21,13.27,13.16,13.21,7400,12.810919
2015-06-24,13.36,13.36,13.27,13.29,6000,12.888502
2015-06-23,13.28,13.32,13.25,13.29,11300,12.888502
2015-06-22,13.32,13.32,13.25,13.29,2700,12.888502
2015-06-19,13.28,13.38,13.26,13.31,4800,12.907898
2015-06-18,13.29,13.39,13.27,13.28,5800,12.878804
2015-06-17,13.25,13.33,13.17,13.27,8900,12.869106
2015-06-16,13.15,13.39,13.15,13.23,17400,12.830314
2015-06-15,13.09,13.21,13.09,13.18,6000,12.781825
2015-06-12,13.10,13.12,13.03,13.04,7300,12.646054
2015-06-11,13.15,13.22,13.06,13.14,5400,12.743034
2015-06-10,13.11,13.16,13.05,13.15,9000,12.70812
2015-06-09,13.16,13.23,13.00,13.07,20700,12.630808
2015-06-08,13.09,13.19,12.94,13.19,30200,12.746776
2015-06-05,13.14,13.14,13.00,13.06,12700,12.621145
2015-06-04,13.25,13.26,13.16,13.17,15700,12.727448
2015-06-03,13.26,13.30,13.25,13.28,5800,12.833752
2015-06-02,13.38,13.38,13.30,13.30,4600,12.85308
2015-06-01,13.39,13.41,13.39,13.39,1600,12.940056
2015-05-29,13.37,13.37,13.33,13.36,4400,12.911063
2015-05-28,13.37,13.37,13.33,13.37,3000,12.920728
2015-05-27,13.38,13.46,13.37,13.37,9800,12.920728
2015-05-26,13.36,13.40,13.35,13.35,4800,12.9014
2015-05-22,13.41,13.41,13.39,13.39,1500,12.940056
2015-05-21,13.50,13.50,13.40,13.40,16700,12.949719
2015-05-20,13.52,13.55,13.50,13.51,8000,13.056024
2015-05-19,13.40,13.51,13.40,13.50,9700,13.046359
2015-05-18,13.55,13.55,13.40,13.44,7900,12.988375
2015-05-15,13.49,13.55,13.43,13.55,25900,13.094679
2015-05-14,13.44,13.51,13.41,13.45,16700,12.998039
2015-05-13,13.47,13.47,13.43,13.43,6200,12.978712
2015-05-12,13.52,13.53,13.51,13.52,5700,13.021234
2015-05-11,13.68,13.68,13.57,13.57,4900,13.069388
2015-05-08,13.64,13.64,13.58,13.63,4100,13.127175
2015-05-07,13.54,13.58,13.48,13.54,10200,13.040495
2015-05-06,13.70,13.74,13.52,13.52,2800,13.021234
2015-05-05,13.78,13.78,13.66,13.70,16200,13.194593
2015-05-04,13.88,13.88,13.70,13.75,37900,13.242748
2015-05-01,13.91,13.91,13.79,13.83,12100,13.319797
2015-04-30,13.83,13.93,13.83,13.93,4000,13.416108
2015-04-29,13.92,13.93,13.91,13.93,1300,13.416108
2015-04-28,13.97,13.97,13.94,13.97,1500,13.454632
2015-04-27,13.98,13.98,13.93,13.97,2500,13.454632
2015-04-24,13.95,13.97,13.93,13.95,1300,13.43537
2015-04-23,13.96,13.96,13.94,13.95,1500,13.43537
2015-04-22,13.95,13.95,13.94,13.95,1500,13.43537
2015-04-21,14.02,14.02,13.89,13.91,5200,13.396845
2015-04-20,14.02,14.03,14.02,14.02,1000,13.502788
2015-04-17,14.05,14.05,13.98,13.99,3400,13.473894
2015-04-16,14.00,14.00,13.99,14.00,400,13.483525
2015-04-15,14.00,14.06,14.00,14.02,3600,13.502788
2015-04-14,14.05,14.06,14.00,14.00,2800,13.483525
2015-04-13,14.08,14.08,13.97,13.97,3100,13.454632
