Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.50,14.61,14.50,14.54,37000,14.404444
2015-12-30,14.48,14.50,14.45,14.49,8400,14.354909
2015-12-29,14.47,14.47,14.41,14.43,8800,14.295469
2015-12-28,14.47,14.49,14.44,14.49,23700,14.354909
2015-12-24,14.46,14.46,14.43,14.45,9300,14.315282
2015-12-23,14.45,14.48,14.39,14.44,8500,14.305375
2015-12-22,14.37,14.41,14.35,14.41,17300,14.275655
2015-12-21,14.44,14.44,14.35,14.40,17100,14.265748
2015-12-18,14.35,14.39,14.34,14.39,7300,14.255842
2015-12-17,14.23,14.37,14.23,14.35,19900,14.216215
2015-12-16,14.17,14.23,14.13,14.22,18100,14.087427
2015-12-15,14.15,14.21,14.13,14.17,23900,14.037893
2015-12-14,14.32,14.33,14.14,14.16,16500,14.027986
2015-12-11,14.24,14.31,14.24,14.27,12600,14.136961
2015-12-10,14.20,14.28,14.20,14.28,28800,14.100306
2015-12-09,14.12,14.20,14.12,14.19,19600,14.011438
2015-12-08,14.05,14.15,14.05,14.15,17800,13.971941
2015-12-07,14.09,14.09,14.01,14.04,17800,13.863326
2015-12-04,14.04,14.08,14.04,14.08,7600,13.902823
2015-12-03,14.10,14.10,14.00,14.00,9000,13.823829
2015-12-02,14.12,14.12,14.11,14.12,26500,13.942319
2015-12-01,14.05,14.12,14.05,14.08,38500,13.902823
2015-11-30,14.10,14.10,14.04,14.04,11300,13.863326
2015-11-27,14.05,14.09,14.02,14.05,5600,13.8732
2015-11-25,14.02,14.07,14.02,14.02,22200,13.843578
2015-11-24,14.12,14.18,14.05,14.06,13100,13.883075
2015-11-23,14.11,14.13,14.06,14.12,11900,13.942319
2015-11-20,14.08,14.10,14.03,14.08,12100,13.902823
2015-11-19,14.11,14.11,14.03,14.05,8400,13.8732
2015-11-18,14.02,14.08,14.02,14.06,12800,13.883075
2015-11-17,14.02,14.04,13.99,14.02,11500,13.843578
2015-11-16,14.01,14.04,14.01,14.02,9000,13.843578
2015-11-13,13.92,14.04,13.91,14.03,19700,13.853452
2015-11-12,13.94,13.96,13.89,13.89,17800,13.715214
2015-11-11,13.89,13.92,13.89,13.91,16100,13.734962
2015-11-10,13.93,13.97,13.91,13.97,9000,13.794207
2015-11-09,13.99,13.99,13.85,13.98,25900,13.75866
2015-11-06,14.10,14.10,14.00,14.00,21000,13.778344
2015-11-05,14.18,14.23,14.12,14.12,18500,13.896444
2015-11-04,14.11,14.26,14.11,14.21,35600,13.985019
2015-11-03,14.22,14.22,14.11,14.15,17900,13.925968
2015-11-02,14.16,14.20,14.16,14.19,10900,13.965335
2015-10-30,14.16,14.27,14.14,14.16,47300,13.93581
2015-10-29,14.15,14.16,14.11,14.13,11200,13.906285
2015-10-28,14.01,14.17,14.01,14.17,20400,13.945652
2015-10-27,14.02,14.05,14.02,14.02,8200,13.798027
2015-10-26,14.03,14.04,13.99,14.02,6500,13.798027
2015-10-23,13.96,14.02,13.95,14.00,7600,13.778344
2015-10-22,13.98,14.03,13.95,14.01,12800,13.788185
2015-10-21,13.99,14.00,13.97,13.98,8700,13.75866
2015-10-20,13.88,13.97,13.88,13.97,19300,13.748819
2015-10-19,13.90,13.90,13.86,13.89,7800,13.670085
2015-10-16,13.90,13.91,13.87,13.87,3500,13.650402
2015-10-15,13.84,13.90,13.81,13.90,11500,13.679926
2015-10-14,13.81,13.89,13.81,13.89,12000,13.670085
2015-10-13,13.76,13.79,13.76,13.78,3100,13.561826
2015-10-12,13.75,13.83,13.75,13.82,7200,13.555921
2015-10-09,13.77,13.80,13.75,13.80,5200,13.536304
2015-10-08,13.76,13.78,13.74,13.74,8500,13.47745
2015-10-07,13.74,13.78,13.70,13.76,16400,13.497068
2015-10-06,13.72,13.77,13.72,13.76,10200,13.497068
2015-10-05,13.77,13.77,13.72,13.75,6800,13.487259
2015-10-02,13.75,13.77,13.74,13.77,9800,13.506878
2015-10-01,13.71,13.74,13.70,13.72,8300,13.457833
2015-09-30,13.70,13.72,13.66,13.71,20400,13.448024
2015-09-29,13.62,13.65,13.62,13.65,13200,13.38917
2015-09-28,13.62,13.65,13.62,13.64,7500,13.379362
2015-09-25,13.64,13.65,13.59,13.59,9200,13.330317
2015-09-24,13.61,13.66,13.61,13.65,8500,13.38917
2015-09-23,13.61,13.64,13.59,13.61,10300,13.349934
2015-09-22,13.57,13.61,13.56,13.58,7700,13.320508
2015-09-21,13.62,13.65,13.55,13.56,24300,13.30089
2015-09-18,13.65,13.72,13.62,13.62,32100,13.359743
2015-09-17,13.50,13.69,13.50,13.67,11800,13.408788
2015-09-16,13.53,13.55,13.48,13.54,7200,13.281272
2015-09-15,13.55,13.55,13.47,13.51,18700,13.251846
2015-09-14,13.59,13.60,13.56,13.58,12000,13.320508
2015-09-11,13.58,13.58,13.56,13.57,12200,13.310699
2015-09-10,13.64,13.64,13.57,13.58,15300,13.275387
2015-09-09,13.64,13.65,13.59,13.60,16200,13.294939
2015-09-08,13.60,13.64,13.58,13.63,19400,13.324265
2015-09-04,13.56,13.61,13.56,13.61,2800,13.304714
2015-09-03,13.51,13.61,13.51,13.58,34800,13.275387
2015-09-02,13.66,13.66,13.51,13.56,18300,13.255836
2015-09-01,13.65,13.67,13.62,13.62,13200,13.314489
2015-08-31,13.64,13.66,13.59,13.60,17300,13.294939
2015-08-28,13.68,13.75,13.53,13.59,41500,13.285163
