Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,36.77,36.849998,35.98,35.98,313600,35.746541
2015-12-30,36.84,37.060001,36.779999,36.860001,311100,36.620832
2015-12-29,36.98,37.029999,36.799999,36.959999,273100,36.720182
2015-12-28,36.279999,36.77,36.169998,36.75,387200,36.511545
2015-12-24,36.27,36.52,36.16,36.34,210600,36.104206
2015-12-23,36.139999,36.360001,35.93,36.34,291900,36.104206
2015-12-22,35.77,36.080002,35.52,36.02,527200,35.786282
2015-12-21,35.900002,36.00,35.450001,35.77,506400,35.537905
2015-12-18,36.060001,36.150002,35.669998,35.73,886200,35.498163
2015-12-17,36.52,36.68,36.169998,36.18,1543700,35.945244
2015-12-16,36.400002,36.630001,36.080002,36.52,506200,36.283038
2015-12-15,35.880001,36.27,35.84,36.240002,582600,36.004856
2015-12-14,35.380001,35.860001,35.310001,35.84,585500,35.60745
2015-12-11,35.59,36.009998,35.369999,35.43,536600,35.200111
2015-12-10,36.150002,36.490002,35.939999,36.279999,521100,35.793236
2015-12-09,36.450001,36.799999,36.060001,36.099998,661800,35.615651
2015-12-08,36.779999,37.07,36.540001,36.59,583400,36.099078
2015-12-07,37.18,37.290001,36.669998,36.970001,766200,36.473981
2015-12-04,37.73,38.040001,36.91,37.209999,1191600,36.710759
2015-12-03,38.400002,38.459999,37.279999,37.549999,734500,37.046197
2015-12-02,38.709999,38.91,38.25,38.389999,529600,37.874927
2015-12-01,38.619999,38.93,38.610001,38.779999,666400,38.259694
2015-11-30,39.200001,39.290001,38.439999,38.509998,733900,37.993316
2015-11-27,38.580002,39.220001,38.560001,39.02,411800,38.496476
2015-11-25,38.150002,38.720001,38.009998,38.57,631600,38.052513
2015-11-24,37.919998,38.099998,37.830002,38.07,698200,37.559221
2015-11-23,37.970001,38.25,37.860001,38.220001,540700,37.70721
2015-11-20,38.240002,38.240002,37.810001,37.889999,816400,37.381636
2015-11-19,38.59,38.869999,37.98,38.060001,860300,37.549357
2015-11-18,38.029999,38.709999,37.84,38.68,636200,38.161037
2015-11-17,37.810001,38.200001,37.610001,38.049999,854500,37.539489
2015-11-16,37.150002,37.790001,37.060001,37.75,620300,37.243515
2015-11-13,36.799999,37.23,36.700001,37.060001,815300,36.562774
2015-11-12,37.27,37.50,36.869999,36.900002,1644300,36.404921
2015-11-11,37.189999,37.700001,37.07,37.50,1402400,36.996869
2015-11-10,36.450001,37.029999,36.450001,37.02,627200,36.52331
2015-11-09,36.32,36.59,36.119999,36.490002,574000,36.000422
2015-11-06,36.380001,36.43,36.040001,36.419998,368300,35.931357
2015-11-05,36.369999,36.459999,36.060001,36.439999,583900,35.951089
2015-11-04,36.150002,36.400002,36.029999,36.259998,610100,35.773504
2015-11-03,36.240002,36.259998,35.790001,36.029999,721300,35.546591
2015-11-02,36.099998,36.369999,35.889999,36.23,1025000,35.743908
2015-10-30,35.73,36.279999,35.610001,35.849998,1904300,35.369005
2015-10-29,35.509998,36.060001,35.48,35.720001,1614400,35.240752
2015-10-28,36.43,36.439999,34.779999,35.599998,2036500,35.122359
2015-10-27,35.139999,35.650002,34.98,35.32,983100,34.846117
2015-10-26,35.049999,35.43,34.91,35.209999,1121600,34.737593
2015-10-23,34.790001,35.240002,34.470001,35.00,1046500,34.530411
2015-10-22,35.110001,35.110001,34.34,34.560001,765100,34.096316
2015-10-21,35.00,35.00,34.490002,34.779999,364900,34.313362
2015-10-20,34.66,34.98,34.650002,34.900002,453400,34.431754
2015-10-19,34.560001,34.849998,34.560001,34.66,612100,34.194973
2015-10-16,34.389999,34.77,34.389999,34.599998,672500,34.135776
2015-10-15,34.080002,34.299999,33.849998,34.23,696900,33.770742
2015-10-14,34.52,34.84,34.00,34.040001,556400,33.583292
2015-10-13,34.790001,35.169998,34.48,34.50,483000,34.037119
2015-10-12,34.73,34.959999,34.52,34.830002,556700,34.362694
2015-10-09,34.349998,34.849998,34.349998,34.689999,396300,34.224569
2015-10-08,34.43,34.610001,33.950001,34.34,525700,33.879266
2015-10-07,33.73,34.509998,33.630001,34.43,551000,33.968059
2015-10-06,34.040001,34.07,33.34,33.619999,443400,33.168925
2015-10-05,33.970001,34.099998,33.669998,34.080002,699400,33.622756
2015-10-02,32.310001,33.619999,32.299999,33.610001,562600,33.159061
2015-10-01,32.009998,32.830002,31.889999,32.619999,538500,32.182342
2015-09-30,32.77,32.959999,31.91,31.940001,812500,31.511467
2015-09-29,32.52,32.799999,32.259998,32.509998,477900,32.073817
2015-09-28,32.810001,32.810001,31.99,32.52,529400,32.083685
2015-09-25,33.599998,33.599998,32.639999,32.889999,361500,32.44872
2015-09-24,33.310001,33.540001,33.049999,33.389999,232600,32.942012
2015-09-23,33.630001,33.740002,33.32,33.450001,254100,33.001208
2015-09-22,33.52,33.700001,33.27,33.50,261500,33.050536
