Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.380001,42.75,42.110001,42.34,666600,41.985577
2015-12-30,43.16,43.240002,42.400002,42.50,474200,42.144238
2015-12-29,42.349998,43.299999,42.150002,43.27,603600,42.907793
2015-12-28,42.07,42.389999,41.689999,42.09,260100,41.73767
2015-12-24,42.810001,42.810001,42.029999,42.209999,273500,41.856664
2015-12-23,42.240002,43.130001,41.860001,43.09,321000,42.729299
2015-12-22,42.00,42.68,41.75,41.849998,691600,41.499677
2015-12-21,42.209999,42.349998,41.299999,41.790001,411200,41.440182
2015-12-18,42.82,43.040001,41.91,41.98,574300,41.62859
2015-12-17,44.139999,44.139999,43.220001,43.240002,251200,42.878045
2015-12-16,44.189999,44.310001,43.25,44.119999,324200,43.750676
2015-12-15,44.25,44.490002,43.450001,43.860001,363300,43.492854
2015-12-14,44.049999,44.490002,43.00,43.860001,522400,43.492854
2015-12-11,44.00,44.380001,43.869999,44.09,339800,43.720928
2015-12-10,45.07,45.23,44.59,44.689999,198300,44.315904
2015-12-09,44.880001,45.77,44.720001,45.07,269600,44.692724
2015-12-08,44.82,45.529999,44.650002,45.119999,242600,44.742305
2015-12-07,45.73,45.759998,44.900002,45.349998,318800,44.970379
2015-12-04,46.200001,46.380001,45.220001,45.84,226800,45.456279
2015-12-03,46.470001,46.470001,45.07,45.610001,321000,45.228205
2015-12-02,46.50,46.599998,45.860001,46.27,176100,45.88268
2015-12-01,46.75,46.93,46.009998,46.470001,172900,46.081007
2015-11-30,46.93,47.110001,46.220001,46.66,292600,46.269415
2015-11-27,46.900002,47.32,46.610001,46.869999,121100,46.477656
2015-11-25,46.549999,47.060001,46.490002,46.700001,144200,46.309081
2015-11-24,45.450001,46.610001,45.27,46.470001,229200,46.081007
2015-11-23,45.380001,46.150002,45.380001,45.77,285700,45.386865
2015-11-20,45.310001,45.950001,45.299999,45.549999,355800,45.168706
2015-11-19,45.150002,45.529999,44.84,45.009998,288500,44.633225
2015-11-18,44.799999,45.209999,44.68,45.099998,231000,44.722472
2015-11-17,44.970001,46.049999,44.650002,44.849998,391100,44.474565
2015-11-16,43.799999,44.75,43.799999,44.639999,452300,44.266323
2015-11-13,45.34,45.66,43.369999,43.799999,572000,43.433355
2015-11-12,46.709999,47.240002,45.59,45.610001,448800,45.228205
2015-11-11,48.23,48.23,46.939999,47.099998,317100,46.70573
2015-11-10,47.84,48.16,47.360001,48.099998,214900,47.697359
2015-11-09,49.169998,49.200001,47.52,47.93,267800,47.528784
2015-11-06,49.32,49.970001,48.880001,49.32,314000,48.907148
2015-11-05,50.23,50.23,49.419998,49.77,180600,49.105473
2015-11-04,49.77,49.889999,48.889999,49.779999,280800,49.115337
2015-11-03,49.18,50.049999,49.009998,50.040001,267200,49.371868
2015-11-02,48.990002,49.349998,48.369999,49.290001,350400,48.631882
2015-10-30,48.41,49.57,48.09,48.84,318900,48.18789
2015-10-29,50.369999,50.369999,47.209999,48.41,518700,47.763631
2015-10-28,49.759998,51.110001,48.919998,51.099998,495100,50.417712
2015-10-27,50.52,50.77,49.369999,49.610001,248700,48.947609
2015-10-26,50.689999,51.02,50.369999,50.880001,215800,50.200652
2015-10-23,51.23,51.23,50.009998,50.84,161900,50.161186
2015-10-22,50.68,51.150002,50.27,50.700001,202500,50.023056
2015-10-21,51.330002,51.330002,50.400002,50.43,167900,49.75666
2015-10-20,50.919998,51.52,50.869999,51.200001,92800,50.51638
2015-10-19,50.610001,51.27,50.610001,51.00,163200,50.319049
2015-10-16,50.68,50.810001,50.189999,50.799999,168000,50.121719
2015-10-15,49.790001,50.75,49.400002,50.59,248300,49.914524
2015-10-14,50.360001,50.830002,49.209999,49.540001,312300,48.878544
2015-10-13,50.779999,51.139999,49.950001,50.040001,244900,49.371868
2015-10-12,51.049999,51.419998,50.459999,51.040001,100700,50.358516
2015-10-09,51.419998,51.450001,50.790001,50.91,196200,50.230251
2015-10-08,50.599998,51.59,50.599998,51.43,156800,50.743308
2015-10-07,50.93,51.060001,50.009998,50.75,151900,50.072387
2015-10-06,51.130001,51.84,50.150002,50.50,218300,49.825725
2015-10-05,50.549999,51.240002,50.549999,51.220001,203500,50.536113
2015-10-02,48.169998,50.189999,47.869999,50.169998,327000,49.50013
