Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,53.830002,54.040001,52.849998,53.189999,1753600,52.77644
2015-12-30,53.950001,54.330002,53.779999,53.919998,1419200,53.500763
2015-12-29,53.73,54.139999,53.669998,53.810001,1142700,53.391622
2015-12-28,53.779999,54.040001,53.57,53.98,1383800,53.108837
2015-12-24,54.080002,54.18,53.869999,53.939999,592200,53.069482
2015-12-23,53.389999,54.099998,53.27,54.080002,1625800,53.207226
2015-12-22,53.18,53.43,52.48,53.209999,1453500,52.351263
2015-12-21,53.290001,53.630001,52.720001,53.060001,1800900,52.203687
2015-12-18,53.57,53.82,52.84,53.110001,4426600,52.252879
2015-12-17,54.259998,54.389999,53.700001,53.849998,2723400,52.980934
2015-12-16,52.84,54.290001,52.73,54.23,2453200,53.354803
2015-12-15,52.43,53.380001,52.400002,52.700001,2830600,51.849496
2015-12-14,51.84,52.34,51.48,52.279999,2025400,51.436272
2015-12-11,51.560001,52.139999,51.189999,51.709999,2292400,50.875471
2015-12-10,52.599998,52.799999,51.43,51.650002,3091500,50.816442
2015-12-09,52.540001,53.439999,52.41,52.57,2223800,51.721593
2015-12-08,53.02,53.18,52.07,52.720001,2377600,51.869174
2015-12-07,53.060001,53.16,52.07,53.139999,3506400,52.282393
2015-12-04,52.009998,53.209999,52.009998,53.119999,4915000,52.262716
2015-12-03,51.799999,52.220001,51.400002,51.810001,3279500,50.97386
2015-12-02,52.720001,52.880001,52.139999,52.220001,2979300,51.377243
2015-12-01,53.040001,53.299999,52.389999,52.93,1619600,52.075784
2015-11-30,52.75,53.290001,52.639999,52.73,3410200,51.87901
2015-11-27,52.43,53.049999,52.43,52.77,726200,51.918366
2015-11-25,52.669998,52.689999,52.169998,52.360001,1362000,51.514983
2015-11-24,52.529999,52.720001,52.029999,52.549999,2684900,51.701915
2015-11-23,52.669998,53.639999,52.529999,52.73,2954500,51.87901
2015-11-20,53.490002,53.939999,53.34,53.580002,1873600,52.715295
2015-11-19,52.790001,53.400002,52.669998,53.189999,1663100,52.331586
2015-11-18,52.169998,52.779999,51.720001,52.669998,2248000,51.819977
2015-11-17,53.25,53.68,51.950001,52.150002,2870700,51.308373
2015-11-16,52.220001,53.450001,52.049999,53.439999,2170700,52.577551
2015-11-13,52.790001,53.32,52.130001,52.259998,2074500,51.416594
2015-11-12,53.560001,54.119999,52.77,52.790001,1734900,51.938044
2015-11-11,53.459999,53.790001,53.32,53.669998,2667600,52.803839
2015-11-10,52.470001,53.389999,52.279999,53.369999,2730900,52.508681
2015-11-09,51.720001,52.700001,51.619999,52.50,3455000,51.652723
2015-11-06,52.849998,52.849998,51.049999,51.93,4892300,51.091922
2015-11-05,54.07,54.380001,53.669998,53.720001,2902600,52.853035
2015-11-04,53.48,54.209999,53.389999,54.16,2823800,53.285933
2015-11-03,53.369999,53.689999,52.970001,53.630001,2370400,52.764487
2015-11-02,53.349998,53.73,52.93,53.549999,2595200,52.685777
2015-10-30,52.470001,53.759998,52.369999,53.400002,4782300,52.5382
2015-10-29,52.75,53.34,51.470001,52.349998,5265500,51.505142
2015-10-28,53.900002,54.099998,52.139999,52.950001,3980000,52.095461
2015-10-27,53.73,54.209999,53.73,54.07,4097100,53.197385
2015-10-26,53.77,53.91,53.27,53.790001,3388400,52.921905
2015-10-23,54.41,54.57,53.57,53.630001,2382500,52.764487
2015-10-22,54.240002,54.700001,54.220001,54.50,2286800,53.620446
2015-10-21,54.709999,54.990002,54.130001,54.169998,1798400,53.29577
2015-10-20,54.09,54.830002,54.00,54.330002,1671000,53.453191
2015-10-19,53.93,54.290001,53.619999,54.290001,2782500,53.413836
2015-10-16,53.990002,54.349998,53.880001,54.029999,4209200,53.15803
2015-10-15,52.880001,54.080002,52.869999,54.049999,3015400,53.177707
2015-10-14,52.799999,53.290001,52.700001,52.77,2473000,51.918366
2015-10-13,52.990002,53.23,52.68,52.740002,2323800,51.888851
2015-10-12,52.709999,53.400002,52.650002,53.00,4137900,52.144653
2015-10-09,53.09,53.279999,52.459999,52.50,2921000,51.652723
2015-10-08,52.580002,53.25,52.349998,53.09,2576500,52.233201
2015-10-07,53.200001,53.27,52.470001,52.73,2464800,51.87901
2015-10-06,53.419998,53.490002,52.689999,53.110001,3423500,52.252879
2015-10-05,53.27,53.50,52.720001,53.459999,3164600,52.597229
2015-10-02,52.740002,53.00,52.240002,53.00,2828400,52.144653
2015-10-01,52.919998,53.00,52.259998,52.580002,3085600,51.731434
2015-09-30,52.299999,52.91,52.049999,52.799999,4164700,51.94788
2015-09-29,52.110001,52.18,51.459999,52.009998,3281500,51.170629
2015-09-28,52.259998,52.73,51.790001,52.009998,3278700,51.170629
2015-09-25,52.560001,53.59,52.369999,52.919998,3907200,51.618285
2015-09-24,51.709999,52.599998,51.349998,52.439999,4600600,51.150092
2015-09-23,51.490002,52.049999,51.18,52.00,6284200,50.720916
2015-09-22,50.919998,51.689999,50.52,51.450001,7625800,50.184446
2015-09-21,50.689999,51.349998,50.52,51.18,3629600,49.921087
2015-09-18,49.900002,51.099998,49.32,50.529999,9342800,49.287074
2015-09-17,49.209999,51.029999,48.939999,50.09,5314400,48.857898
2015-09-16,48.799999,49.380001,48.73,49.279999,2387100,48.067821
2015-09-15,48.580002,49.009998,48.200001,48.799999,4465200,47.599628
2015-09-14,48.52,48.84,48.02,48.490002,3257700,47.297256
2015-09-11,47.529999,48.48,47.470001,48.439999,3036500,47.248483
2015-09-10,47.779999,48.32,47.540001,47.700001,3056900,46.526687
2015-09-09,49.00,49.080002,47.82,47.91,3499300,46.731521
