Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,54.009998,54.889999,53.369999,53.380001,729200,53.380001
2015-12-30,55.00,55.970001,53.139999,54.110001,795300,54.110001
2015-12-29,56.970001,57.810001,55.029999,55.799999,775700,55.799999
2015-12-28,57.259998,58.23,55.360001,56.060001,668000,56.060001
2015-12-24,59.139999,59.560001,57.43,58.419998,273200,58.419998
2015-12-23,56.27,59.290001,56.16,59.23,934300,59.23
2015-12-22,53.150002,55.529999,52.650002,55.060001,804500,55.060001
2015-12-21,55.740002,56.43,52.50,53.119999,1363400,53.119999
2015-12-18,54.919998,57.360001,54.029999,55.490002,2291200,55.490002
2015-12-17,58.720001,58.830002,54.25,54.919998,1152100,54.919998
2015-12-16,59.689999,60.779999,57.50,58.540001,1118400,58.540001
2015-12-15,58.209999,59.970001,57.25,59.939999,998300,59.939999
2015-12-14,55.369999,57.419998,55.139999,57.290001,1262400,57.290001
2015-12-11,55.25,56.34,54.400002,55.82,1189900,55.82
2015-12-10,56.060001,56.860001,55.330002,55.59,1037600,55.59
2015-12-09,57.169998,58.080002,55.709999,56.380001,1039500,56.380001
2015-12-08,53.16,58.23,52.849998,56.189999,1886900,56.189999
2015-12-07,53.880001,56.00,52.740002,54.09,1395700,54.09
2015-12-04,54.630001,56.900002,53.77,55.169998,1184000,55.169998
2015-12-03,55.790001,56.790001,55.150002,55.529999,721900,55.529999
2015-12-02,56.110001,56.18,54.25,55.52,895300,55.52
2015-12-01,56.630001,57.060001,56.02,56.650002,703500,56.650002
2015-11-30,55.59,57.740002,55.580002,56.490002,884600,56.490002
2015-11-27,56.23,57.93,54.799999,55.419998,218900,55.419998
2015-11-25,56.599998,57.490002,55.950001,56.759998,479700,56.759998
2015-11-24,55.990002,58.950001,55.25,57.259998,1546700,57.259998
2015-11-23,55.619999,56.610001,54.259998,54.810001,1397000,54.810001
2015-11-20,58.400002,58.400002,54.619999,54.98,1841500,54.98
2015-11-19,60.48,61.790001,57.540001,58.439999,738400,58.439999
2015-11-18,59.299999,61.50,59.099998,61.48,778200,61.48
2015-11-17,58.970001,60.240002,58.009998,58.889999,567900,58.889999
2015-11-16,58.970001,60.240002,57.939999,59.970001,719600,59.970001
2015-11-13,56.689999,59.630001,56.02,58.610001,862600,58.610001
2015-11-12,57.34,58.540001,56.349998,56.68,1524800,56.68
2015-11-11,60.450001,60.720001,59.029999,59.75,854900,59.75
2015-11-10,59.189999,61.57,58.23,60.75,1193400,60.75
2015-11-09,58.080002,59.43,57.290001,58.939999,1305600,58.939999
2015-11-06,59.560001,61.040001,57.610001,57.779999,1163400,57.779999
2015-11-05,61.240002,64.989998,58.650002,59.41,1475400,59.41
2015-11-04,63.509998,64.300003,61.119999,62.529999,1095000,62.529999
2015-11-03,62.889999,64.349998,62.299999,63.130001,934700,63.130001
2015-11-02,60.27,63.439999,60.009998,62.48,967200,62.48
2015-10-30,60.419998,61.310001,58.759998,60.34,715900,60.34
2015-10-29,59.23,61.490002,59.18,60.43,1213500,60.43
2015-10-28,56.77,59.540001,55.790001,59.27,875000,59.27
2015-10-27,56.279999,56.990002,54.73,56.09,803100,56.09
2015-10-26,59.130001,59.279999,56.700001,57.080002,417000,57.080002
2015-10-23,59.66,60.689999,58.049999,59.439999,470900,59.439999
2015-10-22,59.330002,59.950001,58.150002,59.66,674300,59.66
2015-10-21,58.900002,59.48,57.240002,58.450001,1046200,58.450001
2015-10-20,58.849998,61.049999,58.139999,59.419998,890000,59.419998
2015-10-19,58.830002,59.779999,57.669998,58.689999,1489200,58.689999
2015-10-16,58.869999,60.02,57.880001,59.759998,831200,59.759998
2015-10-15,56.689999,58.950001,56.080002,58.91,862200,58.91
2015-10-14,55.84,57.23,55.119999,57.119999,583000,57.119999
2015-10-13,54.889999,57.970001,54.709999,55.900002,790000,55.900002
2015-10-12,57.529999,57.869999,54.82,55.50,974600,55.50
2015-10-09,60.32,61.00,56.68,57.650002,2046900,57.650002
2015-10-08,58.439999,60.98,56.98,60.099998,1562400,60.099998
2015-10-07,59.740002,60.360001,56.349998,58.869999,1483700,58.869999
2015-10-06,56.189999,60.849998,55.110001,58.139999,2015200,58.139999
2015-10-05,56.200001,58.130001,55.73,55.91,1104500,55.91
2015-10-02,52.830002,55.00,52.459999,54.990002,1126500,54.990002
2015-10-01,53.919998,55.23,53.009998,53.59,1298200,53.59
2015-09-30,53.27,53.860001,52.00,53.009998,868900,53.009998
2015-09-29,51.099998,53.049999,50.599998,52.27,682600,52.27
2015-09-28,52.43,52.68,50.259998,50.549999,990400,50.549999
2015-09-25,55.040001,55.470001,52.009998,53.150002,691100,53.150002
2015-09-24,52.450001,54.139999,52.099998,53.98,1061900,53.98
2015-09-23,53.709999,54.59,52.209999,52.900002,602500,52.900002
2015-09-22,54.740002,56.09,53.360001,53.43,985900,53.43
2015-09-21,56.349998,56.759998,54.240002,55.52,1041500,55.52
2015-09-18,57.50,57.91,55.00,55.360001,1485600,55.360001
2015-09-17,60.990002,61.549999,58.639999,58.869999,895500,58.869999
2015-09-16,57.93,60.75,57.310001,60.400002,1359300,60.400002
2015-09-15,57.060001,57.959999,56.279999,57.189999,729400,57.189999
2015-09-14,56.970001,56.970001,54.900002,56.57,716300,56.57
2015-09-11,55.849998,57.080002,54.48,56.919998,761800,56.919998
2015-09-10,56.220001,58.150002,54.740002,56.73,858900,56.73
2015-09-09,58.23,58.790001,55.389999,55.740002,838500,55.740002
2015-09-08,55.23,57.84,54.549999,57.68,890500,57.68
2015-09-04,54.77,55.73,54.299999,55.18,461100,55.18
2015-09-03,56.439999,57.610001,55.25,55.669998,877400,55.669998
2015-09-02,55.580002,55.900002,52.68,55.720001,726200,55.720001
2015-09-01,54.549999,56.09,53.57,54.330002,1026700,54.330002
2015-08-31,54.099998,56.82,52.77,56.18,1125200,56.18
2015-08-28,51.02,55.529999,51.02,54.939999,1289200,54.939999
