Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.52,17.75,17.42,17.74,152800,17.626935
2015-12-30,17.52,17.75,17.459999,17.49,179800,17.378528
2015-12-29,17.75,18.00,17.700001,17.74,177400,17.626935
2015-12-28,17.639999,17.790001,17.52,17.610001,148200,17.497764
2015-12-24,18.15,18.200001,17.85,18.00,57100,17.885278
2015-12-23,17.67,18.139999,17.67,18.059999,151200,17.944895
2015-12-22,17.32,17.77,17.24,17.43,151000,17.318911
2015-12-21,17.42,17.459999,17.16,17.27,144300,17.159931
2015-12-18,17.450001,17.49,17.299999,17.42,136800,17.308974
2015-12-17,17.780001,17.959999,17.49,17.49,185100,17.378528
2015-12-16,17.639999,17.90,17.620001,17.82,146100,17.706425
2015-12-15,17.459999,17.799999,17.459999,17.719999,79700,17.607062
2015-12-14,17.25,17.549999,17.00,17.35,161400,17.239421
2015-12-11,17.75,17.75,17.27,17.34,158900,17.229484
2015-12-10,17.83,18.200001,17.83,17.940001,157000,17.825661
2015-12-09,17.84,18.24,17.709999,17.85,192600,17.736234
2015-12-08,17.610001,17.940001,17.43,17.67,167900,17.557381
2015-12-07,18.42,18.42,17.790001,17.950001,156500,17.835597
2015-12-04,18.700001,18.809999,18.42,18.639999,149000,18.521198
2015-12-03,19.16,19.16,18.709999,18.82,114800,18.700051
2015-12-02,19.389999,19.52,18.969999,19.01,87300,18.888841
2015-12-01,19.370001,19.530001,19.360001,19.459999,165600,19.335971
2015-11-30,19.219999,19.49,19.219999,19.32,78200,19.196864
2015-11-27,19.290001,19.290001,19.10,19.18,30900,19.057757
2015-11-25,19.43,19.549999,19.299999,19.389999,40600,19.266418
2015-11-24,19.24,19.75,19.24,19.57,64000,19.445271
2015-11-23,19.23,19.35,19.01,19.25,88600,19.127311
2015-11-20,20.34,20.41,20.129999,20.190001,131900,19.922212
2015-11-19,20.549999,20.559999,20.24,20.309999,89500,20.04062
2015-11-18,20.27,20.59,20.23,20.559999,84600,20.287304
2015-11-17,20.25,20.370001,20.110001,20.25,115500,19.981416
2015-11-16,19.68,20.379999,19.68,20.35,97500,20.08009
2015-11-13,19.709999,19.959999,19.549999,19.799999,45300,19.537384
2015-11-12,19.870001,20.02,19.73,19.77,66600,19.507783
2015-11-11,20.49,20.52,20.17,20.219999,44000,19.951813
2015-11-10,20.41,20.67,20.389999,20.559999,68900,20.287304
2015-11-09,20.58,20.870001,20.469999,20.49,44500,20.218233
2015-11-06,20.74,20.790001,20.50,20.709999,43300,20.435314
2015-11-05,21.049999,21.139999,20.82,20.950001,40600,20.672132
2015-11-04,21.469999,21.469999,21.00,21.120001,26700,20.839878
2015-11-03,21.00,21.629999,20.950001,21.379999,109100,21.096428
2015-11-02,20.469999,20.969999,20.33,20.969999,105100,20.691866
2015-10-30,20.209999,20.629999,20.15,20.540001,43100,20.267571
2015-10-29,20.15,20.52,20.15,20.200001,41100,19.93208
2015-10-28,19.959999,20.49,19.93,20.25,59100,19.981416
2015-10-27,19.969999,19.98,19.74,19.950001,50000,19.685396
2015-10-26,20.50,20.68,20.07,20.15,48400,19.882742
2015-10-23,20.60,20.799999,20.49,20.549999,97900,20.277436
2015-10-22,20.309999,20.700001,20.309999,20.66,70000,20.385978
2015-10-21,20.389999,20.389999,20.219999,20.26,35800,19.991284
2015-10-20,20.17,20.540001,20.17,20.48,84300,20.208365
2015-10-19,20.440001,20.450001,20.219999,20.24,19400,19.971548
2015-10-16,20.68,20.780001,20.450001,20.58,51500,20.307039
2015-10-15,20.48,20.66,20.25,20.620001,87000,20.346509
2015-10-14,20.299999,20.57,20.18,20.549999,88200,20.277436
2015-10-13,20.440001,20.67,20.299999,20.41,49900,20.139294
2015-10-12,20.700001,20.700001,20.26,20.67,99300,20.395846
2015-10-09,20.870001,20.870001,20.50,20.790001,128700,20.514255
2015-10-08,20.370001,20.82,20.18,20.67,94300,20.395846
2015-10-07,20.549999,20.58,19.92,20.469999,124500,20.198497
2015-10-06,19.620001,20.440001,19.57,20.440001,233200,20.168897
2015-10-05,19.129999,19.60,19.129999,19.60,143700,19.340038
2015-10-02,18.190001,19.10,18.01,19.10,116600,18.846669
2015-10-01,18.24,18.690001,18.049999,18.690001,81100,18.442107
2015-09-30,17.91,18.290001,17.799999,18.16,121100,17.919136
2015-09-29,17.959999,18.15,17.75,17.84,76400,17.603381
2015-09-28,18.389999,18.389999,17.940001,17.969999,80600,17.731656
2015-09-25,18.799999,18.799999,18.42,18.57,61700,18.323698
2015-09-24,18.49,18.690001,18.27,18.639999,75500,18.39277
2015-09-23,18.940001,18.959999,18.530001,18.540001,22900,18.294097
2015-09-22,18.65,18.91,18.60,18.84,37600,18.590118
2015-09-21,18.99,19.110001,18.91,19.040001,39800,18.787466
2015-09-18,18.98,19.110001,18.77,18.84,45800,18.590118
2015-09-17,19.33,19.60,19.23,19.27,88600,19.014415
2015-09-16,18.98,19.48,18.98,19.379999,81000,19.122954
2015-09-15,18.690001,19.00,18.65,18.92,60400,18.669056
2015-09-14,18.77,18.77,18.57,18.700001,80500,18.451975
2015-09-11,18.91,18.950001,18.639999,18.82,50800,18.570382
2015-09-10,18.99,19.16,18.870001,19.10,36100,18.846669
2015-09-09,19.34,19.57,18.959999,19.00,60000,18.747995
2015-09-08,19.27,19.33,19.02,19.24,48300,18.984812
2015-09-04,19.059999,19.17,18.950001,19.049999,51900,18.797331
2015-09-03,19.41,19.75,19.23,19.40,62600,19.14269
2015-09-02,19.540001,19.540001,18.91,19.34,82900,19.083486
2015-09-01,19.290001,19.42,19.07,19.290001,115700,19.03415
2015-08-31,19.389999,19.91,19.16,19.82,69100,19.557119
2015-08-28,19.23,19.969999,19.23,19.68,90100,19.418977
2015-08-27,18.73,19.440001,18.73,19.440001,123900,19.18216
2015-08-26,18.299999,18.389999,18.00,18.32,105400,18.077014
2015-08-25,18.65,18.77,17.90,17.969999,162500,17.731656
2015-08-24,17.33,18.440001,17.219999,18.030001,215900,17.790861
2015-08-21,19.610001,19.67,19.02,19.02,164800,18.767731
2015-08-20,19.91,19.950001,19.700001,19.700001,115100,19.438712
2015-08-19,20.27,20.450001,19.90,19.959999,182300,19.695262
2015-08-18,20.48,20.48,20.290001,20.450001,60100,20.178764
2015-08-17,20.34,20.51,20.200001,20.48,59800,20.208365
2015-08-14,20.51,20.530001,20.40,20.50,61900,20.2281
2015-08-13,20.639999,20.690001,20.469999,20.49,51100,20.218233
2015-08-12,20.23,20.82,20.23,20.74,85600,20.464917
2015-08-11,20.209999,20.40,20.08,20.389999,84400,20.119559
2015-08-10,20.040001,20.549999,20.040001,20.540001,127300,20.267571
2015-08-07,20.17,20.299999,19.92,19.959999,56500,19.596587
2015-08-06,20.00,20.26,19.860001,20.190001,82900,19.822401
2015-08-05,20.209999,20.440001,19.950001,19.959999,72400,19.596587
2015-08-04,20.16,20.42,20.07,20.08,76200,19.714403
2015-08-03,20.290001,20.42,20.07,20.110001,65300,19.743858
2015-07-31,20.76,20.809999,20.41,20.48,93300,20.10712
2015-07-30,20.870001,21.02,20.74,20.809999,50500,20.431112
2015-07-29,20.52,20.91,20.51,20.870001,128400,20.49002
2015-07-28,20.120001,20.690001,20.10,20.559999,175500,20.185663
2015-07-27,20.41,20.450001,20.07,20.15,86800,19.783128
2015-07-24,20.870001,20.870001,20.41,20.51,74100,20.136574
2015-07-23,21.01,21.120001,20.75,20.870001,80900,20.49002
2015-07-22,21.00,21.07,20.91,20.92,107000,20.539109
2015-07-21,21.110001,21.23,20.99,21.02,160100,20.637289
2015-07-20,21.440001,21.440001,21.10,21.110001,99600,20.725651
2015-07-17,21.67,21.68,21.34,21.459999,115500,21.069277
2015-07-16,21.93,21.940001,21.700001,21.73,47800,21.334361
2015-07-15,22.23,22.24,21.74,21.74,91100,21.344179
2015-07-14,22.040001,22.290001,22.040001,22.23,46700,21.825258
2015-07-13,21.950001,22.15,21.91,22.09,70500,21.687807
2015-07-10,21.92,22.049999,21.84,21.969999,42100,21.569991
2015-07-09,21.77,21.99,21.690001,21.790001,60800,21.39327
2015-07-08,21.83,22.01,21.50,21.50,47600,21.108549
2015-07-07,21.799999,22.10,21.540001,21.969999,147600,21.569991
2015-07-06,21.959999,22.17,21.76,21.91,62400,21.511084
2015-07-02,22.26,22.40,22.190001,22.219999,65500,21.815439
2015-07-01,22.48,22.50,22.110001,22.18,36500,21.776169
2015-06-30,22.52,22.52,22.23,22.33,40400,21.923437
2015-06-29,22.469999,22.610001,22.25,22.25,61400,21.844894
2015-06-26,22.77,22.77,22.59,22.65,41600,22.237611
2015-06-25,22.91,23.23,22.73,22.76,55300,22.345609
2015-06-24,23.07,23.33,22.93,22.940001,69400,22.522332
2015-06-23,23.02,23.280001,22.98,23.16,64200,22.738325
2015-06-22,23.07,23.25,23.030001,23.08,52800,22.659782
2015-06-19,23.139999,23.26,22.950001,22.969999,35500,22.551784
2015-06-18,23.27,23.35,23.110001,23.200001,24700,22.777598
2015-06-17,23.25,23.50,23.110001,23.15,46600,22.728507
2015-06-16,22.959999,23.299999,22.959999,23.200001,24300,22.777598
2015-06-15,23.08,23.200001,22.84,23.02,53900,22.600875
2015-06-12,23.35,23.42,23.18,23.24,28200,22.816869
2015-06-11,23.549999,23.77,23.450001,23.50,64200,23.072135
2015-06-10,23.51,23.77,23.440001,23.58,63600,23.150679
2015-06-09,23.52,23.709999,23.25,23.290001,119000,22.86596
2015-06-08,23.700001,23.780001,23.35,23.370001,18700,22.944503
2015-06-05,23.76,23.99,23.65,23.75,45000,23.317583
2015-06-04,23.950001,24.01,23.60,23.610001,50700,23.180133
2015-06-03,24.120001,24.18,24.00,24.030001,16800,23.592486
2015-06-02,24.01,24.25,23.969999,24.129999,30400,23.690664
2015-06-01,24.07,24.08,23.860001,23.92,48800,23.484488
2015-05-29,24.059999,24.23,23.85,23.950001,33100,23.513943
2015-05-28,24.09,24.17,23.950001,24.07,34600,23.631757
2015-05-27,24.26,24.34,24.09,24.190001,64800,23.749573
2015-05-26,24.33,24.440001,24.129999,24.379999,87500,23.936112
2015-05-22,24.379999,24.58,24.370001,24.49,35100,24.04411
2015-05-21,24.360001,24.58,24.360001,24.57,47700,24.122653
2015-05-20,24.209999,24.360001,24.129999,24.290001,45100,23.847753
2015-05-19,24.290001,24.379999,24.01,24.16,63400,23.720118
2015-05-18,24.360001,24.450001,24.299999,24.35,40000,23.90666
2015-05-15,24.450001,24.48,24.360001,24.41,34600,23.965567
2015-05-14,24.68,24.68,24.50,24.530001,27300,24.083383
2015-05-13,24.60,24.639999,24.280001,24.51,35800,24.063746
2015-05-12,24.530001,24.58,24.42,24.51,36200,24.063746
2015-05-11,24.60,24.74,24.540001,24.559999,47000,24.112835
2015-05-08,24.790001,24.969999,24.459999,24.74,21900,24.19138
2015-05-07,24.82,24.82,24.51,24.629999,39100,24.083818
2015-05-06,25.049999,25.10,24.809999,24.90,71400,24.347831
2015-05-05,24.98,25.219999,24.82,24.860001,99300,24.308719
2015-05-04,24.860001,24.950001,24.860001,24.92,52200,24.367388
