Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.85,8.86,8.67,8.77,384600,8.445089
2015-12-30,8.85,8.90,8.81,8.89,191000,8.560643
2015-12-29,8.88,8.90,8.82,8.88,214900,8.551013
2015-12-28,8.94,8.94,8.82,8.84,190700,8.512495
2015-12-24,8.94,8.96,8.87,8.93,79200,8.599161
2015-12-23,8.92,8.98,8.91,8.94,139200,8.60879
2015-12-22,8.83,8.91,8.81,8.89,181200,8.560643
2015-12-21,8.88,8.92,8.82,8.87,166900,8.541383
2015-12-18,8.75,8.91,8.75,8.89,155000,8.560643
2015-12-17,8.78,8.85,8.75,8.80,225600,8.473977
2015-12-16,8.70,8.94,8.66,8.85,405800,8.454718
2015-12-15,8.58,8.74,8.58,8.70,324200,8.311417
2015-12-14,8.64,8.70,8.38,8.59,552000,8.206331
2015-12-11,8.79,8.83,8.61,8.71,635000,8.320971
2015-12-10,8.89,8.94,8.85,8.86,126400,8.464271
2015-12-09,8.85,8.94,8.85,8.91,193200,8.512038
2015-12-08,8.91,8.98,8.89,8.96,87600,8.483378
2015-12-07,9.00,9.01,8.92,8.99,207400,8.511782
2015-12-04,8.98,9.05,8.97,9.05,153000,8.56859
2015-12-03,9.06,9.08,9.00,9.01,206700,8.530718
2015-12-02,9.03,9.11,9.02,9.08,330600,8.596994
2015-12-01,9.30,9.30,9.02,9.05,178900,8.56859
2015-11-30,8.97,9.05,8.97,9.04,167400,8.559122
2015-11-27,8.99,9.03,8.99,9.02,51800,8.540186
2015-11-25,9.05,9.07,9.00,9.02,151300,8.540186
2015-11-24,8.97,9.08,8.93,9.06,214000,8.578059
2015-11-23,9.08,9.10,9.02,9.07,136500,8.587526
2015-11-20,9.11,9.15,9.05,9.08,240100,8.596994
2015-11-19,9.13,9.15,9.09,9.11,87300,8.625398
2015-11-18,9.06,9.27,9.02,9.13,192100,8.644335
2015-11-17,9.02,9.05,8.96,9.04,235300,8.559122
2015-11-16,8.96,8.98,8.89,8.98,162500,8.502313
2015-11-13,9.02,9.02,8.95,8.99,143000,8.511782
2015-11-12,9.01,9.07,8.99,9.02,143300,8.540186
2015-11-11,9.01,9.05,8.97,8.99,162500,8.511782
2015-11-10,9.03,9.11,9.01,9.01,127500,8.530718
2015-11-09,9.18,9.20,9.02,9.09,162500,8.606462
2015-11-06,9.32,9.35,9.20,9.25,183600,8.682207
2015-11-05,9.35,9.43,9.32,9.39,261900,8.813614
2015-11-04,9.31,9.34,9.29,9.34,102900,8.766683
2015-11-03,9.27,9.38,9.27,9.34,194400,8.766683
2015-11-02,9.35,9.37,9.22,9.31,178500,8.738525
2015-10-30,9.17,9.22,9.15,9.22,249300,8.654049
2015-10-29,9.22,9.22,9.13,9.17,174000,8.607118
2015-10-28,9.26,9.26,9.22,9.24,196300,8.672821
2015-10-27,9.19,9.26,9.19,9.24,306800,8.672821
2015-10-26,9.16,9.23,9.15,9.18,204800,8.616504
2015-10-23,9.16,9.17,9.12,9.17,265500,8.607118
2015-10-22,9.13,9.17,9.11,9.17,289100,8.607118
2015-10-21,9.04,9.12,9.02,9.09,254000,8.532029
2015-10-20,9.01,9.05,8.92,9.05,213200,8.494484
2015-10-19,9.00,9.02,8.99,9.02,95200,8.466326
2015-10-16,8.98,9.01,8.96,8.99,130800,8.438167
