Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,20.799999,20.799999,20.110001,20.389999,14800,19.885661
2015-12-30,20.85,20.98,20.08,20.33,100000,19.827145
2015-12-29,20.780001,20.90,20.610001,20.77,21500,20.256262
2015-12-28,20.969999,20.969999,20.870001,20.959999,13300,19.987088
2015-12-24,20.969999,21.23,20.620001,20.99,19700,20.015696
2015-12-23,20.690001,21.18,20.690001,20.98,17900,20.00616
2015-12-22,20.32,21.00,20.32,20.870001,31300,19.901267
2015-12-21,20.50,20.65,20.209999,20.43,11100,19.48169
2015-12-18,20.75,20.780001,20.209999,20.50,12800,19.548441
2015-12-17,20.90,21.00,20.309999,20.74,28200,19.7773
2015-12-16,20.51,21.18,20.51,20.799999,15100,19.834515
2015-12-15,21.690001,21.690001,20.559999,20.790001,30200,19.82498
2015-12-14,21.870001,21.950001,21.02,21.07,56800,20.091982
2015-12-11,22.059999,22.139999,21.52,21.700001,36400,20.69274
2015-12-10,21.700001,22.040001,21.68,22.01,41600,20.98835
2015-12-09,21.76,21.85,21.459999,21.68,24300,20.673668
2015-12-08,21.690001,21.73,21.209999,21.73,31700,20.721347
2015-12-07,21.809999,21.85,21.51,21.610001,14100,20.606918
2015-12-04,21.870001,21.879999,21.50,21.879999,37200,20.864384
2015-12-03,21.950001,22.10,21.440001,21.93,32600,20.912064
2015-12-02,22.00,22.15,21.860001,21.940001,14500,20.9216
2015-12-01,21.870001,21.99,21.85,21.85,16900,20.835777
2015-11-30,22.00,22.00,21.73,21.809999,12100,20.797633
2015-11-27,21.90,21.940001,21.790001,21.940001,11900,20.9216
2015-11-25,21.68,21.85,21.610001,21.709999,19400,20.702274
2015-11-24,21.190001,21.379999,21.040001,21.139999,25800,20.158733
2015-11-23,21.33,21.35,21.00,21.129999,16100,20.149197
2015-11-20,21.200001,21.200001,20.67,21.059999,42100,20.082446
2015-11-19,20.99,21.299999,20.60,20.77,40600,19.805908
2015-11-18,21.299999,21.299999,20.559999,20.75,37300,19.786836
2015-11-17,21.049999,21.450001,20.90,21.030001,34900,20.05384
2015-11-16,21.00,21.370001,20.90,21.110001,23000,20.130126
2015-11-13,21.200001,21.200001,20.85,21.10,33300,20.12059
2015-11-12,21.790001,21.790001,20.870001,21.18,36600,20.196877
2015-11-11,21.809999,21.82,21.50,21.51,23000,20.511559
2015-11-10,22.00,22.00,21.42,21.52,24200,20.521095
2015-11-09,21.950001,22.389999,21.700001,21.870001,40800,20.854849
2015-11-06,21.610001,21.940001,21.610001,21.90,18800,20.883456
2015-11-05,21.969999,21.969999,21.530001,21.83,32900,20.816705
2015-11-04,22.049999,22.049999,21.50,21.91,32800,20.892992
2015-11-03,21.48,22.07,21.48,21.940001,51300,20.9216
2015-11-02,21.49,22.15,21.299999,21.639999,35300,20.635524
2015-10-30,20.91,21.52,20.35,21.469999,55000,20.473415
2015-10-29,20.66,20.90,20.299999,20.860001,30900,19.891731
2015-10-28,20.58,20.690001,20.299999,20.629999,33900,19.672405
2015-10-27,20.530001,20.700001,20.16,20.49,46800,19.538905
2015-10-26,20.299999,20.75,20.299999,20.74,18100,19.7773
2015-10-23,20.65,20.790001,20.299999,20.74,31400,19.7773
2015-10-22,20.700001,20.75,20.09,20.389999,25700,19.443546
2015-10-21,20.15,20.65,20.10,20.48,31900,19.529368
2015-10-20,20.190001,20.280001,20.030001,20.15,14500,19.214686
2015-10-19,20.02,20.35,20.02,20.129999,16900,19.195614
2015-10-16,20.10,20.209999,19.809999,20.209999,15500,19.271901
2015-10-15,20.25,20.25,19.75,20.09,29100,19.157472
2015-10-14,20.09,20.27,19.620001,20.200001,38500,19.262367
2015-10-13,19.98,20.00,19.450001,19.879999,25800,18.957219
2015-10-12,20.190001,20.190001,19.66,19.85,22300,18.928612
2015-10-09,20.290001,20.290001,19.99,20.08,20000,19.147936
2015-10-08,20.290001,20.40,20.00,20.18,25900,19.243294
2015-10-07,20.639999,20.790001,19.92,20.450001,46200,19.500762
2015-10-06,19.60,20.51,19.549999,20.290001,26900,19.348189
2015-10-05,19.57,19.969999,19.40,19.950001,31800,19.023971
2015-10-02,19.41,19.969999,18.65,19.85,42300,18.928612
2015-10-01,20.25,20.25,19.52,19.60,35300,18.690217
2015-09-30,21.00,21.00,20.26,20.41,44400,19.462618
2015-09-29,22.629999,22.889999,19.969999,20.790001,187200,19.82498
2015-09-28,18.68,18.68,18.280001,18.42,17900,17.12062
2015-09-25,18.129999,18.65,18.129999,18.559999,9300,17.250744
2015-09-24,18.549999,18.549999,18.07,18.389999,8600,17.092736
2015-09-23,18.48,18.48,18.01,18.26,17500,16.971907
2015-09-22,18.00,18.370001,18.00,18.110001,9200,16.832489
2015-09-21,18.16,18.40,17.43,18.139999,17100,16.860371
2015-09-18,17.18,18.440001,17.18,18.09,10700,16.813899
2015-09-17,17.700001,18.57,17.50,17.59,56400,16.34917
2015-09-16,18.01,18.35,17.690001,17.91,45400,16.646596
2015-09-15,18.370001,18.50,17.75,18.15,16700,16.869666
2015-09-14,18.49,18.49,17.620001,18.10,30800,16.823194
2015-09-11,18.209999,18.700001,18.059999,18.309999,9100,17.018379
2015-09-10,17.690001,18.440001,17.530001,18.209999,26100,16.925433
2015-09-09,18.709999,18.940001,17.25,17.459999,48200,16.228339
2015-09-08,18.040001,18.440001,17.41,18.190001,28000,16.906845
2015-09-04,17.18,17.629999,16.52,17.35,37600,16.1261
2015-09-03,17.66,18.07,17.139999,17.68,14700,16.432821
2015-09-02,17.52,18.709999,16.74,17.65,96600,16.404937
2015-09-01,17.940001,17.940001,17.389999,17.51,12000,16.274813
2015-08-31,17.66,18.49,17.360001,18.02,21500,16.748837
2015-08-28,16.219999,17.709999,15.75,17.629999,21000,16.386347
2015-08-27,16.34,16.66,15.96,16.34,13700,15.187347
2015-08-26,15.77,16.620001,15.25,16.34,63400,15.187347
2015-08-25,16.48,16.48,14.33,15.80,62300,14.68544
2015-08-24,16.440001,17.17,14.94,16.16,298900,15.020044
2015-08-21,16.16,16.52,15.94,16.10,27800,14.964277
2015-08-20,16.469999,16.719999,16.02,16.59,28600,15.419712
2015-08-19,17.08,17.50,16.98,16.98,21300,15.7822
2015-08-18,16.17,17.360001,15.89,17.33,43600,16.107511
2015-08-17,17.26,17.49,16.10,16.870001,54500,15.679961
2015-08-14,17.780001,17.799999,17.01,17.66,32800,16.414232
2015-08-13,16.90,17.879999,16.780001,17.610001,24800,16.367759
2015-08-12,16.49,17.26,16.15,16.93,24000,15.735728
2015-08-11,15.36,16.58,15.01,16.49,62600,15.326766
2015-08-10,15.39,15.80,14.65,15.79,28600,14.676145
2015-08-07,14.53,14.99,14.53,14.98,33400,13.923283
2015-08-06,15.68,16.00,15.00,15.11,105000,14.044113
2015-08-05,16.059999,17.01,15.66,16.049999,42300,14.917803
2015-08-04,16.66,16.85,16.00,16.34,56500,15.187347
2015-08-03,17.049999,17.77,17.01,17.030001,22400,15.828674
2015-07-31,17.50,17.690001,16.690001,17.18,46900,15.968092
2015-07-30,17.940001,18.18,17.530001,17.74,54600,16.488588
2015-07-29,18.40,18.620001,18.09,18.110001,89700,16.832489
2015-07-28,18.110001,19.120001,17.450001,18.32,236800,17.027674
2015-07-27,18.65,18.66,17.809999,18.299999,32600,17.009084
2015-07-24,18.690001,19.200001,18.41,18.950001,124900,17.613234
2015-07-23,19.65,19.690001,18.67,18.870001,80400,17.538877
2015-07-22,19.629999,19.969999,19.48,19.52,32500,18.143025
2015-07-21,19.41,19.790001,19.389999,19.559999,32400,18.180202
2015-07-20,19.700001,19.75,19.32,19.469999,31200,18.096551
2015-07-17,19.360001,19.73,19.25,19.68,46300,18.291738
2015-07-16,19.940001,19.940001,19.25,19.65,38100,18.263853
2015-07-15,19.93,20.00,19.469999,19.700001,29800,18.310327
2015-07-14,19.77,20.299999,19.66,19.90,38400,18.496218
2015-07-13,19.09,19.74,19.01,19.67,37100,18.282443
2015-07-10,19.040001,19.049999,18.540001,18.83,15500,17.501698
2015-07-09,18.84,19.24,18.700001,18.85,35600,17.520287
2015-07-08,18.799999,19.25,18.73,19.10,77200,17.752652
2015-07-07,18.75,19.00,18.290001,19.00,89400,17.659706
2015-07-06,19.76,19.76,18.360001,18.60,65500,17.287923
2015-07-02,20.23,20.40,19.809999,19.82,12400,18.421861
