Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.90,18.07,17.799999,17.82,2140500,17.730551
2015-12-30,18.16,18.219999,17.93,17.98,2270600,17.889748
2015-12-29,18.219999,18.299999,17.870001,18.16,2995700,18.068845
2015-12-28,18.129999,18.190001,17.82,18.10,2596200,18.009147
2015-12-24,18.120001,18.379999,18.120001,18.219999,1446400,18.128543
2015-12-23,17.91,18.200001,17.77,18.129999,3305200,18.038995
2015-12-22,17.469999,17.92,17.389999,17.799999,5549100,17.710651
2015-12-21,17.530001,17.889999,17.469999,17.77,3618800,17.680803
2015-12-18,17.709999,17.74,17.27,17.33,11039600,17.243011
2015-12-17,18.10,18.17,17.67,17.75,5017300,17.660903
2015-12-16,17.610001,18.120001,17.50,18.02,7394200,17.929548
2015-12-15,17.290001,17.549999,17.15,17.389999,6369700,17.302709
2015-12-14,17.709999,17.73,17.08,17.18,7051800,17.093765
2015-12-11,17.82,17.889999,17.58,17.639999,4283000,17.551455
2015-12-10,18.120001,18.32,17.90,18.16,5134800,17.979297
2015-12-09,18.59,18.76,17.969999,18.02,7614500,17.840691
2015-12-08,19.10,19.25,18.68,18.780001,4466900,18.593129
2015-12-07,19.33,19.52,19.23,19.379999,3122900,19.187157
2015-12-04,19.01,19.459999,18.879999,19.42,4002800,19.22676
2015-12-03,19.200001,19.25,18.74,18.889999,5517100,18.702033
2015-12-02,19.66,19.700001,18.940001,19.08,6428600,18.890143
2015-12-01,19.549999,19.700001,19.34,19.65,3817700,19.454471
2015-11-30,19.709999,19.709999,19.42,19.48,3362800,19.286162
2015-11-27,19.76,19.799999,19.610001,19.66,2196100,19.464371
2015-11-25,19.51,19.809999,19.49,19.75,3926600,19.553476
2015-11-24,19.059999,19.60,19.01,19.51,4256500,19.315864
2015-11-23,19.129999,19.459999,19.10,19.25,3423000,19.058451
2015-11-20,19.17,19.360001,18.99,19.200001,2849900,19.00895
2015-11-19,18.91,19.200001,18.879999,19.08,3424600,18.890143
2015-11-18,18.360001,19.00,18.34,18.969999,5239200,18.781237
2015-11-17,18.450001,18.700001,18.34,18.41,4325200,18.22681
2015-11-16,17.67,18.49,17.65,18.440001,6206900,18.256512
2015-11-13,17.940001,18.10,17.67,17.709999,3596100,17.533774
2015-11-12,18.209999,18.23,17.83,17.92,4196000,17.741686
2015-11-11,18.219999,18.49,18.059999,18.43,5596600,18.246611
2015-11-10,17.559999,18.219999,17.52,18.190001,9125800,18.009
2015-11-09,17.93,17.93,17.290001,17.559999,6021800,17.385267
2015-11-06,17.98,18.190001,17.75,17.91,5819000,17.731785
