Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,40.529999,40.740002,40.27,40.400002,86400,40.400002
2015-12-30,41.310001,41.50,40.689999,40.720001,68600,40.720001
2015-12-29,41.00,41.529999,40.68,41.48,70900,41.48
2015-12-28,41.009998,41.009998,40.16,40.66,58300,40.66
2015-12-24,40.689999,41.720001,40.689999,41.25,46700,41.25
2015-12-23,40.82,40.919998,40.41,40.810001,60900,40.810001
2015-12-22,39.77,40.630001,39.41,40.360001,59000,40.360001
2015-12-21,39.549999,40.07,39.32,39.52,138000,39.52
2015-12-18,39.869999,39.869999,39.09,39.380001,309900,39.380001
2015-12-17,41.02,41.189999,40.139999,40.200001,142900,40.200001
2015-12-16,40.259998,41.240002,40.119999,40.950001,117300,40.950001
2015-12-15,38.830002,39.950001,38.830002,39.830002,92700,39.830002
2015-12-14,38.939999,39.150002,38.139999,38.380001,157700,38.380001
2015-12-11,40.639999,41.07,38.310001,38.799999,247800,38.799999
2015-12-10,41.07,42.34,40.889999,41.900002,138700,41.900002
2015-12-09,41.689999,42.32,41.00,41.16,205400,41.16
2015-12-08,41.669998,42.00,41.189999,41.709999,113300,41.709999
2015-12-07,42.639999,42.639999,41.84,42.139999,188600,42.139999
2015-12-04,42.080002,42.950001,41.619999,42.810001,137800,42.810001
2015-12-03,41.990002,42.490002,41.439999,41.830002,183300,41.830002
2015-12-02,42.029999,42.330002,41.639999,41.66,133600,41.66
2015-12-01,40.849998,42.209999,40.82,41.970001,134900,41.970001
2015-11-30,40.990002,41.18,40.450001,40.529999,197700,40.529999
2015-11-27,39.990002,40.740002,39.970001,40.700001,94600,40.700001
2015-11-25,39.470001,39.990002,39.330002,39.869999,114100,39.869999
2015-11-24,38.41,39.830002,38.41,39.48,124600,39.48
2015-11-23,39.02,39.869999,38.610001,38.619999,155100,38.619999
2015-11-20,38.450001,40.290001,38.450001,38.959999,185300,38.959999
2015-11-19,36.25,38.639999,36.110001,38.189999,314500,38.189999
2015-11-18,34.950001,35.849998,34.32,35.790001,344300,35.790001
2015-11-17,36.349998,36.349998,34.34,34.529999,179100,34.529999
2015-11-16,36.209999,36.669998,35.200001,35.860001,116000,35.860001
2015-11-13,35.349998,36.470001,35.240002,36.310001,143600,36.310001
2015-11-12,35.41,35.709999,34.759998,35.450001,80600,35.450001
2015-11-11,36.029999,36.150002,35.32,35.689999,58700,35.689999
2015-11-10,37.700001,37.700001,35.700001,35.779999,131700,35.779999
2015-11-09,38.16,38.400002,37.889999,37.889999,299300,37.889999
2015-11-06,37.779999,38.50,37.09,38.139999,121700,38.139999
2015-11-05,37.34,37.400002,36.619999,37.369999,77500,37.369999
2015-11-04,37.25,37.790001,37.07,37.369999,124000,37.369999
2015-11-03,36.950001,37.619999,36.709999,37.209999,127100,37.209999
2015-11-02,35.77,37.59,35.720001,37.189999,227200,37.189999
2015-10-30,34.790001,36.189999,34.75,35.57,301800,35.57
2015-10-29,38.540001,38.540001,33.279999,34.400002,606800,34.400002
2015-10-28,36.700001,38.889999,36.700001,38.849998,185200,38.849998
2015-10-27,37.299999,37.299999,36.470001,36.700001,99700,36.700001
2015-10-26,37.310001,37.580002,37.209999,37.549999,50700,37.549999
2015-10-23,36.700001,37.700001,36.299999,37.459999,90700,37.459999
2015-10-22,36.259998,37.240002,36.130001,36.23,124900,36.23
2015-10-21,37.630001,37.630001,35.98,36.009998,55400,36.009998
2015-10-20,37.889999,38.00,37.34,37.549999,63900,37.549999
2015-10-19,37.57,38.68,37.549999,37.84,171900,37.84
2015-10-16,37.52,38.169998,37.029999,37.950001,109500,37.950001
2015-10-15,35.59,37.50,35.540001,37.369999,95200,37.369999
2015-10-14,36.209999,36.310001,35.099998,35.32,90700,35.32
2015-10-13,35.740002,36.50,35.740002,36.279999,86000,36.279999
2015-10-12,36.310001,36.630001,35.439999,35.959999,93400,35.959999
2015-10-09,37.43,37.439999,36.34,36.66,112900,36.66
2015-10-08,37.419998,37.689999,37.060001,37.27,128700,37.27
2015-10-07,36.029999,38.07,36.029999,37.759998,201200,37.759998
2015-10-06,36.049999,36.139999,35.360001,36.02,127500,36.02
2015-10-05,35.130001,36.220001,35.130001,36.099998,132700,36.099998
2015-10-02,33.970001,34.830002,33.169998,34.82,105800,34.82
2015-10-01,36.009998,36.07,34.27,34.68,211500,34.68
2015-09-30,37.029999,37.080002,35.91,36.169998,149300,36.169998
2015-09-29,36.299999,36.82,35.860001,36.709999,149400,36.709999
2015-09-28,37.119999,37.119999,36.09,36.279999,140400,36.279999
2015-09-25,37.259998,37.709999,36.779999,37.389999,65300,37.389999
2015-09-24,36.799999,36.919998,36.25,36.77,166200,36.77
2015-09-23,37.200001,37.540001,36.599998,37.009998,85900,37.009998
2015-09-22,37.389999,38.389999,36.970001,37.189999,160800,37.189999
2015-09-21,37.490002,38.560001,37.490002,37.689999,128700,37.689999
2015-09-18,37.73,38.189999,37.049999,37.150002,186600,37.150002
2015-09-17,38.580002,39.25,38.27,38.419998,92800,38.419998
2015-09-16,38.029999,38.970001,38.029999,38.73,74900,38.73
2015-09-15,37.259998,38.189999,37.110001,38.060001,70700,38.060001
2015-09-14,38.060001,38.060001,37.240002,37.240002,68600,37.240002
2015-09-11,38.00,38.220001,37.57,38.07,47000,38.07
2015-09-10,37.91,38.73,37.77,38.290001,48800,38.290001
2015-09-09,38.950001,39.110001,37.869999,38.049999,109800,38.049999
2015-09-08,38.18,38.580002,37.77,38.459999,131600,38.459999
2015-09-04,38.209999,38.299999,37.360001,37.669998,66900,37.669998
