Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.57,15.58,15.45,15.45,50400,15.136789
2015-12-30,15.39,15.51,15.39,15.48,44800,15.16618
2015-12-29,15.41,15.46,15.31,15.43,55700,15.117195
2015-12-28,15.37,15.40,15.27,15.37,44400,15.058411
2015-12-24,15.33,15.36,15.27,15.32,20300,15.009424
2015-12-23,15.28,15.49,15.25,15.30,73900,14.98983
2015-12-22,15.20,15.28,15.20,15.26,74900,14.950641
2015-12-21,15.14,15.35,15.12,15.20,33600,14.891857
2015-12-18,15.10,15.20,15.05,15.15,55600,14.84287
2015-12-17,14.89,15.10,14.85,15.09,61600,14.784087
2015-12-16,14.83,14.90,14.75,14.89,54100,14.588142
2015-12-15,14.58,14.96,14.58,14.78,139100,14.480371
2015-12-14,15.34,15.34,14.76,14.76,152200,14.460777
2015-12-11,15.33,15.46,15.25,15.31,95000,14.999628
2015-12-10,15.24,15.37,15.20,15.29,50000,14.980033
2015-12-09,15.19,15.25,15.14,15.20,64600,14.891857
2015-12-08,15.11,15.30,15.11,15.30,48900,14.910472
2015-12-07,15.20,15.24,15.14,15.19,44400,14.803272
2015-12-04,15.06,15.19,15.06,15.17,21800,14.783782
2015-12-03,15.18,15.18,15.02,15.05,70100,14.666837
2015-12-02,15.19,15.24,15.19,15.20,32700,14.813018
2015-12-01,15.11,15.25,15.09,15.25,59700,14.861745
2015-11-30,15.00,15.09,14.98,15.06,68300,14.676583
2015-11-27,15.06,15.06,15.02,15.04,9600,14.657091
2015-11-25,14.97,15.06,14.97,15.05,33600,14.666837
2015-11-24,14.91,14.98,14.88,14.93,31000,14.549892
2015-11-23,14.83,14.97,14.83,14.96,23400,14.579128
2015-11-20,14.81,14.88,14.81,14.85,13600,14.471929
2015-11-19,14.83,14.93,14.83,14.84,21000,14.462183
2015-11-18,14.80,14.88,14.80,14.84,15300,14.462183
2015-11-17,14.86,14.88,14.79,14.80,35400,14.423202
2015-11-16,14.86,14.91,14.80,14.87,54900,14.491419
2015-11-13,14.71,14.85,14.69,14.76,38600,14.38422
2015-11-12,14.71,14.78,14.64,14.75,40900,14.374475
2015-11-11,14.63,14.71,14.57,14.71,24200,14.335493
2015-11-10,14.73,14.76,14.54,14.57,103300,14.199057
2015-11-09,14.74,14.76,14.51,14.73,138300,14.354983
2015-11-06,14.98,14.98,14.75,14.88,129700,14.422227
2015-11-05,15.08,15.10,15.03,15.04,26100,14.577304
2015-11-04,14.97,15.08,14.97,15.07,36300,14.606381
2015-11-03,14.96,15.09,14.96,15.02,83400,14.55792
2015-11-02,15.00,15.00,14.96,15.00,56800,14.538535
2015-10-30,15.00,15.00,14.91,15.00,22800,14.538535
2015-10-29,14.90,15.00,14.85,14.94,53900,14.48038
2015-10-28,14.84,14.95,14.84,14.92,42300,14.460996
2015-10-27,14.83,14.88,14.80,14.88,32500,14.422227
2015-10-26,14.88,14.88,14.80,14.84,54600,14.383457
2015-10-23,14.88,14.88,14.84,14.88,37100,14.422227
2015-10-22,14.82,14.88,14.82,14.86,58300,14.402842
2015-10-21,14.75,14.88,14.75,14.82,49800,14.364072
2015-10-20,14.70,14.77,14.68,14.77,22400,14.315611
2015-10-19,14.74,14.79,14.68,14.73,31200,14.276841
2015-10-16,14.77,14.77,14.70,14.72,27800,14.267149
2015-10-15,14.73,14.79,14.67,14.79,25700,14.334995
2015-10-14,14.67,14.71,14.66,14.68,19700,14.22838
2015-10-13,14.66,14.70,14.60,14.66,17500,14.208995
2015-10-12,14.63,14.69,14.58,14.65,13900,14.199302
2015-10-09,14.72,14.72,14.53,14.69,244000,14.238071
2015-10-08,14.55,14.58,14.51,14.55,36300,14.102379
2015-10-07,14.63,14.63,14.57,14.60,23400,14.150841
2015-10-06,14.62,14.70,14.61,14.67,39400,14.140179
2015-10-05,14.66,14.66,14.54,14.58,89400,14.053429
2015-10-02,14.40,14.58,14.38,14.54,49000,14.014874
2015-10-01,14.36,14.41,14.33,14.41,19100,13.889569
2015-09-30,14.33,14.35,14.27,14.35,28100,13.831737
2015-09-29,14.32,14.44,14.30,14.30,38600,13.783542
2015-09-28,14.37,14.40,14.34,14.37,41400,13.851014
2015-09-25,14.30,14.39,14.27,14.32,58200,13.802819
2015-09-24,14.33,14.34,14.27,14.31,51600,13.793181
2015-09-23,14.49,14.49,14.31,14.32,33900,13.802819
2015-09-22,14.34,14.44,14.34,14.38,42800,13.860653
2015-09-21,14.34,14.42,14.31,14.38,40500,13.860653
2015-09-18,14.13,14.32,14.10,14.30,33500,13.783542
2015-09-17,13.90,14.23,13.90,14.19,55500,13.677514
2015-09-16,13.96,14.05,13.93,13.99,29000,13.484738
2015-09-15,13.94,14.00,13.94,13.96,25900,13.455821
2015-09-14,14.18,14.21,13.97,13.97,38800,13.465461
2015-09-11,14.21,14.24,14.15,14.19,22800,13.677514
2015-09-10,14.32,14.34,14.23,14.23,49600,13.71607
2015-09-09,14.32,14.37,14.26,14.32,17900,13.802819
2015-09-08,14.26,14.46,14.24,14.39,80000,13.792217
2015-09-04,14.28,14.34,14.25,14.31,26200,13.71554
2015-09-03,14.20,14.30,14.20,14.30,15100,13.705956
2015-09-02,14.18,14.26,14.00,14.23,42700,13.638863
2015-09-01,14.21,14.28,14.01,14.06,65600,13.475926
2015-08-31,14.07,14.21,14.07,14.21,21800,13.619694
2015-08-28,14.21,14.21,13.94,14.10,19200,13.514264
2015-08-27,13.90,14.06,13.84,13.96,122100,13.38008
2015-08-26,13.85,13.89,13.80,13.88,50000,13.303403
2015-08-25,13.85,13.90,13.79,13.87,45100,13.293818
2015-08-24,13.80,13.84,13.66,13.81,130300,13.236311
2015-08-21,13.98,14.05,13.93,13.94,48200,13.36091
2015-08-20,14.00,14.03,13.97,13.97,27000,13.389664
2015-08-19,13.96,14.02,13.96,13.99,35100,13.408833
2015-08-18,14.05,14.05,13.96,13.98,29500,13.399248
2015-08-17,14.13,14.15,14.05,14.08,27900,13.495095
2015-08-14,14.15,14.15,14.09,14.13,40700,13.543018
2015-08-13,14.14,14.17,14.05,14.15,31100,13.562186
2015-08-12,14.10,14.12,14.09,14.10,23100,13.514264
2015-08-11,14.02,14.13,14.00,14.10,37800,13.514264
2015-08-10,14.00,14.04,13.97,14.01,44100,13.350368
2015-08-07,13.86,14.09,13.85,14.08,75600,13.417072
2015-08-06,13.92,13.92,13.84,13.89,28900,13.236018
2015-08-05,14.08,14.08,13.75,13.90,84800,13.245546
2015-08-04,14.21,14.21,14.01,14.08,60900,13.417072
2015-08-03,14.04,14.17,14.00,14.14,57900,13.474247
2015-07-31,13.91,14.03,13.88,14.03,73600,13.369426
2015-07-30,13.78,13.90,13.78,13.89,27600,13.236018
2015-07-29,13.73,13.83,13.73,13.80,33500,13.150255
2015-07-28,13.65,13.73,13.65,13.69,56000,13.045434
2015-07-27,13.78,13.79,13.67,13.69,57500,13.045434
2015-07-24,13.83,13.87,13.81,13.81,23900,13.159785
2015-07-23,13.88,13.88,13.79,13.84,64400,13.188372
2015-07-22,13.85,13.89,13.85,13.87,14300,13.216959
2015-07-21,13.89,13.90,13.80,13.86,30500,13.20743
2015-07-20,13.85,13.87,13.85,13.86,15400,13.20743
2015-07-17,14.02,14.02,13.80,13.84,70900,13.188372
2015-07-16,13.92,14.02,13.91,14.01,44600,13.350368
2015-07-15,13.94,13.95,13.90,13.94,28300,13.283663
2015-07-14,13.93,13.99,13.85,13.99,78000,13.331309
2015-07-13,13.99,13.99,13.92,13.93,23900,13.274135
2015-07-10,13.96,14.01,13.93,14.01,27700,13.350368
2015-07-09,14.05,14.05,13.95,13.99,33500,13.331309
2015-07-08,14.08,14.15,14.04,14.15,12100,13.40659
2015-07-07,13.91,14.09,13.91,14.06,54000,13.321319
2015-07-06,13.83,13.91,13.83,13.89,19600,13.16025
2015-07-02,13.80,13.85,13.80,13.85,42100,13.122352
2015-07-01,13.80,13.80,13.74,13.80,43700,13.074979
2015-06-30,13.66,13.76,13.65,13.76,74300,13.03708
2015-06-29,13.81,13.81,13.67,13.71,104700,12.989707
2015-06-26,13.78,13.82,13.70,13.81,37400,13.084453
2015-06-25,13.79,13.86,13.75,13.78,43000,13.056029
2015-06-24,13.84,13.87,13.80,13.83,46800,13.103402
2015-06-23,13.81,13.89,13.80,13.89,46200,13.16025
2015-06-22,13.83,13.87,13.80,13.84,71700,13.112877
2015-06-19,13.91,13.94,13.85,13.86,61500,13.131826
2015-06-18,14.03,14.03,13.87,13.93,43300,13.198149
2015-06-17,14.08,14.08,13.95,14.07,46200,13.330793
2015-06-16,14.08,14.08,14.01,14.02,14300,13.28342
2015-06-15,13.90,14.04,13.89,14.03,47500,13.292894
2015-06-12,13.74,13.91,13.74,13.88,44400,13.150775
2015-06-11,13.66,13.79,13.65,13.73,60200,13.008656
2015-06-10,13.75,13.91,13.62,13.65,90900,12.932859
2015-06-09,13.95,13.95,13.61,13.85,217600,13.122352
2015-06-08,14.16,14.35,13.70,13.99,301200,13.178251
2015-06-05,14.41,14.43,14.30,14.37,94700,13.536202
2015-06-04,14.54,14.54,14.41,14.50,127000,13.658659
2015-06-03,14.71,14.71,14.60,14.64,53600,13.790536
2015-06-02,14.77,14.79,14.69,14.73,46700,13.875313
2015-06-01,14.72,14.81,14.71,14.80,43600,13.941252
2015-05-29,14.53,14.69,14.53,14.68,38200,13.828215
2015-05-28,14.57,14.60,14.52,14.52,44000,13.677499
2015-05-27,14.56,14.60,14.53,14.53,50400,13.686918
2015-05-26,14.57,14.62,14.52,14.53,28700,13.686918
2015-05-22,14.60,14.62,14.57,14.59,23000,13.743437
2015-05-21,14.63,14.72,14.63,14.64,28100,13.790536
2015-05-20,14.63,14.68,14.61,14.63,27200,13.781116
2015-05-19,14.67,14.70,14.63,14.65,45700,13.799955
2015-05-18,14.95,14.95,14.66,14.70,64600,13.847054
2015-05-15,14.79,14.99,14.76,14.92,49300,14.054289
2015-05-14,14.67,14.78,14.66,14.76,36000,13.903573
2015-05-13,14.70,14.88,14.65,14.67,53900,13.818795
2015-05-12,14.58,14.71,14.43,14.63,201000,13.781116
2015-05-11,14.97,14.97,14.73,14.78,95500,13.922412
2015-05-08,14.75,14.93,14.75,14.93,44800,14.063709
2015-05-07,14.86,14.89,14.55,14.69,264400,13.837634
2015-05-06,15.36,15.37,14.84,14.92,218700,13.97799
2015-05-05,15.40,15.43,15.26,15.31,62300,14.343367
2015-05-04,15.38,15.43,15.35,15.37,43700,14.399578
2015-05-01,15.45,15.46,15.34,15.40,43800,14.427683
2015-04-30,15.47,15.47,15.31,15.38,81900,14.408947
2015-04-29,15.40,15.50,15.40,15.50,18900,14.52137
2015-04-28,15.53,15.53,15.37,15.41,84200,14.437052
2015-04-27,15.52,15.59,15.48,15.49,42800,14.512001
2015-04-24,15.51,15.53,15.48,15.48,42700,14.502632
2015-04-23,15.67,15.67,15.50,15.53,76600,14.549476
2015-04-22,15.68,15.68,15.62,15.63,39800,14.643162
2015-04-21,15.67,15.70,15.63,15.64,51300,14.652531
2015-04-20,15.58,15.69,15.58,15.65,27800,14.661899
2015-04-17,15.59,15.60,15.56,15.58,38600,14.596319
2015-04-16,15.62,15.62,15.55,15.57,49800,14.58695
2015-04-15,15.60,15.64,15.55,15.60,61500,14.615057
2015-04-14,15.55,15.64,15.48,15.62,61200,14.633794
2015-04-13,15.50,15.57,15.42,15.52,55200,14.540108
2015-04-10,15.49,15.63,15.47,15.54,46500,14.558845
2015-04-09,15.60,15.62,15.46,15.54,86600,14.558845
2015-04-08,15.56,15.68,15.52,15.66,87800,14.595382
2015-04-07,15.65,15.65,15.56,15.62,64300,14.558101
2015-04-06,15.58,15.64,15.55,15.64,58200,14.576742
2015-04-02,15.58,15.59,15.46,15.54,82800,14.48354
2015-04-01,15.45,15.62,15.41,15.55,70700,14.49286
2015-03-31,15.22,15.41,15.19,15.38,54800,14.334417
2015-03-30,15.30,15.30,15.23,15.29,29400,14.250536
2015-03-27,15.13,15.30,15.07,15.29,27400,14.250536
2015-03-26,15.14,15.14,15.05,15.07,30000,14.045492
2015-03-25,15.34,15.34,15.03,15.12,138000,14.092093
2015-03-24,15.24,15.30,15.16,15.30,40800,14.259856
2015-03-23,15.24,15.31,15.22,15.29,45600,14.250536
2015-03-20,15.12,15.23,15.11,15.23,22500,14.194614
2015-03-19,15.12,15.20,15.05,15.15,58100,14.120053
2015-03-18,14.96,15.22,14.95,15.22,112400,14.185295
2015-03-17,14.88,14.96,14.87,14.93,59800,13.91501
2015-03-16,14.97,14.98,14.83,14.84,58300,13.831128
2015-03-13,15.03,15.07,14.82,14.96,109600,13.94297
2015-03-12,15.01,15.10,15.01,15.06,39600,14.036172
2015-03-11,15.01,15.01,14.91,14.93,61500,13.91501
2015-03-10,15.14,15.14,14.97,15.00,73100,13.980251
2015-03-09,15.06,15.21,15.06,15.19,60200,14.08184
2015-03-06,15.28,15.28,15.02,15.08,122100,13.979865
2015-03-05,15.38,15.40,15.34,15.37,45100,14.248709
2015-03-04,15.27,15.35,15.27,15.34,62200,14.220898
2015-03-03,15.22,15.31,15.22,15.29,42000,14.174545
2015-03-02,15.30,15.37,15.22,15.26,81900,14.146734
2015-02-27,15.28,15.35,15.20,15.35,49700,14.230168
2015-02-26,15.28,15.28,15.17,15.25,58900,14.137463
2015-02-25,15.13,15.25,15.13,15.24,70300,14.128193
2015-02-24,15.05,15.05,14.98,15.04,56200,13.942783
2015-02-23,15.04,15.13,14.96,15.02,80200,13.924243
2015-02-20,14.95,15.03,14.92,14.98,63600,13.88716
2015-02-19,14.76,14.99,14.76,14.91,84700,13.822267
2015-02-18,14.66,14.89,14.62,14.83,100400,13.748104
2015-02-17,15.09,15.10,14.66,14.73,256200,13.655399
2015-02-13,15.08,15.10,15.01,15.01,83500,13.914972
2015-02-12,15.03,15.07,15.02,15.05,44200,13.952054
2015-02-11,15.04,15.08,15.02,15.02,59800,13.924243
2015-02-10,15.03,15.10,15.01,15.09,67700,13.989136
2015-02-09,15.29,15.29,15.16,15.16,95800,13.978938
2015-02-06,15.32,15.32,15.09,15.18,92400,13.997381
2015-02-05,15.21,15.39,15.03,15.30,245900,14.108032
2015-02-04,15.43,15.52,15.19,15.23,295800,14.043485
2015-02-03,15.97,15.98,15.53,15.53,219300,14.320113
2015-02-02,15.94,16.059999,15.86,15.98,248000,14.735055
2015-01-30,15.65,15.80,15.60,15.77,115700,14.541416
2015-01-29,15.65,15.65,15.53,15.62,93100,14.403101
2015-01-28,15.45,15.62,15.41,15.58,150500,14.366218
2015-01-27,15.17,15.41,15.07,15.41,125900,14.209462
2015-01-26,14.93,15.16,14.93,15.09,138200,13.914392
2015-01-23,14.99,15.09,14.85,14.87,368600,13.711531
2015-01-22,14.87,15.00,14.85,14.90,262600,13.739194
2015-01-21,14.87,15.01,14.76,14.85,355400,13.69309
2015-01-20,14.78,14.94,14.73,14.77,367000,13.619322
2015-01-16,14.60,14.60,14.50,14.52,38300,13.388799
2015-01-15,14.53,14.62,14.53,14.57,86300,13.434903
2015-01-14,14.55,14.62,14.50,14.58,62600,13.444124
2015-01-13,14.55,14.55,14.50,14.51,17300,13.379578
2015-01-12,14.43,14.55,14.42,14.53,48200,13.398019
2015-01-09,14.41,14.48,14.40,14.41,45900,13.287368
2015-01-08,14.45,14.47,14.27,14.40,62400,13.278147
2015-01-07,14.50,14.60,14.36,14.46,123800,13.258783
2015-01-06,14.44,14.48,14.40,14.48,69600,13.277121
2015-01-05,14.42,14.43,14.35,14.42,64400,13.222106
2015-01-02,14.31,14.44,14.29,14.41,57100,13.212937
2014-12-31,14.32,14.37,14.25,14.33,85500,13.139582
2014-12-30,14.18,14.40,14.09,14.38,53000,13.185429
2014-12-29,14.11,14.18,14.07,14.18,72000,13.002043
2014-12-26,14.09,14.15,14.09,14.14,27000,12.965366
2014-12-24,14.12,14.13,14.10,14.12,34900,12.947027
2014-12-23,14.11,14.14,14.09,14.11,37700,12.937858
2014-12-22,14.07,14.15,14.07,14.10,47300,12.928689
2014-12-19,14.16,14.20,14.08,14.08,79500,12.91035
2014-12-18,14.14,14.20,14.13,14.20,27200,13.020382
2014-12-17,14.17,14.21,14.11,14.15,38500,12.974535
2014-12-16,14.22,14.23,14.07,14.14,62900,12.965366
2014-12-15,14.25,14.29,14.13,14.19,76300,13.011212
2014-12-12,14.25,14.27,14.22,14.25,32700,13.066228
2014-12-11,14.27,14.33,14.22,14.26,32100,13.075398
2014-12-10,14.30,14.30,14.25,14.27,33800,13.084567
2014-12-09,14.19,14.27,14.15,14.27,57900,13.084567
2014-12-08,14.30,14.35,14.28,14.31,63200,13.046973
2014-12-05,14.40,14.40,14.21,14.36,110700,13.09256
2014-12-04,14.39,14.40,14.35,14.40,60500,13.129029
2014-12-03,14.45,14.46,14.38,14.38,37300,13.110795
2014-12-02,14.40,14.45,14.36,14.43,51800,13.156382
2014-12-01,14.43,14.44,14.32,14.36,110000,13.09256
2014-11-28,14.31,14.38,14.23,14.33,72600,13.065208
2014-11-26,14.19,14.31,14.17,14.29,67400,13.028738
