Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,11.56,11.62,11.51,11.51,97300,11.273559
2015-12-30,11.52,11.55,11.48,11.55,46900,11.312738
2015-12-29,11.55,11.55,11.45,11.49,46600,11.25397
2015-12-28,11.50,11.56,11.46,11.54,80200,11.302943
2015-12-24,11.44,11.51,11.44,11.48,50500,11.244175
2015-12-23,11.46,11.55,11.44,11.45,49900,11.214792
2015-12-22,11.54,11.57,11.45,11.46,42000,11.224586
2015-12-21,11.54,11.57,11.49,11.52,81600,11.283354
2015-12-18,11.40,11.54,11.37,11.51,121600,11.273559
2015-12-17,11.25,11.38,11.25,11.37,63200,11.136435
2015-12-16,11.18,11.29,11.17,11.27,91200,11.03849
2015-12-15,11.14,11.26,11.12,11.23,88800,10.999311
2015-12-14,11.36,11.36,11.15,11.16,122800,10.930749
2015-12-11,11.47,11.50,11.34,11.34,66800,11.107052
2015-12-10,11.45,11.46,11.40,11.44,63400,11.204997
2015-12-09,11.51,11.51,11.41,11.47,56400,11.234381
2015-12-08,11.40,11.56,11.37,11.53,87900,11.232422
2015-12-07,11.30,11.40,11.30,11.38,86800,11.086294
2015-12-04,11.29,11.42,11.28,11.35,82700,11.057068
2015-12-03,11.43,11.44,11.26,11.27,82000,10.979133
2015-12-02,11.48,11.49,11.43,11.45,43200,11.154487
2015-12-01,11.42,11.50,11.39,11.47,116700,11.173971
2015-11-30,11.32,11.39,11.31,11.39,40500,11.096036
2015-11-27,11.36,11.36,11.28,11.32,15600,11.027842
2015-11-25,11.39,11.39,11.30,11.34,49500,11.047326
2015-11-24,11.39,11.39,11.35,11.38,24600,11.086294
2015-11-23,11.31,11.40,11.29,11.37,72700,11.076552
2015-11-20,11.31,11.34,11.27,11.31,44600,11.018101
2015-11-19,11.30,11.33,11.25,11.29,43600,10.998616
2015-11-18,11.24,11.32,11.24,11.30,38200,11.008359
2015-11-17,11.24,11.28,11.20,11.21,57600,10.920681
2015-11-16,11.24,11.29,11.23,11.29,43100,10.998616
2015-11-13,11.22,11.31,11.16,11.21,65600,10.920681
2015-11-12,11.13,11.21,11.13,11.18,55700,10.891456
2015-11-11,11.09,11.17,11.04,11.13,31500,10.842746
2015-11-10,11.06,11.11,11.02,11.06,79600,10.774553
2015-11-09,11.13,11.13,10.96,11.05,121100,10.764811
2015-11-06,11.24,11.27,11.15,11.20,149900,10.850539
2015-11-05,11.38,11.40,11.26,11.29,48900,10.937731
2015-11-04,11.45,11.45,11.33,11.34,70200,10.986171
2015-11-03,11.45,11.46,11.41,11.41,90100,11.053987
