Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.25,22.440001,21.83,22.09,942400,22.09
2015-12-30,22.370001,22.719999,22.27,22.32,692900,22.32
2015-12-29,22.51,22.780001,22.129999,22.50,796200,22.50
2015-12-28,22.40,22.58,22.219999,22.530001,632400,22.530001
2015-12-24,22.549999,22.799999,22.459999,22.49,438000,22.49
2015-12-23,22.42,22.690001,22.209999,22.530001,1534500,22.530001
2015-12-22,21.82,22.379999,21.60,22.309999,1294900,22.309999
2015-12-21,21.389999,21.950001,21.23,21.92,1369900,21.92
2015-12-18,20.98,21.35,20.93,21.32,2338400,21.32
2015-12-17,20.940001,21.450001,20.77,21.16,1590100,21.16
2015-12-16,21.389999,21.66,20.76,21.17,2034300,21.17
2015-12-15,21.34,21.65,21.25,21.43,1342800,21.43
2015-12-14,21.42,21.690001,20.99,21.16,1366400,21.16
2015-12-11,22.469999,22.52,21.299999,21.49,2224900,21.49
2015-12-10,22.209999,22.84,22.209999,22.60,2460400,22.60
2015-12-09,22.379999,22.870001,22.200001,22.68,2746900,22.68
2015-12-08,21.870001,22.540001,21.57,22.51,3273200,22.51
2015-12-07,21.93,22.280001,21.709999,21.950001,3409900,21.950001
2015-12-04,21.950001,22.440001,21.91,22.040001,2409700,22.040001
2015-12-03,21.00,22.120001,21.00,22.10,3444200,22.10
2015-12-02,21.08,21.25,20.74,20.860001,3683700,20.860001
2015-12-01,21.450001,21.60,21.139999,21.23,1960800,21.23
2015-11-30,21.00,21.57,20.879999,21.530001,1751500,21.530001
2015-11-27,20.950001,21.07,20.83,21.01,545100,21.01
2015-11-25,20.450001,21.120001,20.360001,21.059999,1269300,21.059999
2015-11-24,20.43,20.73,20.10,20.530001,1709700,20.530001
2015-11-23,19.34,20.860001,19.16,20.40,1827200,20.40
2015-11-20,19.299999,19.299999,19.00,19.15,1564100,19.15
2015-11-19,19.51,19.51,19.10,19.27,938400,19.27
2015-11-18,19.219999,19.58,19.08,19.51,1079700,19.51
2015-11-17,19.200001,19.959999,18.969999,19.07,1755900,19.07
2015-11-16,18.93,19.139999,18.74,19.120001,1826800,19.120001
2015-11-13,18.76,18.83,18.559999,18.67,2960500,18.67
2015-11-12,19.700001,19.83,18.780001,18.889999,2962000,18.889999
2015-11-11,20.129999,20.190001,19.75,19.90,1175400,19.90
2015-11-10,19.879999,20.23,19.719999,20.190001,1689300,20.190001
2015-11-09,20.120001,20.389999,19.870001,19.99,1230300,19.99
2015-11-06,20.27,20.75,19.26,20.209999,1857600,20.209999
2015-11-05,20.030001,20.809999,19.940001,20.73,1660200,20.73
2015-11-04,19.870001,20.459999,19.82,20.09,2609800,20.09
2015-11-03,19.15,19.66,18.98,19.58,3028300,19.58
2015-11-02,18.92,19.27,18.42,19.209999,1767500,19.209999
2015-10-30,18.959999,19.950001,18.52,18.99,2301800,18.99
2015-10-29,18.10,18.83,17.389999,18.57,3043500,18.57
2015-10-28,19.40,19.780001,19.209999,19.379999,1487800,19.379999
2015-10-27,19.23,19.440001,19.049999,19.33,1249300,19.33
2015-10-26,19.700001,19.85,19.26,19.34,808700,19.34
2015-10-23,19.719999,19.85,19.57,19.709999,1214200,19.709999
2015-10-22,19.139999,19.77,19.01,19.66,1073200,19.66
2015-10-21,19.139999,19.33,18.969999,19.15,1361600,19.15
2015-10-20,18.84,19.129999,18.60,19.02,1305000,19.02
2015-10-19,19.040001,19.219999,18.540001,18.629999,980800,18.629999
2015-10-16,18.10,19.07,17.950001,19.00,2753200,19.00
2015-10-15,18.74,19.00,18.00,18.139999,3780700,18.139999
2015-10-14,19.379999,19.43,18.74,18.76,2043300,18.76
2015-10-13,20.290001,20.43,19.209999,19.26,1932900,19.26
2015-10-12,20.85,20.93,20.42,20.48,867500,20.48
2015-10-09,20.540001,21.030001,20.309999,20.92,1637300,20.92
2015-10-08,19.540001,20.709999,19.280001,20.48,2420700,20.48
2015-10-07,20.23,20.26,19.48,19.559999,2369900,19.559999
2015-10-06,20.00,20.27,19.889999,19.98,2018500,19.98
2015-10-05,19.93,20.23,19.799999,20.049999,3348200,20.049999
2015-10-02,20.299999,20.65,19.50,19.85,2910200,19.85
2015-10-01,20.82,21.040001,20.24,20.76,1600300,20.76
2015-09-30,20.50,20.90,20.49,20.780001,1253900,20.780001
2015-09-29,20.26,20.42,19.860001,20.309999,1437400,20.309999
2015-09-28,20.889999,21.18,19.950001,20.09,1154600,20.09
2015-09-25,21.15,21.49,20.860001,21.030001,867000,21.030001
2015-09-24,20.469999,21.01,20.23,20.950001,1054000,20.950001
2015-09-23,20.41,20.73,20.18,20.57,1024000,20.57
2015-09-22,20.93,20.940001,20.33,20.370001,1560900,20.370001
2015-09-21,21.10,21.27,20.77,21.120001,1037300,21.120001
2015-09-18,21.16,21.51,20.99,20.99,1576800,20.99
2015-09-17,21.41,21.870001,21.200001,21.530001,1033600,21.530001
2015-09-16,21.41,21.66,21.200001,21.559999,717800,21.559999
2015-09-15,21.07,21.370001,20.99,21.290001,712200,21.290001
2015-09-14,21.09,21.110001,20.85,21.059999,975500,21.059999
2015-09-11,20.75,21.110001,20.629999,21.07,865000,21.07
2015-09-10,20.65,21.040001,20.57,20.85,1026500,20.85
2015-09-09,20.860001,21.09,20.60,20.65,1171400,20.65
2015-09-08,20.68,20.879999,20.299999,20.629999,1547900,20.629999
2015-09-04,20.65,20.889999,20.360001,20.540001,1021500,20.540001
2015-09-03,20.57,21.290001,20.52,20.85,1300600,20.85
2015-09-02,20.34,20.90,20.120001,20.42,2498500,20.42
2015-09-01,20.530001,20.68,19.559999,19.90,4167800,19.90
2015-08-31,20.639999,21.129999,20.639999,20.98,1224300,20.98
2015-08-28,20.90,21.23,20.59,20.809999,1306700,20.809999
2015-08-27,20.639999,21.08,20.290001,20.77,1468900,20.77
2015-08-26,20.610001,20.610001,19.780001,20.370001,2252300,20.370001
2015-08-25,21.309999,21.309999,19.93,20.23,2757200,20.23
2015-08-24,20.43,21.00,20.389999,20.780001,2056800,20.780001
2015-08-21,21.75,22.379999,21.709999,21.90,2318200,21.90
2015-08-20,21.90,22.209999,21.74,21.959999,1156900,21.959999
2015-08-19,22.74,22.809999,22.00,22.139999,1367400,22.139999
2015-08-18,22.799999,23.290001,22.799999,22.860001,1265500,22.860001
2015-08-17,22.85,23.120001,22.559999,22.969999,821700,22.969999
2015-08-14,22.709999,22.879999,22.60,22.860001,1418300,22.860001
2015-08-13,22.709999,22.99,22.700001,22.77,1378200,22.77
2015-08-12,21.879999,22.790001,21.389999,22.700001,2190300,22.700001
2015-08-11,22.379999,22.57,22.030001,22.059999,1371300,22.059999
2015-08-10,22.73,22.790001,22.280001,22.610001,1328700,22.610001
2015-08-07,22.450001,22.780001,22.370001,22.559999,896700,22.559999
2015-08-06,22.48,22.65,22.09,22.549999,1193000,22.549999
2015-08-05,22.67,22.84,22.15,22.41,2185400,22.41
2015-08-04,22.16,22.67,21.85,22.40,2288400,22.40
2015-08-03,21.50,22.049999,21.10,22.030001,1939300,22.030001
2015-07-31,21.940001,22.24,21.219999,21.639999,2241300,21.639999
2015-07-30,21.34,22.40,21.219999,21.92,4351400,21.92
2015-07-29,19.719999,20.139999,19.65,20.110001,2014100,20.110001
2015-07-28,19.42,19.870001,19.26,19.82,1632000,19.82
2015-07-27,19.440001,19.709999,19.280001,19.41,1621200,19.41
2015-07-24,19.99,19.99,19.530001,19.559999,1265000,19.559999
2015-07-23,20.50,20.57,19.959999,19.99,2026800,19.99
2015-07-22,20.709999,20.879999,20.389999,20.530001,2789300,20.530001
2015-07-21,21.059999,21.35,20.77,20.85,2128200,20.85
2015-07-20,21.700001,21.75,21.02,21.049999,1295800,21.049999
2015-07-17,22.00,22.02,21.34,21.719999,1451100,21.719999
2015-07-16,22.34,22.42,21.860001,21.92,1882400,21.92
2015-07-15,23.15,23.15,22.27,22.299999,1619400,22.299999
2015-07-14,22.91,23.40,22.74,23.17,1635400,23.17
2015-07-13,22.780001,22.91,22.35,22.90,903000,22.90
2015-07-10,22.690001,22.90,22.33,22.59,1185400,22.59
2015-07-09,22.67,22.83,22.309999,22.48,1358700,22.48
2015-07-08,23.02,23.190001,22.360001,22.450001,1871700,22.450001
2015-07-07,22.85,23.26,22.26,23.219999,1590100,23.219999
2015-07-06,23.030001,23.15,22.24,22.75,4707000,22.75
2015-07-02,23.27,23.530001,23.139999,23.25,1298300,23.25
2015-07-01,23.15,23.50,23.030001,23.389999,2255000,23.389999
2015-06-30,23.450001,23.620001,22.870001,22.969999,2356500,22.969999
2015-06-29,23.790001,24.09,23.33,23.389999,1702600,23.389999
2015-06-26,24.780001,24.879999,23.639999,23.92,2249900,23.92
2015-06-25,25.32,25.719999,24.790001,24.879999,1427100,24.879999
2015-06-24,25.75,25.870001,25.10,25.219999,842100,25.219999
2015-06-23,25.67,25.83,25.25,25.75,1117000,25.75
2015-06-22,25.559999,25.780001,25.00,25.68,1209900,25.68
2015-06-19,24.60,25.65,24.50,25.57,2521600,25.57
2015-06-18,24.50,24.73,24.25,24.33,1235200,24.33
2015-06-17,24.49,24.719999,24.309999,24.51,722400,24.51
2015-06-16,24.09,24.690001,23.940001,24.49,875700,24.49
2015-06-15,24.540001,24.540001,24.059999,24.15,1149700,24.15
2015-06-12,24.200001,24.66,23.99,24.620001,881200,24.620001
2015-06-11,24.290001,24.440001,24.16,24.309999,1041200,24.309999
2015-06-10,24.15,24.66,24.09,24.26,1234100,24.26
2015-06-09,24.32,24.34,23.950001,24.059999,1031300,24.059999
2015-06-08,24.299999,24.379999,24.07,24.25,1087800,24.25
2015-06-05,24.43,24.43,23.809999,24.360001,1077000,24.360001
2015-06-04,24.629999,24.91,24.25,24.41,1038300,24.41
2015-06-03,24.469999,24.99,24.389999,24.74,1456900,24.74
2015-06-02,24.889999,24.959999,24.24,24.370001,1457400,24.370001
2015-06-01,25.75,26.00,24.379999,24.92,2079500,24.92
2015-05-29,25.67,26.190001,25.43,25.58,1206500,25.58
2015-05-28,26.00,26.00,25.530001,25.620001,1198700,25.620001
2015-05-27,27.00,27.129999,25.91,26.23,1539500,26.23
2015-05-26,26.459999,27.35,26.379999,27.00,2600500,27.00
2015-05-22,26.24,26.51,25.90,26.50,1296900,26.50
2015-05-21,25.719999,26.50,25.49,26.24,1302900,26.24
2015-05-20,25.610001,25.91,25.23,25.43,1360200,25.43
2015-05-19,25.83,26.639999,25.440001,25.530001,1602400,25.530001
2015-05-18,25.719999,26.190001,25.200001,25.99,1309300,25.99
2015-05-15,25.700001,25.780001,25.33,25.700001,1101900,25.700001
2015-05-14,25.860001,25.950001,25.52,25.719999,876500,25.719999
2015-05-13,25.639999,26.219999,25.57,25.75,1778000,25.75
2015-05-12,25.75,25.84,25.440001,25.76,1136300,25.76
2015-05-11,24.52,25.85,24.52,25.73,1622800,25.73
2015-05-08,24.59,24.879999,24.450001,24.780001,662800,24.780001
2015-05-07,24.40,24.50,24.120001,24.33,1343500,24.33
2015-05-06,25.35,25.35,24.309999,24.459999,1201000,24.459999
2015-05-05,25.49,25.60,25.01,25.17,1510900,25.17
2015-05-04,25.40,25.610001,25.27,25.49,1600700,25.49
2015-05-01,24.309999,25.50,24.309999,25.440001,1957600,25.440001
2015-04-30,25.190001,26.049999,24.25,24.700001,5158900,24.700001
2015-04-29,24.309999,24.450001,24.049999,24.08,2115600,24.08
2015-04-28,24.40,24.58,23.82,24.27,1994600,24.27
2015-04-27,23.809999,24.51,23.68,24.40,1818100,24.40
2015-04-24,23.49,23.860001,23.200001,23.620001,1517600,23.620001
2015-04-23,24.24,24.360001,23.35,23.50,2214000,23.50
2015-04-22,24.209999,24.43,23.60,24.370001,1385700,24.370001
2015-04-21,24.549999,24.60,23.879999,24.200001,1957800,24.200001
2015-04-20,24.60,24.83,24.360001,24.440001,973500,24.440001
2015-04-17,24.969999,25.02,24.360001,24.559999,763200,24.559999
2015-04-16,24.82,25.190001,24.60,25.10,1244600,25.10
2015-04-15,24.629999,25.059999,24.51,24.709999,1341200,24.709999
2015-04-14,23.85,24.540001,23.639999,24.530001,1360700,24.530001
2015-04-13,23.26,24.190001,23.17,23.84,1904800,23.84
2015-04-10,23.58,23.66,23.209999,23.290001,2792100,23.290001
2015-04-09,24.049999,24.23,23.379999,23.51,1808400,23.51
2015-04-08,24.02,24.25,23.85,24.129999,1513500,24.129999
2015-04-07,23.719999,24.35,23.50,23.90,1983400,23.90
2015-04-06,24.219999,24.440001,23.73,24.01,3961000,24.01
2015-04-02,23.799999,24.85,23.57,24.440001,3216400,24.440001
2015-04-01,22.68,23.809999,22.629999,23.76,3791600,23.76
2015-03-31,23.200001,23.34,22.389999,22.59,4903900,22.59
2015-03-30,23.780001,23.93,23.129999,23.35,1845100,23.35
2015-03-27,23.67,23.940001,23.450001,23.709999,1379300,23.709999
2015-03-26,23.780001,23.799999,22.879999,23.549999,3111300,23.549999
2015-03-25,24.360001,24.60,23.52,23.799999,3448500,23.799999
2015-03-24,25.93,26.120001,23.799999,23.950001,4966500,23.950001
2015-03-23,26.77,27.49,26.01,26.15,2748700,26.15
2015-03-20,27.15,27.200001,26.639999,26.84,1435800,26.84
2015-03-19,26.75,27.07,26.48,26.940001,1646300,26.940001
2015-03-18,26.17,27.02,25.90,26.75,3101400,26.75
2015-03-17,24.85,26.440001,24.799999,26.209999,2223900,26.209999
2015-03-16,25.059999,25.50,24.59,25.059999,1681000,25.059999
2015-03-13,25.049999,25.379999,24.68,25.040001,1448400,25.040001
2015-03-12,25.370001,25.889999,25.15,25.18,2153700,25.18
2015-03-11,26.469999,26.530001,24.15,25.370001,6254800,25.370001
2015-03-10,26.01,26.60,25.469999,26.530001,2023400,26.530001
2015-03-09,26.620001,26.700001,26.24,26.290001,1478200,26.290001
2015-03-06,27.049999,27.48,26.35,26.43,1833300,26.43
2015-03-05,28.030001,28.24,26.969999,27.200001,1572200,27.200001
2015-03-04,28.629999,28.719999,27.91,28.030001,1730900,28.030001
2015-03-03,28.719999,28.719999,27.799999,28.610001,2328600,28.610001
2015-03-02,27.379999,28.42,27.299999,28.35,3190600,28.35
2015-02-27,27.25,27.65,27.02,27.43,1509600,27.43
2015-02-26,27.209999,27.780001,27.08,27.51,1461900,27.51
2015-02-25,27.469999,27.73,26.870001,27.049999,1335900,27.049999
2015-02-24,27.76,27.76,27.09,27.549999,1319900,27.549999
2015-02-23,27.700001,28.00,27.440001,27.58,1272000,27.58
2015-02-20,27.43,27.860001,26.940001,27.65,1583800,27.65
2015-02-19,28.23,28.41,27.42,27.43,3041800,27.43
2015-02-18,27.43,28.790001,27.299999,28.309999,2726400,28.309999
2015-02-17,27.23,27.790001,26.91,27.43,2680000,27.43
2015-02-13,25.940001,26.889999,25.620001,26.75,2626800,26.75
2015-02-12,25.870001,26.15,23.440001,25.98,7188100,25.98
2015-02-11,26.639999,26.82,25.41,25.870001,2997600,25.870001
2015-02-10,25.84,26.719999,25.65,26.49,2790700,26.49
2015-02-09,26.08,26.18,25.50,25.639999,2055600,25.639999
2015-02-06,26.18,26.43,25.969999,26.18,1779400,26.18
