Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.95,4.97,4.93,4.95,301900,4.867102
2015-12-30,4.96,4.99,4.94,4.95,166800,4.867102
2015-12-29,4.90,4.98,4.89,4.96,458800,4.876934
2015-12-28,4.91,4.93,4.88,4.90,804500,4.817939
2015-12-24,4.94,4.95,4.85,4.92,267700,4.837604
2015-12-23,4.91,4.94,4.90,4.94,301300,4.857269
2015-12-22,4.86,4.91,4.85,4.91,437600,4.827772
2015-12-21,4.93,4.94,4.87,4.89,342200,4.782542
2015-12-18,4.92,4.95,4.90,4.93,376500,4.821663
2015-12-17,4.86,4.97,4.86,4.92,353700,4.811883
2015-12-16,4.78,4.90,4.78,4.86,534100,4.753201
2015-12-15,4.75,4.83,4.69,4.78,649700,4.67496
2015-12-14,4.85,4.87,4.71,4.72,386000,4.616278
2015-12-11,4.92,4.93,4.84,4.86,381100,4.753201
2015-12-10,4.89,4.93,4.89,4.93,351900,4.821663
2015-12-09,4.89,4.94,4.88,4.89,334300,4.782542
2015-12-08,4.91,4.93,4.87,4.89,274100,4.782542
2015-12-07,4.93,4.94,4.89,4.91,350400,4.802102
2015-12-04,4.95,4.97,4.92,4.93,333700,4.821663
2015-12-03,4.97,5.01,4.92,4.95,370000,4.841223
2015-12-02,5.00,5.00,4.96,4.97,226200,4.860784
2015-12-01,5.03,5.04,4.98,5.00,250800,4.890125
2015-11-30,5.05,5.06,5.00,5.01,351200,4.899905
2015-11-27,5.05,5.06,5.05,5.05,43600,4.939026
2015-11-25,5.03,5.06,5.02,5.05,201200,4.939026
2015-11-24,5.04,5.04,5.01,5.03,106400,4.919466
2015-11-23,5.02,5.06,5.02,5.03,170800,4.919466
2015-11-20,5.04,5.07,5.02,5.03,292700,4.919466
2015-11-19,5.02,5.08,5.00,5.06,289800,4.923378
2015-11-18,5.01,5.06,5.00,5.02,272500,4.884458
2015-11-17,4.99,5.04,4.98,5.01,366900,4.874728
