Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.82,3.01,2.82,2.95,1490100,2.95
2015-12-30,2.89,2.91,2.81,2.83,722400,2.83
2015-12-29,2.92,2.92,2.77,2.86,497600,2.86
2015-12-28,2.94,2.94,2.85,2.87,420300,2.87
2015-12-24,2.88,2.93,2.84,2.90,187700,2.90
2015-12-23,2.74,2.88,2.74,2.87,643900,2.87
2015-12-22,2.73,2.79,2.60,2.74,737300,2.74
2015-12-21,2.63,2.70,2.53,2.69,6005300,2.69
2015-12-18,2.54,2.66,2.48,2.58,2261000,2.58
2015-12-17,2.62,2.67,2.52,2.54,861900,2.54
2015-12-16,2.50,2.65,2.48,2.61,940800,2.61
2015-12-15,2.46,2.61,2.40,2.46,754000,2.46
2015-12-14,2.56,2.60,2.33,2.43,698000,2.43
2015-12-11,2.63,2.68,2.55,2.59,445500,2.59
2015-12-10,2.63,2.69,2.58,2.68,604500,2.68
2015-12-09,2.72,2.78,2.60,2.65,622000,2.65
2015-12-08,2.71,2.78,2.65,2.71,402900,2.71
2015-12-07,2.88,2.88,2.70,2.75,415100,2.75
2015-12-04,2.85,2.91,2.71,2.90,524200,2.90
2015-12-03,2.96,3.00,2.81,2.88,688100,2.88
2015-12-02,3.03,3.07,2.95,2.95,1241700,2.95
2015-12-01,2.99,3.07,2.92,3.06,478100,3.06
2015-11-30,3.08,3.12,2.98,3.00,796300,3.00
2015-11-27,2.99,3.06,2.96,3.03,339800,3.03
2015-11-25,2.99,3.05,2.92,3.01,752900,3.01
2015-11-24,3.01,3.09,2.85,3.00,1233700,3.00
2015-11-23,3.06,3.19,2.95,3.00,702400,3.00
2015-11-20,3.10,3.17,3.04,3.09,693100,3.09
2015-11-19,3.28,3.29,3.04,3.08,797300,3.08
2015-11-18,3.20,3.30,3.16,3.21,762900,3.21
2015-11-17,3.25,3.35,3.16,3.17,719400,3.17
2015-11-16,3.24,3.36,3.19,3.23,479200,3.23
2015-11-13,3.23,3.42,3.19,3.28,618100,3.28
2015-11-12,3.30,3.50,3.19,3.24,852300,3.24
2015-11-11,3.46,3.46,3.28,3.34,566200,3.34
2015-11-10,3.48,3.51,3.28,3.43,551100,3.43
2015-11-09,3.30,3.77,3.30,3.47,1274200,3.47
2015-11-06,3.01,3.28,2.90,3.25,812400,3.25
2015-11-05,3.07,3.41,2.97,3.05,755700,3.05
2015-11-04,3.07,3.24,3.02,3.05,527200,3.05
2015-11-03,3.07,3.16,2.97,3.04,491600,3.04
2015-11-02,2.81,3.12,2.81,3.08,534300,3.08
2015-10-30,2.89,2.98,2.75,2.81,392200,2.81
2015-10-29,2.97,3.10,2.84,2.86,328700,2.86
2015-10-28,2.83,3.00,2.69,2.97,511700,2.97
2015-10-27,2.80,2.86,2.74,2.80,563600,2.80
2015-10-26,2.96,3.06,2.73,2.79,579300,2.79
2015-10-23,2.77,3.08,2.69,2.96,765200,2.96
2015-10-22,3.02,3.13,2.59,2.72,1422800,2.72
2015-10-21,3.43,3.43,3.00,3.02,1178000,3.02
2015-10-20,3.67,3.78,3.41,3.42,734400,3.42
2015-10-19,4.06,4.24,3.65,3.70,736600,3.70
2015-10-16,3.69,4.19,3.64,4.06,1016000,4.06
2015-10-15,3.27,3.78,3.25,3.67,735700,3.67
2015-10-14,3.26,3.41,3.20,3.24,382200,3.24
2015-10-13,3.34,3.43,3.21,3.23,633400,3.23
2015-10-12,3.31,3.36,3.18,3.34,502300,3.34
2015-10-09,3.15,3.26,3.12,3.26,419900,3.26
2015-10-08,3.23,3.29,3.06,3.11,539200,3.11
2015-10-07,3.27,3.42,3.13,3.22,994100,3.22
2015-10-06,3.28,3.36,3.10,3.23,420400,3.23
2015-10-05,3.23,3.42,3.21,3.28,593900,3.28
2015-10-02,3.06,3.26,3.00,3.24,641300,3.24
2015-10-01,3.20,3.22,3.01,3.05,605100,3.05
2015-09-30,3.05,3.21,2.98,3.16,1181100,3.16
2015-09-29,3.00,3.25,2.96,3.01,857000,3.01
2015-09-28,3.34,3.34,2.87,2.99,1628800,2.99
2015-09-25,3.63,3.71,3.29,3.32,1667700,3.32
2015-09-24,3.75,3.79,3.52,3.62,918200,3.62
2015-09-23,3.80,3.98,3.62,3.79,1027100,3.79
2015-09-22,1.91,4.02,1.91,3.84,1284000,3.84
2015-09-21,4.45,4.45,3.99,4.10,1192800,4.10
2015-09-18,4.44,4.54,4.29,4.44,1346100,4.44
2015-09-17,4.37,4.55,4.32,4.53,644000,4.53
2015-09-16,4.42,4.48,4.26,4.37,587700,4.37
2015-09-15,4.37,4.48,4.33,4.40,391000,4.40
2015-09-14,4.40,4.43,4.26,4.36,619100,4.36
2015-09-11,4.48,4.52,4.35,4.41,561200,4.41
2015-09-10,4.44,4.53,4.34,4.50,757600,4.50
2015-09-09,4.73,4.73,4.48,4.48,842700,4.48
2015-09-08,4.60,4.63,4.52,4.61,768100,4.61
2015-09-04,4.50,4.56,4.42,4.53,656100,4.53
2015-09-03,4.69,4.75,4.57,4.59,677200,4.59
2015-09-02,4.75,4.77,4.57,4.65,981400,4.65
2015-09-01,4.71,4.86,4.63,4.69,574800,4.69
2015-08-31,4.73,4.89,4.70,4.82,1038600,4.82
2015-08-28,4.57,4.74,4.57,4.70,564000,4.70
2015-08-27,4.70,4.70,4.55,4.60,681700,4.60
2015-08-26,4.56,4.65,4.45,4.64,721100,4.64
2015-08-25,4.58,4.64,4.42,4.49,707100,4.49
2015-08-24,4.42,4.67,4.25,4.42,1035800,4.42
2015-08-21,4.46,4.72,4.46,4.59,986500,4.59
2015-08-20,4.78,4.89,4.54,4.56,954600,4.56
2015-08-19,4.61,4.85,4.47,4.79,1456200,4.79
2015-08-18,4.74,4.91,4.60,4.65,739900,4.65
2015-08-17,4.71,4.75,4.65,4.72,545900,4.72
2015-08-14,4.63,4.80,4.58,4.70,1991800,4.70
2015-08-13,4.67,4.75,4.66,4.69,723200,4.69
2015-08-12,4.81,4.83,4.61,4.69,1847100,4.69
2015-08-11,4.86,5.09,4.81,4.89,1326100,4.89
2015-08-10,4.92,5.18,4.91,4.95,1031500,4.95
2015-08-07,5.33,5.33,4.66,4.98,6655000,4.98
2015-08-06,4.65,5.60,4.60,5.48,4708000,5.48
2015-08-05,4.90,4.98,4.57,4.72,1432300,4.72
2015-08-04,4.92,5.02,4.72,4.90,1465900,4.90
2015-08-03,4.94,5.09,4.81,4.95,1256100,4.95
2015-07-31,4.77,4.99,4.75,4.98,850300,4.98
2015-07-30,4.80,4.86,4.66,4.81,746600,4.81
2015-07-29,5.16,5.24,4.84,4.85,981600,4.85
2015-07-28,5.22,5.28,5.14,5.17,1222700,5.17
2015-07-27,5.31,5.32,5.15,5.22,564600,5.22
2015-07-24,5.31,5.38,5.18,5.26,1351400,5.26
2015-07-23,5.43,5.52,5.29,5.36,593700,5.36
2015-07-22,5.53,5.58,5.31,5.40,1028600,5.40
2015-07-21,5.57,5.75,5.44,5.58,771900,5.58
2015-07-20,6.04,6.09,5.55,5.60,1188900,5.60
2015-07-17,6.23,6.44,6.00,6.06,994500,6.06
2015-07-16,5.53,6.20,5.53,6.19,2122400,6.19
2015-07-15,5.53,5.60,5.46,5.49,759300,5.49
2015-07-14,5.37,5.53,5.37,5.50,1084300,5.50
2015-07-13,5.44,5.51,5.29,5.39,1102500,5.39
2015-07-10,5.41,5.52,5.30,5.39,836200,5.39
2015-07-09,5.42,5.53,5.34,5.38,574200,5.38
2015-07-08,5.58,5.63,5.31,5.38,851900,5.38
2015-07-07,5.83,5.85,5.55,5.63,1718600,5.63
2015-07-06,5.56,5.90,5.52,5.85,804900,5.85
2015-07-02,5.80,5.84,5.44,5.58,824300,5.58
2015-07-01,6.00,6.17,5.74,5.79,1242700,5.79
2015-06-30,5.66,6.00,5.65,5.92,2023700,5.92
2015-06-29,5.86,5.94,5.65,5.68,1166500,5.68
2015-06-26,5.32,5.71,5.22,5.66,2647900,5.66
2015-06-25,5.47,5.47,5.30,5.34,1251300,5.34
