Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,45.549999,45.549999,45.080002,45.080002,96400,43.828972
2015-12-30,45.880001,46.00,45.66,45.73,141200,44.460931
2015-12-29,45.860001,46.400002,45.790001,46.259998,182100,44.976222
2015-12-28,45.759998,45.919998,45.549999,45.919998,112000,44.645657
2015-12-24,45.919998,46.27,45.919998,46.029999,83900,44.752605
2015-12-23,45.59,45.990002,45.59,45.939999,261600,44.665103
2015-12-22,44.73,44.91,44.34,44.869999,233200,43.624797
2015-12-21,44.77,44.849998,44.009998,44.349998,207000,43.119227
2015-12-18,44.630001,44.720001,44.02,44.040001,289300,42.817832
2015-12-17,45.34,45.34,44.59,44.59,353500,43.352568
2015-12-16,45.09,45.560001,44.779999,45.470001,277500,44.208148
2015-12-15,44.860001,45.02,44.450001,44.619999,286600,43.381735
2015-12-14,44.27,44.419998,43.509998,44.07,330000,42.846999
2015-12-11,44.439999,44.779999,44.27,44.360001,221400,43.128952
2015-12-10,45.200001,45.310001,44.860001,44.91,161700,43.663688
2015-12-09,45.709999,46.259998,45.380001,45.560001,225500,44.295651
2015-12-08,45.200001,45.900002,45.200001,45.43,213700,44.169258
2015-12-07,45.98,46.18,45.669998,45.880001,270800,44.60677
2015-12-04,45.32,45.900002,45.290001,45.810001,186800,44.538713
2015-12-03,45.990002,46.029999,45.029999,45.240002,261300,43.984532
2015-12-02,46.810001,46.900002,46.040001,46.189999,232900,44.908165
2015-12-01,46.77,47.299999,46.599998,47.25,168600,45.93875
2015-11-30,46.27,46.529999,46.099998,46.41,125700,45.122061
2015-11-27,46.610001,46.73,46.48,46.560001,93400,45.2679
2015-11-25,46.34,46.580002,46.209999,46.529999,148500,45.23873
2015-11-24,45.130001,45.77,45.099998,45.650002,158200,44.383153
2015-11-23,45.91,46.07,45.540001,45.619999,199200,44.353983
2015-11-20,46.689999,46.790001,46.43,46.50,145500,45.209563
2015-11-19,46.369999,46.650002,46.259998,46.41,242100,45.122061
2015-11-18,45.66,45.790001,45.290001,45.790001,157000,44.519268
2015-11-17,45.869999,46.099998,45.619999,45.740002,164600,44.470656
2015-11-16,44.400002,45.220001,44.369999,45.200001,188300,43.945641
2015-11-13,44.669998,44.869999,44.41,44.66,172900,43.420626
2015-11-12,45.349998,45.470001,45.130001,45.150002,192400,43.897029
2015-11-11,45.709999,46.139999,45.610001,45.950001,1063700,44.674827
2015-11-10,45.290001,45.459999,44.860001,44.98,1283500,43.731745
2015-11-09,47.189999,47.310001,46.709999,46.939999,188200,45.637351
2015-11-06,46.59,46.939999,46.400002,46.740002,251200,45.442905
2015-11-05,47.139999,47.259998,46.84,46.98,199600,45.676242
2015-11-04,48.400002,48.540001,47.98,48.209999,334400,46.872108
2015-11-03,47.209999,47.880001,47.169998,47.740002,160100,46.415153
2015-11-02,47.139999,47.400002,46.889999,47.290001,242800,45.977641
2015-10-30,46.689999,47.009998,46.459999,46.790001,275300,45.491516
2015-10-29,46.48,46.75,46.25,46.59,263200,45.297066
2015-10-28,46.48,47.16,46.41,47.16,271100,45.851247
2015-10-27,46.77,46.799999,46.259998,46.389999,203900,45.102615
2015-10-26,47.07,47.240002,46.93,47.060001,88500,45.754024
2015-10-23,47.349998,47.540001,47.02,47.25,176000,45.93875
2015-10-22,46.299999,46.709999,46.299999,46.639999,244300,45.345678
2015-10-21,46.330002,46.509998,46.040001,46.060001,172400,44.781775
2015-10-20,46.630001,46.849998,46.549999,46.810001,203600,45.510962
2015-10-19,47.18,47.259998,46.939999,47.080002,136100,45.773469
2015-10-16,46.889999,47.349998,46.790001,47.310001,271000,45.997086
2015-10-15,45.669998,46.360001,45.59,46.32,181500,45.034558
2015-10-14,45.18,45.419998,44.970001,45.080002,181800,43.828972
2015-10-13,45.220001,45.73,45.220001,45.34,572500,44.081755
2015-10-12,46.419998,46.57,46.290001,46.439999,125300,45.151227
2015-10-09,46.57,46.599998,46.150002,46.349998,246200,45.063725
2015-10-08,46.310001,46.970001,46.27,46.970001,197000,45.666521
2015-10-07,46.41,46.810001,46.34,46.73,305000,45.43318
2015-10-06,45.130001,45.439999,45.029999,45.310001,377100,44.052589
2015-10-05,44.990002,45.27,44.84,45.189999,411100,43.935916
2015-10-02,42.779999,43.759998,42.630001,43.75,324500,42.535879
2015-10-01,42.580002,42.689999,41.950001,42.330002,161400,41.155288
2015-09-30,42.029999,42.18,41.799999,42.139999,272200,40.970559
2015-09-29,40.599998,40.700001,40.360001,40.689999,250200,39.560797
2015-09-28,41.299999,41.41,40.790001,40.849998,215500,39.716357
2015-09-25,42.169998,42.52,42.029999,42.169998,228300,40.999725
2015-09-24,41.209999,41.490002,40.900002,41.450001,302800,40.299708
2015-09-23,41.91,42.009998,41.57,41.68,140800,40.523325
2015-09-22,41.889999,41.950001,41.549999,41.84,156500,40.678885
2015-09-21,43.060001,43.119999,42.57,42.709999,163300,41.52474
2015-09-18,42.880001,43.040001,42.380001,42.490002,223200,41.310848
2015-09-17,44.00,44.34,43.57,43.779999,244000,42.565046
2015-09-16,44.150002,44.419998,44.040001,44.299999,238200,43.070615
2015-09-15,43.27,43.860001,43.240002,43.75,547700,42.535879
2015-09-14,42.709999,42.880001,42.52,42.830002,224000,41.641412
2015-09-11,43.220001,43.400002,43.09,43.380001,242000,42.176148
2015-09-10,43.57,43.939999,43.470001,43.700001,331600,42.487268
2015-09-09,44.59,44.610001,43.169998,43.209999,328600,42.010864
2015-09-08,43.110001,43.16,42.52,42.830002,311900,41.641412
2015-09-04,41.529999,41.57,40.900002,41.080002,175900,39.939977
2015-09-03,42.389999,42.689999,42.169998,42.310001,154400,41.135843
2015-09-02,42.25,42.290001,41.700001,42.150002,285400,40.980283
2015-09-01,42.040001,42.209999,41.630001,41.759998,465900,40.601103
2015-08-31,43.490002,43.630001,43.330002,43.43,118700,42.22476
2015-08-28,43.419998,43.779999,43.080002,43.73,225100,42.516434
2015-08-27,43.52,44.099998,43.290001,43.869999,347100,42.652548
2015-08-26,43.91,43.91,42.849998,43.73,517100,42.516434
2015-08-25,44.48,44.52,42.830002,42.830002,586700,41.641412
2015-08-24,42.240002,43.849998,41.630001,42.450001,837400,41.271957
2015-08-21,44.970001,45.049999,43.91,43.959999,367900,42.740051
2015-08-20,46.669998,46.68,45.790001,45.810001,145000,44.538713
2015-08-19,47.580002,47.630001,46.970001,47.27,168600,45.958195
2015-08-18,47.639999,47.900002,47.52,47.650002,334000,45.95528
2015-08-17,47.720001,48.139999,47.580002,48.119999,268800,46.408562
2015-08-14,48.040001,48.299999,47.880001,48.27,144900,46.553228
2015-08-13,48.389999,48.450001,48.139999,48.209999,323400,46.495361
2015-08-12,48.389999,48.619999,47.84,48.610001,244600,46.881136
2015-08-11,48.860001,49.470001,48.740002,49.279999,544200,47.527305
2015-08-10,46.639999,47.310001,46.630001,47.27,186200,45.588794
2015-08-07,47.560001,47.59,47.299999,47.59,109500,45.897413
2015-08-06,47.860001,48.040001,47.66,47.799999,174200,46.099943
2015-08-05,47.759998,48.02,47.580002,47.630001,213900,45.935991
2015-08-04,47.290001,47.369999,47.07,47.18,156600,45.501995
2015-08-03,46.740002,46.84,46.439999,46.75,337600,45.087288
2015-07-31,47.130001,47.470001,47.07,47.259998,209100,45.579148
2015-07-30,47.57,47.650002,47.240002,47.610001,173100,45.916702
