Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,62.349998,62.669998,61.560001,61.75,164700,61.565904
2015-12-30,62.630001,63.119999,62.439999,62.669998,192800,62.48316
2015-12-29,62.48,63.00,62.130001,62.540001,178200,62.35355
2015-12-28,61.470001,62.220001,61.139999,62.200001,130100,62.014564
2015-12-24,60.98,61.900002,60.919998,61.700001,62000,61.516054
2015-12-23,61.259998,61.52,60.369999,60.990002,263300,60.808172
2015-12-22,59.549999,61.09,58.619999,61.009998,298000,60.828109
2015-12-21,58.080002,58.98,57.779999,58.880001,174600,58.704462
2015-12-18,59.169998,59.380001,57.73,57.73,719900,57.557889
2015-12-17,59.34,60.09,59.169998,59.41,211200,59.232881
2015-12-16,59.790001,59.93,58.369999,59.240002,150600,59.063389
2015-12-15,59.130001,59.990002,58.950001,59.310001,145900,59.13318
2015-12-14,58.470001,59.52,58.470001,58.919998,159000,58.74434
2015-12-11,58.450001,59.48,58.18,58.389999,128600,58.215921
2015-12-10,59.560001,59.900002,59.220001,59.41,120200,59.232881
2015-12-09,60.130001,60.389999,59.509998,59.639999,184600,59.462194
2015-12-08,60.259998,60.84,60.009998,60.080002,70400,59.900885
2015-12-07,60.869999,61.470001,60.380001,60.630001,176700,60.449245
2015-12-04,59.689999,60.98,59.650002,60.860001,82700,60.678558
2015-12-03,60.560001,60.959999,59.52,59.66,116700,59.482135
2015-12-02,60.740002,60.990002,60.419998,60.619999,105900,60.439272
2015-12-01,60.830002,61.27,60.470001,60.799999,112900,60.618736
2015-11-30,61.110001,61.110001,60.470001,60.700001,155000,60.519036
2015-11-27,60.919998,61.380001,60.150002,61.02,57600,60.838081
2015-11-25,61.09,61.75,60.799999,61.029999,177400,60.84805
2015-11-24,62.419998,63.220001,62.200001,63.02,143200,60.648647
2015-11-23,62.32,62.860001,62.32,62.799999,106300,60.436924
2015-11-20,62.00,62.580002,61.50,62.380001,94300,60.03273
2015-11-19,61.549999,61.970001,61.110001,61.580002,66200,59.262833
2015-11-18,61.200001,61.869999,60.830002,61.619999,132000,59.301325
2015-11-17,60.73,61.360001,60.34,61.169998,132800,58.868257
2015-11-16,60.110001,60.919998,59.900002,60.82,94900,58.531429
2015-11-13,60.00,60.950001,60.00,60.07,91700,57.80965
2015-11-12,61.23,61.259998,60.23,60.360001,117200,58.088739
2015-11-11,61.68,62.07,61.360001,61.470001,56900,59.156972
2015-11-10,60.790001,61.509998,60.610001,61.400002,110600,59.089606
2015-11-09,61.810001,61.950001,60.66,60.73,95600,58.444815
2015-11-06,61.380001,62.130001,61.349998,61.959999,95700,59.628532
2015-11-05,61.060001,61.75,61.060001,61.66,62300,59.339821
2015-11-04,61.009998,61.189999,60.720001,61.080002,85200,58.781647
2015-11-03,61.02,61.459999,60.549999,61.049999,142300,58.752774
2015-11-02,61.310001,61.419998,60.639999,61.040001,113100,58.743152
2015-10-30,62.099998,62.700001,60.77,60.849998,144700,58.560299
2015-10-29,62.290001,62.689999,61.779999,62.080002,91300,59.744019
2015-10-28,61.07,62.279999,60.75,62.259998,171100,59.917242
