Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,5.55,5.64,5.51,5.51,338200,5.51
2015-12-30,5.61,5.70,5.51,5.57,236500,5.57
2015-12-29,5.65,5.74,5.51,5.64,254900,5.64
2015-12-28,5.66,5.69,5.55,5.60,162200,5.60
2015-12-24,5.61,5.69,5.61,5.67,133400,5.67
2015-12-23,5.57,5.68,5.56,5.62,212500,5.62
2015-12-22,5.47,5.59,5.46,5.57,200000,5.57
2015-12-21,5.49,5.54,5.42,5.51,286800,5.51
2015-12-18,5.56,5.60,5.33,5.49,1100700,5.49
2015-12-17,5.41,5.67,5.40,5.58,373900,5.58
2015-12-16,5.43,5.49,5.36,5.36,389800,5.36
2015-12-15,5.25,5.45,5.24,5.41,339200,5.41
2015-12-14,5.22,5.35,5.17,5.22,469000,5.22
2015-12-11,5.31,5.37,5.23,5.26,308600,5.26
2015-12-10,5.33,5.43,5.28,5.41,290600,5.41
2015-12-09,5.31,5.50,5.30,5.31,347500,5.31
2015-12-08,5.60,5.61,5.33,5.39,463800,5.39
2015-12-07,5.61,5.69,5.53,5.63,234800,5.63
2015-12-04,5.39,5.61,5.39,5.60,204700,5.60
2015-12-03,5.55,5.62,5.38,5.39,217800,5.39
2015-12-02,5.55,5.59,5.51,5.51,102300,5.51
2015-12-01,5.55,5.68,5.52,5.53,99300,5.53
2015-11-30,5.72,5.72,5.48,5.53,238400,5.53
2015-11-27,5.69,5.77,5.61,5.64,95500,5.64
2015-11-25,5.54,5.71,5.50,5.68,172700,5.68
2015-11-24,5.44,5.54,5.36,5.53,219100,5.53
2015-11-23,5.45,5.53,5.42,5.45,241500,5.45
2015-11-20,5.43,5.54,5.40,5.46,292600,5.46
2015-11-19,5.39,5.43,5.32,5.39,248200,5.39
2015-11-18,5.46,5.51,5.35,5.38,217900,5.38
2015-11-17,5.49,5.52,5.40,5.42,306400,5.42
2015-11-16,5.39,5.50,5.31,5.49,359300,5.49
2015-11-13,5.38,5.46,5.35,5.41,308200,5.41
2015-11-12,5.19,5.54,5.18,5.47,509400,5.47
2015-11-11,5.29,5.30,5.16,5.19,148500,5.19
2015-11-10,5.24,5.31,5.18,5.27,231200,5.27
2015-11-09,5.28,5.29,5.17,5.24,303500,5.24
2015-11-06,5.21,5.36,5.16,5.33,215700,5.33
2015-11-05,5.33,5.33,5.20,5.24,282100,5.24
2015-11-04,5.38,5.42,5.30,5.34,260300,5.34
2015-11-03,5.36,5.43,5.33,5.36,382100,5.36
2015-11-02,5.22,5.42,5.22,5.39,385200,5.39
2015-10-30,5.21,5.30,5.11,5.23,456800,5.23
2015-10-29,5.34,5.34,5.17,5.22,329000,5.22
2015-10-28,5.20,5.35,5.17,5.34,330800,5.34
2015-10-27,5.19,5.24,5.10,5.20,456600,5.20
2015-10-26,5.34,5.38,5.18,5.23,488600,5.23
2015-10-23,5.25,5.34,5.22,5.34,361600,5.34
2015-10-22,5.21,5.30,5.14,5.24,362900,5.24
2015-10-21,5.52,5.52,5.19,5.19,587600,5.19
2015-10-20,5.52,5.54,5.43,5.47,551500,5.47
2015-10-19,5.45,5.53,5.42,5.51,722800,5.51
2015-10-16,5.37,5.49,5.25,5.49,648500,5.49
2015-10-15,5.24,5.35,5.13,5.34,816400,5.34
2015-10-14,5.41,5.42,5.15,5.21,815500,5.21
2015-10-13,5.59,5.65,5.28,5.40,1437400,5.40
2015-10-12,5.83,5.88,5.56,5.64,1469400,5.64
2015-10-09,5.76,6.00,5.55,5.80,2476800,5.80
2015-10-08,6.43,6.76,6.39,6.60,850300,6.60
2015-10-07,6.45,6.46,6.28,6.45,330700,6.45
2015-10-06,6.33,6.46,6.29,6.41,294700,6.41
2015-10-05,6.28,6.35,6.25,6.32,229800,6.32
2015-10-02,6.12,6.25,6.09,6.24,188700,6.24
2015-10-01,6.21,6.23,6.08,6.17,244800,6.17
2015-09-30,6.18,6.25,6.08,6.21,299900,6.21
2015-09-29,6.15,6.21,6.08,6.10,181500,6.10
2015-09-28,6.34,6.35,6.14,6.15,268800,6.15
2015-09-25,6.44,6.47,6.33,6.33,406400,6.33
2015-09-24,6.48,6.49,6.35,6.40,314700,6.40
2015-09-23,6.51,6.52,6.42,6.48,394700,6.48
2015-09-22,6.49,6.54,6.42,6.46,264700,6.46
2015-09-21,6.51,6.62,6.43,6.54,292600,6.54
2015-09-18,6.51,6.64,6.39,6.43,689300,6.43
2015-09-17,6.53,6.75,6.47,6.62,335200,6.62
2015-09-16,6.58,6.58,6.46,6.50,178500,6.50
2015-09-15,6.45,6.55,6.35,6.54,225800,6.54
2015-09-14,6.53,6.56,6.41,6.45,236300,6.45
2015-09-11,6.35,6.52,6.34,6.50,304800,6.50
2015-09-10,6.53,6.61,6.35,6.36,223800,6.36
2015-09-09,6.81,6.83,6.52,6.55,258600,6.55
2015-09-08,6.85,6.86,6.75,6.77,246900,6.77
2015-09-04,6.74,6.88,6.68,6.74,315300,6.74
2015-09-03,6.76,6.92,6.70,6.84,1043100,6.84
2015-09-02,6.52,6.76,6.46,6.74,413500,6.74
2015-09-01,6.46,6.60,6.42,6.45,210500,6.45
2015-08-31,6.54,6.65,6.49,6.58,260300,6.58
2015-08-28,6.36,6.66,6.31,6.57,377900,6.57
2015-08-27,6.46,6.49,6.33,6.37,457900,6.37
2015-08-26,6.41,6.46,6.28,6.41,325100,6.41
2015-08-25,6.48,6.48,6.23,6.25,340500,6.25
2015-08-24,6.19,6.54,6.16,6.25,482800,6.25
2015-08-21,6.52,6.72,6.43,6.51,506000,6.51
2015-08-20,6.90,6.95,6.64,6.64,249400,6.64
2015-08-19,6.97,7.05,6.93,6.97,172700,6.97
2015-08-18,7.13,7.18,7.00,7.05,196200,7.05
2015-08-17,6.95,7.20,6.88,7.16,346700,7.16
2015-08-14,6.82,7.05,6.82,7.00,263700,7.00
2015-08-13,6.80,6.94,6.70,6.77,262900,6.77
2015-08-12,6.78,6.86,6.71,6.81,235800,6.81
2015-08-11,6.83,6.97,6.81,6.82,271600,6.82
2015-08-10,6.98,7.11,6.86,6.89,373100,6.89
2015-08-07,7.05,7.09,6.94,6.96,219700,6.96
2015-08-06,7.38,7.38,7.03,7.04,352300,7.04
2015-08-05,7.42,7.54,7.37,7.38,251600,7.38
2015-08-04,7.36,7.42,7.28,7.38,289700,7.38
2015-08-03,7.32,7.41,7.24,7.34,656500,7.34
2015-07-31,7.27,7.37,7.24,7.34,340800,7.34
2015-07-30,7.10,7.34,7.05,7.27,274300,7.27
2015-07-29,6.92,7.21,6.92,7.10,243300,7.10
2015-07-28,6.77,7.02,6.70,6.95,279900,6.95
2015-07-27,6.87,7.07,6.78,6.82,369500,6.82
2015-07-24,6.38,7.11,6.36,6.80,1059500,6.80
2015-07-23,6.31,6.31,6.10,6.15,383200,6.15
2015-07-22,6.27,6.36,6.25,6.30,559500,6.30
2015-07-21,6.31,6.39,6.23,6.26,172100,6.26
2015-07-20,6.15,6.34,6.15,6.29,198500,6.29
2015-07-17,6.21,6.25,6.11,6.16,246500,6.16
2015-07-16,6.32,6.36,6.18,6.19,180200,6.19
2015-07-15,6.45,6.46,6.26,6.32,152600,6.32
2015-07-14,6.59,6.65,6.42,6.43,135300,6.43
2015-07-13,6.68,6.69,6.58,6.66,240500,6.66
2015-07-10,6.34,6.64,6.28,6.62,229500,6.62
2015-07-09,6.26,6.32,6.19,6.29,297200,6.29
2015-07-08,6.22,6.27,6.13,6.20,269300,6.20
2015-07-07,6.24,6.31,6.14,6.27,206400,6.27
2015-07-06,6.29,6.32,6.22,6.26,150000,6.26
2015-07-02,6.36,6.36,6.27,6.31,197900,6.31
2015-07-01,6.29,6.42,6.23,6.33,138200,6.33
2015-06-30,6.23,6.33,6.22,6.27,360100,6.27
2015-06-29,6.43,6.43,6.17,6.17,346900,6.17
2015-06-26,6.56,6.59,6.40,6.45,483800,6.45
2015-06-25,6.62,6.63,6.51,6.56,147000,6.56
2015-06-24,6.57,6.60,6.55,6.57,168000,6.57
2015-06-23,6.66,6.69,6.57,6.60,199100,6.60
2015-06-22,6.62,6.64,6.58,6.63,200000,6.63
2015-06-19,6.53,6.66,6.53,6.60,474200,6.60
2015-06-18,6.54,6.59,6.53,6.55,220700,6.55
2015-06-17,6.54,6.59,6.48,6.53,173900,6.53
2015-06-16,6.49,6.59,6.45,6.53,201300,6.53
2015-06-15,6.51,6.55,6.45,6.52,206000,6.52
2015-06-12,6.51,6.57,6.49,6.55,169000,6.55
2015-06-11,6.52,6.55,6.47,6.52,173100,6.52
2015-06-10,6.48,6.54,6.46,6.51,315100,6.51
2015-06-09,6.43,6.48,6.36,6.44,177800,6.44
2015-06-08,6.44,6.50,6.37,6.44,184800,6.44
2015-06-05,6.30,6.47,6.27,6.45,246900,6.45
2015-06-04,6.22,6.34,6.22,6.31,281100,6.31
2015-06-03,6.15,6.30,6.13,6.28,292100,6.28
2015-06-02,6.21,6.32,6.16,6.16,390600,6.16
2015-06-01,6.25,6.31,6.11,6.22,310400,6.22
2015-05-29,6.43,6.43,6.22,6.24,169300,6.24
2015-05-28,6.41,6.45,6.34,6.43,242300,6.43
2015-05-27,6.26,6.43,6.26,6.39,410400,6.39
2015-05-26,6.51,6.54,6.21,6.24,677700,6.24
2015-05-22,6.66,6.74,6.50,6.52,318300,6.52
2015-05-21,6.59,6.79,6.59,6.64,181900,6.64
2015-05-20,6.62,6.63,6.52,6.61,219400,6.61
2015-05-19,6.81,6.81,6.62,6.62,167800,6.62
2015-05-18,6.70,6.84,6.66,6.80,220000,6.80
2015-05-15,6.91,6.97,6.69,6.70,302100,6.70
2015-05-14,6.81,6.92,6.79,6.90,194900,6.90
2015-05-13,6.66,6.87,6.61,6.81,365000,6.81
2015-05-12,6.67,6.74,6.56,6.66,236900,6.66
2015-05-11,6.86,6.96,6.70,6.72,267700,6.72
2015-05-08,6.92,6.96,6.72,6.89,403500,6.89
