Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,34.049999,34.049999,33.48,33.48,500,33.187049
2015-12-30,32.75,34.200001,32.75,33.700001,6900,33.405125
2015-12-29,32.43,32.50,32.209999,32.50,2600,32.215624
2015-12-28,32.66,32.66,31.700001,31.77,600,31.492012
2015-12-24,32.50,32.50,32.25,32.50,1500,32.215624
2015-12-23,32.82,32.82,32.82,32.82,000,32.532824
2015-12-22,32.040001,32.82,32.009998,32.82,900,32.532824
2015-12-21,32.84,32.84,32.009998,32.099998,1300,31.819123
2015-12-18,31.74,32.310001,31.370001,32.310001,3200,32.027288
2015-12-17,31.42,31.700001,30.91,31.690001,3800,31.412712
2015-12-16,31.50,31.50,31.50,31.50,400,31.224374
2015-12-15,31.50,31.50,31.450001,31.50,600,31.224374
2015-12-14,31.00,31.299999,31.00,31.299999,200,31.026124
2015-12-11,31.42,31.42,30.50,31.040001,700,30.7684
2015-12-10,31.50,31.50,31.450001,31.450001,800,31.174813
2015-12-09,31.50,31.50,31.469999,31.469999,600,31.194636
2015-12-08,31.40,31.40,31.40,31.40,200,31.125249
2015-12-07,31.35,31.360001,31.25,31.25,2600,30.976562
2015-12-04,31.49,31.50,31.450001,31.50,600,31.224374
2015-12-03,30.879999,31.50,30.75,30.75,800,30.480937
2015-12-02,31.049999,31.459999,30.08,31.459999,700,31.184723
2015-12-01,30.60,30.790001,30.60,30.700001,1200,30.431375
2015-11-30,30.50,31.23,30.50,31.23,3400,30.956736
2015-11-27,31.00,31.00,30.059999,30.059999,500,29.796974
2015-11-25,30.700001,30.959999,30.51,30.51,1000,30.243037
2015-11-24,30.049999,30.049999,30.049999,30.049999,200,29.787061
2015-11-23,30.34,30.34,30.34,30.34,200,30.074525
2015-11-20,29.85,29.85,29.85,29.85,000,29.588812
2015-11-19,30.030001,30.16,29.85,29.85,1900,29.588812
2015-11-18,30.01,30.219999,30.01,30.10,4500,29.836625
2015-11-17,31.00,31.00,30.049999,30.27,1500,30.005137
2015-11-16,31.200001,31.200001,31.200001,31.200001,000,30.927
2015-11-13,31.290001,31.290001,31.200001,31.200001,300,30.927
2015-11-12,30.65,31.74,30.65,31.709999,1600,31.432536
2015-11-11,31.139999,31.50,30.379999,31.48,2400,31.204549
2015-11-10,30.00,31.620001,30.00,31.59,2300,31.313587
2015-11-09,30.65,30.65,30.65,30.65,000,30.104262
2015-11-06,29.950001,30.76,29.68,30.65,5000,30.104262
2015-11-05,29.450001,29.450001,29.43,29.43,600,28.905986
2015-11-04,29.879999,30.00,29.35,30.00,4500,29.465836
2015-11-03,29.68,29.92,29.629999,29.879999,7500,29.347972
2015-11-02,28.77,29.00,28.77,29.00,300,28.483642
2015-10-30,29.68,29.68,29.50,29.50,700,28.974739
2015-10-29,29.00,29.00,29.00,29.00,000,28.483642
2015-10-28,29.120001,29.450001,29.00,29.00,2000,28.483642
2015-10-27,30.030001,30.09,29.049999,29.049999,6500,28.532751
2015-10-26,29.299999,29.65,29.299999,29.629999,300,29.102423
2015-10-23,30.10,30.10,30.10,30.10,000,29.564056
2015-10-22,30.10,30.10,30.10,30.10,300,29.564056
2015-10-21,29.75,29.75,29.75,29.75,200,29.220288
2015-10-20,29.50,29.65,29.50,29.610001,2100,29.082781
2015-10-19,29.200001,29.200001,29.200001,29.200001,000,28.680081
2015-10-16,29.200001,29.200001,29.200001,29.200001,500,28.680081
2015-10-15,30.10,30.10,29.02,29.799999,1700,29.269397
2015-10-14,30.10,30.10,30.10,30.10,000,29.564056
2015-10-13,30.10,30.10,30.10,30.10,000,29.564056
2015-10-12,30.10,30.10,30.10,30.10,200,29.564056
2015-10-09,29.379999,29.60,29.379999,29.40,400,28.876519
2015-10-08,29.65,29.700001,29.610001,29.700001,700,29.171179
2015-10-07,30.08,30.10,29.10,29.10,8000,28.581862
2015-10-06,28.860001,30.50,28.860001,29.77,15500,29.239932
2015-10-05,29.00,29.00,28.799999,28.799999,2700,28.287202
2015-10-02,29.41,29.41,28.91,28.91,2400,28.395244
2015-10-01,28.92,28.92,28.92,28.92,000,28.405066
2015-09-30,28.950001,28.950001,28.92,28.92,400,28.405066
2015-09-29,28.91,28.91,28.91,28.91,000,28.395244
2015-09-28,29.50,29.58,28.91,28.91,1800,28.395244
2015-09-25,29.299999,30.530001,29.219999,30.530001,1000,29.9864
2015-09-24,29.00,29.049999,29.00,29.00,900,28.483642
2015-09-23,29.50,29.76,29.01,29.110001,5000,28.591684
2015-09-22,29.24,30.01,29.209999,29.299999,5500,28.778299
2015-09-21,29.280001,31.700001,29.280001,29.93,1800,29.397083
2015-09-18,30.959999,31.709999,29.190001,29.190001,4300,28.670259
2015-09-17,30.50,30.50,30.290001,30.290001,2300,29.750674
2015-09-16,29.82,30.10,29.65,30.10,3500,29.564056
