Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,26.10,26.469999,26.09,26.120001,820100,26.088782
2015-12-30,26.290001,26.52,25.91,26.34,993500,26.308519
2015-12-29,26.690001,26.84,26.49,26.68,944300,26.648113
2015-12-28,26.549999,26.639999,26.129999,26.27,1142600,26.238603
2015-12-24,26.700001,27.09,26.620001,26.91,601500,26.877837
2015-12-23,25.559999,26.790001,25.219999,26.690001,2161400,26.658101
2015-12-22,24.48,25.030001,24.42,24.870001,1249700,24.840276
2015-12-21,25.07,25.209999,24.299999,24.450001,1969000,24.420778
2015-12-18,25.01,25.360001,24.83,24.889999,1915200,24.860251
2015-12-17,25.18,25.360001,24.620001,24.940001,1664700,24.910192
2015-12-16,25.559999,25.940001,25.48,25.709999,1783000,25.679271
2015-12-15,25.24,25.67,25.17,25.450001,1606300,25.419583
2015-12-14,24.76,25.280001,24.530001,25.030001,1387900,25.000085
2015-12-11,25.030001,25.540001,24.75,24.90,1453500,24.870239
2015-12-10,25.200001,25.620001,24.99,25.33,1066600,25.299726
2015-12-09,25.07,25.790001,24.91,25.209999,1356600,25.179868
2015-12-08,25.200001,25.370001,24.780001,24.799999,2459000,24.770358
2015-12-07,26.48,26.530001,25.82,25.959999,1395200,25.928972
2015-12-04,25.75,26.84,25.66,26.790001,1986100,26.757982
2015-12-03,25.459999,25.77,25.25,25.68,1778000,25.649308
2015-12-02,25.950001,26.08,25.209999,25.25,2204400,25.219821
2015-12-01,25.74,26.17,25.51,26.139999,1676000,26.108757
2015-11-30,25.799999,26.23,25.60,25.73,2074400,25.699247
2015-11-27,25.58,25.950001,25.51,25.68,766200,25.649308
2015-11-25,25.98,26.09,25.34,25.690001,1637300,25.659296
2015-11-24,26.049999,26.379999,25.93,26.07,3052700,26.038841
2015-11-23,27.190001,27.24,25.98,26.00,3120100,25.968925
2015-11-20,27.00,27.58,26.77,27.34,2747200,27.307324
2015-11-19,26.50,27.25,26.50,26.75,2109400,26.718029
2015-11-18,25.90,26.450001,25.620001,26.370001,2151200,26.338484
2015-11-17,25.799999,25.799999,25.120001,25.620001,2087600,25.58938
2015-11-16,26.09,26.309999,25.690001,25.780001,1785100,25.749189
2015-11-13,26.290001,26.42,25.879999,26.10,1505700,26.068806
2015-11-12,26.16,26.389999,25.92,26.18,1907800,26.14871
2015-11-11,26.90,26.98,26.35,26.620001,1158200,26.588185
2015-11-10,26.49,26.959999,26.469999,26.799999,1632300,26.767968
2015-11-09,26.82,26.950001,26.10,26.67,1673800,26.638124
2015-11-06,26.870001,27.200001,26.73,26.950001,1545400,26.91779
2015-11-05,27.60,27.700001,27.25,27.610001,1322200,27.537049
2015-11-04,28.309999,28.370001,27.639999,27.860001,1285900,27.786389
2015-11-03,27.879999,28.440001,27.82,28.15,1227200,28.075621
2015-11-02,27.549999,28.15,27.34,28.040001,1122000,27.965913
2015-10-30,27.68,28.040001,27.49,27.76,1127800,27.686652
2015-10-29,27.879999,28.02,27.530001,27.629999,1068600,27.556995
2015-10-28,27.870001,28.67,27.66,28.07,1490500,27.995833
2015-10-27,28.33,28.48,27.98,28.16,1166100,28.085595
2015-10-26,29.02,29.17,28.52,28.59,876700,28.514459
2015-10-23,28.879999,29.280001,28.67,29.00,1451400,28.923376
2015-10-22,28.10,28.76,28.10,28.440001,1065500,28.364856
2015-10-21,28.629999,28.75,28.02,28.07,1058400,27.995833
2015-10-20,28.42,28.709999,28.129999,28.540001,1305700,28.464592
2015-10-19,28.450001,28.790001,28.190001,28.48,1380300,28.404749
2015-10-16,29.27,29.27,28.620001,28.77,1160500,28.693984
2015-10-15,29.200001,29.459999,29.02,29.35,1212700,29.272451
2015-10-14,29.58,29.77,29.209999,29.41,1199800,29.332292
2015-10-13,29.360001,29.719999,29.030001,29.360001,1043100,29.282425
2015-10-12,30.25,30.25,29.309999,29.84,1436500,29.761156
2015-10-09,29.65,30.23,29.57,30.16,2722000,30.080311
2015-10-08,28.879999,29.120001,28.370001,28.93,2155500,28.853561
2015-10-07,29.530001,29.68,28.690001,28.889999,1995400,28.813666
2015-10-06,28.07,28.90,28.040001,28.68,2009500,28.604222
2015-10-05,27.809999,28.41,27.700001,28.35,1312100,28.275094
2015-10-02,27.09,27.610001,26.75,27.610001,1872700,27.537049
2015-10-01,27.219999,27.620001,26.77,27.209999,2084100,27.138104
2015-09-30,26.59,26.790001,26.139999,26.719999,1956400,26.649399
2015-09-29,25.85,26.120001,25.559999,26.09,1946400,26.021065
2015-09-28,25.93,26.08,25.57,25.879999,2035100,25.811619
