Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,32.98,33.470001,32.700001,32.93,6026400,32.845348
2015-12-30,33.419998,33.720001,33.23,33.25,3142100,33.164525
2015-12-29,33.389999,33.619999,33.290001,33.560001,4152800,33.473729
2015-12-28,32.91,33.110001,32.599998,33.110001,3902000,33.024885
2015-12-24,33.00,33.259998,32.889999,33.049999,1464400,32.965038
2015-12-23,33.139999,33.169998,32.740002,33.060001,6389800,32.975014
2015-12-22,32.549999,32.990002,32.16,32.900002,5330900,32.815426
2015-12-21,32.23,32.400002,31.870001,32.209999,6950100,32.127197
2015-12-18,32.889999,33.029999,31.90,31.91,14251000,31.827969
2015-12-17,34.029999,34.110001,33.080002,33.209999,7335300,33.124627
2015-12-16,33.619999,34.00,32.82,33.810001,15136400,33.723086
2015-12-15,32.689999,33.290001,32.689999,33.18,10841700,33.094705
2015-12-14,32.049999,32.610001,31.620001,32.25,11846900,32.167095
2015-12-11,32.630001,32.799999,31.67,31.77,10214500,31.68833
2015-12-10,33.009998,33.650002,32.880001,33.259998,4641300,33.174497
2015-12-09,33.669998,34.099998,32.84,32.970001,9684800,32.885246
2015-12-08,33.73,34.099998,33.599998,33.860001,6117900,33.772957
2015-12-07,34.389999,34.48,33.880001,34.080002,6641300,33.992393
2015-12-04,33.32,34.52,33.169998,34.509998,14250300,34.421284
2015-12-03,33.790001,33.849998,32.950001,32.98,9018400,32.895218
2015-12-02,34.130001,34.220001,33.48,33.59,7199500,33.503651
2015-12-01,33.919998,34.16,33.459999,34.02,6548600,33.932546
2015-11-30,33.93,33.950001,33.459999,33.709999,6710400,33.623341
2015-11-27,33.689999,33.790001,33.43,33.740002,2004100,33.653267
2015-11-25,33.669998,33.810001,33.43,33.689999,11356600,33.603392
2015-11-24,32.91,33.57,32.790001,33.50,9006800,33.413882
2015-11-23,33.419998,33.549999,33.209999,33.290001,5874500,33.204423
2015-11-20,33.25,33.43,33.16,33.34,9207300,33.254293
2015-11-19,33.360001,33.560001,32.950001,33.040001,7106000,32.955065
2015-11-18,32.869999,33.52,32.77,33.400002,8036400,33.314141
2015-11-17,32.790001,33.240002,32.290001,32.810001,7766000,32.725657
2015-11-16,32.259998,32.59,31.90,32.59,7966700,32.506221
2015-11-13,32.619999,32.91,32.18,32.310001,8309700,32.226942
2015-11-12,33.09,33.259998,32.669998,32.790001,7987900,32.705708
2015-11-11,33.32,33.77,33.32,33.529999,6995200,33.443804
2015-11-10,33.279999,33.459999,32.880001,33.330002,9354800,33.244321
2015-11-09,33.59,33.880001,33.380001,33.490002,17265800,33.403909
2015-11-06,32.52,34.169998,32.52,33.509998,27112100,33.423855
2015-11-05,31.559999,31.799999,31.49,31.57,8704500,31.488843
2015-11-04,31.52,31.73,31.389999,31.440001,7214600,31.359178
2015-11-03,31.26,31.73,31.16,31.49,7132800,31.349202
2015-11-02,30.66,31.48,30.469999,31.370001,7031100,31.22974
2015-10-30,30.90,31.049999,30.48,30.52,6254200,30.38354
2015-10-29,30.940001,31.280001,30.57,31.00,9489300,30.861393
2015-10-28,29.860001,31.049999,29.77,30.940001,25173700,30.801662
2015-10-27,30.120001,30.309999,29.610001,29.85,8956100,29.716536
2015-10-26,30.370001,30.51,30.08,30.450001,6334800,30.313853
2015-10-23,29.91,30.49,29.780001,30.43,11372900,30.293942
2015-10-22,28.959999,29.610001,28.85,29.450001,7644900,29.318324
2015-10-21,29.48,29.620001,28.809999,28.860001,7016000,28.730962
2015-10-20,28.559999,29.40,28.49,29.35,9334600,29.218771
2015-10-19,28.32,28.700001,28.209999,28.50,7015200,28.372571
2015-10-16,28.889999,28.889999,28.35,28.68,9019400,28.551767
2015-10-15,27.82,28.629999,27.73,28.60,7432500,28.472125
2015-10-14,27.98,28.040001,27.51,27.780001,11201100,27.655791
2015-10-13,28.120001,28.540001,28.059999,28.09,5356000,27.964405
2015-10-12,28.15,28.40,27.99,28.389999,5291500,28.263063
2015-10-09,28.34,28.629999,28.09,28.219999,8358700,28.093823
2015-10-08,27.950001,28.49,27.809999,28.33,9136300,28.203331
2015-10-07,27.870001,28.139999,27.48,28.129999,12248900,28.004225
2015-10-06,28.17,28.24,27.60,27.66,13204000,27.536327
2015-10-05,27.91,28.40,27.790001,28.370001,8283600,28.243153
2015-10-02,27.00,27.68,26.40,27.60,30332600,27.476596
2015-10-01,28.52,28.639999,27.84,28.549999,10716100,28.422347
2015-09-30,28.049999,28.59,27.98,28.559999,11409500,28.432302
2015-09-29,27.35,27.799999,27.129999,27.58,13568300,27.456685
2015-09-28,28.049999,28.16,27.10,27.280001,9989600,27.158027
2015-09-25,28.52,29.450001,28.219999,28.42,18246400,28.292929
2015-09-24,28.08,28.200001,27.51,27.879999,13876900,27.755343
2015-09-23,28.33,28.75,28.23,28.48,6852800,28.35266
2015-09-22,28.540001,28.68,27.99,28.33,11576600,28.203331
2015-09-21,28.870001,29.290001,28.700001,29.049999,9777600,28.920111
2015-09-18,29.049999,29.110001,28.450001,28.450001,24464200,28.322796
2015-09-17,31.110001,31.719999,29.629999,29.780001,19452600,29.646849
2015-09-16,30.84,31.219999,30.50,31.110001,9795900,30.970902
2015-09-15,30.41,31.00,30.219999,30.82,9955300,30.682198
2015-09-14,30.440001,30.540001,29.969999,30.23,7141600,30.094836
2015-09-11,30.57,30.57,30.030001,30.49,6891400,30.353673
2015-09-10,30.58,30.93,30.370001,30.60,10879000,30.463182
2015-09-09,31.469999,31.860001,30.50,30.58,8807900,30.443271
2015-09-08,29.82,31.15,29.82,31.10,14208300,30.960947
2015-09-04,29.440001,29.690001,28.83,29.10,7258000,28.969889
2015-09-03,29.57,30.280001,29.35,29.76,10587600,29.626938
2015-09-02,29.620001,29.700001,28.91,29.40,10986100,29.268547
2015-09-01,29.50,29.629999,28.91,29.09,12905000,28.959933
2015-08-31,30.58,30.690001,30.299999,30.379999,7884800,30.244165
2015-08-28,30.200001,30.84,30.00,30.700001,11173500,30.562735
2015-08-27,30.15,30.719999,29.76,30.360001,17298000,30.224255
2015-08-26,29.870001,29.90,28.93,29.74,21359100,29.607027
2015-08-25,30.58,30.58,28.77,28.799999,14719500,28.671229
2015-08-24,28.440001,30.74,27.530001,29.549999,14441200,29.417876
2015-08-21,31.809999,32.00,30.92,30.93,11616700,30.791707
2015-08-20,32.689999,32.75,32.18,32.189999,10267400,32.046071
2015-08-19,33.720001,33.790001,33.09,33.099998,8725500,32.952002
2015-08-18,33.959999,34.09,33.57,33.919998,5640800,33.768336
2015-08-17,34.110001,34.169998,33.59,34.040001,6397800,33.887802
2015-08-14,34.009998,34.330002,33.939999,34.330002,3223000,34.176506
2015-08-13,33.990002,34.200001,33.669998,34.060001,4253700,33.907713
2015-08-12,34.32,34.330002,33.009998,33.849998,10378900,33.698649
2015-08-11,34.66,35.040001,34.419998,34.740002,5121500,34.584673
2015-08-10,35.400002,35.59,35.34,35.419998,6782500,35.261629
2015-08-07,35.049999,35.509998,34.630001,35.029999,5219300,34.873373
2015-08-06,35.509998,35.720001,34.810001,35.099998,6287900,34.94306
2015-08-05,35.50,35.669998,35.290001,35.380001,10247500,35.221811
2015-08-04,34.639999,35.380001,34.630001,35.209999,7528500,34.992838
2015-08-03,34.93,34.98,34.34,34.700001,10479900,34.485985
