Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,16.50,16.76,16.41,16.57,639100,16.051106
2015-12-30,16.459999,16.610001,16.379999,16.50,454500,15.983298
2015-12-29,16.620001,16.690001,16.43,16.540001,323800,16.022046
2015-12-28,16.299999,16.65,16.18,16.57,1099700,16.051106
2015-12-24,16.459999,16.530001,16.360001,16.389999,207400,15.876742
2015-12-23,16.57,16.60,16.299999,16.469999,737300,15.954237
2015-12-22,15.30,16.35,15.10,16.299999,1267400,15.78956
2015-12-21,15.36,15.37,15.03,15.19,782800,14.714321
2015-12-18,15.19,15.39,15.16,15.19,1016400,14.714321
2015-12-17,15.77,15.77,15.18,15.19,1026000,14.714321
2015-12-16,15.64,15.73,15.45,15.73,537200,15.23741
2015-12-15,15.41,15.57,15.36,15.41,554100,14.927432
2015-12-14,15.31,15.40,15.01,15.33,976800,14.849937
2015-12-11,15.48,15.54,15.30,15.32,1165500,14.84025
2015-12-10,15.86,15.95,15.50,15.61,1053900,15.121168
2015-12-09,16.26,16.370001,15.65,15.82,1759300,15.324592
2015-12-08,16.15,16.42,15.91,16.219999,1258800,15.712066
2015-12-07,17.01,17.040001,16.60,16.73,1293700,15.770187
2015-12-04,17.17,17.209999,16.860001,16.99,1179600,16.015271
2015-12-03,17.309999,17.379999,17.049999,17.17,809600,16.184945
2015-12-02,17.360001,17.459999,17.02,17.18,803700,16.194371
2015-12-01,17.35,17.440001,17.10,17.42,930300,16.420602
2015-11-30,17.66,17.66,17.059999,17.32,1135400,16.326339
2015-11-27,17.50,17.799999,17.379999,17.690001,609400,16.675112
2015-11-25,17.040001,17.49,17.00,17.440001,1019100,16.439455
2015-11-24,16.98,17.16,16.76,17.16,802000,16.175518
2015-11-23,16.950001,16.950001,16.719999,16.85,858900,15.883304
2015-11-20,17.09,17.139999,16.870001,16.959999,550200,15.986992
2015-11-19,16.870001,17.08,16.809999,17.08,539300,16.100108
2015-11-18,16.85,16.99,16.709999,16.92,526500,15.949287
2015-11-17,17.049999,17.049999,16.780001,16.83,466400,15.864451
2015-11-16,16.629999,17.110001,16.52,17.08,495300,16.100108
2015-11-13,16.57,16.75,16.35,16.629999,508300,15.675924
2015-11-12,16.91,16.91,16.50,16.65,469600,15.694777
2015-11-11,16.90,16.950001,16.58,16.639999,453600,15.685351
2015-11-10,16.76,16.950001,16.709999,16.93,377000,15.958714
2015-11-09,16.950001,16.950001,16.68,16.77,417800,15.807893
2015-11-06,16.77,16.959999,16.700001,16.959999,327600,15.986992
2015-11-05,16.959999,17.02,16.709999,16.870001,461500,15.902157
2015-11-04,17.299999,17.34,16.969999,16.98,907100,16.005845
2015-11-03,17.18,17.32,17.00,17.299999,562300,16.307486
2015-11-02,16.99,17.219999,16.940001,17.129999,505700,16.147239
2015-10-30,16.879999,17.139999,16.790001,17.09,564400,16.109534
2015-10-29,17.01,17.27,16.75,16.85,507800,15.883304
2015-10-28,16.85,17.16,16.799999,17.110001,515900,16.128388
2015-10-27,17.00,17.030001,16.58,16.82,880600,15.855024
2015-10-26,17.58,17.58,17.040001,17.139999,738200,16.156665
2015-10-23,17.469999,17.66,17.379999,17.559999,788100,16.55257
2015-10-22,17.360001,17.469999,17.200001,17.370001,530400,16.373471
2015-10-21,17.34,17.43,17.209999,17.23,396100,16.241502
2015-10-20,17.219999,17.43,17.110001,17.34,377800,16.345192
2015-10-19,17.25,17.309999,17.139999,17.24,474900,16.250929
2015-10-16,17.360001,17.42,17.26,17.34,446300,16.345192
2015-10-15,17.24,17.35,17.07,17.35,609200,16.354618
2015-10-14,17.10,17.35,17.030001,17.24,590400,16.250929
2015-10-13,17.27,17.43,17.01,17.049999,1283100,16.071828
2015-10-12,17.440001,17.459999,17.23,17.379999,1001000,16.382896
2015-10-09,17.52,17.540001,17.33,17.43,578400,16.430029
2015-10-08,17.40,17.559999,17.33,17.450001,586600,16.448882
2015-10-07,17.48,17.59,17.110001,17.41,1580400,16.411176
2015-10-06,17.049999,17.389999,16.98,17.33,1782100,16.335765
2015-10-05,16.49,17.10,16.48,17.07,1815200,16.090681
2015-10-02,16.15,16.40,16.08,16.389999,795200,15.449693
2015-10-01,16.290001,16.50,16.01,16.190001,1059200,15.261169
2015-09-30,16.120001,16.290001,15.89,16.25,789600,15.317726
2015-09-29,16.01,16.129999,15.75,15.82,771600,14.912395
2015-09-28,15.86,16.07,15.63,15.90,726000,14.987805
2015-09-25,16.40,16.459999,15.83,15.85,769200,14.940674
2015-09-24,16.27,16.42,16.10,16.290001,606300,15.355432
2015-09-23,16.459999,16.469999,16.129999,16.27,569400,15.336579
2015-09-22,16.370001,16.57,16.27,16.40,488200,15.45912
2015-09-21,16.629999,16.799999,16.440001,16.540001,432200,15.591089
2015-09-18,16.26,16.549999,16.209999,16.50,759800,15.553383
2015-09-17,16.42,16.75,16.370001,16.530001,892300,15.581663
2015-09-16,16.15,16.450001,16.129999,16.379999,637100,15.440267
2015-09-15,15.81,16.09,15.77,16.08,479600,15.157479
2015-09-14,15.90,15.92,15.66,15.75,491000,14.846411
2015-09-11,15.76,16.10,15.76,15.94,485700,15.02551
2015-09-10,15.99,16.08,15.72,15.88,515700,14.968953
2015-09-09,16.74,16.799999,16.370001,16.389999,789000,15.034936
2015-09-08,16.719999,16.76,16.40,16.58,605500,15.209228
2015-09-04,16.33,16.530001,16.25,16.469999,438000,15.108322
2015-09-03,16.52,16.700001,16.360001,16.48,551800,15.117495
2015-09-02,16.51,16.540001,16.15,16.469999,608200,15.108322
2015-09-01,16.33,16.790001,16.16,16.35,920900,14.998244
2015-08-31,16.68,16.90,16.40,16.799999,621000,15.411039
2015-08-28,16.450001,16.959999,16.450001,16.73,1361100,15.346826
2015-08-27,16.15,16.58,16.08,16.450001,1359300,15.089977
2015-08-26,15.35,16.02,14.97,16.00,1096100,14.67718
2015-08-25,15.48,15.54,14.79,14.90,697900,13.668124
2015-08-24,14.02,14.89,13.00,14.43,1071800,13.236982
2015-08-21,15.10,15.30,14.81,15.09,920300,13.842416
2015-08-20,15.74,15.88,15.35,15.38,606900,14.10844
2015-08-19,16.110001,16.110001,15.62,15.73,503300,14.429502
2015-08-18,16.290001,16.379999,16.09,16.129999,289200,14.796432
2015-08-17,16.01,16.35,15.62,16.35,536200,14.998244
2015-08-14,16.120001,16.27,15.95,16.08,460000,14.750566
2015-08-13,16.290001,16.360001,16.07,16.120001,378300,14.78726
2015-08-12,16.34,16.50,16.17,16.360001,379500,15.007417
2015-08-11,16.42,16.549999,16.10,16.389999,495200,15.034936
2015-08-10,16.17,16.60,16.120001,16.57,792000,15.200055
