Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.30,4.32,4.12,4.14,812800,4.105885
2015-12-30,4.67,4.76,4.29,4.31,429800,4.274484
2015-12-29,4.92,4.94,4.71,4.77,252800,4.730694
2015-12-28,4.85,4.89,4.70,4.87,302300,4.8021
2015-12-24,4.86,4.91,4.75,4.87,65500,4.8021
2015-12-23,4.46,4.97,4.44,4.88,512800,4.811961
2015-12-22,4.69,4.69,4.36,4.43,251400,4.368235
2015-12-21,4.20,4.71,4.20,4.62,323000,4.555586
2015-12-18,4.06,4.19,4.05,4.18,262700,4.12172
2015-12-17,4.09,4.15,4.05,4.08,237300,4.023115
2015-12-16,4.15,4.18,4.07,4.11,398800,4.052697
2015-12-15,4.02,4.23,3.99,4.13,327700,4.072418
2015-12-14,4.30,4.49,4.02,4.03,531900,3.973812
2015-12-11,4.24,4.42,4.16,4.38,316900,4.318932
2015-12-10,4.68,4.80,4.53,4.56,155000,4.496422
2015-12-09,4.75,5.05,4.67,4.70,2171400,4.63447
2015-12-08,4.48,4.89,4.31,4.72,106700,4.654191
2015-12-07,5.08,5.08,4.58,4.59,370000,4.526004
2015-12-04,5.33,5.47,5.19,5.22,144300,5.14722
2015-12-03,5.43,5.53,5.30,5.31,92500,5.235965
2015-12-02,5.56,5.68,5.42,5.43,135100,5.354292
2015-12-01,5.49,5.65,5.39,5.59,123700,5.512062
2015-11-30,5.33,5.67,5.30,5.46,220900,5.383874
2015-11-27,5.49,5.49,5.28,5.43,77800,5.354292
2015-11-25,5.85,5.90,5.42,5.49,206200,5.413456
2015-11-24,5.54,6.10,5.54,5.82,158700,5.722092
2015-11-23,5.43,5.64,5.31,5.57,229300,5.476298
2015-11-20,5.37,5.53,5.29,5.46,217200,5.368148
2015-11-19,5.71,5.75,5.32,5.41,364000,5.318989
2015-11-18,5.90,6.02,5.75,5.77,228400,5.672933
2015-11-17,6.52,6.52,5.85,5.89,294100,5.790914
2015-11-16,6.53,6.72,6.40,6.54,136500,6.42998
2015-11-13,6.49,6.59,6.26,6.47,113000,6.361157
2015-11-12,6.48,6.72,6.37,6.53,134000,6.420148
2015-11-11,6.76,6.87,6.48,6.48,89000,6.370989
2015-11-10,6.91,7.02,6.76,6.78,139100,6.665942
2015-11-09,7.22,7.26,6.85,6.87,186900,6.754428
2015-11-06,7.50,7.50,7.22,7.26,87300,7.137867
2015-11-05,7.68,7.68,7.38,7.51,89400,7.383662
2015-11-04,7.89,7.95,7.57,7.61,167900,7.481979
2015-11-03,7.90,8.29,7.87,7.90,54700,7.767101
2015-11-02,7.71,8.07,7.60,7.92,64600,7.786764
2015-10-30,7.70,7.76,7.53,7.65,153500,7.521306
2015-10-29,7.87,7.98,7.65,7.76,113200,7.629456
2015-10-28,8.00,8.22,7.82,7.99,144100,7.855586
2015-10-27,8.46,8.56,8.00,8.03,298900,7.858536
2015-10-26,8.71,8.80,8.48,8.58,171600,8.396792
2015-10-23,8.68,8.73,8.45,8.66,97900,8.475084
2015-10-22,8.42,8.72,8.40,8.66,59800,8.475084
2015-10-21,8.64,8.64,8.40,8.53,95800,8.34786
2015-10-20,8.73,8.79,8.57,8.68,74200,8.494657
2015-10-19,8.99,8.99,8.62,8.77,93200,8.582736
2015-10-16,8.86,9.06,8.53,8.99,144800,8.798037
2015-10-15,8.98,9.03,8.68,8.79,130500,8.602308
2015-10-14,9.14,9.20,8.76,8.88,156500,8.690386
2015-10-13,9.10,9.38,9.06,9.11,155300,8.915475
2015-10-12,9.21,9.37,9.02,9.20,52200,9.003553
2015-10-09,9.57,9.62,9.21,9.24,124200,9.042699
2015-10-08,9.48,9.69,9.39,9.58,116400,9.375439
2015-10-07,9.50,9.65,9.21,9.54,114200,9.336293
2015-10-06,9.24,9.49,9.16,9.46,198500,9.258002
2015-10-05,9.70,9.73,9.18,9.18,132800,8.983981
2015-10-02,9.41,9.74,9.28,9.71,106200,9.502664
2015-10-01,9.47,9.53,9.22,9.40,83800,9.199282
2015-09-30,9.35,9.80,9.25,9.46,88600,9.258002
2015-09-29,9.06,9.60,8.95,9.35,129200,9.150351
2015-09-28,8.96,9.09,8.75,9.00,93400,8.807824
2015-09-25,8.37,9.05,8.32,8.98,103600,8.736382
2015-09-24,8.40,8.72,8.30,8.34,187600,8.113745
2015-09-23,8.76,8.77,8.25,8.53,172800,8.29859
2015-09-22,8.97,9.18,8.74,8.82,150200,8.580723
2015-09-21,9.45,9.47,9.09,9.11,107100,8.862856
2015-09-18,9.75,9.80,9.27,9.37,119600,9.115802
2015-09-17,9.89,10.01,9.75,9.76,88100,9.495222
2015-09-16,9.77,9.99,9.68,9.98,152500,9.709253
2015-09-15,9.82,10.05,9.64,9.68,133800,9.417393
2015-09-14,9.74,9.96,9.61,9.75,90200,9.485493
2015-09-11,10.22,10.26,9.82,9.86,119500,9.592509
2015-09-10,10.42,10.47,10.22,10.23,41800,9.952471
2015-09-09,10.24,10.61,10.21,10.36,110700,10.078945
2015-09-08,10.19,10.38,10.11,10.21,136300,9.933014
2015-09-04,10.30,10.35,10.15,10.21,170300,9.933014
2015-09-03,10.46,10.82,10.29,10.31,116800,10.030302
2015-09-02,10.66,10.71,10.27,10.51,144800,10.224876
2015-09-01,10.74,10.91,10.56,10.60,81500,10.312434
