Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.72,6.75,6.66,6.66,506400,6.545567
2015-12-30,6.90,6.90,6.79,6.81,386700,6.69299
2015-12-29,6.78,6.84,6.78,6.82,291400,6.702818
2015-12-28,6.74,6.79,6.70,6.78,601500,6.663505
2015-12-24,6.78,6.87,6.77,6.82,311600,6.702818
2015-12-23,6.76,6.80,6.73,6.78,583800,6.663505
2015-12-22,6.68,6.73,6.62,6.70,528200,6.58488
2015-12-21,6.66,6.69,6.59,6.65,687000,6.535739
2015-12-18,6.53,6.59,6.50,6.57,1280400,6.457114
2015-12-17,6.76,6.77,6.60,6.61,780700,6.496426
2015-12-16,6.62,6.70,6.54,6.67,807100,6.555395
2015-12-15,6.65,6.73,6.61,6.63,1548800,6.516083
2015-12-14,6.56,6.60,6.45,6.48,1139700,6.36866
2015-12-11,6.63,6.71,6.58,6.59,1225800,6.47677
2015-12-10,6.94,6.96,6.85,6.88,1363300,6.663505
2015-12-09,7.01,7.07,6.91,6.93,1414700,6.711932
2015-12-08,6.98,7.00,6.93,6.94,830100,6.721617
2015-12-07,7.16,7.19,7.12,7.14,786400,6.915324
2015-12-04,7.28,7.38,7.23,7.37,666500,7.138086
2015-12-03,7.36,7.38,7.20,7.25,956700,7.021862
2015-12-02,7.32,7.36,7.28,7.29,1169800,7.060604
2015-12-01,7.34,7.37,7.24,7.28,1217900,7.050919
2015-11-30,7.29,7.30,7.23,7.26,865600,7.031548
2015-11-27,7.23,7.25,7.18,7.21,796200,6.983121
2015-11-25,6.93,7.04,6.93,6.98,623700,6.760359
2015-11-24,6.94,7.02,6.94,6.97,796300,6.750673
2015-11-23,7.16,7.17,7.10,7.11,718800,6.886268
2015-11-20,7.18,7.19,7.08,7.12,579300,6.895953
2015-11-19,7.06,7.16,7.06,7.11,626600,6.886268
2015-11-18,7.05,7.12,7.01,7.10,819400,6.876582
2015-11-17,7.01,7.03,6.92,6.95,778200,6.731302
2015-11-16,6.88,6.98,6.87,6.98,577900,6.760359
2015-11-13,6.93,6.96,6.86,6.91,391700,6.692561
2015-11-12,7.07,7.09,7.00,7.00,361400,6.779729
2015-11-11,7.12,7.15,7.06,7.07,308600,6.847527
2015-11-10,7.06,7.11,7.02,7.08,390800,6.857212
2015-11-09,7.24,7.24,7.11,7.14,500800,6.915324
2015-11-06,7.09,7.18,7.07,7.18,465600,6.954065
2015-11-05,7.09,7.13,7.04,7.06,585900,6.837841
2015-11-04,7.07,7.09,6.97,7.03,514700,6.808785
2015-11-03,6.95,7.09,6.94,7.05,513600,6.828156
2015-11-02,6.98,7.04,6.97,7.04,846100,6.81847
2015-10-30,6.87,6.95,6.85,6.89,1144300,6.67319
2015-10-29,6.73,6.84,6.70,6.79,1847700,6.576337
2015-10-28,7.14,7.27,7.12,7.21,1436900,6.983121
2015-10-27,7.46,7.52,7.20,7.26,2923200,7.031548
2015-10-26,7.58,7.60,7.42,7.49,983300,7.25431
2015-10-23,7.84,7.87,7.79,7.86,490000,7.612667
2015-10-22,7.71,7.78,7.69,7.78,735700,7.535185
2015-10-21,7.65,7.66,7.56,7.57,419200,7.331793
2015-10-20,7.44,7.50,7.44,7.45,258800,7.215569
2015-10-19,7.43,7.48,7.39,7.47,768700,7.234939
2015-10-16,7.40,7.47,7.34,7.46,850200,7.225254
2015-10-15,7.30,7.44,7.26,7.42,1562200,7.186513
2015-10-14,7.08,7.25,7.07,7.24,1067300,7.012177
2015-10-13,7.06,7.18,7.06,7.09,690000,6.866897
2015-10-12,7.24,7.27,7.19,7.24,809700,7.012177
2015-10-09,7.39,7.42,7.33,7.35,578000,7.118716
2015-10-08,7.21,7.32,7.15,7.31,615800,7.079974
2015-10-07,7.27,7.31,7.15,7.25,869600,7.021862
2015-10-06,7.12,7.18,7.07,7.13,979100,6.905639
2015-10-05,6.93,7.01,6.92,6.99,737500,6.770044
