Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.059999,25.059999,24.67,24.790001,9000,24.701315
2015-12-30,25.15,25.18,24.90,25.110001,5500,25.02017
2015-12-29,24.99,25.309999,24.99,25.25,21500,25.159669
2015-12-28,25.889999,25.889999,24.879999,24.879999,2200,24.715264
2015-12-24,25.059999,25.42,25.059999,25.280001,5800,25.112617
2015-12-23,25.24,25.290001,24.950001,25.18,11100,25.013279
2015-12-22,24.90,25.16,24.84,25.10,4100,24.933809
2015-12-21,24.73,25.059999,24.469999,24.99,22900,24.824536
2015-12-18,24.950001,24.98,24.450001,24.65,17300,24.486787
2015-12-17,25.08,25.120001,24.82,25.059999,3900,24.894073
2015-12-16,24.93,25.379999,24.52,25.26,8700,25.092749
2015-12-15,24.65,25.10,24.370001,24.93,32300,24.764934
2015-12-14,24.790001,24.969999,24.540001,24.60,19700,24.437119
2015-12-11,25.27,25.309999,24.75,24.889999,7800,24.725198
2015-12-10,25.280001,25.809999,25.280001,25.67,5200,25.500034
2015-12-09,25.290001,25.48,24.84,25.360001,11900,25.192087
2015-12-08,25.549999,25.549999,24.950001,25.42,7600,25.25169
2015-12-07,25.950001,25.969999,25.370001,25.879999,23100,25.708643
2015-12-04,26.190001,26.33,25.82,26.08,5100,25.907319
2015-12-03,26.309999,26.34,25.879999,26.280001,15200,26.105996
2015-12-02,26.280001,26.43,25.99,26.280001,26900,26.105996
2015-12-01,25.93,26.59,25.83,26.440001,30800,26.264936
2015-11-30,25.83,26.360001,25.799999,25.879999,26300,25.708643
2015-11-27,25.66,25.84,25.66,25.809999,1300,25.639107
2015-11-25,25.35,25.799999,25.35,25.73,15800,25.559637
2015-11-24,24.99,25.50,24.99,25.34,8600,25.172219
2015-11-23,24.74,25.15,24.74,25.049999,8100,24.884139
2015-11-20,25.129999,25.17,24.75,24.799999,10400,24.635794
2015-11-19,24.76,25.17,24.76,25.110001,8500,24.943743
2015-11-18,24.93,25.10,24.68,24.91,19100,24.745066
2015-11-17,25.00,25.02,24.799999,24.93,9600,24.764934
2015-11-16,24.280001,25.01,24.280001,24.950001,31100,24.784802
2015-11-13,24.50,24.610001,24.24,24.440001,7300,24.278179
2015-11-12,24.90,24.90,24.49,24.66,11100,24.496722
2015-11-11,25.139999,25.18,24.91,25.17,7800,25.003345
2015-11-10,24.67,25.25,24.67,25.219999,16700,25.053013
2015-11-09,25.040001,25.17,24.85,24.98,27600,24.814602
2015-11-06,24.91,25.15,24.629999,25.110001,10900,24.943743
2015-11-05,24.50,25.120001,24.440001,25.049999,25600,24.884139
2015-11-04,25.110001,25.110001,24.690001,24.940001,10700,24.774868
2015-11-03,24.940001,25.219999,24.75,25.209999,3600,25.043079
2015-11-02,25.09,25.15,24.549999,25.00,26200,24.83447
2015-10-30,24.879999,25.17,24.85,25.09,8800,24.923875
