Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.82,19.92,19.43,19.48,1175100,19.308506
2015-12-30,19.790001,19.93,19.74,19.860001,909800,19.685162
2015-12-29,19.879999,20.02,19.77,19.85,1190000,19.67525
2015-12-28,19.67,19.84,19.540001,19.790001,962000,19.615779
2015-12-24,19.799999,19.83,19.65,19.75,382100,19.57613
2015-12-23,19.370001,19.809999,19.35,19.76,1162000,19.586042
2015-12-22,19.07,19.35,18.98,19.32,1053700,19.149915
2015-12-21,18.969999,19.110001,18.84,19.049999,1106300,18.882292
2015-12-18,19.01,19.209999,18.76,18.91,4150000,18.743525
2015-12-17,19.25,19.280001,18.969999,18.99,2282800,18.82282
2015-12-16,18.93,19.309999,18.870001,19.24,1813300,19.07062
2015-12-15,18.620001,18.889999,18.50,18.85,1966600,18.684054
2015-12-14,18.49,18.639999,18.25,18.530001,2325500,18.366871
2015-12-11,18.35,18.639999,18.27,18.52,1984000,18.356959
2015-12-10,18.719999,18.75,18.40,18.469999,2053700,18.307398
2015-12-09,18.59,18.889999,18.51,18.690001,1805200,18.525462
2015-12-08,18.450001,18.629999,18.35,18.620001,1702800,18.456079
2015-12-07,18.639999,18.639999,18.450001,18.549999,1997300,18.386693
2015-12-04,18.57,18.82,18.50,18.75,1391100,18.584934
2015-12-03,18.75,18.92,18.43,18.559999,1734300,18.396606
2015-12-02,19.00,19.01,18.77,18.809999,1839800,18.644405
2015-12-01,19.00,19.10,18.85,19.07,1118000,18.902116
2015-11-30,19.09,19.309999,18.870001,18.950001,2404000,18.783174
2015-11-27,19.110001,19.24,19.00,19.07,585600,18.902116
2015-11-25,18.860001,19.129999,18.860001,19.049999,1296300,18.882292
2015-11-24,18.68,18.93,18.52,18.870001,1571000,18.703878
2015-11-23,18.860001,19.00,18.75,18.76,1349100,18.594846
2015-11-20,18.799999,19.049999,18.76,18.809999,1659600,18.644405
2015-11-19,18.549999,18.84,18.540001,18.76,2035100,18.594846
2015-11-18,18.16,18.51,18.02,18.49,2207200,18.327222
2015-11-17,18.639999,18.639999,18.290001,18.379999,1582000,18.010039
2015-11-16,18.35,18.690001,18.35,18.690001,1644500,18.3138
2015-11-13,18.65,18.75,18.299999,18.389999,1399000,18.019838
2015-11-12,18.950001,19.07,18.629999,18.65,1974700,18.274604
2015-11-11,19.01,19.09,18.65,18.969999,2307200,18.588163
2015-11-10,18.75,19.02,18.59,19.01,2619900,18.627359
2015-11-09,18.969999,19.00,18.549999,18.74,1785700,18.362793
2015-11-06,19.530001,19.549999,18.799999,19.040001,3819000,18.656756
2015-11-05,20.50,20.67,19.82,19.85,2389000,19.450451
2015-11-04,20.700001,20.98,20.700001,20.780001,1681700,20.361732
2015-11-03,20.68,20.77,20.52,20.709999,1627700,20.293139
2015-11-02,20.65,20.76,20.540001,20.66,1435300,20.244147
2015-10-30,20.719999,20.91,20.49,20.65,6931000,20.234348
2015-10-29,20.620001,20.780001,20.49,20.700001,1333800,20.283342
2015-10-28,20.90,21.10,20.52,20.68,1449100,20.263744
2015-10-27,20.790001,20.93,20.620001,20.889999,1957300,20.469517
2015-10-26,20.459999,20.91,20.43,20.83,2282100,20.410725
2015-10-23,21.08,21.139999,20.32,20.370001,1964700,19.959985
2015-10-22,20.950001,21.209999,20.950001,21.08,847800,20.655693
2015-10-21,21.08,21.18,20.860001,20.90,745100,20.479315
2015-10-20,20.98,21.200001,20.90,21.049999,906200,20.626296
2015-10-19,20.889999,21.08,20.85,21.040001,782000,20.616499
2015-10-16,20.860001,21.030001,20.790001,20.969999,749900,20.547906
2015-10-15,20.50,20.809999,20.41,20.809999,878400,20.391127
2015-10-14,20.540001,20.639999,20.42,20.469999,933300,20.05797
2015-10-13,20.51,20.639999,20.49,20.530001,569000,20.116764
2015-10-12,20.450001,20.709999,20.450001,20.59,800700,20.175556
2015-10-09,20.66,20.709999,20.379999,20.450001,861900,20.038374
2015-10-08,20.309999,20.67,20.25,20.629999,1053000,20.21475
2015-10-07,20.219999,20.459999,20.200001,20.34,1390300,19.930588
2015-10-06,20.360001,20.450001,20.08,20.129999,1220500,19.724814
2015-10-05,20.110001,20.43,20.01,20.379999,1610200,19.969782
2015-10-02,19.40,20.00,19.27,20.00,1842100,19.597431
2015-10-01,19.43,19.549999,19.26,19.42,1811600,19.029106
2015-09-30,19.059999,19.469999,19.040001,19.41,1443600,19.019307
2015-09-29,19.129999,19.27,18.969999,19.040001,1189400,18.656756
2015-09-28,19.09,19.25,18.940001,19.10,1096300,18.715547
2015-09-25,19.08,19.34,19.02,19.15,1033000,18.76454
2015-09-24,18.889999,19.139999,18.82,19.08,1186500,18.69595
2015-09-23,18.92,19.10,18.889999,18.950001,1116900,18.568567
2015-09-22,19.16,19.280001,18.860001,18.889999,1612200,18.509773
2015-09-21,19.290001,19.50,19.219999,19.26,1269000,18.872327
2015-09-18,19.08,19.40,19.059999,19.23,1836500,18.84293
2015-09-17,19.07,19.530001,19.059999,19.26,1332000,18.872327
2015-09-16,18.879999,19.17,18.860001,19.10,1106200,18.715547
2015-09-15,18.700001,18.84,18.59,18.83,963600,18.450982
2015-09-14,18.58,18.75,18.51,18.68,1107200,18.304001
2015-09-11,18.68,18.68,18.389999,18.59,1738700,18.215813
2015-09-10,18.77,19.07,18.719999,18.84,2152100,18.460781
2015-09-09,18.639999,18.98,18.639999,18.790001,900200,18.411788
2015-09-08,18.719999,18.93,18.559999,18.84,1392800,18.460781
2015-09-04,18.700001,18.780001,18.43,18.59,1266500,18.215813
2015-09-03,18.959999,19.08,18.75,18.870001,1618600,18.490177
2015-09-02,19.209999,19.299999,18.809999,18.940001,1878200,18.558768
2015-09-01,19.049999,19.280001,19.00,19.08,2440700,18.69595
2015-08-31,19.530001,19.620001,19.17,19.309999,2986800,18.92132
2015-08-28,18.940001,19.629999,18.93,19.629999,3422600,19.234878
2015-08-27,18.82,19.00,18.559999,18.98,1993200,18.597962
2015-08-26,18.799999,18.84,18.290001,18.690001,1515500,18.3138
2015-08-25,19.27,19.27,18.49,18.50,1938000,18.127624
2015-08-24,18.91,19.360001,18.48,18.950001,2964800,18.568567
2015-08-21,19.459999,19.549999,19.139999,19.299999,4751500,18.911521
2015-08-20,20.049999,20.15,19.59,19.629999,4975400,19.234878
2015-08-19,21.370001,21.379999,20.99,21.17,1457900,20.743881
2015-08-18,21.82,21.889999,21.58,21.629999,657400,20.988849
2015-08-17,21.66,21.870001,21.57,21.85,740100,21.202329
2015-08-14,21.57,21.67,21.40,21.639999,944100,20.998553
2015-08-13,21.450001,21.639999,21.360001,21.43,896000,20.794779
2015-08-12,21.27,21.530001,21.27,21.51,2011000,20.872408
2015-08-11,20.91,21.370001,20.83,21.32,2078400,20.688039
2015-08-10,21.23,21.40,20.82,21.01,2780800,20.387228
2015-08-07,20.77,21.370001,20.52,21.26,2509500,20.629818
2015-08-06,21.75,21.950001,20.299999,20.799999,5418600,20.183452
2015-08-05,21.91,22.200001,21.91,22.07,1639300,21.415808
2015-08-04,22.110001,22.209999,21.809999,21.83,901400,21.182922
2015-08-03,22.17,22.280001,22.02,22.15,733500,21.493436
2015-07-31,22.02,22.290001,21.870001,22.139999,1382700,21.483732
2015-07-30,21.719999,22.02,21.68,21.84,704500,21.192626
2015-07-29,21.620001,21.84,21.57,21.82,855200,21.173218
2015-07-28,21.65,21.74,21.43,21.68,859500,21.037369
2015-07-27,21.34,21.77,21.299999,21.639999,627400,20.998553
2015-07-24,21.440001,21.52,21.35,21.41,604200,20.775371
2015-07-23,21.68,21.68,21.389999,21.42,888800,20.785075
2015-07-22,21.530001,21.77,21.530001,21.709999,726400,21.066478
2015-07-21,21.60,21.719999,21.469999,21.58,972100,20.940332
2015-07-20,21.719999,21.73,21.459999,21.60,609600,20.95974
2015-07-17,21.860001,21.959999,21.719999,21.719999,726800,21.076182
2015-07-16,21.66,21.91,21.60,21.91,569000,21.26055
2015-07-15,21.59,21.700001,21.50,21.610001,346200,20.969444
2015-07-14,21.57,21.65,21.49,21.60,573100,20.95974
2015-07-13,21.530001,21.77,21.450001,21.57,706800,20.930628
2015-07-10,21.48,21.700001,21.440001,21.50,591100,20.862704
2015-07-09,21.889999,21.99,21.450001,21.459999,1067200,20.823888
2015-07-08,21.870001,21.959999,21.610001,21.790001,985700,21.144109
2015-07-07,21.450001,22.040001,21.450001,21.99,1392900,21.338179
2015-07-06,21.280001,21.50,21.15,21.43,1257200,20.794779
2015-07-02,21.01,21.52,20.84,21.34,1134300,20.707447
2015-07-01,20.969999,21.120001,20.809999,20.889999,862700,20.270785
2015-06-30,21.18,21.27,20.879999,20.91,1028500,20.290192
2015-06-29,21.190001,21.43,21.08,21.09,834600,20.464857
2015-06-26,21.139999,21.370001,21.07,21.34,984400,20.707447
2015-06-25,21.309999,21.32,21.110001,21.16,706700,20.532782
2015-06-24,21.40,21.49,21.280001,21.290001,690000,20.658929
2015-06-23,21.58,21.60,21.360001,21.440001,566200,20.804483
2015-06-22,21.549999,21.709999,21.35,21.620001,898100,20.979148
2015-06-19,21.67,21.719999,21.459999,21.48,1157700,20.843296
2015-06-18,21.629999,21.790001,21.629999,21.66,763800,21.017961
2015-06-17,21.469999,21.77,21.40,21.60,1296300,20.95974
2015-06-16,21.190001,21.309999,21.059999,21.23,782400,20.600707
2015-06-15,21.190001,21.34,20.969999,21.18,576600,20.552189
2015-06-12,21.43,21.43,21.15,21.23,764700,20.600707
2015-06-11,21.50,21.610001,21.379999,21.450001,1071100,20.814187
