Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,56.110001,56.619999,54.939999,55.16,199900,54.790991
2015-12-30,56.220001,56.630001,55.900002,55.91,131300,55.535974
2015-12-29,55.810001,56.709999,55.810001,56.27,162500,55.893566
2015-12-28,54.150002,56.00,54.099998,55.540001,566700,55.16845
2015-12-24,54.220001,54.610001,54.099998,54.290001,44200,53.926812
2015-12-23,53.700001,54.360001,53.66,54.349998,126500,53.986409
2015-12-22,52.66,53.59,52.130001,53.52,228600,53.161963
2015-12-21,52.91,53.169998,52.41,52.66,145500,52.307716
2015-12-18,52.439999,53.150002,52.209999,52.66,698200,52.307716
2015-12-17,52.900002,53.099998,52.400002,52.790001,168400,52.436847
2015-12-16,51.27,52.939999,51.099998,52.799999,243500,52.446778
2015-12-15,50.669998,51.279999,50.669998,51.060001,171500,50.718421
2015-12-14,50.970001,51.490002,50.529999,50.779999,173500,50.440291
2015-12-11,51.02,51.75,50.849998,51.09,210900,50.748219
2015-12-10,52.07,52.459999,51.349998,51.48,194000,51.135609
2015-12-09,52.209999,52.68,51.970001,52.18,191000,51.830927
2015-12-08,52.150002,52.580002,51.970001,52.32,131300,51.96999
2015-12-07,52.040001,52.490002,51.619999,52.470001,256800,52.118988
2015-12-04,52.549999,52.950001,51.630001,52.200001,363300,51.850794
2015-12-03,54.09,54.130001,52.080002,52.50,642500,52.148786
2015-12-02,55.779999,55.779999,54.16,54.610001,226200,54.244671
2015-12-01,56.150002,56.439999,55.619999,56.02,225500,55.645239
2015-11-30,56.630001,56.740002,55.900002,56.080002,176200,55.704839
2015-11-27,56.060001,56.59,56.009998,56.52,52400,56.141894
2015-11-25,56.779999,56.82,56.00,56.080002,132600,55.704839
2015-11-24,56.59,57.150002,56.099998,56.869999,134200,56.489551
2015-11-23,56.509998,57.09,56.490002,56.73,91400,56.350488
2015-11-20,56.560001,57.07,56.360001,56.52,139700,56.141894
2015-11-19,55.759998,56.380001,55.759998,56.189999,107000,55.8141
2015-11-18,54.75,55.790001,54.43,55.689999,185900,55.317444
2015-11-17,55.220001,55.75,54.439999,54.669998,131000,54.304268
2015-11-16,54.57,55.50,54.57,55.34,240000,54.969787
2015-11-13,55.09,55.82,54.50,54.560001,158900,54.195007
2015-11-12,56.299999,56.869999,55.220001,55.279999,252000,54.910187
2015-11-11,56.66,57.23,56.66,56.849998,170500,56.067392
2015-11-10,55.700001,56.669998,55.700001,56.66,242400,55.880009
