Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.92,9.19,8.50,8.60,27000,8.60
2015-12-30,9.24,9.24,8.90,8.96,6800,8.96
2015-12-29,9.21,9.28,9.20,9.24,12500,9.24
2015-12-28,9.21,9.37,9.21,9.26,11100,9.26
2015-12-24,8.79,9.18,8.75,9.18,5800,9.18
2015-12-23,8.27,8.80,8.15,8.68,26600,8.68
2015-12-22,8.35,8.67,8.02,8.64,11100,8.64
2015-12-21,8.42,8.74,8.23,8.33,14200,8.33
2015-12-18,8.35,8.42,8.21,8.38,58900,8.38
2015-12-17,8.34,8.54,8.34,8.40,30400,8.40
2015-12-16,8.21,8.54,8.21,8.33,31400,8.33
2015-12-15,8.25,8.58,8.20,8.30,13700,8.30
2015-12-14,8.75,9.12,8.20,8.27,17400,8.27
2015-12-11,8.68,9.14,8.68,8.78,29800,8.78
2015-12-10,8.92,9.47,8.76,8.98,22400,8.98
2015-12-09,9.37,9.46,8.91,9.03,18800,9.03
2015-12-08,9.16,9.42,9.01,9.19,10500,9.19
2015-12-07,9.27,9.35,9.13,9.25,18500,9.25
2015-12-04,9.42,9.48,9.33,9.35,15900,9.35
2015-12-03,9.74,9.87,9.21,9.38,28200,9.38
2015-12-02,9.69,9.79,9.49,9.58,13500,9.58
2015-12-01,9.73,10.00,9.67,9.72,24900,9.72
2015-11-30,9.99,9.99,9.62,9.67,23500,9.67
2015-11-27,9.95,9.99,9.94,9.97,1900,9.97
2015-11-25,9.65,9.98,9.44,9.95,15200,9.95
2015-11-24,9.48,9.65,9.48,9.63,18600,9.63
2015-11-23,9.44,9.64,9.04,9.57,19700,9.57
2015-11-20,9.46,9.59,9.34,9.48,15700,9.48
2015-11-19,9.40,9.60,9.17,9.19,9800,9.19
2015-11-18,9.18,9.71,9.18,9.58,33400,9.58
2015-11-17,9.23,9.36,8.87,8.99,18700,8.99
2015-11-16,9.41,9.41,8.91,9.17,20600,9.17
2015-11-13,8.88,8.98,8.81,8.90,18700,8.90
2015-11-12,8.87,9.10,8.82,8.88,14400,8.88
2015-11-11,9.11,9.11,8.88,8.96,8200,8.96
2015-11-10,8.88,9.29,8.88,9.06,14800,9.06
2015-11-09,9.14,9.36,8.84,9.05,17400,9.05
2015-11-06,9.14,9.41,9.13,9.28,17500,9.28
2015-11-05,8.91,9.37,8.91,9.30,27600,9.30
2015-11-04,8.40,9.24,8.03,9.08,32600,9.08
2015-11-03,9.60,9.82,9.54,9.67,18200,9.67
2015-11-02,9.31,9.65,9.26,9.62,17300,9.62
2015-10-30,9.57,9.68,9.26,9.27,8200,9.27
2015-10-29,9.70,9.87,9.52,9.55,7000,9.55
2015-10-28,9.24,9.84,9.10,9.79,17400,9.79
2015-10-27,9.24,9.39,8.79,8.83,24700,8.83
2015-10-26,9.38,9.50,9.13,9.20,10500,9.20
2015-10-23,9.32,9.54,9.09,9.40,21600,9.40
2015-10-22,9.01,9.48,9.01,9.28,14900,9.28
2015-10-21,9.82,9.94,9.26,9.33,15400,9.33
2015-10-20,9.37,9.67,9.14,9.60,21800,9.60
2015-10-19,9.43,9.66,9.30,9.47,30300,9.47
2015-10-16,9.65,9.68,9.22,9.56,17600,9.56
2015-10-15,9.26,9.67,9.10,9.65,12500,9.65
2015-10-14,9.56,9.61,9.15,9.27,11600,9.27
2015-10-13,9.65,9.65,9.16,9.32,23800,9.32
