Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.14,14.34,14.10,14.12,776100,14.023552
2015-12-30,14.43,14.44,14.23,14.28,682300,14.182459
2015-12-29,14.43,14.50,14.35,14.46,613400,14.36123
2015-12-28,14.32,14.41,14.12,14.30,708900,14.202323
2015-12-24,14.34,14.49,14.28,14.40,594800,14.301639
2015-12-23,14.26,14.38,14.16,14.37,645500,14.271845
2015-12-22,14.14,14.19,13.91,14.16,837100,14.063279
2015-12-21,14.03,14.19,13.84,14.06,1455800,13.963963
2015-12-18,14.08,14.19,13.78,13.95,6316200,13.854713
2015-12-17,14.49,14.49,14.16,14.25,1351000,14.152664
2015-12-16,14.51,14.52,14.15,14.44,1292800,14.341366
2015-12-15,14.18,14.45,14.09,14.35,1504300,14.251982
2015-12-14,14.04,14.20,13.84,13.98,1587900,13.884508
2015-12-11,14.18,14.25,13.97,14.05,1060400,13.954031
2015-12-10,14.37,14.57,14.27,14.41,1077500,14.311571
2015-12-09,14.61,14.74,14.28,14.38,1301000,14.281776
2015-12-08,14.82,14.94,14.60,14.65,1082800,14.549932
2015-12-07,15.29,15.29,14.90,14.99,1038300,14.887609
2015-12-04,15.08,15.40,15.01,15.35,856900,15.245151
2015-12-03,15.42,15.45,14.98,15.01,1022200,14.907473
2015-12-02,15.51,15.54,15.26,15.28,2123800,15.175629
2015-12-01,15.42,15.49,15.18,15.47,2409700,15.364331
2015-11-30,15.52,15.54,15.30,15.32,2446000,15.215355
2015-11-27,15.46,15.51,15.37,15.49,329800,15.384194
2015-11-25,15.43,15.50,15.35,15.46,741700,15.354399
2015-11-24,15.27,15.44,15.20,15.40,1130900,15.294809
2015-11-23,15.41,15.57,15.33,15.35,779800,15.245151
2015-11-20,15.39,15.50,15.35,15.42,840300,15.314673
2015-11-19,15.33,15.41,15.21,15.35,698200,15.245151
2015-11-18,15.12,15.38,15.07,15.36,1233300,15.255082
2015-11-17,15.06,15.28,14.97,15.06,1049700,14.957132
2015-11-16,14.77,15.02,14.65,15.00,1074400,14.897541
2015-11-13,14.93,15.05,14.75,14.83,909500,14.728703
2015-11-12,15.30,15.33,14.96,14.97,827300,14.867747
2015-11-11,15.68,15.68,15.32,15.42,965200,15.314673
2015-11-10,15.38,15.56,15.30,15.56,1184900,15.453717
2015-11-09,15.39,15.56,15.32,15.49,1917100,15.309706
2015-11-06,15.07,15.54,15.01,15.34,3513100,15.161452
2015-11-05,15.30,15.44,14.75,14.83,4632300,14.657388
2015-11-04,15.73,15.76,15.63,15.67,956100,15.487611
2015-11-03,15.73,15.83,15.62,15.68,1137700,15.497495
2015-11-02,15.44,15.80,15.39,15.77,1381300,15.586448
2015-10-30,15.54,15.61,15.29,15.39,1528500,15.210871
2015-10-29,15.81,15.94,15.53,15.57,1759500,15.388775
2015-10-28,15.27,15.81,15.18,15.81,3546400,15.625982
2015-10-27,15.30,15.42,15.13,15.21,1113500,15.032965
2015-10-26,15.58,15.62,15.33,15.41,1462300,15.230637
2015-10-23,15.50,15.61,15.21,15.58,1282600,15.398659
2015-10-22,15.44,15.60,15.18,15.31,1384000,15.131802
2015-10-21,15.63,15.63,15.21,15.25,1110300,15.0725
2015-10-20,15.41,15.59,15.34,15.55,1085300,15.369008
2015-10-19,15.28,15.49,15.25,15.36,685900,15.181219
2015-10-16,15.38,15.44,15.25,15.37,711300,15.191103
2015-10-15,15.13,15.34,15.03,15.32,734300,15.141685
2015-10-14,15.45,15.45,14.97,15.03,837700,14.85506
2015-10-13,15.54,15.66,15.46,15.48,609000,15.299822
2015-10-12,15.45,15.63,15.40,15.59,677400,15.408543
2015-10-09,15.63,15.73,15.42,15.48,866100,15.299822
2015-10-08,15.48,15.68,15.41,15.63,781600,15.448077
2015-10-07,15.42,15.63,15.35,15.54,1777400,15.359124
2015-10-06,15.23,15.41,15.18,15.29,1243000,15.112034
2015-10-05,15.11,15.35,15.03,15.30,1038700,15.121918
2015-10-02,14.87,15.00,14.52,15.00,1071600,14.82541
2015-10-01,15.15,15.26,14.97,15.23,1465100,15.052732
2015-09-30,15.21,15.21,14.96,15.16,1247000,14.983547
2015-09-29,14.90,15.01,14.81,14.98,1099700,14.805642
