Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.30,10.30,10.30,10.30,100,10.30
2015-12-30,10.20,10.20,9.35,10.04,2800,10.04
2015-12-29,9.33,9.37,9.33,9.37,400,9.37
2015-12-28,9.62,9.79,9.55,9.55,1900,9.55
2015-12-24,9.30,9.65,9.30,9.54,1300,9.54
2015-12-23,9.02,9.48,9.01,9.30,1000,9.30
2015-12-22,9.45,9.46,9.45,9.45,300,9.45
2015-12-21,10.39,10.39,9.00,9.00,1000,9.00
2015-12-18,11.55,11.55,10.21,10.47,24400,10.47
2015-12-17,8.57,10.46,8.56,9.96,4800,9.96
2015-12-16,9.00,9.00,8.55,8.99,2600,8.99
2015-12-15,8.55,8.96,8.55,8.55,3300,8.55
2015-12-14,8.55,8.57,8.55,8.55,2700,8.55
2015-12-11,8.55,8.56,8.55,8.55,1600,8.55
2015-12-10,8.67,8.67,8.55,8.55,2700,8.55
2015-12-09,8.55,8.70,8.55,8.67,1600,8.67
2015-12-08,8.56,8.56,8.55,8.55,1500,8.55
2015-12-07,9.26,9.26,8.55,8.56,4800,8.56
2015-12-04,9.75,9.75,9.75,9.75,300,9.75
2015-12-03,9.50,9.50,9.01,9.46,400,9.46
2015-12-02,8.58,8.58,8.58,8.58,400,8.58
2015-12-01,8.54,8.61,8.50,8.61,1000,8.61
2015-11-30,8.98,9.00,8.98,9.00,2100,9.00
2015-11-27,8.67,8.67,8.67,8.67,000,8.67
2015-11-25,8.49,8.67,8.49,8.67,700,8.67
2015-11-24,8.05,8.46,8.05,8.46,500,8.46
2015-11-23,8.95,8.95,8.80,8.80,800,8.80
2015-11-20,8.57,8.59,8.05,8.45,4400,8.45
2015-11-19,8.53,8.58,8.53,8.55,1000,8.55
2015-11-18,8.63,8.63,8.25,8.25,2400,8.25
2015-11-17,10.50,10.50,8.27,8.30,6400,8.30
2015-11-16,11.00,11.00,10.00,10.00,1200,10.00
2015-11-13,11.41,11.41,10.52,10.52,2500,10.52
2015-11-12,12.64,12.64,12.64,12.64,000,12.64
2015-11-11,12.64,12.64,12.64,12.64,200,12.64
2015-11-10,13.00,13.00,11.55,11.55,4100,11.55
2015-11-09,11.70,12.14,11.70,12.14,1500,12.14
2015-11-06,10.87,10.87,10.87,10.87,100,10.87
2015-11-05,11.53,11.53,11.37,11.37,1200,11.37
2015-11-04,11.73,11.75,11.52,11.52,600,11.52
