Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,11.12,11.12,11.03,11.06,1123400,11.06
2015-12-30,11.33,11.36,11.26,11.30,1208300,11.30
2015-12-29,11.37,11.43,11.31,11.40,987300,11.40
2015-12-28,11.37,11.38,11.27,11.30,1467100,11.30
2015-12-24,11.49,11.49,11.42,11.46,566900,11.46
2015-12-23,11.31,11.39,11.30,11.38,1772900,11.38
2015-12-22,11.06,11.13,11.00,11.09,1592700,11.09
2015-12-21,11.06,11.10,10.91,10.96,1932500,10.96
2015-12-18,11.23,11.26,11.13,11.15,2661400,11.15
2015-12-17,11.72,11.72,11.51,11.54,3586900,11.54
2015-12-16,11.69,11.74,11.59,11.70,6941400,11.70
2015-12-15,11.68,11.74,11.57,11.59,1679200,11.59
2015-12-14,11.44,11.47,11.25,11.35,2055600,11.35
2015-12-11,11.59,11.64,11.48,11.50,1790800,11.50
2015-12-10,11.68,11.75,11.65,11.66,1910300,11.66
2015-12-09,11.83,12.00,11.74,11.82,1824500,11.82
2015-12-08,11.82,11.88,11.76,11.80,1875700,11.80
2015-12-07,12.12,12.12,11.99,12.05,2145400,12.05
2015-12-04,12.00,12.11,11.97,12.11,4495300,12.11
2015-12-03,12.36,12.38,12.11,12.13,2388400,12.13
2015-12-02,12.19,12.30,12.10,12.13,4725200,12.13
2015-12-01,12.31,12.34,12.21,12.30,1053100,12.30
2015-11-30,12.27,12.32,12.24,12.27,1157000,12.27
2015-11-27,12.29,12.31,12.23,12.27,565500,12.27
2015-11-25,12.09,12.23,12.06,12.19,1200400,12.19
2015-11-24,12.07,12.22,12.06,12.17,1408500,12.17
2015-11-23,12.17,12.22,12.08,12.11,1194800,12.11
2015-11-20,12.57,12.60,12.43,12.45,1153000,12.45
2015-11-19,12.56,12.63,12.53,12.58,985500,12.58
2015-11-18,12.63,12.66,12.40,12.54,1595200,12.54
2015-11-17,12.65,12.77,12.62,12.68,1754400,12.68
2015-11-16,12.34,12.48,12.34,12.47,987500,12.47
2015-11-13,12.70,12.78,12.63,12.72,1134700,12.344
2015-11-12,12.77,12.87,12.74,12.76,967600,12.382818
2015-11-11,13.04,13.10,12.97,12.98,804000,12.596314
2015-11-10,12.85,12.90,12.81,12.88,1873600,12.499271
2015-11-09,12.92,12.92,12.73,12.80,1895400,12.421636
2015-11-06,13.06,13.12,12.91,13.01,1917300,12.625428
2015-11-05,13.48,13.50,13.35,13.36,1340000,12.965082
2015-11-04,13.49,13.50,13.32,13.35,1291800,12.955378
2015-11-03,13.26,13.53,13.23,13.44,2483900,13.042717
2015-11-02,13.32,13.35,13.24,13.30,1044100,12.906856
2015-10-30,13.11,13.27,13.10,13.17,815900,12.780698
2015-10-29,13.05,13.13,13.04,13.09,557900,12.703063
2015-10-28,13.04,13.25,12.99,13.11,965300,12.722472
2015-10-27,13.03,13.09,12.99,13.01,743100,12.625428
2015-10-26,13.19,13.30,13.19,13.27,720300,12.877743
2015-10-23,13.28,13.32,13.16,13.24,965900,12.848629
