Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.03,14.15,13.59,13.62,93000,13.521304
2015-12-30,14.72,14.94,14.08,14.13,84200,14.027609
2015-12-29,14.68,14.96,14.53,14.79,63500,14.682826
2015-12-28,14.58,14.74,14.33,14.68,56300,14.573624
2015-12-24,14.34,14.79,14.32,14.69,26700,14.58355
2015-12-23,14.06,14.67,14.05,14.27,75900,14.166595
2015-12-22,13.62,14.11,13.47,13.97,94000,13.868768
2015-12-21,13.59,14.53,13.30,13.64,84700,13.54116
2015-12-18,13.49,14.03,13.40,13.44,264300,13.342608
2015-12-17,14.27,14.27,13.53,13.56,75400,13.46174
2015-12-16,14.48,14.57,13.98,14.30,64800,14.196377
2015-12-15,14.32,14.53,14.19,14.44,56100,14.226159
2015-12-14,14.34,14.48,14.04,14.25,87200,14.038973
2015-12-11,14.30,14.59,14.19,14.26,73900,14.048825
2015-12-10,14.55,15.00,14.44,14.64,177100,14.423198
2015-12-09,14.48,14.99,14.41,14.57,63200,14.354234
2015-12-08,15.02,15.04,14.45,14.51,96400,14.295123
2015-12-07,15.46,15.56,15.09,15.17,94700,14.945349
2015-12-04,15.39,15.61,15.28,15.50,84700,15.270462
2015-12-03,15.42,15.65,15.11,15.28,98200,15.05372
2015-12-02,15.37,15.61,15.30,15.35,59600,15.122684
2015-12-01,15.80,15.81,15.20,15.42,90000,15.191647
2015-11-30,15.46,15.85,15.26,15.76,72400,15.526612
2015-11-27,15.07,15.55,14.88,15.39,31900,15.162091
2015-11-25,15.04,15.21,14.82,15.10,82700,14.876386
2015-11-24,14.69,15.03,14.30,15.00,76900,14.777867
2015-11-23,14.92,15.12,14.61,14.78,55600,14.561124
2015-11-20,15.16,15.54,14.79,14.90,76100,14.679347
2015-11-19,14.77,15.12,14.67,15.05,53100,14.827126
2015-11-18,14.82,14.95,14.61,14.81,90000,14.590681
2015-11-17,14.75,14.85,14.43,14.76,59400,14.541421
2015-11-16,14.61,14.81,14.40,14.70,55000,14.482309
2015-11-13,14.21,14.78,14.19,14.59,74200,14.373938
2015-11-12,14.33,14.47,14.15,14.35,96300,14.137493
2015-11-11,15.20,15.22,14.14,14.42,120900,14.206456
2015-11-10,15.99,16.129999,15.08,15.27,126000,15.043869
2015-11-09,15.88,17.10,15.58,16.17,137900,15.93054
2015-11-06,15.26,15.68,14.86,15.57,77700,15.339425
2015-11-05,15.19,15.43,14.82,15.41,63500,15.181795
2015-11-04,15.09,15.20,14.82,15.18,58200,14.955201
2015-11-03,14.73,15.39,14.69,15.10,91100,14.876386
2015-11-02,14.20,14.75,13.72,14.67,109100,14.452754
2015-10-30,14.59,14.74,14.09,14.26,81600,14.048825
2015-10-29,14.56,14.91,14.52,14.61,134300,14.393642
2015-10-28,14.31,15.04,14.11,14.76,85300,14.541421
2015-10-27,14.45,14.45,13.86,14.17,68700,13.960158
2015-10-26,14.93,14.98,14.37,14.56,60200,14.344383
2015-10-23,14.87,15.11,14.67,14.91,60800,14.689199
2015-10-22,14.47,14.99,14.47,14.80,57700,14.580829
2015-10-21,14.81,14.81,14.36,14.42,39300,14.206456
2015-10-20,14.54,14.87,14.43,14.74,50100,14.521717
2015-10-19,14.65,14.97,14.49,14.60,36600,14.383791
2015-10-16,15.04,15.04,14.43,14.77,86300,14.551273
2015-10-15,14.97,15.05,14.39,14.95,121600,14.728607
2015-10-14,14.76,15.16,14.60,14.97,90700,14.748311
2015-10-13,14.66,14.92,14.52,14.73,77400,14.511865
2015-10-12,15.16,15.16,14.67,14.72,51300,14.502013
2015-10-09,15.65,15.84,15.19,15.19,112300,14.965052
2015-10-08,15.15,15.77,15.15,15.65,95100,15.41824
2015-10-07,14.97,15.96,14.82,15.23,246000,15.00446
2015-10-06,14.85,15.25,14.60,14.82,91500,14.600532
2015-10-05,14.24,15.06,14.19,14.81,113700,14.590681
2015-10-02,12.92,14.11,12.88,14.10,160200,13.891195
2015-10-01,13.07,13.15,12.67,13.09,148900,12.896152
2015-09-30,13.08,13.32,12.94,13.08,107600,12.8863
2015-09-29,12.94,13.10,12.88,12.90,108500,12.708965
2015-09-28,12.71,13.18,12.71,12.97,103400,12.777929
2015-09-25,12.91,13.03,12.71,12.86,100900,12.669557
2015-09-24,12.60,12.90,12.42,12.84,118500,12.649854
2015-09-23,12.89,12.89,12.58,12.63,112400,12.442964
2015-09-22,13.17,13.23,12.70,12.76,141700,12.571039
2015-09-21,13.06,13.35,13.01,13.31,90700,13.112894
2015-09-18,12.95,13.10,12.80,12.93,241500,12.738521
2015-09-17,13.03,13.36,12.80,13.11,140400,12.915855
2015-09-16,12.95,13.23,12.88,13.12,123000,12.925707
2015-09-15,13.13,13.28,12.90,12.99,87400,12.689261
2015-09-14,13.23,13.23,12.89,13.05,64200,12.747872
2015-09-11,13.39,13.44,12.86,13.25,133100,12.943242
