Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.64,8.67,8.45,8.49,333000,8.49
2015-12-30,8.75,8.76,8.63,8.63,306100,8.63
2015-12-29,8.86,8.89,8.79,8.85,223600,8.85
2015-12-28,8.68,8.71,8.65,8.70,233800,8.70
2015-12-24,8.71,8.76,8.69,8.72,114100,8.72
2015-12-23,8.76,8.81,8.71,8.79,318700,8.79
2015-12-22,8.54,8.62,8.51,8.56,393200,8.56
2015-12-21,8.86,8.88,8.71,8.76,285500,8.76
2015-12-18,8.77,8.83,8.71,8.75,314700,8.75
2015-12-17,9.04,9.11,8.96,9.01,448200,9.01
2015-12-16,8.92,8.98,8.79,8.96,670100,8.96
2015-12-15,8.81,8.85,8.72,8.78,894400,8.78
2015-12-14,8.43,8.49,8.30,8.38,909400,8.38
2015-12-11,8.62,8.64,8.46,8.48,478900,8.48
2015-12-10,9.04,9.04,8.73,8.75,728700,8.75
2015-12-09,9.32,9.36,9.19,9.24,553400,9.24
2015-12-08,9.28,9.32,9.25,9.28,360700,9.28
2015-12-07,9.35,9.35,9.22,9.26,434500,9.26
2015-12-04,9.45,9.50,9.36,9.42,1046200,9.42
2015-12-03,9.63,9.68,9.53,9.60,299900,9.60
2015-12-02,9.65,9.67,9.55,9.56,244400,9.56
2015-12-01,9.61,9.67,9.59,9.65,255700,9.65
2015-11-30,9.65,9.71,9.50,9.52,404300,9.52
2015-11-27,9.57,9.66,9.51,9.65,134300,9.65
2015-11-25,9.90,10.03,9.85,9.90,229000,9.90
2015-11-24,10.30,10.30,9.84,9.86,1260700,9.86
2015-11-23,10.63,10.64,10.48,10.54,271700,10.54
2015-11-20,10.65,10.77,10.61,10.66,171800,10.66
2015-11-19,10.56,10.61,10.49,10.53,281200,10.53
2015-11-18,10.52,10.63,10.47,10.63,289400,10.63
2015-11-17,10.38,10.40,10.29,10.32,267900,10.32
2015-11-16,10.15,10.16,10.04,10.12,148800,10.12
2015-11-13,10.29,10.31,10.15,10.18,432700,10.18
2015-11-12,10.00,10.20,9.99,10.18,292500,10.18
2015-11-11,10.16,10.16,9.99,10.04,172400,10.04
2015-11-10,10.05,10.10,9.95,10.06,314500,10.06
2015-11-09,10.10,10.20,9.98,10.11,429300,10.11
2015-11-06,10.22,10.23,10.02,10.09,278800,10.09
2015-11-05,10.48,10.49,10.36,10.45,223500,10.45
2015-11-04,10.57,10.70,10.46,10.50,546000,10.50
2015-11-03,10.41,10.49,10.34,10.47,462000,10.47
2015-11-02,10.48,10.48,10.21,10.40,792000,10.40
2015-10-30,9.82,9.97,9.78,9.91,253000,9.91
2015-10-29,10.07,10.07,9.87,9.96,303000,9.96
2015-10-28,9.98,10.13,9.92,10.06,410100,10.06
2015-10-27,9.98,10.01,9.75,9.86,581600,9.86
2015-10-26,10.02,10.06,9.94,10.01,383200,10.01
2015-10-23,9.99,10.03,9.90,9.94,344900,9.94
2015-10-22,9.89,10.04,9.80,9.92,1252900,9.92
2015-10-21,9.64,9.78,9.62,9.76,1182800,9.76
2015-10-20,9.74,9.74,9.60,9.68,687100,9.68
2015-10-19,9.59,9.70,9.57,9.65,494000,9.65
2015-10-16,9.68,9.68,9.45,9.59,461000,9.59
2015-10-15,9.71,9.74,9.58,9.71,392100,9.71
2015-10-14,9.54,9.64,9.53,9.60,459500,9.60
2015-10-13,9.48,9.48,9.35,9.39,295100,9.39
2015-10-12,9.63,9.67,9.56,9.61,347400,9.61
2015-10-09,9.56,9.57,9.41,9.46,239600,9.46
2015-10-08,9.45,9.56,9.44,9.55,301400,9.55
2015-10-07,9.34,9.52,9.32,9.44,327100,9.44
2015-10-06,9.05,9.15,9.03,9.12,281800,9.12
2015-10-05,9.00,9.12,8.99,9.05,287500,9.05
2015-10-02,8.63,9.01,8.62,8.97,362700,8.97
2015-10-01,8.70,8.76,8.56,8.62,501300,8.62
2015-09-30,8.81,8.85,8.66,8.68,438000,8.68
2015-09-29,8.77,8.85,8.74,8.82,392300,8.82
2015-09-28,8.84,8.86,8.68,8.68,407800,8.68
2015-09-25,8.87,8.96,8.82,8.87,614700,8.87
2015-09-24,8.96,8.96,8.76,8.86,768200,8.86
2015-09-23,9.14,9.20,8.96,8.96,236200,8.96
2015-09-22,9.10,9.17,9.02,9.14,236500,9.14
2015-09-21,9.27,9.31,9.13,9.15,351700,9.15
2015-09-18,9.19,9.52,9.19,9.26,1625700,9.26
2015-09-17,9.20,9.55,9.13,9.34,729400,9.34
2015-09-16,9.10,9.15,9.04,9.06,683000,9.06
2015-09-15,8.85,9.09,8.85,9.05,557000,9.05
2015-09-14,8.64,8.85,8.62,8.78,916400,8.78
2015-09-11,8.72,8.82,8.71,8.82,163100,8.82
2015-09-10,8.80,8.85,8.72,8.82,527700,8.82
2015-09-09,9.01,9.05,8.80,8.81,363000,8.81
2015-09-08,9.19,9.21,9.00,9.08,477300,9.08
2015-09-04,9.27,9.29,9.13,9.15,340700,9.15
2015-09-03,9.39,9.43,9.29,9.32,442600,9.32
2015-09-02,9.69,9.69,9.53,9.64,98200,9.64
2015-09-01,9.55,9.68,9.54,9.59,239900,9.59
2015-08-31,9.74,9.86,9.69,9.76,239300,9.76
2015-08-28,9.72,9.80,9.69,9.78,151300,9.78
2015-08-27,9.98,10.03,9.84,9.91,202100,9.91
2015-08-26,9.83,9.96,9.59,9.72,280700,9.72
2015-08-25,9.52,9.58,9.31,9.31,283100,9.31
2015-08-24,9.26,9.26,9.15,9.21,388100,9.21
2015-08-21,9.96,9.96,9.77,9.77,180500,9.77
2015-08-20,9.97,10.26,9.92,10.08,302100,10.08
2015-08-19,10.14,10.21,10.02,10.15,336900,10.15
2015-08-18,10.36,10.38,10.29,10.35,223900,10.35
2015-08-17,10.51,10.60,10.44,10.51,115800,10.51
2015-08-14,10.54,10.63,10.51,10.55,119400,10.55
2015-08-13,10.58,10.58,10.43,10.50,194900,10.50
2015-08-12,10.76,10.89,10.74,10.85,201800,10.85
2015-08-11,10.85,10.98,10.83,10.89,303300,10.89
2015-08-10,10.74,10.89,10.72,10.85,331800,10.85
2015-08-07,10.81,10.94,10.80,10.92,344400,10.92
2015-08-06,11.10,11.10,10.93,11.01,264700,11.01
2015-08-05,11.20,11.20,11.07,11.11,159800,11.11
2015-08-04,11.07,11.24,11.06,11.15,154800,11.15
2015-08-03,11.16,11.16,10.92,11.04,337700,11.04
2015-07-31,11.49,11.55,11.43,11.48,288300,11.48
2015-07-30,11.03,11.52,11.03,11.44,203400,11.44
2015-07-29,11.24,11.29,11.08,11.09,261400,11.09
2015-07-28,11.12,11.25,11.05,11.19,347200,11.19
2015-07-27,11.01,11.02,10.80,10.84,176000,10.84
2015-07-24,11.25,11.32,11.04,11.16,302600,11.16
2015-07-23,11.41,11.43,11.13,11.20,323500,11.20
2015-07-22,11.49,11.66,11.49,11.66,145700,11.66
2015-07-21,11.56,11.71,11.56,11.64,139400,11.64
2015-07-20,11.52,11.54,11.40,11.54,109000,11.54
2015-07-17,11.75,11.77,11.64,11.73,157900,11.73
2015-07-16,11.66,11.76,11.57,11.76,233300,11.76
2015-07-15,11.75,11.75,11.57,11.62,167600,11.62
2015-07-14,11.87,11.93,11.81,11.90,158400,11.90
2015-07-13,11.82,11.90,11.78,11.89,161700,11.89
2015-07-10,11.72,11.86,11.70,11.78,228400,11.78
2015-07-09,11.56,11.66,11.56,11.58,200300,11.58
2015-07-08,11.33,11.36,11.19,11.22,184400,11.22
2015-07-07,11.65,11.75,11.47,11.73,235300,11.73
2015-07-06,11.59,11.74,11.54,11.74,174600,11.74
2015-07-02,11.49,11.62,11.43,11.57,251200,11.57
2015-07-01,11.53,11.56,11.29,11.41,379600,11.41
2015-06-30,11.57,11.59,11.47,11.49,127400,11.49
2015-06-29,11.42,11.43,11.26,11.27,149900,11.27
2015-06-26,11.79,11.81,11.64,11.67,375900,11.67
2015-06-25,11.86,11.92,11.77,11.80,635100,11.80
2015-06-24,11.77,11.86,11.69,11.71,326300,11.71
2015-06-23,11.72,11.80,11.65,11.78,400600,11.78
2015-06-22,11.53,11.75,11.52,11.74,309000,11.74
2015-06-19,11.33,11.42,11.28,11.39,295800,11.39
2015-06-18,11.25,11.36,11.20,11.32,345400,11.32
2015-06-17,10.95,11.09,10.95,11.08,284200,11.08
2015-06-16,10.84,10.90,10.81,10.84,156200,10.84
2015-06-15,10.91,10.91,10.65,10.72,625200,10.72
2015-06-12,11.04,11.09,11.02,11.04,327800,11.04
2015-06-11,11.07,11.13,10.96,11.06,180800,11.06
2015-06-10,10.86,10.99,10.82,10.90,336800,10.90
2015-06-09,10.66,10.80,10.64,10.72,391300,10.72
2015-06-08,10.62,10.77,10.54,10.74,570700,10.74
2015-06-05,11.31,11.35,11.23,11.33,229600,11.33
2015-06-04,11.47,11.56,11.37,11.39,326600,11.39
2015-06-03,11.18,11.35,11.18,11.30,173600,11.30
2015-06-02,10.89,11.06,10.89,11.01,162100,11.01
2015-06-01,10.93,10.99,10.87,10.91,568800,10.91
2015-05-29,11.20,11.20,10.97,11.02,631100,11.02
2015-05-28,11.24,11.24,11.04,11.22,536700,11.22
2015-05-27,11.10,11.32,11.05,11.31,214400,11.31
2015-05-26,11.43,11.45,11.25,11.36,213600,11.36
2015-05-22,11.59,11.72,11.58,11.67,315800,11.67
2015-05-21,11.63,11.67,11.58,11.62,231800,11.62
2015-05-20,11.68,11.70,11.58,11.63,195900,11.63
2015-05-19,11.77,11.86,11.65,11.84,224900,11.84
2015-05-18,11.98,11.98,11.80,11.81,161500,11.81
2015-05-15,11.90,12.03,11.84,12.01,240300,12.01
2015-05-14,12.01,12.08,11.96,12.02,346100,12.02
2015-05-13,11.79,11.85,11.71,11.73,271800,11.73
2015-05-12,11.63,11.69,11.61,11.64,328500,11.64
2015-05-11,11.43,11.59,11.42,11.52,337800,11.52
2015-05-08,11.44,11.50,11.30,11.30,245600,11.30
2015-05-07,11.05,11.20,11.05,11.16,517600,11.16
2015-05-06,10.87,10.91,10.78,10.81,146000,10.81
2015-05-05,10.80,10.83,10.73,10.77,232700,10.77
2015-05-04,10.79,10.83,10.72,10.78,359600,10.78
2015-05-01,11.12,11.13,11.02,11.09,180900,11.09
2015-04-30,11.16,11.17,11.02,11.06,485300,11.06
2015-04-29,11.59,11.67,11.47,11.53,392200,11.53
2015-04-28,11.39,11.58,11.39,11.48,468900,11.48
2015-04-27,11.25,11.44,11.25,11.37,338400,11.37
2015-04-24,11.03,11.23,11.03,11.18,375000,11.18
2015-04-23,10.89,11.00,10.89,10.96,386100,10.96
2015-04-22,10.91,10.97,10.86,10.90,377800,10.90
2015-04-21,10.77,10.85,10.75,10.83,385200,10.83
2015-04-20,10.69,10.69,10.61,10.65,266600,10.65
2015-04-17,10.69,10.83,10.67,10.76,402000,10.76
2015-04-16,10.63,10.72,10.60,10.72,478800,10.72
2015-04-15,10.61,10.61,10.43,10.53,699700,10.53
2015-04-14,10.65,10.74,10.62,10.64,787600,10.64
2015-04-13,10.76,10.79,10.71,10.72,593700,10.72
2015-04-10,10.84,10.91,10.82,10.90,492500,10.90
2015-04-09,10.86,10.90,10.75,10.82,576300,10.82
2015-04-08,10.75,10.86,10.75,10.79,653200,10.79
2015-04-07,11.06,11.16,11.01,11.06,921500,11.06
2015-04-06,11.45,11.57,11.42,11.43,429600,11.43
2015-04-02,11.38,11.52,11.37,11.47,445600,11.47
2015-04-01,11.41,11.51,11.32,11.39,709900,11.39
2015-03-31,12.76,13.04,12.67,13.03,1144800,11.313
2015-03-30,12.87,12.95,12.80,12.95,633500,11.243542
2015-03-27,12.80,12.88,12.66,12.88,573300,11.182766
2015-03-26,13.10,13.16,12.85,12.87,643800,11.174084
2015-03-25,13.32,13.43,13.19,13.36,2686900,11.599515
2015-03-24,12.77,12.79,12.54,12.60,528000,10.939663
2015-03-23,12.84,12.96,12.76,12.93,1561900,11.226178
2015-03-20,12.42,12.52,12.42,12.50,193300,10.85284
2015-03-19,12.33,12.46,12.22,12.32,242300,10.696559
2015-03-18,12.10,12.42,12.00,12.35,552300,10.722606
2015-03-17,12.22,12.30,12.11,12.30,602400,10.679195
2015-03-16,12.08,12.10,11.87,11.95,311300,10.375315
2015-03-13,12.07,12.09,11.92,11.96,188300,10.383997
2015-03-12,12.15,12.26,12.07,12.18,406100,10.575007
2015-03-11,11.85,12.00,11.75,11.92,290700,10.349268
2015-03-10,11.91,11.95,11.76,11.76,361400,10.210352
2015-03-09,12.23,12.32,12.19,12.20,296400,10.592371
2015-03-06,12.18,12.26,12.03,12.08,455300,10.488184
2015-03-05,12.40,12.43,12.24,12.27,457600,10.653148
2015-03-04,12.52,12.53,12.38,12.47,920300,10.826793
2015-03-03,12.85,12.95,12.77,12.78,329300,11.095943
