Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.57,14.95,14.48,14.68,1004900,14.531717
2015-12-30,14.86,14.94,14.48,14.57,1290000,14.422828
2015-12-29,15.04,15.19,14.52,14.85,1038500,14.70
2015-12-28,14.99,15.07,14.72,15.03,1155900,14.878181
2015-12-24,15.43,15.44,14.93,15.05,830900,14.89798
2015-12-23,15.50,15.73,15.31,15.40,1209300,15.244444
2015-12-22,14.70,15.50,14.58,15.41,1948200,15.254343
2015-12-21,14.70,14.94,14.32,14.53,1367100,14.383232
2015-12-18,14.26,14.77,14.26,14.63,2848700,14.482222
2015-12-17,14.56,14.88,14.21,14.42,1798400,14.274343
2015-12-16,13.75,14.59,13.65,14.52,1969400,14.373334
2015-12-15,13.60,13.98,13.48,13.58,2076900,13.442828
2015-12-14,14.80,15.16,13.19,13.48,4234600,13.343838
2015-12-11,14.96,15.29,14.70,14.81,4147500,14.660404
2015-12-10,14.17,15.80,13.55,15.27,22158300,15.115758
2015-12-09,19.67,19.76,17.969999,18.57,6263300,18.204242
2015-12-08,20.25,20.299999,19.42,19.700001,2635200,19.311986
2015-12-07,20.84,21.02,20.32,20.379999,1669400,19.978591
2015-12-04,20.25,21.120001,20.190001,20.950001,1064200,20.537366
2015-12-03,20.92,21.08,20.08,20.309999,1354700,19.90997
2015-12-02,20.639999,21.40,20.440001,20.719999,1000700,20.311895
2015-12-01,20.02,20.73,20.02,20.65,1053800,20.243274
2015-11-30,20.57,20.99,19.799999,19.99,1085000,19.596273
2015-11-27,20.93,20.93,20.42,20.65,471100,20.243274
2015-11-25,20.42,21.08,20.40,21.01,869400,20.596184
2015-11-24,20.10,20.700001,20.02,20.459999,1201900,20.057015
2015-11-23,19.709999,20.26,19.700001,20.15,1192700,19.753122
2015-11-20,19.299999,19.860001,19.25,19.77,1647800,19.380607
2015-11-19,18.860001,19.389999,18.629999,19.07,1236000,18.694394
2015-11-18,18.309999,18.700001,18.17,18.690001,1827400,18.321879
2015-11-17,19.209999,19.280001,18.09,18.35,1965600,17.988576
2015-11-16,18.90,19.24,18.280001,19.16,2420500,18.782621
2015-11-13,19.75,19.790001,18.68,18.90,2439900,18.527742
2015-11-12,21.23,21.299999,19.93,19.969999,2931000,19.576667
2015-11-11,22.10,22.17,21.40,21.51,1628100,21.086335
2015-11-10,21.76,22.24,21.360001,22.08,2385100,21.645108
2015-11-09,22.969999,23.209999,21.90,22.00,4001400,21.566684
2015-11-06,40.099998,40.099998,21.440001,22.700001,28673800,22.252898
2015-11-05,40.610001,40.869999,39.48,40.099998,1486200,39.310182
2015-11-04,41.23,41.43,40.209999,40.439999,637100,39.643485
2015-11-03,40.439999,41.939999,40.43,41.27,990800,40.457139
2015-11-02,40.080002,40.41,38.860001,40.200001,1014100,39.408214
2015-10-30,39.759998,40.380001,39.259998,39.98,1085100,39.192546
2015-10-29,41.209999,41.209999,39.380001,39.950001,1582800,39.163139
2015-10-28,38.41,41.380001,38.41,41.23,1258800,40.417926
2015-10-27,39.060001,39.330002,37.59,38.419998,833400,37.663271
2015-10-26,39.599998,39.84,38.580002,39.09,1423600,38.320077
2015-10-23,39.189999,39.619999,37.459999,39.57,1970500,38.790622
2015-10-22,40.779999,40.959999,38.75,38.880001,1408700,38.114214
2015-10-21,42.50,42.639999,40.560001,40.66,723200,39.859153
2015-10-20,41.869999,42.369999,41.560001,42.330002,485100,41.496263
2015-10-19,41.380001,42.080002,41.139999,41.900002,681000,41.074732
2015-10-16,41.939999,41.990002,41.080002,41.43,544500,40.613988
2015-10-15,42.029999,42.330002,40.119999,41.790001,865600,40.966898
2015-10-14,43.439999,43.689999,41.919998,42.029999,995800,41.202169
2015-10-13,44.360001,44.68,43.18,43.259998,705900,42.407942
2015-10-12,43.709999,44.529999,43.470001,44.529999,685800,43.652928
2015-10-09,43.57,43.860001,42.959999,43.68,446900,42.819671
2015-10-08,43.759998,44.419998,42.619999,43.459999,1003600,42.604003
2015-10-07,43.25,43.889999,43.029999,43.77,621600,42.907899
2015-10-06,43.040001,43.599998,42.68,43.119999,467900,42.2707
2015-10-05,43.09,43.57,42.919998,43.18,703000,42.329519
