Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.25,19.48,19.059999,19.15,52000,19.15
2015-12-30,19.719999,19.959999,19.25,19.27,40100,19.27
2015-12-29,19.60,20.110001,19.219999,19.690001,87500,19.690001
2015-12-28,20.09,20.48,19.450001,19.719999,81300,19.719999
2015-12-24,19.16,20.50,19.16,20.219999,41200,20.219999
2015-12-23,19.68,19.75,19.110001,19.219999,56600,19.219999
2015-12-22,19.48,20.10,19.08,19.620001,196900,19.620001
2015-12-21,19.23,19.889999,19.08,19.48,55200,19.48
2015-12-18,19.15,19.49,19.10,19.23,66000,19.23
2015-12-17,19.75,19.75,19.200001,19.200001,42000,19.200001
2015-12-16,19.540001,19.950001,19.15,19.719999,41700,19.719999
2015-12-15,19.50,20.209999,19.15,19.50,46200,19.50
2015-12-14,19.24,19.85,19.15,19.50,57400,19.50
2015-12-11,19.40,19.49,19.15,19.209999,69700,19.209999
2015-12-10,19.75,19.84,18.120001,19.360001,73700,19.360001
2015-12-09,19.68,20.049999,19.440001,19.620001,44500,19.620001
2015-12-08,20.25,20.379999,19.549999,19.68,63500,19.68
2015-12-07,21.02,21.02,20.25,20.309999,36600,20.309999
2015-12-04,20.799999,21.040001,20.75,20.93,23500,20.93
2015-12-03,20.85,21.08,20.75,20.76,27800,20.76
2015-12-02,20.940001,21.25,20.799999,20.90,32200,20.90
2015-12-01,21.389999,21.389999,20.85,20.889999,33200,20.889999
2015-11-30,21.00,21.370001,20.950001,21.120001,66000,21.120001
2015-11-27,21.00,21.10,20.860001,21.049999,23900,21.049999
2015-11-25,21.59,21.690001,20.950001,21.040001,44100,21.040001
2015-11-24,21.68,21.790001,21.10,21.719999,36200,21.719999
2015-11-23,21.52,22.139999,21.52,21.809999,23700,21.809999
2015-11-20,21.690001,21.85,21.33,21.690001,20800,21.690001
2015-11-19,21.709999,21.950001,21.309999,21.540001,30500,21.540001
2015-11-18,20.98,21.73,20.98,21.629999,42200,21.629999
2015-11-17,21.16,21.16,20.85,20.870001,35800,20.870001
2015-11-16,21.16,21.549999,19.15,21.209999,19900,21.209999
2015-11-13,22.040001,22.139999,21.110001,21.16,37900,21.16
2015-11-12,22.780001,23.10,22.219999,22.27,46700,22.27
2015-11-11,23.040001,23.68,22.799999,23.110001,44700,23.110001
2015-11-10,23.07,23.299999,22.540001,22.99,32700,22.99
2015-11-09,23.799999,24.01,23.040001,23.07,15800,23.07
2015-11-06,23.799999,24.25,23.799999,24.10,29800,24.10
2015-11-05,23.280001,24.280001,23.219999,23.99,51500,23.99
2015-11-04,22.790001,23.809999,22.790001,23.50,115400,23.50
2015-11-03,22.700001,23.379999,22.309999,23.280001,37700,23.280001
2015-11-02,22.40,22.799999,22.27,22.76,17200,22.76
2015-10-30,22.76,22.799999,22.42,22.530001,36200,22.530001
2015-10-29,22.84,22.98,22.02,22.85,37200,22.85
2015-10-28,22.27,23.00,21.91,22.99,36100,22.99
2015-10-27,22.879999,23.00,22.18,22.26,36900,22.26
2015-10-26,23.26,23.34,22.76,22.90,36900,22.90
2015-10-23,23.27,23.35,22.809999,23.35,24400,23.35
2015-10-22,22.719999,23.26,22.719999,23.120001,16500,23.120001
2015-10-21,23.41,24.24,22.52,22.549999,47100,22.549999
2015-10-20,23.66,23.959999,23.25,23.42,18200,23.42
2015-10-19,23.84,23.950001,23.629999,23.709999,13300,23.709999
2015-10-16,23.41,23.950001,22.92,23.870001,44400,23.870001
2015-10-15,22.309999,23.40,22.309999,23.360001,32000,23.360001
2015-10-14,22.75,22.98,22.110001,22.18,27500,22.18
2015-10-13,23.26,23.360001,22.75,22.75,13200,22.75
2015-10-12,23.309999,23.60,22.83,23.440001,24700,23.440001
2015-10-09,22.91,23.32,22.90,23.290001,20200,23.290001
2015-10-08,22.719999,22.85,22.610001,22.84,21200,22.84
2015-10-07,22.639999,23.00,22.549999,22.77,25900,22.77
2015-10-06,22.290001,22.74,22.290001,22.57,18700,22.57
2015-10-05,22.02,22.68,22.02,22.67,15400,22.67
2015-10-02,21.75,21.98,21.549999,21.950001,28000,21.950001
2015-10-01,22.030001,22.23,21.690001,21.84,20500,21.84
2015-09-30,21.83,22.02,21.549999,21.809999,133800,21.809999
2015-09-29,22.059999,22.07,21.65,21.67,24700,21.67
2015-09-28,21.700001,22.02,21.700001,21.709999,33500,21.709999
2015-09-25,22.00,22.07,21.700001,21.709999,24200,21.709999
2015-09-24,21.889999,22.00,21.82,21.959999,24900,21.959999
2015-09-23,21.84,21.950001,21.77,21.860001,25100,21.860001
2015-09-22,21.969999,22.08,21.77,21.90,31800,21.90
2015-09-21,21.91,22.299999,21.91,22.15,19100,22.15
