Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.54,8.63,8.45,8.48,497300,8.48
2015-12-30,8.57,8.66,8.55,8.59,602400,8.59
2015-12-29,9.04,9.08,8.71,8.78,877800,8.78
2015-12-28,8.87,8.94,8.77,8.88,446000,8.88
2015-12-24,8.89,8.96,8.66,8.90,236200,8.90
2015-12-23,8.76,9.04,8.69,8.93,743400,8.93
2015-12-22,8.54,8.69,8.48,8.64,846300,8.64
2015-12-21,8.61,8.68,8.39,8.67,1505500,8.67
2015-12-18,9.00,9.17,8.66,8.71,1865900,8.71
2015-12-17,9.50,9.52,9.19,9.29,1812000,9.29
2015-12-16,8.55,9.40,8.55,9.36,4089400,9.36
2015-12-15,8.57,8.80,8.47,8.72,1433200,8.72
2015-12-14,8.53,8.59,8.37,8.44,1370700,8.44
2015-12-11,9.03,9.06,8.51,8.54,1280200,8.54
2015-12-10,9.18,9.36,9.11,9.11,1004900,9.11
2015-12-09,9.41,9.50,9.23,9.32,1742400,9.32
2015-12-08,9.19,9.34,8.99,9.27,1517700,9.27
2015-12-07,9.59,9.59,9.36,9.40,875700,9.40
2015-12-04,9.55,9.56,9.22,9.46,1488800,9.46
2015-12-03,9.96,10.09,9.71,9.74,2309500,9.74
2015-12-02,10.18,10.19,9.58,9.72,2057300,9.72
2015-12-01,9.96,10.09,9.83,10.01,889800,10.01
2015-11-30,10.16,10.16,9.86,9.98,2885100,9.98
2015-11-27,11.00,11.00,10.47,10.48,720900,10.48
2015-11-25,10.88,10.98,10.54,10.81,1210400,10.81
2015-11-24,11.17,11.43,11.14,11.23,646400,11.23
2015-11-23,11.49,11.53,11.30,11.41,1006200,11.41
2015-11-20,11.38,11.53,11.30,11.38,863800,11.38
2015-11-19,11.01,11.30,10.95,11.29,1056400,11.29
2015-11-18,10.70,11.00,10.68,10.88,1110800,10.88
2015-11-17,10.90,10.97,10.61,10.72,1273700,10.72
2015-11-16,10.45,10.70,10.41,10.60,670300,10.60
2015-11-13,10.79,10.88,10.50,10.53,1167700,10.53
2015-11-12,10.90,11.11,10.72,10.79,1372400,10.79
2015-11-11,11.60,11.64,11.07,11.13,1210000,11.13
2015-11-10,10.91,11.28,10.69,11.24,1584300,11.24
2015-11-09,11.07,11.19,10.76,10.82,998200,10.82
2015-11-06,11.17,11.34,10.84,11.31,2122700,11.31
2015-11-05,11.40,11.50,11.08,11.19,1669500,11.19
2015-11-04,11.49,11.65,11.38,11.45,2376000,11.45
2015-11-03,11.16,11.40,10.99,11.27,2248400,11.27
2015-11-02,11.10,11.24,10.78,10.86,2209800,10.86
2015-10-30,10.28,11.12,10.13,11.11,3592800,11.11
2015-10-29,10.19,10.37,10.08,10.15,3400700,10.15
2015-10-28,9.98,10.08,9.67,9.81,1666400,9.81
2015-10-27,10.66,10.72,9.90,10.03,2670400,10.03
2015-10-26,10.77,11.24,10.61,10.93,3667900,10.93
2015-10-23,10.16,10.40,10.16,10.33,1716500,10.33
2015-10-22,9.87,10.10,9.85,10.02,1315600,10.02
2015-10-21,9.74,9.81,9.54,9.70,1198200,9.70
2015-10-20,9.90,10.06,9.68,9.77,1152300,9.77
2015-10-19,9.85,9.99,9.77,9.88,737900,9.88
2015-10-16,10.28,10.29,9.89,10.02,1655100,10.02
2015-10-15,10.26,10.47,10.07,10.25,2747500,10.25
2015-10-14,10.14,10.55,10.07,10.20,3001800,10.20
2015-10-13,10.05,10.15,9.86,9.89,3824900,9.89
2015-10-12,10.40,10.47,10.12,10.17,794700,10.17
2015-10-09,10.34,10.42,10.19,10.37,1615500,10.37
2015-10-08,10.27,10.34,10.06,10.33,2880400,10.33
2015-10-07,10.29,10.56,10.07,10.17,1462000,10.17
2015-10-06,9.96,10.13,9.90,10.11,2224500,10.11
2015-10-05,10.06,10.16,9.92,10.03,1764300,10.03
