Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.86,6.91,6.86,6.86,20500,6.86
2015-12-30,6.89,6.91,6.85,6.85,18800,6.85
2015-12-29,6.89,6.90,6.87,6.88,29700,6.88
2015-12-28,6.75,6.91,6.74,6.91,30900,6.91
2015-12-24,6.90,6.91,6.86,6.88,20100,6.88
2015-12-23,6.84,6.88,6.82,6.86,17800,6.86
2015-12-22,6.76,6.78,6.75,6.75,15800,6.75
2015-12-21,6.77,6.82,6.68,6.70,27100,6.70
2015-12-18,6.78,6.79,6.73,6.73,15500,6.73
2015-12-17,6.81,6.85,6.81,6.84,18300,6.84
2015-12-16,6.95,6.95,6.82,6.93,39000,6.93
2015-12-15,6.90,6.99,6.89,6.96,16500,6.837
2015-12-14,6.81,6.81,6.74,6.80,9500,6.679828
2015-12-11,6.83,6.83,6.81,6.81,2600,6.689651
2015-12-10,6.94,6.95,6.93,6.93,700,6.80753
2015-12-09,6.93,6.98,6.92,6.94,34400,6.817353
2015-12-08,6.92,6.99,6.88,6.98,19200,6.856647
2015-12-07,7.06,7.11,7.06,7.09,16900,6.964703
2015-12-04,7.16,7.20,7.10,7.11,162100,6.984349
2015-12-03,7.16,7.17,7.15,7.16,10000,7.033465
2015-12-02,7.16,7.19,7.13,7.19,23200,7.062935
2015-12-01,7.26,7.26,7.25,7.26,3400,7.131698
2015-11-30,7.20,7.28,7.16,7.28,3400,7.151345
2015-11-27,7.20,7.30,7.20,7.21,26800,7.082582
2015-11-25,7.34,7.36,7.32,7.36,20300,7.229931
2015-11-24,7.33,7.38,7.33,7.34,38600,7.210285
2015-11-23,7.37,7.40,7.33,7.36,8500,7.229931
2015-11-20,7.44,7.47,7.40,7.40,9300,7.269224
2015-11-19,7.25,7.38,7.25,7.38,15500,7.249578
2015-11-18,7.27,7.30,7.22,7.25,37000,7.121875
2015-11-17,7.30,7.34,7.30,7.34,9600,7.210285
2015-11-16,7.18,7.37,7.18,7.32,31900,7.190638
2015-11-13,7.28,7.29,7.19,7.26,7800,7.131698
2015-11-12,7.38,7.42,7.25,7.27,24500,7.141521
2015-11-11,7.50,7.50,7.39,7.39,7800,7.259401
2015-11-10,7.40,7.43,7.40,7.42,2400,7.288871
2015-11-09,7.50,7.50,7.39,7.43,8200,7.298694
2015-11-06,7.58,7.62,7.48,7.59,46000,7.455866
2015-11-05,7.68,7.68,7.63,7.68,14500,7.544276
