Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.06,7.15,7.00,7.00,240300,7.00
2015-12-30,7.20,7.20,6.94,7.09,103600,7.09
2015-12-29,7.19,7.24,7.09,7.20,51000,7.20
2015-12-28,7.10,7.20,7.03,7.13,124300,7.13
2015-12-24,7.13,7.19,7.08,7.15,32200,7.15
2015-12-23,7.09,7.16,7.04,7.12,100100,7.12
2015-12-22,7.16,7.16,6.92,7.06,156500,7.06
2015-12-21,6.83,7.18,6.83,7.14,107400,7.14
2015-12-18,6.66,6.91,6.66,6.82,329300,6.82
2015-12-17,6.66,6.77,6.59,6.70,168100,6.70
2015-12-16,6.58,6.89,6.54,6.64,237700,6.64
2015-12-15,6.48,6.64,6.38,6.60,279500,6.60
2015-12-14,6.66,6.80,6.43,6.44,170100,6.44
2015-12-11,6.56,6.87,6.51,6.67,137600,6.67
2015-12-10,6.54,6.83,6.51,6.70,147000,6.70
2015-12-09,6.55,6.72,6.55,6.56,179200,6.56
2015-12-08,6.60,6.74,6.51,6.60,237600,6.60
2015-12-07,6.97,6.97,6.64,6.66,179300,6.66
2015-12-04,7.03,7.04,6.88,6.97,173400,6.97
2015-12-03,7.48,7.48,7.03,7.03,151700,7.03
2015-12-02,7.51,7.62,7.42,7.45,100400,7.45
2015-12-01,7.52,7.68,7.30,7.65,158200,7.65
2015-11-30,7.38,7.50,7.26,7.48,168000,7.48
2015-11-27,7.18,7.41,7.11,7.35,48000,7.35
2015-11-25,7.33,7.36,7.18,7.20,82000,7.20
2015-11-24,7.10,7.35,7.09,7.35,99400,7.35
2015-11-23,7.05,7.24,6.97,7.18,111900,7.18
2015-11-20,6.68,7.14,6.68,7.07,200500,7.07
2015-11-19,7.10,7.14,6.52,6.67,390900,6.67
2015-11-18,7.12,7.19,6.99,7.16,134100,7.16
2015-11-17,7.00,7.28,6.95,7.12,166600,7.12
2015-11-16,6.97,7.05,6.92,7.00,107100,7.00
2015-11-13,6.84,7.09,6.83,6.98,119000,6.98
2015-11-12,7.08,7.12,6.90,6.90,76700,6.90
2015-11-11,7.31,7.31,7.10,7.13,92800,7.13
2015-11-10,7.25,7.32,7.15,7.28,100800,7.28
2015-11-09,7.61,7.61,7.20,7.29,284000,7.29
2015-11-06,7.36,7.62,7.27,7.62,162600,7.62
2015-11-05,7.16,7.46,7.10,7.41,138600,7.41
2015-11-04,7.30,7.36,7.03,7.15,175300,7.15
2015-11-03,7.36,7.57,7.19,7.28,309200,7.28
2015-11-02,7.47,7.74,7.43,7.60,126700,7.60
2015-10-30,7.53,7.59,7.35,7.46,153300,7.46
2015-10-29,7.45,7.59,7.40,7.54,196800,7.54
2015-10-28,7.25,7.46,7.15,7.46,334100,7.46
2015-10-27,6.98,7.33,6.98,7.25,230800,7.25
2015-10-26,7.04,7.08,6.89,6.98,149700,6.98
2015-10-23,6.80,7.09,6.73,7.08,113400,7.08
2015-10-22,7.03,7.03,6.61,6.72,144100,6.72
2015-10-21,7.33,7.35,6.88,6.98,137500,6.98
2015-10-20,7.38,7.38,7.24,7.30,165300,7.30
2015-10-19,7.26,7.42,7.22,7.36,191500,7.36
2015-10-16,7.04,7.30,7.03,7.30,131900,7.30
2015-10-15,7.15,7.17,6.71,7.02,297700,7.02
2015-10-14,7.88,7.95,7.69,7.92,253300,7.17
2015-10-13,7.85,8.05,7.80,7.84,223400,7.097576
2015-10-12,8.00,8.02,7.65,7.90,260800,7.151894
2015-10-09,7.27,7.96,7.25,7.94,295300,7.188106
2015-10-08,7.12,7.24,7.07,7.22,147100,6.536288
2015-10-07,6.88,7.19,6.75,7.17,193700,6.491023
2015-10-06,6.88,6.94,6.82,6.87,162100,6.219432
2015-10-05,6.99,7.08,6.82,6.94,98200,6.282803
2015-10-02,6.62,6.91,6.58,6.91,155800,6.255644
2015-10-01,6.82,6.86,6.56,6.68,165400,6.047424
2015-09-30,7.26,7.26,6.80,6.84,251700,6.192273
2015-09-29,7.04,7.22,6.96,7.21,299900,6.527235
2015-09-28,7.20,7.20,6.91,7.04,275600,6.373334
2015-09-25,7.44,7.46,7.19,7.21,219500,6.527235
2015-09-24,7.47,7.47,7.30,7.38,137300,6.681137
2015-09-23,7.30,7.53,7.21,7.50,180500,6.789773
2015-09-22,7.34,7.40,7.22,7.25,162100,6.563447
2015-09-21,7.86,7.86,7.40,7.44,164100,6.735455
2015-09-18,7.66,7.88,7.66,7.77,416300,7.034205
2015-09-17,7.75,7.90,7.69,7.75,302700,7.016099
2015-09-16,7.68,7.79,7.57,7.79,177900,7.052311
2015-09-15,7.58,7.65,7.50,7.63,115100,6.907462
2015-09-14,7.54,7.67,7.50,7.58,149900,6.862197
2015-09-11,7.45,7.57,7.38,7.55,160100,6.835038
2015-09-10,7.25,7.46,7.25,7.45,202000,6.744508
2015-09-09,7.37,7.43,7.26,7.29,216100,6.599659
2015-09-08,7.14,7.34,7.14,7.32,279500,6.626819
2015-09-04,6.98,7.12,6.97,7.10,119100,6.427652
2015-09-03,6.99,7.10,6.99,7.08,166600,6.409546
2015-09-02,6.96,7.00,6.90,7.00,195300,6.337121
2015-09-01,6.99,7.06,6.87,6.90,276700,6.246591
2015-08-31,7.10,7.23,7.09,7.15,157800,6.472917
2015-08-28,7.12,7.19,7.04,7.17,170400,6.491023
2015-08-27,6.96,7.17,6.86,7.16,302400,6.48197
2015-08-26,6.89,6.95,6.76,6.92,276200,6.264697
2015-08-25,6.94,6.94,6.73,6.77,385600,6.128902
2015-08-24,6.97,7.06,6.73,6.75,432100,6.110796
2015-08-21,7.01,7.26,6.94,7.25,393900,6.563447
2015-08-20,7.21,7.21,7.07,7.13,261100,6.454811
2015-08-19,7.30,7.33,7.18,7.24,147300,6.554394
2015-08-18,7.37,7.46,7.29,7.37,135600,6.672083
2015-08-17,7.25,7.45,7.20,7.35,186200,6.653977
2015-08-14,7.20,7.27,7.10,7.26,282000,6.5725
2015-08-13,7.15,7.35,7.11,7.20,664800,6.518182
2015-08-12,7.18,7.18,7.07,7.13,367600,6.454811
2015-08-11,7.09,7.21,7.03,7.18,496800,6.500076
2015-08-10,7.43,7.43,6.86,7.09,780800,6.418599
2015-08-07,8.56,8.58,7.14,7.50,967400,6.789773
2015-08-06,9.47,9.47,9.10,9.10,264600,8.238258
2015-08-05,9.45,9.50,9.33,9.43,204100,8.537008
2015-08-04,9.20,9.44,9.04,9.35,289900,8.464584
2015-08-03,9.28,9.40,9.08,9.12,166900,8.256364
2015-07-31,9.20,9.40,9.11,9.27,337500,8.39216
2015-07-30,8.96,9.16,8.80,9.15,228300,8.283523
2015-07-29,8.93,9.03,8.84,8.97,193400,8.120569
2015-07-28,8.96,8.97,8.75,8.92,226900,8.075303
2015-07-27,8.87,8.93,8.79,8.89,160400,8.048145
2015-07-24,9.00,9.08,8.87,8.89,293800,8.048145
2015-07-23,9.05,9.05,8.82,9.02,222000,8.165834
2015-07-22,9.22,9.30,8.98,9.02,277600,8.165834
2015-07-21,9.36,9.38,9.10,9.25,204200,8.374053
2015-07-20,9.47,9.47,9.26,9.35,162100,8.464584
2015-07-17,9.59,9.59,9.42,9.49,163700,8.591326
2015-07-16,9.58,9.61,9.48,9.57,257000,8.66375
2015-07-15,9.51,9.63,9.35,9.53,287700,8.627538
2015-07-14,9.53,9.69,9.50,9.55,415100,8.645644
2015-07-13,9.62,9.62,9.44,9.54,431800,8.636591
2015-07-10,9.46,9.57,9.37,9.55,209900,8.645644
2015-07-09,9.50,9.50,9.33,9.33,237100,8.446477
2015-07-08,9.40,9.57,9.30,9.36,400500,8.473636
2015-07-07,9.71,9.71,9.39,9.51,246300,8.609432
2015-07-06,9.80,9.84,9.68,9.71,199600,8.790493
2015-07-02,10.16,10.16,9.84,9.85,158300,8.917235
2015-07-01,10.22,10.25,10.05,10.13,281500,9.17072
2015-06-30,10.18,10.22,10.04,10.12,406900,9.161667
2015-06-29,10.21,10.27,10.05,10.08,307500,9.125455
2015-06-26,10.65,10.69,10.27,10.29,580800,9.315568
2015-06-25,10.49,10.72,10.42,10.61,258800,9.605265
2015-06-24,10.84,10.84,10.42,10.44,223900,9.451364
2015-06-23,10.84,10.96,10.80,10.84,103500,9.813485
2015-06-22,11.00,11.16,10.81,10.84,191000,9.813485
2015-06-19,10.95,10.97,10.83,10.90,249800,9.867803
2015-06-18,10.77,10.99,10.76,10.95,159900,9.913068
2015-06-17,10.74,10.86,10.60,10.69,127500,9.677689
2015-06-16,10.38,10.70,10.38,10.68,166000,9.668637
2015-06-15,10.43,10.53,10.31,10.39,551200,9.406099
2015-06-12,10.45,10.55,10.41,10.46,40900,9.46947
2015-06-11,10.63,10.63,10.46,10.50,184000,9.505682
2015-06-10,10.45,10.75,10.43,10.60,209000,9.596213
2015-06-09,10.35,10.44,10.23,10.42,97200,9.433258
2015-06-08,10.23,10.37,10.20,10.33,80900,9.351781
2015-06-05,10.16,10.26,10.04,10.20,111200,9.234091
2015-06-04,10.19,10.25,10.03,10.19,197000,9.225038
2015-06-03,10.14,10.27,10.07,10.26,133200,9.28841
