Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.790001,43.139999,42.650002,42.669998,4483800,42.40259
2015-12-30,43.369999,43.509998,42.970001,43.009998,4750500,42.740459
2015-12-29,43.150002,43.610001,43.139999,43.52,4912000,43.247265
2015-12-28,43.240002,43.349998,42.740002,43.049999,5828500,42.526806
2015-12-24,43.380001,43.59,43.349998,43.419998,2170100,42.892308
2015-12-23,43.09,43.490002,42.869999,43.48,4846400,42.951581
2015-12-22,42.91,42.919998,42.169998,42.700001,5041000,42.181061
2015-12-21,42.66,42.98,42.16,42.59,5610500,42.072398
2015-12-18,43.540001,43.580002,42.349998,42.360001,14632800,41.845193
2015-12-17,44.52,44.580002,43.830002,43.830002,6896700,43.297329
2015-12-16,43.93,44.490002,43.41,44.360001,10016800,43.820887
2015-12-15,42.990002,43.84,42.919998,43.669998,6884600,43.13927
2015-12-14,42.299999,42.560001,41.84,42.43,7422800,41.914342
2015-12-11,42.509998,42.77,41.939999,42.220001,6531700,41.706895
2015-12-10,43.060001,43.59,42.790001,43.18,6256600,42.655227
2015-12-09,43.240002,43.810001,42.720001,43.009998,6713400,42.487291
2015-12-08,43.830002,44.02,43.360001,43.549999,6751100,43.02073
2015-12-07,44.139999,44.369999,43.77,44.110001,5728900,43.573925
2015-12-04,43.459999,44.419998,43.369999,44.34,8421400,43.80113
2015-12-03,43.970001,43.970001,43.049999,43.200001,5560600,42.674985
2015-12-02,44.360001,44.450001,43.689999,43.77,6301200,43.238057
2015-12-01,44.139999,44.43,43.889999,44.310001,4913800,43.771495
2015-11-30,43.93,44.119999,43.740002,43.889999,7461700,43.356598
2015-11-27,43.869999,43.990002,43.57,43.900002,2093500,43.366478
2015-11-25,43.900002,43.939999,43.639999,43.77,4284600,43.238057
2015-11-24,43.57,43.990002,43.389999,43.860001,5955300,43.326964
2015-11-23,44.060001,44.18,43.689999,43.779999,6032900,43.247934
2015-11-20,44.389999,44.41,43.939999,44.040001,6977400,43.504776
2015-11-19,43.91,44.27,43.740002,44.150002,6414200,43.61344
2015-11-18,43.110001,43.98,42.939999,43.889999,8560200,43.356598
2015-11-17,43.18,43.490002,42.830002,43.02,6457700,42.497172
2015-11-16,42.369999,43.130001,42.259998,43.110001,6042600,42.586078
2015-11-13,42.490002,42.810001,42.240002,42.380001,6646000,41.864951
2015-11-12,43.040001,43.07,42.68,42.720001,6991800,42.200819
2015-11-11,43.619999,43.740002,43.200001,43.330002,4852700,42.803406
2015-11-10,43.189999,43.529999,43.080002,43.360001,6170200,42.83304
2015-11-09,43.740002,43.860001,43.029999,43.34,6781300,42.813283
2015-11-06,43.720001,44.240002,43.50,43.720001,12058000,43.188666
2015-11-05,42.619999,42.82,42.360001,42.630001,6377500,42.111912
2015-11-04,42.73,42.919998,42.490002,42.619999,4060800,42.102032
2015-11-03,42.599998,42.869999,42.23,42.700001,3559200,42.181061
2015-11-02,42.240002,42.84,42.240002,42.59,5523800,42.072398
2015-10-30,42.98,42.990002,42.07,42.18,9148400,41.66738
2015-10-29,42.98,43.220001,42.810001,43.00,5574500,42.477415
2015-10-28,42.200001,43.23,42.09,43.060001,9443400,42.536687
2015-10-27,42.259998,42.459999,41.900002,42.099998,5796000,41.588351
2015-10-26,42.540001,42.779999,42.23,42.52,5262000,42.003249
2015-10-23,42.150002,42.68,41.84,42.619999,9879400,42.102032
2015-10-22,41.360001,42.279999,41.360001,41.84,7961800,41.331512
2015-10-21,41.490002,41.740002,41.07,41.099998,8864500,40.600504
2015-10-20,40.84,41.509998,40.75,41.25,6848700,40.748683
2015-10-19,40.639999,41.110001,40.630001,40.73,7749200,40.235002
2015-10-16,41.189999,41.540001,40.68,40.77,12446400,40.274517
2015-10-15,41.220001,41.639999,40.68,41.009998,12242600,40.511598
2015-10-14,41.330002,41.369999,40.380001,40.50,10003800,40.007797
2015-10-13,41.48,41.610001,41.330002,41.43,4328700,40.926495
2015-10-12,41.669998,41.810001,41.419998,41.630001,3788000,41.124065
2015-10-09,42.029999,42.099998,41.349998,41.580002,4307300,41.074674
2015-10-08,41.560001,41.959999,41.389999,41.900002,5017900,41.390785
2015-10-07,41.790001,42.080002,41.549999,41.790001,4870400,41.282121
2015-10-06,41.450001,41.700001,41.32,41.490002,5352300,40.985768
2015-10-05,41.139999,41.639999,41.07,41.560001,6488900,41.054916
2015-10-02,39.98,40.75,39.279999,40.75,15273500,40.254759
2015-10-01,41.02,41.310001,40.529999,41.130001,6274100,40.630142
2015-09-30,41.139999,41.259998,40.759998,41.009998,8825200,40.511598
2015-09-29,40.52,40.720001,40.18,40.650002,6411300,40.155976
2015-09-28,41.150002,41.34,40.299999,40.419998,9427500,39.928768
2015-09-25,41.470001,42.009998,41.299999,41.669998,8788400,40.911677
2015-09-24,40.59,40.849998,40.200001,40.759998,8418500,40.018238
2015-09-23,41.060001,41.240002,40.84,41.060001,3917700,40.312781
2015-09-22,40.779999,41.209999,40.700001,41.099998,8851600,40.35205
2015-09-21,41.470001,41.669998,41.110001,41.52,8472100,40.764409
2015-09-18,41.099998,41.279999,40.740002,41.169998,33377500,40.420776
2015-09-17,42.41,42.689999,41.459999,41.66,15542700,40.901861
2015-09-16,41.959999,42.41,41.75,42.360001,7683400,41.589123
2015-09-15,41.139999,42.189999,41.099998,42.00,11631300,41.235673
2015-09-14,40.91,41.16,40.740002,40.919998,8854000,40.175326
2015-09-11,40.939999,41.09,40.540001,41.060001,8327100,40.312781
2015-09-10,40.689999,41.43,40.650002,41.099998,9575000,40.35205
2015-09-09,41.91,42.02,40.790001,40.880001,7780300,40.136057
2015-09-08,41.400002,41.459999,40.799999,41.43,11072300,40.676047
2015-09-04,40.860001,41.00,40.209999,40.549999,8078400,39.81206
2015-09-03,41.169998,41.93,41.099998,41.439999,6721200,40.685863
2015-09-02,40.959999,41.099998,40.43,41.02,6052700,40.273508
2015-09-01,41.34,41.419998,40.00,40.27,12097800,39.537157
2015-08-31,42.299999,42.57,42.200001,42.349998,6342200,41.579303
2015-08-28,42.43,42.740002,42.259998,42.59,6053700,41.814937
2015-08-27,41.889999,42.630001,41.720001,42.580002,9832900,41.80512
2015-08-26,40.66,41.48,40.139999,41.41,12679500,40.65641
2015-08-25,42.040001,42.139999,39.720001,39.759998,16313700,39.036436
2015-08-24,40.32,41.970001,38.810001,40.75,19382200,40.008421
2015-08-21,43.639999,43.810001,42.759998,42.779999,10079800,42.001478
2015-08-20,44.880001,44.900002,44.099998,44.099998,7724500,43.297456
2015-08-19,45.540001,45.810001,45.259998,45.360001,6057400,44.534528
2015-08-18,45.669998,45.84,45.549999,45.75,3762100,44.91743
2015-08-17,45.299999,45.860001,45.209999,45.650002,4527200,44.819251
2015-08-14,45.07,45.639999,45.00,45.599998,4583500,44.770158
2015-08-13,44.970001,45.18,44.790001,45.07,3450700,44.249804
2015-08-12,45.119999,45.119999,44.259998,44.889999,5657200,44.07308
2015-08-11,45.50,45.720001,45.25,45.400002,5351800,44.573801
2015-08-10,45.459999,46.02,45.439999,46.02,5260300,45.182517
2015-08-07,45.220001,45.490002,44.84,45.110001,4616600,44.289077
2015-08-06,45.540001,45.709999,45.119999,45.209999,3566700,44.387256
2015-08-05,45.529999,45.73,45.259998,45.43,3765000,44.603254
2015-08-04,45.049999,45.48,44.970001,45.220001,4705900,44.397076
2015-08-03,45.130001,45.240002,44.790001,45.080002,5964000,44.259625
2015-07-31,45.119999,45.279999,44.919998,45.209999,6633800,44.387256
2015-07-30,44.799999,45.139999,44.799999,45.060001,6096800,44.239988
2015-07-29,44.73,45.110001,44.68,45.009998,7108900,44.190895
2015-07-28,45.029999,45.07,44.560001,44.73,7497300,43.915992
2015-07-27,44.98,45.029999,44.700001,44.799999,5963500,43.984718
2015-07-24,45.560001,45.709999,45.25,45.279999,6900900,44.455982
2015-07-23,45.91,46.200001,45.580002,45.66,7656400,44.829068
2015-07-22,45.68,46.110001,45.630001,45.950001,7022300,45.113791
2015-07-21,45.880001,46.029999,45.610001,45.740002,5547800,44.907614
2015-07-20,45.959999,46.139999,45.779999,45.84,5571000,45.005792
2015-07-17,45.619999,46.009998,45.529999,45.849998,7157000,45.015609
2015-07-16,45.880001,46.259998,45.77,45.860001,10761600,45.025429
2015-07-15,43.959999,45.810001,43.900002,45.529999,16088700,44.701432
2015-07-14,43.709999,43.950001,43.529999,43.880001,8762300,43.081462
2015-07-13,43.740002,43.900002,43.57,43.830002,6065500,43.032372
2015-07-10,43.759998,43.810001,43.259998,43.439999,5414600,42.649467
2015-07-09,43.290001,43.439999,42.939999,42.959999,6403200,42.178202
2015-07-08,43.240002,43.240002,42.650002,42.669998,6207200,41.893479
2015-07-07,43.48,43.549999,42.919998,43.470001,8586900,42.678923
2015-07-06,43.150002,43.650002,43.049999,43.599998,6146600,42.806555
2015-07-02,44.09,44.139999,43.470001,43.619999,4843000,42.826191
2015-07-01,43.919998,44.18,43.740002,44.150002,6025200,43.346549
2015-06-30,43.84,44.189999,43.310001,43.400002,7549700,42.610197
2015-06-29,43.91,44.200001,43.389999,43.41,7302000,42.620014
2015-06-26,44.529999,44.790001,44.450001,44.509998,6822400,43.699994
2015-06-25,44.799999,45.040001,44.549999,44.560001,5714100,43.498726
2015-06-24,44.84,45.09,44.700001,44.740002,5960700,43.67444
2015-06-23,45.18,45.290001,44.959999,45.099998,4544600,44.025862
2015-06-22,44.959999,45.200001,44.830002,44.98,5213600,43.908721
2015-06-19,44.59,44.82,44.330002,44.639999,14699700,43.576819
2015-06-18,44.709999,45.060001,44.41,44.779999,8892500,43.713484
2015-06-17,44.759998,45.07,44.560001,44.639999,8008000,43.576819
2015-06-16,44.279999,44.639999,44.27,44.59,5831700,43.528011
2015-06-15,44.32,44.599998,44.130001,44.400002,6290000,43.342537
2015-06-12,44.75,44.880001,44.50,44.779999,4763500,43.713484
2015-06-11,44.849998,45.110001,44.68,44.849998,7059500,43.781817
2015-06-10,44.279999,45.040001,44.27,44.810001,7944500,43.742772
2015-06-09,43.77,44.369999,43.59,44.07,6495900,43.020395
2015-06-08,43.880001,44.16,43.639999,43.66,5831400,42.62016
2015-06-05,43.869999,44.490002,43.830002,43.990002,7470100,42.942302
2015-06-04,43.790001,43.93,43.41,43.490002,6980900,42.454211
2015-06-03,43.32,44.040001,43.200001,43.970001,8312800,42.922778
2015-06-02,42.869999,43.290001,42.700001,43.130001,4290600,42.102784
2015-06-01,43.25,43.389999,42.77,42.970001,5242000,41.946595
2015-05-29,43.759998,43.779999,43.060001,43.110001,7785600,42.08326
2015-05-28,43.75,43.82,43.459999,43.700001,4846200,42.659208
2015-05-27,43.580002,44.060001,43.459999,43.860001,5808500,42.815397
2015-05-26,43.540001,43.599998,43.23,43.369999,7536400,42.337066
2015-05-22,43.860001,43.959999,43.540001,43.57,6133800,42.532303
2015-05-21,44.009998,44.110001,43.830002,43.860001,5960000,42.815397
2015-05-20,44.599998,44.650002,44.00,44.09,8055700,43.039919
2015-05-19,44.41,44.73,44.279999,44.689999,4555700,43.625627
2015-05-18,43.970001,44.279999,43.919998,44.200001,5101200,43.1473
2015-05-15,44.400002,44.470001,43.73,43.93,4966300,42.88373
2015-05-14,44.360001,44.450001,44.07,44.380001,4147400,43.323013
2015-05-13,43.849998,44.240002,43.720001,44.139999,5966400,43.088727
2015-05-12,43.50,43.950001,43.23,43.900002,6714700,42.854446
2015-05-11,43.77,43.98,43.709999,43.75,3953800,42.708017
2015-05-08,43.349998,43.880001,43.18,43.860001,5162100,42.815397
2015-05-07,43.09,43.23,42.810001,43.099998,4677400,42.073496
2015-05-06,43.650002,43.650002,42.830002,43.099998,4800200,42.073496
2015-05-05,43.349998,43.790001,43.240002,43.25,5444900,42.219925
2015-05-04,43.07,43.59,42.970001,43.540001,5120000,42.503019
2015-05-01,43.00,43.189999,42.759998,42.91,3736600,41.888022
2015-04-30,42.939999,43.18,42.59,42.869999,6455300,41.848974
2015-04-29,42.700001,43.220001,42.689999,42.98,5639500,41.956355
2015-04-28,42.560001,42.959999,42.400002,42.869999,5804400,41.848974
2015-04-27,42.84,43.040001,42.540001,42.560001,5703900,41.54636
2015-04-24,42.669998,42.860001,42.490002,42.740002,6454900,41.722073
2015-04-23,42.669998,43.00,42.52,42.82,6878300,41.800166
2015-04-22,42.68,42.950001,42.259998,42.830002,5518100,41.80993
2015-04-21,42.900002,42.990002,42.459999,42.50,6165600,41.487788
2015-04-20,42.720001,42.93,42.599998,42.759998,5703100,41.741594
2015-04-17,42.650002,42.75,42.119999,42.439999,9390500,41.429215
2015-04-16,43.380001,43.380001,42.52,42.939999,10147100,41.917307
2015-04-15,43.110001,43.880001,43.040001,43.43,10906400,42.395638
2015-04-14,43.799999,44.040001,43.32,43.529999,7541800,42.493255
2015-04-13,43.810001,44.18,43.66,44.09,6135300,43.039919
2015-04-10,43.50,43.759998,43.310001,43.75,4030200,42.708017
2015-04-09,43.279999,43.59,43.119999,43.57,3702700,42.532303
2015-04-08,43.369999,43.619999,43.310001,43.43,3820400,42.395638
2015-04-07,43.369999,43.540001,43.189999,43.349998,4355400,42.317542
2015-04-06,43.009998,43.540001,42.860001,43.32,5942800,42.288257
2015-04-02,43.470001,43.860001,43.380001,43.709999,4470700,42.668968
2015-04-01,43.540001,43.610001,43.119999,43.490002,6130100,42.454211
2015-03-31,43.470001,43.84,43.34,43.669998,5714100,42.62992
2015-03-30,43.080002,44.029999,43.07,43.790001,6236700,42.747065
2015-03-27,43.060001,43.080002,42.709999,42.860001,4816300,41.839214
2015-03-26,43.240002,43.470001,42.73,43.25,6705900,41.98076
2015-03-25,44.130001,44.209999,43.41,43.419998,6434700,42.145769
2015-03-24,44.580002,44.68,44.200001,44.200001,4844500,42.902882
2015-03-23,44.91,45.080002,44.700001,44.709999,6753900,43.397913
2015-03-20,44.610001,45.060001,44.43,44.860001,10343100,43.543513
2015-03-19,44.810001,44.810001,44.220001,44.439999,7568500,43.135836
2015-03-18,44.689999,45.16,44.50,44.849998,8831300,43.533804
2015-03-17,44.689999,45.00,44.459999,44.950001,4972800,43.630872
2015-03-16,44.509998,45.07,44.369999,44.970001,6022300,43.650285
2015-03-13,44.459999,44.540001,43.950001,44.290001,5593800,42.990241
2015-03-12,44.130001,44.50,43.880001,44.470001,9056800,43.164959
2015-03-11,43.849998,44.040001,43.57,43.75,6232400,42.466087
2015-03-10,44.48,44.490002,43.709999,43.709999,5399300,42.42726
2015-03-09,44.68,45.009998,44.650002,44.889999,5090500,43.572631
2015-03-06,44.639999,45.459999,44.540001,44.669998,7189100,43.359086
2015-03-05,44.439999,44.619999,44.200001,44.580002,4148900,43.271731
2015-03-04,44.509998,44.57,44.259998,44.41,5553200,43.106718
2015-03-03,44.630001,44.84,44.48,44.75,4142800,43.43674
2015-03-02,44.610001,44.880001,44.450001,44.880001,4716900,43.562926
2015-02-27,44.860001,44.990002,44.599998,44.610001,4626000,43.300849
2015-02-26,44.799999,44.990002,44.630001,44.93,4133900,43.611458
2015-02-25,44.779999,44.939999,44.610001,44.84,3773000,43.524099
2015-02-24,44.540001,44.860001,44.50,44.720001,5083600,43.407622
2015-02-23,44.439999,44.50,44.209999,44.48,3994500,43.174663
2015-02-20,44.080002,44.650002,43.830002,44.619999,7120800,43.310554
2015-02-19,44.470001,44.57,44.119999,44.32,5012900,43.019359
2015-02-18,44.93,45.099998,44.459999,44.529999,5182800,43.223195
2015-02-17,44.889999,45.169998,44.669998,45.07,4980200,43.747349
2015-02-13,45.119999,45.259998,44.869999,45.07,8634500,43.747349
2015-02-12,44.639999,45.150002,44.32,45.119999,7120300,43.795881
