Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.82,12.85,12.79,12.82,47400,12.56747
2015-12-30,12.64,12.75,12.64,12.75,85500,12.498849
2015-12-29,12.63,12.68,12.62,12.64,50500,12.391017
2015-12-28,12.67,12.70,12.63,12.63,39800,12.381213
2015-12-24,12.63,12.67,12.56,12.66,43500,12.410622
2015-12-23,12.64,12.64,12.57,12.61,64200,12.361607
2015-12-22,12.59,12.63,12.52,12.59,63600,12.342001
2015-12-21,12.60,12.60,12.51,12.59,52500,12.342001
2015-12-18,12.59,12.60,12.51,12.58,74500,12.332198
2015-12-17,12.44,12.57,12.44,12.53,68100,12.283183
2015-12-16,12.35,12.43,12.35,12.43,70000,12.185153
2015-12-15,12.36,12.44,12.31,12.33,52600,12.087123
2015-12-14,12.43,12.43,12.25,12.30,63100,12.057714
2015-12-11,12.40,12.45,12.37,12.37,60000,12.126335
2015-12-10,12.41,12.41,12.33,12.39,51800,12.145941
2015-12-09,12.43,12.43,12.33,12.38,46800,12.136138
2015-12-08,12.37,12.44,12.32,12.44,60400,12.130255
2015-12-07,12.42,12.43,12.26,12.30,135900,11.993742
2015-12-04,12.36,12.39,12.30,12.37,65400,12.061998
2015-12-03,12.40,12.40,12.30,12.32,107100,12.013243
2015-12-02,12.45,12.50,12.40,12.42,42900,12.110754
2015-12-01,12.42,12.47,12.39,12.43,74400,12.120505
2015-11-30,12.48,12.48,12.37,12.40,54000,12.091251
2015-11-27,12.44,12.45,12.37,12.40,8800,12.091251
2015-11-25,12.40,12.45,12.36,12.41,39000,12.101002
2015-11-24,12.39,12.45,12.35,12.40,48700,12.091251
2015-11-23,12.39,12.40,12.33,12.36,39800,12.052247
2015-11-20,12.37,12.38,12.32,12.37,57400,12.061998
2015-11-19,12.37,12.37,12.29,12.32,55800,12.013243
2015-11-18,12.23,12.29,12.23,12.27,43400,11.964489
2015-11-17,12.24,12.29,12.21,12.23,91100,11.925484
2015-11-16,12.28,12.31,12.23,12.24,21300,11.935235
2015-11-13,12.29,12.29,12.21,12.28,48600,11.974239
2015-11-12,12.26,12.31,12.22,12.25,42100,11.944986
2015-11-11,12.27,12.30,12.23,12.29,21200,11.920609
2015-11-10,12.24,12.28,12.19,12.24,78600,11.872111
2015-11-09,12.35,12.36,12.11,12.20,120400,11.833314
2015-11-06,12.49,12.50,12.36,12.36,30400,11.988505
2015-11-05,12.50,12.55,12.49,12.52,36300,12.143696
2015-11-04,12.46,12.54,12.46,12.53,60700,12.153395
2015-11-03,12.54,12.57,12.46,12.46,80600,12.085499
2015-11-02,12.49,12.56,12.49,12.54,60300,12.163095
2015-10-30,12.48,12.50,12.43,12.48,81700,12.104898
2015-10-29,12.44,12.45,12.40,12.45,60600,12.0758
2015-10-28,12.41,12.46,12.39,12.43,65300,12.056401
2015-10-27,12.45,12.45,12.39,12.42,28300,12.046702
2015-10-26,12.44,12.48,12.40,12.40,33100,12.027302
2015-10-23,12.36,12.41,12.36,12.41,79100,12.037002
2015-10-22,12.35,12.42,12.32,12.39,70900,12.017604
2015-10-21,12.25,12.49,12.25,12.37,71600,11.998204
2015-10-20,12.24,12.28,12.20,12.25,67500,11.881811
2015-10-19,12.25,12.35,12.23,12.24,75500,11.872111
2015-10-16,12.25,12.29,12.24,12.28,65300,11.910909
2015-10-15,12.26,12.30,12.25,12.26,22800,11.891511
2015-10-14,12.28,12.30,12.22,12.29,54900,11.920609
2015-10-13,12.20,12.24,12.19,12.21,27100,11.843013
2015-10-12,12.23,12.29,12.22,12.28,35400,11.847863
2015-10-09,12.24,12.24,12.19,12.23,60200,11.799622
2015-10-08,12.20,12.25,12.17,12.17,55500,11.741734
2015-10-07,12.26,12.28,12.21,12.21,62900,11.780327
2015-10-06,12.27,12.32,12.23,12.29,56000,11.857511
2015-10-05,12.31,12.31,12.24,12.28,101100,11.847863
2015-10-02,12.30,12.35,12.27,12.35,42700,11.9154
2015-10-01,12.28,12.30,12.26,12.27,48500,11.838216
2015-09-30,12.20,12.27,12.14,12.26,133000,11.828567
2015-09-29,12.10,12.18,12.10,12.18,123000,11.751383
2015-09-28,12.10,12.14,12.06,12.13,73800,11.703142
2015-09-25,12.12,12.13,12.06,12.10,37800,11.674198
2015-09-24,12.09,12.13,12.09,12.09,48700,11.66455
2015-09-23,12.06,12.10,12.03,12.10,24500,11.674198
2015-09-22,12.01,12.08,12.00,12.08,52900,11.654901
2015-09-21,12.04,12.04,11.99,11.99,45700,11.568068
2015-09-18,12.06,12.12,12.02,12.05,122300,11.625957
2015-09-17,11.98,12.09,11.98,12.04,77900,11.616309
2015-09-16,12.00,12.01,11.98,11.98,24500,11.55842
2015-09-15,12.03,12.04,11.99,12.00,47200,11.577717
2015-09-14,12.04,12.06,12.00,12.01,54000,11.587365
2015-09-11,12.05,12.05,11.98,12.02,28500,11.597013
2015-09-10,12.06,12.08,12.02,12.02,75100,11.597013
2015-09-09,12.12,12.16,12.10,12.13,34800,11.640429
2015-09-08,12.13,12.15,12.10,12.11,30400,11.621236
2015-09-04,12.08,12.15,12.07,12.13,25600,11.640429
2015-09-03,12.07,12.11,12.03,12.11,29100,11.621236
2015-09-02,12.11,12.11,12.00,12.07,86100,11.582851
2015-09-01,12.07,12.10,12.04,12.09,24700,11.602044
2015-08-31,12.07,12.07,12.03,12.07,37800,11.582851
2015-08-28,11.99,12.05,11.99,12.02,8900,11.534869
2015-08-27,11.97,12.03,11.97,12.00,54600,11.515676
2015-08-26,12.03,12.08,11.97,11.98,80200,11.496483
2015-08-25,12.03,12.09,12.01,12.03,107100,11.544465
2015-08-24,12.09,12.09,12.00,12.07,100000,11.582851
2015-08-21,12.18,12.21,12.11,12.11,70200,11.621236
2015-08-20,12.15,12.19,12.11,12.16,100600,11.669218
2015-08-19,12.14,12.18,12.13,12.15,29200,11.659622
2015-08-18,12.17,12.18,12.13,12.16,64700,11.669218
2015-08-17,12.18,12.19,12.14,12.17,67000,11.678815
2015-08-14,12.17,12.18,12.11,12.16,37800,11.669218
2015-08-13,12.22,12.22,12.18,12.19,33700,11.698007
2015-08-12,12.25,12.29,12.18,12.21,54800,11.7172
2015-08-11,12.13,12.24,12.12,12.24,62100,11.745989
2015-08-10,12.22,12.22,12.17,12.17,76500,11.616438
2015-08-07,12.13,12.23,12.12,12.20,73900,11.645073
2015-08-06,12.12,12.16,12.06,12.16,60000,11.606893
2015-08-05,12.10,12.14,12.08,12.11,112500,11.559167
2015-08-04,12.21,12.23,12.09,12.10,69200,11.549622
2015-08-03,12.17,12.23,12.17,12.21,46600,11.654618
2015-07-31,12.17,12.18,12.15,12.17,43500,11.616438
2015-07-30,12.15,12.17,12.10,12.11,53400,11.559167
2015-07-29,12.13,12.15,12.11,12.14,71700,11.587803
2015-07-28,12.18,12.18,12.13,12.14,51100,11.587803
2015-07-27,12.13,12.19,12.13,12.19,65600,11.635528
2015-07-24,12.12,12.15,12.12,12.13,36900,11.578257
2015-07-23,12.05,12.11,12.05,12.11,59400,11.559167
2015-07-22,12.07,12.10,12.04,12.08,64500,11.530532
2015-07-21,12.06,12.09,12.02,12.09,193100,11.540077
2015-07-20,12.09,12.14,12.09,12.09,44600,11.540077
2015-07-17,12.13,12.18,12.11,12.11,58900,11.559167
2015-07-16,12.09,12.15,12.09,12.15,45800,11.597347
2015-07-15,12.11,12.14,12.11,12.12,41800,11.568712
2015-07-14,12.10,12.13,12.10,12.13,27500,11.578257
2015-07-13,12.10,12.13,12.08,12.11,54300,11.559167
2015-07-10,12.11,12.14,12.10,12.13,32200,11.578257
2015-07-09,12.17,12.20,12.11,12.14,49300,11.587803
2015-07-08,12.27,12.28,12.22,12.24,43000,11.62121
2015-07-07,12.21,12.29,12.21,12.24,48500,11.62121
2015-07-06,12.19,12.21,12.16,12.17,39700,11.554749
2015-07-02,12.13,12.18,12.13,12.15,68700,11.53576
2015-07-01,12.10,12.16,12.08,12.13,67700,11.516772
2015-06-30,12.07,12.11,12.02,12.10,221600,11.488289
2015-06-29,12.08,12.10,12.00,12.05,161900,11.440816
2015-06-26,12.21,12.21,12.08,12.08,79500,11.469299
2015-06-25,12.24,12.24,12.14,12.19,91000,11.573738
2015-06-24,12.20,12.25,12.16,12.22,144600,11.602222
2015-06-23,12.18,12.24,12.15,12.23,121100,11.611716
2015-06-22,12.24,12.24,12.16,12.20,100500,11.583233
2015-06-19,12.25,12.27,12.20,12.25,85800,11.630705
2015-06-18,12.22,12.25,12.19,12.24,117900,11.62121
2015-06-17,12.22,12.25,12.15,12.25,312700,11.630705
2015-06-16,12.22,12.27,12.19,12.20,183000,11.583233
2015-06-15,12.27,12.34,12.16,12.23,1115700,11.611716
2015-06-12,12.25,12.32,12.16,12.27,182900,11.649694
2015-06-11,12.26,12.32,12.20,12.27,193100,11.649694
2015-06-10,12.26,12.29,12.19,12.25,75900,11.630705
2015-06-09,12.39,12.39,12.22,12.25,104500,11.630705
2015-06-08,12.45,12.49,12.42,12.42,70100,11.730397
2015-06-05,12.56,12.56,12.43,12.46,50200,11.768176
2015-06-04,12.57,12.67,12.57,12.60,110300,11.900403
2015-06-03,12.69,12.71,12.63,12.64,45300,11.938182
2015-06-02,12.74,12.74,12.70,12.72,35300,12.01374
2015-06-01,12.80,12.80,12.75,12.77,42000,12.060964
2015-05-29,12.80,12.80,12.75,12.77,42800,12.060964
2015-05-28,12.83,12.83,12.76,12.80,26600,12.089298
2015-05-27,12.86,12.87,12.79,12.85,20600,12.136522
2015-05-26,12.82,12.86,12.79,12.86,19900,12.145967
2015-05-22,12.84,12.89,12.73,12.78,45500,12.070408
2015-05-21,12.92,12.93,12.87,12.90,7900,12.183746
2015-05-20,12.87,12.88,12.84,12.88,14000,12.164856
2015-05-19,12.89,12.90,12.86,12.87,21100,12.155411
2015-05-18,12.90,12.98,12.79,12.92,90000,12.202635
2015-05-15,12.90,12.90,12.80,12.89,21200,12.174301
2015-05-14,12.85,12.87,12.78,12.86,35300,12.145967
2015-05-13,12.79,12.88,12.79,12.83,63000,12.117632
2015-05-12,12.80,12.84,12.77,12.79,45700,12.079853
2015-05-11,12.92,12.92,12.83,12.87,33600,12.155411
2015-05-08,13.01,13.04,12.96,12.96,23000,12.179024
2015-05-07,12.93,13.02,12.92,13.00,81700,12.216613
2015-05-06,12.98,13.01,12.92,12.93,56900,12.150832
2015-05-05,13.00,13.05,12.92,13.00,50900,12.216613
2015-05-04,13.05,13.09,13.02,13.03,35800,12.244805
2015-05-01,13.12,13.14,13.05,13.06,25700,12.272998
2015-04-30,13.11,13.14,13.07,13.11,47000,12.319984
2015-04-29,13.08,13.12,13.06,13.12,35600,12.329382
2015-04-28,13.12,13.15,13.08,13.15,25400,12.357574
2015-04-27,13.15,13.17,13.14,13.17,14500,12.376369
2015-04-24,13.16,13.17,13.12,13.12,15700,12.329382
2015-04-23,13.14,13.17,13.13,13.17,21600,12.376369
2015-04-22,13.17,13.19,13.12,13.14,12100,12.348177
2015-04-21,13.23,13.23,13.14,13.18,29700,12.385766
2015-04-20,13.19,13.25,13.17,13.25,19200,12.451548
2015-04-17,13.20,13.21,13.16,13.19,20600,12.395163
2015-04-16,13.18,13.21,13.16,13.21,22000,12.413958
2015-04-15,13.17,13.21,13.16,13.21,23000,12.413958
2015-04-14,13.14,13.21,13.14,13.17,43400,12.376369
2015-04-13,13.15,13.15,13.11,13.13,23500,12.338779
2015-04-10,13.19,13.23,13.10,13.16,62700,12.366971
2015-04-09,13.24,13.24,13.15,13.17,54300,12.376369
2015-04-08,13.28,13.31,13.24,13.29,37800,12.428054
2015-04-07,13.31,13.31,13.26,13.30,31600,12.437406
2015-04-06,13.35,13.35,13.23,13.30,54800,12.437406
2015-04-02,13.34,13.34,13.28,13.33,40400,12.46546
2015-04-01,13.35,13.38,13.34,13.36,32900,12.493514
2015-03-31,13.33,13.35,13.24,13.32,35900,12.456108
2015-03-30,13.27,13.29,13.22,13.29,27100,12.428054
2015-03-27,13.22,13.29,13.20,13.29,16000,12.428054
2015-03-26,13.27,13.27,13.20,13.24,19100,12.381297
2015-03-25,13.34,13.38,13.23,13.28,44700,12.418703
2015-03-24,13.27,13.37,13.27,13.37,16700,12.502866
2015-03-23,13.29,13.32,13.24,13.29,28800,12.428054
2015-03-20,13.26,13.32,13.26,13.29,25200,12.428054
2015-03-19,13.32,13.32,13.18,13.26,42900,12.40
2015-03-18,13.23,13.35,13.21,13.35,28500,12.484163
2015-03-17,13.26,13.26,13.20,13.21,26900,12.353243
2015-03-16,13.28,13.29,13.24,13.26,19700,12.40
2015-03-13,13.29,13.33,13.24,13.28,20900,12.418703
2015-03-12,13.28,13.33,13.28,13.32,20800,12.456108
2015-03-11,13.25,13.31,13.22,13.26,57300,12.40
2015-03-10,13.28,13.35,13.28,13.32,30300,12.395324
2015-03-09,13.31,13.32,13.25,13.28,22100,12.358101
2015-03-06,13.39,13.40,13.25,13.29,52800,12.367407
2015-03-05,13.45,13.52,13.43,13.45,65500,12.516299
2015-03-04,13.36,13.50,13.36,13.45,71600,12.516299
2015-03-03,13.34,13.39,13.30,13.36,86100,12.432547
2015-03-02,13.36,13.36,13.28,13.32,59000,12.395324
2015-02-27,13.29,13.33,13.27,13.32,28800,12.395324
2015-02-26,13.38,13.38,13.19,13.26,213500,12.33949
2015-02-25,13.37,13.39,13.33,13.37,38700,12.441853
2015-02-24,13.29,13.36,13.27,13.35,35300,12.423242
2015-02-23,13.31,13.35,13.29,13.29,21000,12.367407
2015-02-20,13.30,13.35,13.28,13.29,42900,12.367407
2015-02-19,13.17,13.32,13.17,13.27,56700,12.348796
2015-02-18,12.96,13.25,12.96,13.20,114100,12.283655
2015-02-17,13.19,13.22,13.01,13.01,123300,12.106845
2015-02-13,13.39,13.43,13.18,13.18,101600,12.265043
2015-02-12,13.35,13.38,13.35,13.35,26800,12.423242
2015-02-11,13.45,13.45,13.35,13.35,18800,12.423242
2015-02-10,13.48,13.50,13.42,13.49,66900,12.493035
2015-02-09,13.58,13.58,13.49,13.50,52400,12.502296
2015-02-06,13.65,13.65,13.49,13.52,89700,12.520819
2015-02-05,13.75,13.75,13.66,13.69,46600,12.678254
2015-02-04,13.89,13.91,13.67,13.73,103600,12.715298
2015-02-03,14.02,14.02,13.91,13.92,25000,12.891257
2015-02-02,13.99,14.03,13.97,14.00,24800,12.965344
2015-01-30,14.01,14.02,13.95,13.98,18100,12.946822
2015-01-29,13.97,13.97,13.91,13.94,38700,12.909778
2015-01-28,13.90,13.95,13.90,13.95,36900,12.919039
2015-01-27,13.89,13.93,13.86,13.91,21200,12.881996
2015-01-26,13.88,13.89,13.84,13.84,19400,12.817169
2015-01-23,13.90,13.91,13.86,13.88,27600,12.854213
2015-01-22,13.86,13.92,13.86,13.92,30500,12.891257
2015-01-21,13.89,13.94,13.86,13.88,28100,12.854213
2015-01-20,13.90,13.95,13.87,13.95,48200,12.919039
2015-01-16,13.94,13.95,13.87,13.89,13300,12.863474
2015-01-15,13.84,13.93,13.84,13.92,52600,12.891257
2015-01-14,13.76,13.86,13.76,13.79,60300,12.770864
2015-01-13,13.77,13.77,13.69,13.73,40600,12.715298
2015-01-12,13.73,13.79,13.67,13.75,94100,12.73382
2015-01-09,13.71,13.83,13.71,13.76,56900,12.682885
2015-01-08,13.78,13.80,13.70,13.72,72600,12.646016
2015-01-07,13.77,13.83,13.76,13.77,51900,12.692102
2015-01-06,13.73,13.80,13.72,13.76,120500,12.682885
2015-01-05,13.76,13.81,13.67,13.68,106600,12.609147
2015-01-02,13.89,14.00,13.78,13.78,64300,12.701319
2014-12-31,13.94,13.98,13.84,13.89,49800,12.802709
2014-12-30,13.76,13.92,13.75,13.88,62200,12.793491
2014-12-29,13.77,13.82,13.71,13.76,35500,12.682885
2014-12-26,13.80,13.86,13.76,13.76,22800,12.682885
2014-12-24,13.77,13.81,13.77,13.77,14600,12.692102
2014-12-23,13.74,13.80,13.69,13.75,37400,12.673668
2014-12-22,13.83,13.83,13.68,13.68,71800,12.609147
2014-12-19,13.81,13.83,13.78,13.78,26000,12.701319
2014-12-18,13.83,13.88,13.80,13.80,37300,12.719754
2014-12-17,13.81,13.86,13.79,13.80,33200,12.719754
2014-12-16,13.80,13.84,13.57,13.84,41600,12.756623
2014-12-15,13.74,13.83,13.71,13.76,33500,12.682885
2014-12-12,13.79,13.85,13.73,13.73,64700,12.655233
2014-12-11,13.93,14.00,13.85,13.85,31200,12.696711
2014-12-10,13.84,13.98,13.84,13.98,61100,12.815885
2014-12-09,13.86,13.90,13.82,13.82,19000,12.669208
2014-12-08,13.89,13.99,13.86,13.89,45600,12.73338
2014-12-05,13.98,13.98,13.80,13.89,30900,12.73338
2014-12-04,13.85,14.00,13.82,13.97,75000,12.806718
2014-12-03,13.79,13.88,13.77,13.88,73000,12.724212
2014-12-02,13.67,13.82,13.65,13.82,69700,12.669208
2014-12-01,13.72,13.75,13.65,13.65,31500,12.513364
2014-11-28,13.71,13.71,13.65,13.68,25300,12.540866
2014-11-26,13.63,13.67,13.60,13.65,49700,12.513364
2014-11-25,13.57,13.65,13.56,13.60,59700,12.467528
2014-11-24,13.70,13.71,13.59,13.60,41300,12.467528
2014-11-21,13.75,13.79,13.68,13.68,43500,12.540866
2014-11-20,13.80,13.84,13.75,13.75,47300,12.605037
2014-11-19,13.79,13.84,13.77,13.78,44500,12.632539
2014-11-18,13.79,13.83,13.75,13.83,60300,12.678376
2014-11-17,13.75,13.82,13.72,13.80,61200,12.650874
2014-11-14,13.68,13.90,13.68,13.73,148800,12.586702
2014-11-13,13.39,13.62,13.36,13.62,100700,12.485862
2014-11-12,13.36,13.43,13.33,13.41,34900,12.293349
2014-11-11,13.38,13.44,13.38,13.40,18500,12.215427
2014-11-10,13.35,13.43,13.35,13.41,19500,12.224543
2014-11-07,13.42,13.45,13.38,13.42,18100,12.233659
2014-11-06,13.38,13.41,13.32,13.39,42700,12.206311
2014-11-05,13.32,13.38,13.29,13.37,19800,12.188079
2014-11-04,13.30,13.34,13.29,13.32,28000,12.142499
2014-11-03,13.31,13.35,13.27,13.30,60600,12.124267
2014-10-31,13.31,13.31,13.20,13.28,61800,12.106035
2014-10-30,13.25,13.28,13.21,13.25,57500,12.078687
2014-10-29,13.22,13.28,13.21,13.24,60700,12.069571
2014-10-28,13.28,13.28,13.21,13.22,43900,12.05134
2014-10-27,13.26,13.27,13.21,13.21,33700,12.042223
2014-10-24,13.26,13.32,13.22,13.25,32100,12.078687
2014-10-23,13.38,13.40,13.27,13.30,46100,12.124267
2014-10-22,13.36,13.41,13.35,13.38,25100,12.197195
2014-10-21,13.40,13.43,13.36,13.39,49200,12.206311
2014-10-20,13.40,13.44,13.40,13.42,13600,12.233659
2014-10-17,13.49,13.54,13.34,13.36,67600,12.178963
2014-10-16,13.34,13.47,13.24,13.46,57100,12.270123
2014-10-15,13.23,13.35,13.23,13.34,74100,12.160731
2014-10-14,13.22,13.27,13.18,13.22,47600,12.05134
2014-10-13,13.22,13.30,13.22,13.27,32800,12.02855
2014-10-10,13.35,13.38,13.20,13.21,40400,11.974162
2014-10-09,13.39,13.40,13.32,13.34,42200,12.092001
2014-10-08,13.31,13.39,13.31,13.37,52800,12.119194
2014-10-07,13.18,13.30,13.13,13.30,66200,12.055743
2014-10-06,13.12,13.19,13.12,13.14,54000,11.910711
2014-10-03,13.08,13.13,13.08,13.09,20900,11.865389
2014-10-02,13.15,13.15,13.07,13.10,78100,11.874454
2014-10-01,13.07,13.14,13.07,13.12,65800,11.892582
2014-09-30,13.08,13.08,12.98,13.03,53900,11.811002
2014-09-29,12.98,13.04,12.94,13.04,41600,11.820066
2014-09-26,12.95,13.00,12.91,12.98,60000,11.765679
