Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,28.700001,28.77,28.219999,28.23,110400,28.132721
2015-12-30,29.24,29.290001,28.67,28.700001,167700,28.601103
2015-12-29,29.41,29.66,29.200001,29.35,36600,29.248863
2015-12-28,29.15,29.34,28.90,29.299999,43700,29.199034
2015-12-24,29.219999,29.559999,29.219999,29.32,15300,29.218965
2015-12-23,29.50,29.50,28.92,29.27,26400,29.169138
2015-12-22,29.16,29.33,28.83,29.309999,30700,29.208999
2015-12-21,29.459999,29.58,28.33,29.16,45400,29.059517
2015-12-18,29.549999,29.68,29.27,29.32,186400,29.218965
2015-12-17,30.09,30.23,29.450001,29.719999,50500,29.617586
2015-12-16,30.07,30.10,29.540001,30.10,54900,29.996278
2015-12-15,30.09,30.24,29.48,29.950001,71000,29.747141
2015-12-14,30.540001,30.879999,29.83,30.00,80100,29.796801
2015-12-11,30.860001,31.040001,30.32,30.629999,60800,30.422533
2015-12-10,31.60,31.68,31.02,31.35,64300,31.137658
2015-12-09,31.780001,32.34,31.65,31.68,99600,31.465422
2015-12-08,31.10,31.940001,30.959999,31.84,126500,31.624339
2015-12-07,31.00,31.35,30.530001,31.24,78300,31.028402
2015-12-04,30.48,31.129999,30.48,30.860001,69200,30.650977
2015-12-03,30.959999,31.08,30.370001,30.469999,42100,30.263617
2015-12-02,30.959999,31.23,30.76,30.809999,37300,30.601314
2015-12-01,30.879999,31.16,30.690001,31.030001,45100,30.819825
2015-11-30,31.08,31.15,30.68,30.870001,57300,30.660909
2015-11-27,30.389999,31.139999,30.389999,31.129999,20100,30.919147
2015-11-25,30.60,30.74,30.49,30.52,36500,30.31328
2015-11-24,30.450001,30.74,30.219999,30.700001,34400,30.492061
2015-11-23,30.700001,30.799999,30.51,30.629999,41100,30.422533
2015-11-20,30.91,31.049999,30.700001,30.85,47400,30.641044
2015-11-19,31.26,31.26,30.57,30.700001,31300,30.492061
2015-11-18,30.809999,31.33,30.66,31.309999,49900,31.097928
2015-11-17,30.389999,30.969999,30.34,30.799999,71900,30.591382
2015-11-16,30.17,30.32,29.93,30.299999,52900,30.094768
2015-11-13,30.370001,30.639999,30.209999,30.25,40500,30.045108
2015-11-12,30.620001,30.76,30.370001,30.57,43800,30.36294
2015-11-11,31.309999,31.360001,30.83,30.85,38900,30.641044
2015-11-10,31.16,31.370001,30.93,31.15,69000,30.939012
2015-11-09,31.77,31.889999,30.99,31.17,60200,30.958877
2015-11-06,31.52,32.139999,31.34,32.099998,67200,31.882576
2015-11-05,31.99,32.040001,31.48,31.700001,53800,31.485287
2015-11-04,31.530001,31.98,31.389999,31.969999,123000,31.753457
2015-11-03,30.950001,31.52,30.90,31.43,85100,31.217116
2015-11-02,30.059999,30.99,30.059999,30.950001,95700,30.740367
2015-10-30,31.75,32.240002,29.77,30.110001,142900,29.906057
2015-10-29,32.700001,32.889999,31.959999,32.25,186300,32.031561
2015-10-28,31.200001,32.759998,30.959999,32.700001,348700,32.478514
2015-10-27,30.98,31.08,30.459999,30.52,70300,30.31328
2015-10-26,31.16,31.48,31.139999,31.290001,89400,31.078065
2015-10-23,30.90,31.190001,30.65,31.16,43000,30.948944
2015-10-22,30.299999,30.90,30.299999,30.73,50500,30.521856
2015-10-21,30.90,30.950001,30.209999,30.209999,41300,30.005378
2015-10-20,30.41,30.940001,30.389999,30.889999,39600,30.680772
2015-10-19,30.27,30.66,30.219999,30.389999,57200,30.184159
2015-10-16,30.299999,30.74,30.190001,30.379999,61400,30.174227
2015-10-15,30.379999,30.559999,30.09,30.299999,78900,30.094768
2015-10-14,30.34,30.49,30.190001,30.23,50100,30.025243
2015-10-13,30.709999,30.959999,30.35,30.379999,83100,30.174227
2015-10-12,30.389999,30.959999,30.389999,30.74,101800,30.531789
2015-10-09,30.43,30.60,30.280001,30.35,73300,30.144431
2015-10-08,29.780001,30.450001,29.700001,30.360001,109100,30.154363
2015-10-07,29.34,30.07,29.34,29.85,97600,29.647818
2015-10-06,29.629999,29.91,29.02,29.309999,224300,29.111474
2015-10-05,29.08,29.66,28.950001,29.60,96500,29.399511
2015-10-02,28.42,28.959999,28.42,28.860001,104300,28.664523
2015-10-01,28.950001,29.209999,28.610001,28.790001,100300,28.594998
2015-09-30,29.25,29.25,28.15,28.99,211200,28.793642
2015-09-29,28.860001,29.07,28.639999,28.940001,144200,28.743981
2015-09-28,29.16,29.16,28.620001,28.790001,82700,28.594998
2015-09-25,29.120001,29.75,28.76,29.16,95300,28.962491
2015-09-24,28.780001,29.030001,28.620001,28.879999,107600,28.684386
2015-09-23,28.82,29.01,28.690001,28.83,28400,28.634726
