Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.02,4.05,4.00,4.04,1958000,3.933731
2015-12-30,4.02,4.04,4.00,4.02,1256200,3.914257
2015-12-29,4.01,4.06,4.00,4.02,1238100,3.914257
2015-12-28,4.03,4.04,4.01,4.02,632800,3.914257
2015-12-24,4.06,4.07,4.05,4.06,401000,3.953205
2015-12-23,4.03,4.08,4.03,4.08,669700,3.972679
2015-12-22,4.03,4.05,4.03,4.03,660100,3.923994
2015-12-21,3.99,4.05,3.99,4.03,1219200,3.923994
2015-12-18,3.98,4.01,3.96,3.99,1075200,3.885046
2015-12-17,3.97,4.01,3.97,4.00,1077600,3.894783
2015-12-16,3.90,4.01,3.90,3.99,1580300,3.885046
2015-12-15,3.90,3.94,3.88,3.91,1588500,3.807151
2015-12-14,3.93,3.93,3.84,3.87,1514200,3.768203
2015-12-11,3.98,3.98,3.93,3.95,611200,3.846099
2015-12-10,3.98,4.01,3.98,4.00,530600,3.894783
2015-12-09,4.02,4.04,4.00,4.00,668100,3.894783
2015-12-08,4.05,4.11,4.04,4.05,801200,3.918152
2015-12-07,4.12,4.14,4.04,4.05,1128900,3.918152
2015-12-04,4.13,4.18,4.12,4.17,939000,4.034246
2015-12-03,4.19,4.20,4.15,4.15,452300,4.014897
2015-12-02,4.19,4.20,4.18,4.20,501800,4.063269
2015-12-01,4.22,4.23,4.20,4.21,666300,4.072943
2015-11-30,4.20,4.22,4.19,4.20,323100,4.063269
2015-11-27,4.17,4.20,4.17,4.20,108500,4.063269
2015-11-25,4.16,4.19,4.16,4.18,412000,4.04392
2015-11-24,4.15,4.17,4.14,4.15,294800,4.014897
2015-11-23,4.16,4.20,4.15,4.18,843300,4.04392
2015-11-20,4.12,4.16,4.12,4.16,593400,4.024571
2015-11-19,4.13,4.15,4.12,4.14,488800,4.005222
2015-11-18,4.11,4.16,4.11,4.15,1009900,4.014897
2015-11-17,4.09,4.14,4.08,4.12,986100,3.985873
2015-11-16,4.09,4.10,4.08,4.10,586800,3.966524
2015-11-13,4.09,4.12,4.08,4.08,740500,3.947175
2015-11-12,4.16,4.17,4.10,4.10,384700,3.966524
2015-11-11,4.18,4.23,4.15,4.21,797000,4.04779
2015-11-10,4.15,4.18,4.15,4.18,517500,4.018945
2015-11-09,4.13,4.16,4.12,4.14,804900,3.980486
2015-11-06,4.11,4.16,4.11,4.15,528100,3.990101
2015-11-05,4.12,4.13,4.12,4.12,377000,3.961257
2015-11-04,4.14,4.15,4.13,4.13,430600,3.970872
2015-11-03,4.15,4.16,4.14,4.14,494700,3.980486
2015-11-02,4.14,4.17,4.14,4.17,347000,4.009331
2015-10-30,4.17,4.19,4.14,4.14,447600,3.980486
2015-10-29,4.16,4.18,4.16,4.18,302100,4.018945
2015-10-28,4.16,4.19,4.16,4.17,314000,4.009331
2015-10-27,4.15,4.19,4.14,4.17,433800,4.009331
2015-10-26,4.16,4.18,4.15,4.17,305100,4.009331
2015-10-23,4.18,4.19,4.15,4.16,342800,3.999716
2015-10-22,4.14,4.19,4.14,4.19,438200,4.02856
2015-10-21,4.15,4.16,4.14,4.14,480400,3.980486
2015-10-20,4.16,4.17,4.15,4.16,597700,3.999716
2015-10-19,4.17,4.21,4.16,4.17,577500,4.009331
2015-10-16,4.14,4.23,4.14,4.19,748500,4.02856
2015-10-15,4.19,4.20,4.17,4.19,370100,4.02856
2015-10-14,4.18,4.22,4.18,4.21,268500,4.04779
2015-10-13,4.22,4.23,4.20,4.20,271100,4.038175
2015-10-12,4.25,4.28,4.24,4.27,239900,4.08048
2015-10-09,4.23,4.27,4.22,4.27,503200,4.08048
2015-10-08,4.15,4.24,4.14,4.24,503400,4.051811
2015-10-07,4.15,4.17,4.12,4.14,441900,3.956249
2015-10-06,4.12,4.16,4.12,4.15,514300,3.965806
2015-10-05,4.13,4.14,4.11,4.14,509100,3.956249
2015-10-02,4.12,4.14,4.12,4.14,325600,3.956249
2015-10-01,4.16,4.18,4.14,4.15,450900,3.965806
2015-09-30,4.15,4.18,4.15,4.18,755900,3.994474
2015-09-29,4.16,4.17,4.14,4.14,265100,3.956249
2015-09-28,4.19,4.20,4.16,4.17,453800,3.984918
2015-09-25,4.18,4.20,4.18,4.18,549100,3.994474
2015-09-24,4.21,4.22,4.16,4.18,546700,3.994474
2015-09-23,4.25,4.25,4.21,4.23,470500,4.042255
2015-09-22,4.23,4.24,4.21,4.24,326700,4.051811
2015-09-21,4.25,4.26,4.24,4.26,364100,4.070924
2015-09-18,4.23,4.26,4.23,4.26,259600,4.070924
2015-09-17,4.27,4.27,4.25,4.26,238300,4.070924
2015-09-16,4.24,4.31,4.20,4.29,1027200,4.099592
2015-09-15,4.20,4.25,4.19,4.24,842200,4.051811
2015-09-14,4.20,4.22,4.20,4.20,401900,4.013586
2015-09-11,4.20,4.22,4.19,4.22,385000,4.032699
2015-09-10,4.21,4.24,4.20,4.20,616600,4.013586
2015-09-09,4.27,4.28,4.22,4.23,599500,4.017409
2015-09-08,4.28,4.30,4.26,4.27,595500,4.055399
2015-09-04,4.28,4.29,4.26,4.27,523500,4.055399
2015-09-03,4.28,4.32,4.28,4.30,573800,4.083891
2015-09-02,4.26,4.31,4.25,4.28,321700,4.064896
2015-09-01,4.23,4.27,4.22,4.27,427000,4.055399
2015-08-31,4.28,4.29,4.24,4.27,573800,4.055399
2015-08-28,4.23,4.30,4.23,4.26,547700,4.045901
2015-08-27,4.27,4.32,4.26,4.26,467300,4.045901
2015-08-26,4.28,4.29,4.24,4.28,408700,4.064896
2015-08-25,4.23,4.28,4.23,4.27,640200,4.055399
2015-08-24,4.34,4.38,4.23,4.23,874100,4.017409
2015-08-21,4.34,4.38,4.31,4.33,548300,4.112383
2015-08-20,4.36,4.40,4.36,4.37,675800,4.150373
2015-08-19,4.30,4.39,4.30,4.38,827700,4.15987
2015-08-18,4.34,4.35,4.31,4.33,464000,4.112383
2015-08-17,4.34,4.36,4.33,4.34,294500,4.121881
2015-08-14,4.34,4.37,4.33,4.35,391500,4.131378
2015-08-13,4.37,4.37,4.34,4.34,255400,4.121881
2015-08-12,4.32,4.37,4.32,4.37,315700,4.150373
2015-08-11,4.36,4.40,4.33,4.33,1011100,4.112383
2015-08-10,4.43,4.43,4.39,4.40,427000,4.154172
2015-08-07,4.45,4.46,4.41,4.41,337900,4.163613
2015-08-06,4.46,4.48,4.45,4.47,273300,4.220261
2015-08-05,4.46,4.49,4.45,4.49,439100,4.239143
2015-08-04,4.44,4.48,4.43,4.48,405700,4.229702
2015-08-03,4.43,4.48,4.43,4.47,359500,4.220261
2015-07-31,4.44,4.46,4.42,4.43,524600,4.182495
2015-07-30,4.44,4.45,4.40,4.44,395600,4.191937
2015-07-29,4.38,4.46,4.38,4.45,333800,4.201378
2015-07-28,4.38,4.41,4.37,4.41,618500,4.163613
2015-07-27,4.40,4.42,4.38,4.38,523500,4.135289
2015-07-24,4.40,4.43,4.38,4.42,338000,4.173054
2015-07-23,4.46,4.46,4.39,4.40,661000,4.154172
2015-07-22,4.51,4.51,4.43,4.44,1156400,4.191937
