Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,70.699997,71.610001,69.790001,71.120003,838300,71.026086
2015-12-30,71.68,72.43,71.07,71.190002,683600,71.095993
2015-12-29,73.040001,73.199997,71.760002,72.019997,646300,71.924891
2015-12-28,72.790001,73.080002,71.900002,72.489998,407100,72.394272
2015-12-24,73.440002,73.790001,72.75,73.129997,208900,73.033426
2015-12-23,73.589996,74.169998,73.07,73.660004,671600,73.562733
2015-12-22,72.099998,73.82,71.879997,73.080002,1521500,72.983497
2015-12-21,70.160004,72.209999,70.019997,71.830002,1205300,71.735147
2015-12-18,70.309998,70.400002,68.860001,68.889999,1686000,68.799027
2015-12-17,71.139999,71.449997,70.290001,70.32,923100,70.227139
2015-12-16,70.529999,71.209999,70.059998,71.150002,1003400,71.056045
2015-12-15,69.610001,70.660004,69.129997,70.07,1139900,69.977469
2015-12-14,69.949997,70.580002,67.959999,69.209999,1558200,69.118604
2015-12-11,71.470001,71.879997,69.620003,70.120003,1889100,70.027406
2015-12-10,72.739998,73.309998,72.07,72.199997,742900,72.104654
2015-12-09,73.32,73.919998,72.559998,72.889999,1136200,72.793745
2015-12-08,74.919998,75.099998,72.709999,73.410004,1526800,73.313063
2015-12-07,76.00,76.580002,75.43,75.989998,1132400,75.88965
2015-12-04,75.489998,76.360001,74.669998,76.190002,889000,76.08939
2015-12-03,79.080002,79.599998,75.379997,75.650002,1340300,75.550103
2015-12-02,79.839996,80.370003,78.120003,78.879997,1284800,78.775833
2015-12-01,79.989998,81.239998,79.550003,80.040001,915900,79.934305
2015-11-30,80.910004,81.089996,80.010002,80.120003,1553700,80.014201
2015-11-27,80.480003,81.529999,80.330002,81.00,903800,80.893036
2015-11-25,78.949997,81.230003,78.699997,80.519997,1606600,80.413667
2015-11-24,77.089996,79.599998,76.760002,78.910004,1455300,78.8058
2015-11-23,76.519997,77.879997,76.519997,77.43,1677000,77.327751
2015-11-20,78.050003,78.959999,76.580002,76.739998,1029500,76.63866
2015-11-19,77.650002,78.089996,76.800003,77.75,1607700,77.647328
2015-11-18,76.260002,77.720001,75.919998,77.669998,3278200,77.567432
2015-11-17,77.900002,78.120003,75.610001,75.730003,1594600,75.629999
2015-11-16,77.239998,78.650002,76.779999,77.839996,1419000,77.737205
2015-11-13,76.129997,78.07,76.129997,76.769997,1310900,76.668619
2015-11-12,76.690002,77.279999,75.919998,76.519997,1372900,76.418949
2015-11-11,77.690002,77.860001,76.889999,77.110001,1572300,76.928279
2015-11-10,76.50,77.790001,76.18,77.300003,1677100,77.117834
2015-11-09,77.260002,78.550003,74.620003,75.93,1411400,75.75106
2015-11-06,76.779999,77.650002,75.660004,77.599998,1251000,77.417123
2015-11-05,79.75,80.989998,75.860001,77.440002,3680100,77.257504
2015-11-04,81.150002,81.470001,79.779999,79.919998,1285000,79.731655
2015-11-03,82.040001,82.32,80.209999,80.889999,1879600,80.69937
2015-11-02,82.870003,83.629997,82.160004,82.239998,986500,82.046187
2015-10-30,81.879997,83.629997,81.529999,82.870003,1075600,82.674707
2015-10-29,81.379997,82.480003,81.290001,81.68,706600,81.487509
2015-10-28,81.75,82.57,80.940002,81.889999,1008500,81.697013
2015-10-27,82.68,82.949997,80.580002,81.400002,1904800,81.20817
2015-10-26,82.889999,83.860001,82.730003,83.550003,1224600,83.353105
2015-10-23,84.25,85.029999,82.709999,83.199997,1892200,83.003924
2015-10-22,80.019997,87.610001,79.190002,83.739998,4995900,83.542652
2015-10-21,89.68,89.68,87.989998,88.550003,1244300,88.341322
