Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.80,10.89,10.77,10.77,2000600,10.701256
2015-12-30,10.89,10.94,10.83,10.85,1584800,10.780745
2015-12-29,10.86,10.96,10.83,10.90,1846900,10.830425
2015-12-28,10.85,10.91,10.76,10.85,2280000,10.780745
2015-12-24,10.85,10.96,10.82,10.89,1021800,10.820489
2015-12-23,10.73,10.90,10.70,10.88,2931300,10.810553
2015-12-22,10.73,10.77,10.60,10.70,2097300,10.631702
2015-12-21,10.61,10.80,10.60,10.73,2511000,10.66151
2015-12-18,10.54,10.63,10.41,10.58,5901300,10.512468
2015-12-17,10.70,10.79,10.50,10.50,3429700,10.432978
2015-12-16,10.73,10.79,10.52,10.70,3270000,10.631702
2015-12-15,10.65,10.81,10.58,10.60,2904600,10.532341
2015-12-14,10.57,10.82,10.45,10.54,5055600,10.472723
2015-12-11,10.65,10.77,10.56,10.60,4568200,10.532341
2015-12-10,10.64,10.78,10.30,10.71,3383100,10.641638
2015-12-09,10.70,10.88,10.55,10.61,4963400,10.542276
2015-12-08,10.75,10.92,10.70,10.73,3886900,10.66151
2015-12-07,10.64,10.87,10.59,10.78,5308500,10.711191
2015-12-04,10.39,10.86,10.39,10.61,5166200,10.542276
2015-12-03,10.42,10.51,10.29,10.39,5604300,10.323681
2015-12-02,10.33,10.49,10.33,10.42,2093200,10.353489
2015-12-01,10.58,10.62,10.33,10.38,3101000,10.313745
2015-11-30,10.50,10.59,10.43,10.51,3381800,10.442915
2015-11-27,10.49,10.59,10.43,10.48,1535000,10.413106
2015-11-25,10.53,10.59,10.42,10.51,2521300,10.383298
2015-11-24,10.58,10.59,10.36,10.57,3276300,10.442574
2015-11-23,10.57,10.61,10.32,10.58,4065500,10.452454
2015-11-20,10.34,10.65,10.32,10.57,6636700,10.442574
2015-11-19,10.21,10.53,10.20,10.35,11765600,10.225227
2015-11-18,9.52,9.93,9.44,9.90,4569000,9.780651
2015-11-17,9.62,9.76,9.47,9.52,3939100,9.405233
2015-11-16,9.44,9.65,9.43,9.54,3929600,9.424991
2015-11-13,9.74,9.89,9.34,9.43,5753200,9.316318
2015-11-12,9.48,9.75,9.48,9.63,4419000,9.513907
2015-11-11,9.62,9.66,9.44,9.55,2792100,9.434871
2015-11-10,9.34,9.57,9.28,9.57,2986100,9.45463
2015-11-09,9.53,9.63,9.25,9.41,3036700,9.296559
2015-11-06,9.73,9.75,9.54,9.56,3685800,9.444751
2015-11-05,9.89,9.90,9.58,9.71,5360100,9.592942
2015-11-04,9.80,9.99,9.57,9.85,9299200,9.731255
2015-11-03,9.60,9.72,9.40,9.43,7014600,9.316318
2015-11-02,9.47,9.78,9.27,9.73,8855300,9.612701
2015-10-30,9.11,9.17,9.01,9.16,3633300,9.049572
2015-10-29,9.32,9.35,9.00,9.07,3669900,8.960657
2015-10-28,8.99,9.33,8.97,9.32,3133500,9.207643
2015-10-27,8.98,9.15,8.86,8.97,3780200,8.861863
2015-10-26,8.84,9.05,8.82,9.01,1589800,8.901381
2015-10-23,8.74,8.86,8.57,8.85,3281300,8.74331
2015-10-22,8.89,8.90,8.61,8.67,3490800,8.56548
2015-10-21,9.16,9.17,8.84,8.86,2154200,8.753189
2015-10-20,9.30,9.35,9.15,9.16,2942100,9.049572
2015-10-19,9.18,9.27,9.04,9.26,3290400,9.148367
2015-10-16,8.86,9.20,8.86,9.20,6061300,9.08909
2015-10-15,8.95,8.98,8.71,8.87,3414300,8.763069
2015-10-14,9.05,9.06,8.80,8.85,4942100,8.74331
2015-10-13,9.10,9.19,9.03,9.05,2029700,8.940899
2015-10-12,9.27,9.29,9.10,9.15,1798400,9.039693
2015-10-09,9.19,9.30,9.12,9.28,2500700,9.168126
2015-10-08,8.94,9.18,8.89,9.17,4558700,9.059452
2015-10-07,8.64,8.87,8.57,8.87,3566000,8.763069
2015-10-06,8.73,8.82,8.62,8.65,2605700,8.54572
2015-10-05,8.74,8.76,8.67,8.75,2785500,8.644515
2015-10-02,8.49,8.71,8.43,8.71,3006100,8.604998
2015-10-01,8.57,8.64,8.47,8.54,3020600,8.437047
2015-09-30,8.63,8.79,8.52,8.65,2872600,8.54572
2015-09-29,8.77,8.78,8.52,8.56,3931300,8.456806
2015-09-28,8.89,8.92,8.73,8.78,4688400,8.674153
2015-09-25,9.02,9.07,8.84,8.90,2621300,8.792707
2015-09-24,8.98,9.05,8.94,9.00,2694200,8.891501
2015-09-23,9.03,9.10,8.99,9.02,1823600,8.911261
2015-09-22,8.98,9.13,8.97,9.04,2385500,8.931019
2015-09-21,9.13,9.19,8.99,9.05,3835600,8.940899
2015-09-18,8.96,9.15,8.96,9.10,5537900,8.990296
2015-09-17,9.09,9.19,9.03,9.07,3844500,8.960657
2015-09-16,9.08,9.14,9.03,9.08,4972300,8.970537
2015-09-15,9.20,9.25,8.99,9.07,6450600,8.960657
2015-09-14,9.23,9.26,9.12,9.18,4028600,9.069332
2015-09-11,9.08,9.28,9.00,9.23,4202300,9.118728
2015-09-10,9.10,9.11,8.98,9.02,5916400,8.911261
2015-09-09,9.23,9.32,9.07,9.10,4204800,8.990296
2015-09-08,9.21,9.25,9.15,9.19,4379600,9.07921
2015-09-04,8.94,9.21,8.94,9.08,3171800,8.970537
2015-09-03,9.05,9.16,8.95,9.01,5329600,8.901381
2015-09-02,9.06,9.28,8.99,9.02,6734600,8.911261
2015-09-01,8.97,9.09,8.91,8.93,5769200,8.822346
2015-08-31,9.21,9.32,9.07,9.11,4214900,9.000175
2015-08-28,9.26,9.36,9.18,9.22,2498400,9.10885
2015-08-27,9.11,9.37,9.06,9.30,5205100,9.133548
2015-08-26,9.15,9.20,8.91,9.00,6178600,8.838917
2015-08-25,9.22,9.27,8.91,8.99,6679500,8.829096
2015-08-24,8.68,9.11,8.57,9.00,14466900,8.838917
2015-08-21,9.20,9.30,9.12,9.15,4752100,8.986232
2015-08-20,9.60,9.61,9.26,9.26,5302400,9.094264
2015-08-19,9.75,9.81,9.58,9.65,5053300,9.477283
2015-08-18,10.08,10.13,9.78,9.78,6443900,9.604956
2015-08-17,9.90,10.09,9.87,10.09,2435900,9.909408
2015-08-14,9.99,10.09,9.93,9.96,1952100,9.781735
2015-08-13,9.95,10.10,9.95,10.03,3859400,9.850482
2015-08-12,9.63,10.02,9.63,9.99,6539900,9.811198
2015-08-11,9.90,9.91,9.62,9.72,3972400,9.546031
2015-08-10,9.82,9.91,9.77,9.81,3322900,9.63442
2015-08-07,9.94,9.98,9.74,9.82,4369200,9.644241
2015-08-06,10.22,10.25,9.85,9.96,7184600,9.781735
2015-08-05,10.48,10.52,10.11,10.11,5851200,9.92905
2015-08-04,10.33,10.36,10.19,10.29,4449300,10.105829
2015-08-03,10.29,10.35,10.21,10.29,3935000,10.105829
2015-07-31,10.32,10.36,10.23,10.26,6978900,10.076366
2015-07-30,10.30,10.40,10.15,10.24,4301100,10.056723
2015-07-29,10.26,10.39,10.20,10.38,2917700,10.194218
2015-07-28,10.09,10.28,10.01,10.24,5823200,10.056723
2015-07-27,10.15,10.21,10.04,10.06,2809200,9.879946
2015-07-24,10.32,10.38,10.12,10.15,2525800,9.968334
2015-07-23,10.41,10.42,10.22,10.26,2343800,10.076366
2015-07-22,10.28,10.42,10.27,10.39,4085400,10.204039
2015-07-21,10.23,10.30,10.18,10.27,2568600,10.086187
2015-07-20,10.27,10.35,10.23,10.26,3137200,10.076366
2015-07-17,10.35,10.41,10.19,10.23,4044200,10.046902
2015-07-16,10.44,10.44,10.33,10.35,3087700,10.164755
2015-07-15,10.50,10.54,10.38,10.41,3624900,10.223681
2015-07-14,10.49,10.57,10.45,10.46,4461400,10.272786
2015-07-13,10.48,10.66,10.43,10.54,8910100,10.351354
2015-07-10,10.60,10.64,10.37,10.44,6827700,10.253144
2015-07-09,10.54,10.62,10.43,10.46,3246400,10.272786
2015-07-08,10.56,10.63,10.44,10.49,4113900,10.302249
2015-07-07,10.66,10.66,10.40,10.60,5035100,10.410281
2015-07-06,10.69,10.79,10.58,10.63,6513400,10.439743
2015-07-02,10.94,10.94,10.72,10.79,7097700,10.59688
2015-07-01,11.24,11.30,10.77,10.88,26646700,10.685269
2015-06-30,11.26,11.36,11.11,11.28,18566600,11.078109
2015-06-29,11.30,11.34,11.18,11.20,16011200,10.999541
2015-06-26,11.40,11.43,11.29,11.35,7080700,11.146857
2015-06-25,11.30,11.47,11.28,11.43,10819100,11.225425
2015-06-24,11.37,11.41,11.28,11.29,5617700,11.087931
2015-06-23,11.43,11.47,11.30,11.37,9304000,11.166499
2015-06-22,11.41,11.46,11.35,11.44,4028500,11.235246
2015-06-19,11.45,11.45,11.30,11.37,7725500,11.166499
2015-06-18,11.43,11.56,11.42,11.43,3467000,11.225425
2015-06-17,11.25,11.44,11.24,11.39,6969900,11.186141
2015-06-16,11.23,11.29,11.16,11.25,2540700,11.048647
2015-06-15,11.26,11.29,11.17,11.23,2274800,11.029004
2015-06-12,11.15,11.32,11.11,11.30,2602100,11.097752
2015-06-11,11.32,11.38,11.18,11.23,5966300,11.029004
2015-06-10,11.25,11.30,11.21,11.28,3297900,11.078109
2015-06-09,11.26,11.27,11.16,11.24,4508000,11.038825
2015-06-08,11.28,11.31,11.22,11.28,4531300,11.078109
2015-06-05,11.21,11.34,11.13,11.27,7235600,11.068289
2015-06-04,11.35,11.42,11.22,11.24,12256600,11.038825
2015-06-03,11.43,11.71,11.32,11.47,19922600,11.264709
2015-06-02,11.08,11.17,11.01,11.10,2321300,10.901332
2015-06-01,11.25,11.26,11.11,11.12,2606300,10.920973
2015-05-29,11.35,11.36,11.18,11.24,2107500,11.038825
2015-05-28,11.30,11.41,11.28,11.35,1783200,11.146857
2015-05-27,11.35,11.40,11.28,11.35,1893200,11.092842
2015-05-26,11.31,11.39,11.19,11.35,2331100,11.092842
2015-05-22,11.58,11.58,11.35,11.36,2447600,11.102614
2015-05-21,11.58,11.67,11.53,11.58,1723800,11.31763
2015-05-20,11.40,11.67,11.32,11.57,4900000,11.307856
2015-05-19,11.37,11.46,11.32,11.38,1807700,11.122162
2015-05-18,11.19,11.46,11.15,11.37,2613100,11.112388
2015-05-15,11.25,11.30,11.13,11.21,1519900,10.956013
2015-05-14,11.15,11.23,11.04,11.21,1836600,10.956013
2015-05-13,11.18,11.20,11.10,11.14,2418500,10.8876
2015-05-12,11.10,11.20,11.03,11.15,3203600,10.897372
2015-05-11,11.04,11.16,10.95,11.10,2996100,10.848506
2015-05-08,11.25,11.28,11.06,11.08,3687400,10.828959
2015-05-07,11.16,11.25,11.08,11.20,6081900,10.94624
2015-05-06,11.03,11.20,10.77,11.19,12867000,10.936466
2015-05-05,10.43,10.54,10.26,10.43,8527100,10.193686
2015-05-04,10.19,10.50,10.17,10.47,4392400,10.23278
2015-05-01,10.19,10.32,10.05,10.15,2750500,9.920029
2015-04-30,10.29,10.34,10.10,10.12,3717600,9.890709
2015-04-29,10.52,10.59,10.29,10.35,3081800,10.115499
2015-04-28,10.56,10.63,10.42,10.58,2326700,10.340287
2015-04-27,10.73,10.77,10.49,10.50,2390100,10.2621
2015-04-24,10.68,10.85,10.63,10.71,2773900,10.467342
2015-04-23,10.43,10.65,10.43,10.61,3144000,10.369607
2015-04-22,10.42,10.54,10.42,10.44,3194800,10.203459
2015-04-21,10.56,10.61,10.44,10.44,3329300,10.203459
2015-04-20,10.47,10.55,10.37,10.53,2232900,10.29142
2015-04-17,10.48,10.50,10.35,10.40,1801300,10.164365
