Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.61,10.66,10.56,10.57,128100,10.474892
2015-12-30,10.66,10.66,10.55,10.58,81200,10.484802
2015-12-29,10.68,10.68,10.60,10.62,57200,10.524442
2015-12-28,10.75,10.75,10.64,10.68,61900,10.583903
2015-12-24,10.78,10.78,10.68,10.75,35900,10.653272
2015-12-23,10.66,10.78,10.64,10.75,134400,10.653272
2015-12-22,10.61,10.68,10.56,10.63,88900,10.534352
2015-12-21,10.65,10.66,10.61,10.62,61500,10.524442
2015-12-18,10.61,10.68,10.57,10.67,71400,10.573992
2015-12-17,10.56,10.58,10.51,10.56,71400,10.464982
2015-12-16,10.50,10.53,10.46,10.53,64000,10.435252
2015-12-15,10.44,10.53,10.39,10.49,42900,10.395612
2015-12-14,10.53,10.53,10.41,10.42,81900,10.326242
2015-12-11,10.51,10.54,10.46,10.50,53800,10.405522
2015-12-10,10.53,10.55,10.48,10.54,63700,10.41345
2015-12-09,10.60,10.61,10.51,10.52,43100,10.393691
2015-12-08,10.60,10.61,10.56,10.57,90200,10.44309
2015-12-07,10.65,10.67,10.60,10.63,38600,10.50237
2015-12-04,10.66,10.68,10.63,10.65,29900,10.522129
2015-12-03,10.71,10.71,10.60,10.65,55700,10.522129
2015-12-02,10.72,10.73,10.68,10.71,45800,10.581409
2015-12-01,10.70,10.70,10.63,10.70,76100,10.571529
2015-11-30,10.72,10.72,10.63,10.66,67000,10.532009
2015-11-27,10.64,10.64,10.61,10.64,5200,10.51225
2015-11-25,10.62,10.63,10.61,10.61,25200,10.482609
2015-11-24,10.63,10.64,10.59,10.62,44300,10.492489
2015-11-23,10.62,10.63,10.59,10.63,38500,10.50237
2015-11-20,10.55,10.61,10.53,10.61,49700,10.482609
2015-11-19,10.52,10.56,10.50,10.56,45800,10.43321
2015-11-18,10.50,10.52,10.49,10.50,65700,10.37393
2015-11-17,10.51,10.52,10.48,10.49,46100,10.36405
2015-11-16,10.51,10.54,10.50,10.52,65000,10.393691
2015-11-13,10.56,10.56,10.51,10.53,51600,10.40357
2015-11-12,10.58,10.59,10.54,10.54,32300,10.41345
2015-11-11,10.59,10.62,10.58,10.59,44500,10.46285
2015-11-10,10.61,10.63,10.58,10.59,65200,10.46285
2015-11-09,10.68,10.69,10.64,10.65,41600,10.490513
2015-11-06,10.69,10.72,10.65,10.68,67500,10.520064
2015-11-05,10.74,10.78,10.73,10.74,51000,10.579165
2015-11-04,10.78,10.80,10.72,10.78,59200,10.618566
2015-11-03,10.75,10.78,10.73,10.78,51500,10.618566
2015-11-02,10.71,10.78,10.68,10.77,49300,10.608716
2015-10-30,10.72,10.74,10.66,10.70,54900,10.539764
2015-10-29,10.73,10.74,10.66,10.73,74000,10.569314
2015-10-28,10.78,10.82,10.72,10.73,72600,10.569314
2015-10-27,10.79,10.82,10.78,10.82,10700,10.657967
2015-10-26,10.79,10.82,10.78,10.78,27700,10.618566
2015-10-23,10.77,10.82,10.75,10.80,31200,10.638267
2015-10-22,10.79,10.83,10.79,10.82,31000,10.657967
2015-10-21,10.74,10.81,10.71,10.81,51500,10.648117
2015-10-20,10.66,10.76,10.66,10.73,60300,10.569314
2015-10-19,10.71,10.72,10.67,10.69,28600,10.529914
2015-10-16,10.71,10.73,10.70,10.70,42500,10.539764
2015-10-15,10.73,10.75,10.71,10.74,28400,10.579165
2015-10-14,10.74,10.75,10.71,10.74,33200,10.579165
2015-10-13,10.66,10.72,10.66,10.70,23600,10.539764
2015-10-12,10.69,10.73,10.67,10.72,47900,10.527944
2015-10-09,10.62,10.71,10.62,10.71,50400,10.518123
2015-10-08,10.58,10.69,10.58,10.68,51700,10.488661
2015-10-07,10.55,10.64,10.53,10.63,63800,10.439557
2015-10-06,10.52,10.57,10.52,10.57,312700,10.380631
2015-10-05,10.55,10.56,10.52,10.52,45300,10.331528
2015-10-02,10.57,10.63,10.52,10.55,78600,10.36099
2015-10-01,10.53,10.60,10.53,10.57,52200,10.380631
2015-09-30,10.51,10.58,10.51,10.55,73400,10.36099
2015-09-29,10.46,10.54,10.46,10.51,68200,10.321707
2015-09-28,10.50,10.51,10.49,10.49,17100,10.302064
2015-09-25,10.54,10.55,10.51,10.51,49700,10.321707
2015-09-24,10.57,10.59,10.55,10.56,35900,10.370811
2015-09-23,10.54,10.59,10.54,10.56,79000,10.370811
2015-09-22,10.57,10.58,10.50,10.54,44300,10.351169
2015-09-21,10.59,10.60,10.54,10.56,41400,10.370811
2015-09-18,10.52,10.60,10.52,10.59,108000,10.400273
2015-09-17,10.47,10.52,10.43,10.52,96400,10.331528
2015-09-16,10.56,10.57,10.44,10.47,84000,10.282423
2015-09-15,10.55,10.56,10.47,10.53,49200,10.341348
2015-09-14,10.62,10.65,10.56,10.56,45500,10.370811
2015-09-11,10.66,10.66,10.62,10.62,32800,10.429736
2015-09-10,10.69,10.69,10.63,10.66,53900,10.437592
2015-09-09,10.69,10.70,10.64,10.67,51800,10.447384
2015-09-08,10.79,10.79,10.68,10.68,57700,10.457175
2015-09-04,10.75,10.80,10.75,10.79,44500,10.56488
2015-09-03,10.77,10.78,10.75,10.78,51200,10.555088
2015-09-02,10.76,10.79,10.73,10.78,72500,10.555088
2015-09-01,10.74,10.77,10.69,10.72,107300,10.496341
2015-08-31,10.80,10.82,10.72,10.75,474700,10.525714
2015-08-28,10.84,10.87,10.81,10.82,32300,10.594254
2015-08-27,10.77,10.85,10.73,10.84,61100,10.613837
2015-08-26,10.83,10.83,10.73,10.76,110100,10.535506
2015-08-25,10.84,10.91,10.79,10.80,77800,10.574671
2015-08-24,10.96,10.98,10.78,10.84,89400,10.613837
2015-08-21,11.00,11.00,10.96,10.99,65400,10.760707
2015-08-20,11.01,11.05,10.97,10.98,48500,10.750915
2015-08-19,10.99,11.04,10.95,11.04,40400,10.809664
2015-08-18,10.95,11.01,10.95,11.00,31500,10.770499
2015-08-17,11.09,11.09,10.97,10.97,43400,10.741125
2015-08-14,11.08,11.09,11.07,11.08,33000,10.848829
2015-08-13,11.16,11.16,11.11,11.13,27500,10.897786
2015-08-12,11.11,11.18,11.10,11.18,38300,10.946743
