Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.25,10.29,10.24,10.29,172400,10.189058
2015-12-30,10.32,10.34,10.23,10.25,406800,10.14945
2015-12-29,10.35,10.37,10.30,10.30,248900,10.19896
2015-12-28,10.33,10.41,10.31,10.35,125600,10.24847
2015-12-24,10.43,10.43,10.35,10.37,131500,10.268273
2015-12-23,10.30,10.42,10.29,10.40,294300,10.297978
2015-12-22,10.25,10.35,10.23,10.33,164600,10.228665
2015-12-21,10.27,10.35,10.27,10.28,110400,10.179156
2015-12-18,10.30,10.35,10.28,10.31,122600,10.208862
2015-12-17,10.24,10.29,10.18,10.27,119200,10.169255
2015-12-16,10.22,10.25,10.16,10.24,149200,10.139548
2015-12-15,10.16,10.22,10.16,10.22,91800,10.119745
2015-12-14,10.23,10.24,10.16,10.17,160700,10.070235
2015-12-11,10.24,10.25,10.22,10.23,88300,10.129646
2015-12-10,10.27,10.29,10.23,10.26,106400,10.125686
2015-12-09,10.32,10.32,10.24,10.26,96800,10.125686
2015-12-08,10.32,10.33,10.28,10.29,75000,10.155293
2015-12-07,10.31,10.35,10.28,10.31,68800,10.175031
2015-12-04,10.32,10.38,10.32,10.32,93100,10.1849
2015-12-03,10.42,10.42,10.32,10.32,75100,10.1849
2015-12-02,10.46,10.46,10.39,10.42,119000,10.283591
2015-12-01,10.39,10.47,10.39,10.47,107700,10.332937
2015-11-30,10.40,10.41,10.37,10.38,48600,10.244115
2015-11-27,10.37,10.37,10.35,10.36,9000,10.224376
2015-11-25,10.37,10.38,10.34,10.35,30800,10.214508
2015-11-24,10.36,10.38,10.34,10.37,87400,10.234245
2015-11-23,10.34,10.37,10.32,10.36,58700,10.224376
2015-11-20,10.34,10.38,10.32,10.33,112700,10.194769
2015-11-19,10.25,10.35,10.25,10.33,186000,10.194769
2015-11-18,10.27,10.28,10.23,10.25,171800,10.115816
2015-11-17,10.31,10.32,10.28,10.28,86800,10.145423
2015-11-16,10.34,10.34,10.28,10.31,116100,10.175031
2015-11-13,10.36,10.37,10.33,10.35,76100,10.214508
2015-11-12,10.37,10.39,10.35,10.37,71600,10.234245
2015-11-11,10.42,10.42,10.36,10.36,81600,10.224376
2015-11-10,10.42,10.44,10.38,10.42,85600,10.283591
2015-11-09,10.48,10.49,10.42,10.44,33400,10.269774
2015-11-06,10.52,10.52,10.41,10.48,174900,10.309122
2015-11-05,10.55,10.56,10.51,10.54,89200,10.368144
2015-11-04,10.47,10.58,10.47,10.57,150500,10.397654
2015-11-03,10.47,10.51,10.46,10.50,84000,10.328796
2015-11-02,10.48,10.54,10.48,10.51,105000,10.338633
2015-10-30,10.54,10.55,10.47,10.49,128200,10.318959
2015-10-29,10.54,10.56,10.47,10.51,239200,10.338633
2015-10-28,10.57,10.59,10.51,10.54,179900,10.368144
2015-10-27,10.58,10.60,10.58,10.58,41600,10.407491
2015-10-26,10.59,10.61,10.58,10.60,66200,10.427166
2015-10-23,10.61,10.61,10.55,10.58,84700,10.407491
2015-10-22,10.52,10.63,10.52,10.62,204600,10.446839
2015-10-21,10.49,10.56,10.49,10.53,119800,10.358307
2015-10-20,10.50,10.51,10.47,10.50,117200,10.328796
2015-10-19,10.52,10.52,10.48,10.49,95200,10.318959
2015-10-16,10.54,10.54,10.50,10.53,108700,10.358307
2015-10-15,10.53,10.55,10.51,10.53,134400,10.358307
2015-10-14,10.50,10.55,10.49,10.53,253800,10.358307
2015-10-13,10.49,10.51,10.45,10.48,136800,10.309122
2015-10-12,10.51,10.56,10.49,10.54,140400,10.334698
2015-10-09,10.51,10.56,10.51,10.53,62400,10.324892
2015-10-08,10.45,10.54,10.45,10.53,94800,10.324892
2015-10-07,10.43,10.49,10.39,10.48,211300,10.275866
2015-10-06,10.33,10.42,10.33,10.42,113700,10.217035
2015-10-05,10.36,10.38,10.32,10.35,234900,10.148399
2015-10-02,10.40,10.45,10.33,10.35,269900,10.148399
2015-10-01,10.38,10.43,10.37,10.37,98000,10.168009
2015-09-30,10.35,10.42,10.32,10.40,152400,10.197424
2015-09-29,10.35,10.39,10.35,10.36,138700,10.158204
2015-09-28,10.41,10.43,10.39,10.40,130700,10.197424
2015-09-25,10.43,10.44,10.41,10.42,120300,10.217035
2015-09-24,10.47,10.50,10.45,10.46,82500,10.256256
2015-09-23,10.44,10.49,10.44,10.47,113700,10.266062
2015-09-22,10.43,10.47,10.43,10.45,76500,10.246451
2015-09-21,10.46,10.47,10.44,10.45,40200,10.246451
2015-09-18,10.41,10.50,10.41,10.50,116300,10.295477
2015-09-17,10.34,10.42,10.33,10.42,150400,10.217035
2015-09-16,10.36,10.40,10.34,10.35,227400,10.148399
2015-09-15,10.41,10.41,10.36,10.37,108300,10.168009
2015-09-14,10.48,10.49,10.42,10.43,90100,10.226841
2015-09-11,10.51,10.52,10.47,10.48,69500,10.275866
2015-09-10,10.52,10.54,10.48,10.52,234300,10.28175
2015-09-09,10.55,10.57,10.50,10.52,120200,10.28175
2015-09-08,10.55,10.64,10.52,10.55,189800,10.31107
2015-09-04,10.57,10.58,10.55,10.55,284800,10.31107
2015-09-03,10.55,10.60,10.55,10.57,153500,10.330617
2015-09-02,10.59,10.60,10.54,10.58,116300,10.340391
2015-09-01,10.55,10.61,10.51,10.56,159700,10.320844
2015-08-31,10.61,10.63,10.54,10.55,161800,10.31107
2015-08-28,10.63,10.69,10.61,10.62,52000,10.379485
2015-08-27,10.58,10.66,10.58,10.64,82300,10.399032
2015-08-26,10.70,10.70,10.56,10.57,67300,10.330617
2015-08-25,10.67,10.75,10.65,10.67,152000,10.428353
2015-08-24,10.66,10.94,10.66,10.67,120100,10.428353
2015-08-21,10.81,10.92,10.79,10.91,147900,10.662917
2015-08-20,10.91,10.93,10.80,10.83,88100,10.584729
2015-08-19,10.83,10.92,10.82,10.92,80600,10.672691
2015-08-18,10.82,10.87,10.80,10.82,66600,10.574955
2015-08-17,10.93,10.94,10.85,10.85,70000,10.604276
2015-08-14,10.96,10.96,10.93,10.94,50300,10.692237
2015-08-13,11.04,11.04,10.99,10.99,43700,10.741105
2015-08-12,11.05,11.07,11.03,11.07,88900,10.819293
2015-08-11,11.07,11.07,11.04,11.07,91500,10.786063
2015-08-10,11.08,11.09,11.05,11.07,63100,10.786063
2015-08-07,11.03,11.09,11.02,11.08,54100,10.795807
2015-08-06,11.05,11.05,11.02,11.05,80300,10.766577
2015-08-05,11.05,11.05,11.02,11.05,71000,10.766577
2015-08-04,11.02,11.08,11.02,11.06,105000,10.77632
2015-08-03,11.01,11.13,10.99,11.13,92200,10.844525
2015-07-31,10.92,11.00,10.91,10.99,95900,10.708115
2015-07-30,10.92,10.96,10.91,10.92,92400,10.639911
2015-07-29,10.94,10.97,10.87,10.94,80700,10.659397
2015-07-28,10.96,10.97,10.93,10.94,57500,10.659397
2015-07-27,10.96,10.99,10.95,10.97,72700,10.688629
2015-07-24,11.07,11.11,10.97,10.98,59100,10.698371
2015-07-23,11.16,11.16,11.05,11.10,74300,10.815294
2015-07-22,11.17,11.17,11.11,11.16,67000,10.873755
2015-07-21,11.15,11.17,11.13,11.16,63700,10.873755
2015-07-20,11.21,11.22,11.12,11.15,97900,10.864011
2015-07-17,11.18,11.22,11.18,11.20,49800,10.912729
2015-07-16,11.13,11.21,11.12,11.20,33000,10.912729
2015-07-15,11.09,11.13,11.09,11.12,74400,10.834781
2015-07-14,11.08,11.12,11.08,11.09,56100,10.805551
2015-07-13,11.15,11.15,11.10,11.10,68300,10.815294
2015-07-10,11.24,11.24,11.17,11.20,100400,10.879601
2015-07-09,11.30,11.31,11.24,11.27,131300,10.947599
2015-07-08,11.32,11.33,11.30,11.30,78600,10.976741
2015-07-07,11.30,11.35,11.30,11.32,150900,10.996168
2015-07-06,11.26,11.31,11.25,11.30,59800,10.976741
2015-07-02,11.22,11.29,11.22,11.29,65700,10.967027
2015-07-01,11.18,11.24,11.16,11.22,104000,10.89903
2015-06-30,11.17,11.23,11.13,11.19,74500,10.869887
2015-06-29,11.16,11.17,11.13,11.17,84200,10.85046
2015-06-26,11.20,11.20,11.13,11.16,74900,10.840746
2015-06-25,11.19,11.24,11.19,11.20,104400,10.879601
2015-06-24,11.26,11.26,11.18,11.22,107100,10.89903
2015-06-23,11.22,11.26,11.19,11.26,85000,10.937885
2015-06-22,11.24,11.25,11.18,11.21,82000,10.889315
2015-06-19,11.16,11.26,11.16,11.26,69200,10.937885
2015-06-18,11.22,11.23,11.14,11.17,67500,10.85046
2015-06-17,11.17,11.23,11.16,11.23,82900,10.908743
2015-06-16,11.12,11.17,11.11,11.15,82100,10.831031
2015-06-15,11.12,11.14,11.09,11.11,102800,10.792176
2015-06-12,11.07,11.13,11.07,11.11,75600,10.792176
2015-06-11,11.01,11.08,11.01,11.07,136000,10.75332
2015-06-10,11.09,11.09,11.05,11.07,115100,10.720293
2015-06-09,11.19,11.19,11.11,11.11,126600,10.759029
2015-06-08,11.23,11.23,11.16,11.19,117800,10.836502
2015-06-05,11.30,11.30,11.22,11.24,92500,10.884922
2015-06-04,11.34,11.35,11.31,11.34,79300,10.981764
2015-06-03,11.39,11.39,11.32,11.34,153200,10.981764
2015-06-02,11.44,11.44,11.39,11.41,87600,11.049552
2015-06-01,11.45,11.45,11.42,11.43,91500,11.068921
2015-05-29,11.43,11.46,11.42,11.44,76300,11.078604
2015-05-28,11.38,11.43,11.38,11.41,91300,11.049552
2015-05-27,11.38,11.43,11.35,11.38,94500,11.0205
2015-05-26,11.33,11.36,11.32,11.34,52100,10.981764
2015-05-22,11.35,11.38,11.33,11.34,79700,10.981764
2015-05-21,11.40,11.40,11.36,11.36,164600,11.001131
2015-05-20,11.36,11.42,11.34,11.40,60700,11.039868
2015-05-19,11.40,11.40,11.33,11.36,74900,11.001131
2015-05-18,11.43,11.43,11.39,11.40,61200,11.039868
2015-05-15,11.39,11.46,11.38,11.42,88500,11.059236
2015-05-14,11.38,11.41,11.34,11.38,76500,11.0205
2015-05-13,11.41,11.44,11.36,11.38,81900,11.0205
2015-05-12,11.36,11.40,11.35,11.40,65400,11.006942
2015-05-11,11.39,11.40,11.31,11.35,68800,10.958667
2015-05-08,11.40,11.47,11.38,11.40,68600,11.006942
2015-05-07,11.43,11.45,11.40,11.40,69600,11.006942
2015-05-06,11.51,11.51,11.40,11.44,190800,11.045563
2015-05-05,11.51,11.51,11.47,11.49,111800,11.093839
2015-05-04,11.53,11.53,11.47,11.50,204200,11.103495
2015-05-01,11.52,11.58,11.50,11.55,192000,11.151771
2015-04-30,11.55,11.57,11.49,11.57,96100,11.171081
2015-04-29,11.53,11.54,11.49,11.54,112900,11.142115
2015-04-28,11.55,11.56,11.51,11.54,160300,11.142115
2015-04-27,11.53,11.55,11.51,11.54,78400,11.142115
2015-04-24,11.50,11.55,11.48,11.55,110700,11.151771
2015-04-23,11.45,11.52,11.44,11.51,131000,11.11315
