Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,50.049999,50.720001,49.509998,49.669998,115300,49.506862
2015-12-30,50.950001,51.330002,50.279999,50.34,89300,50.174664
2015-12-29,51.259998,51.639999,50.549999,51.299999,114900,51.13151
2015-12-28,50.799999,51.23,50.48,50.889999,62400,50.722857
2015-12-24,51.23,51.369999,50.790001,51.099998,60600,50.932166
2015-12-23,51.049999,51.400002,50.799999,51.169998,83300,51.001936
2015-12-22,50.27,50.970001,49.889999,50.759998,126800,50.593282
2015-12-21,50.369999,50.919998,49.889999,50.23,101200,50.065024
2015-12-18,52.09,52.09,50.099998,50.130001,569600,49.965354
2015-12-17,53.290001,53.290001,52.16,52.16,99000,51.988686
2015-12-16,53.220001,53.529999,52.59,53.200001,106200,53.025271
2015-12-15,53.360001,53.650002,52.459999,53.119999,120500,52.945532
2015-12-14,53.700001,54.040001,52.59,53.040001,166000,52.865797
2015-12-11,53.009998,53.77,52.790001,53.619999,194600,53.44389
2015-12-10,53.93,54.279999,53.41,53.810001,146900,53.633268
2015-12-09,53.799999,54.75,53.529999,53.93,154000,53.752873
2015-12-08,53.880001,54.759998,53.720001,53.91,122200,53.732938
2015-12-07,54.700001,55.07,54.150002,54.560001,119200,54.380805
2015-12-04,54.630001,55.27,54.580002,54.869999,81000,54.689784
2015-12-03,55.150002,55.50,54.470001,54.700001,144300,54.520344
2015-12-02,55.310001,55.759998,54.720001,55.029999,80500,54.849259
2015-12-01,55.75,55.790001,55.00,55.470001,102600,55.287816
2015-11-30,55.970001,56.27,55.380001,55.509998,188200,55.327682
2015-11-27,55.66,56.009998,55.220001,55.799999,45700,55.61673
2015-11-25,55.220001,56.299999,55.220001,55.610001,193100,55.427355
2015-11-24,54.889999,55.669998,54.799999,55.380001,288000,55.028669
2015-11-23,55.400002,55.759998,54.740002,55.310001,120600,54.959114
2015-11-20,55.439999,55.990002,54.990002,55.43,150300,55.078351
2015-11-19,54.779999,55.380001,53.950001,55.099998,70300,54.750443
2015-11-18,53.709999,55.049999,53.509998,54.91,184600,54.56165
2015-11-17,53.959999,54.310001,52.919998,53.560001,220300,53.220216
2015-11-16,53.349998,54.099998,53.349998,53.959999,132300,53.617676
2015-11-13,53.650002,54.389999,53.330002,53.43,93700,53.091039
2015-11-12,55.77,55.77,53.799999,53.91,90000,53.567994
2015-11-11,55.66,56.009998,55.150002,55.299999,163600,54.949175
2015-11-10,55.150002,55.740002,55.009998,55.610001,118000,55.25721
2015-11-09,56.439999,56.439999,55.080002,55.419998,135300,55.068413
2015-11-06,55.77,56.57,55.34,56.450001,273800,56.091881
2015-11-05,56.029999,56.27,55.439999,55.82,164200,55.465876
2015-11-04,55.849998,56.470001,55.459999,55.990002,185000,55.6348
2015-11-03,55.540001,56.540001,55.009998,55.82,174700,55.465876
2015-11-02,54.380001,56.029999,54.240002,55.630001,173800,55.277083
