Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.67,10.70,10.54,10.63,6304400,10.552293
2015-12-30,10.68,10.75,10.65,10.72,4343300,10.641635
2015-12-29,10.66,10.77,10.63,10.70,4694000,10.621781
2015-12-28,10.82,10.83,10.57,10.65,5822100,10.502657
2015-12-24,10.82,10.93,10.79,10.88,3498000,10.729476
2015-12-23,10.74,10.86,10.70,10.82,7692300,10.670306
2015-12-22,10.35,10.72,10.31,10.70,9080700,10.551966
2015-12-21,10.25,10.44,10.19,10.30,8782800,10.1575
2015-12-18,10.11,10.21,9.99,10.15,18634400,10.009575
2015-12-17,10.28,10.41,10.06,10.19,11590400,10.049021
2015-12-16,10.07,10.30,10.04,10.27,7932200,10.127915
2015-12-15,10.02,10.10,9.88,10.02,9002100,9.881374
2015-12-14,10.06,10.10,9.70,9.86,10099600,9.723587
2015-12-11,9.98,10.13,9.97,10.04,12021900,9.901097
2015-12-10,10.06,10.23,9.99,10.17,9751200,10.029299
2015-12-09,10.05,10.28,9.95,10.02,11850300,9.881374
2015-12-08,10.07,10.14,9.98,10.12,8211100,9.97999
2015-12-07,10.44,10.47,10.14,10.17,8443600,10.029299
2015-12-04,10.36,10.62,10.36,10.48,13788000,10.335009
2015-12-03,10.44,10.48,10.25,10.36,20348300,10.21667
2015-12-02,10.70,10.71,10.37,10.37,7941400,10.226531
2015-12-01,10.58,10.72,10.53,10.69,7019800,10.542104
2015-11-30,10.66,10.68,10.50,10.55,8681300,10.404041
2015-11-27,10.59,10.68,10.58,10.63,2496200,10.482935
2015-11-25,10.61,10.75,10.46,10.59,7662100,10.443488
2015-11-24,11.02,11.02,10.42,10.61,26270900,10.463211
2015-11-23,10.49,10.79,10.45,10.75,15263800,10.601274
2015-11-20,10.52,10.60,10.42,10.46,10217700,10.315286
2015-11-19,10.53,10.59,10.37,10.43,6618000,10.285702
2015-11-18,10.30,10.57,10.26,10.54,13977200,10.39418
2015-11-17,10.22,10.32,10.16,10.28,11858900,10.137776
2015-11-16,10.05,10.23,9.99,10.20,14943300,10.058883
2015-11-13,10.05,10.20,10.04,10.08,14288000,9.940544
2015-11-12,10.18,10.30,10.08,10.13,15813300,9.989852
2015-11-11,9.70,10.30,9.70,10.25,27320400,10.108192
2015-11-10,9.65,9.71,9.55,9.62,6897500,9.486908
2015-11-09,9.74,9.76,9.61,9.68,9402400,9.546078
2015-11-06,9.58,9.75,9.51,9.75,13180400,9.615109
2015-11-05,9.64,9.73,9.53,9.63,6363600,9.49677
2015-11-04,9.75,9.77,9.60,9.64,6565200,9.506631
2015-11-03,9.69,9.85,9.65,9.74,10012400,9.605247
2015-11-02,9.43,9.77,9.39,9.69,22017800,9.555939
2015-10-30,9.42,9.49,9.26,9.39,13065500,9.26009
2015-10-29,9.32,9.35,9.17,9.34,11006200,9.210782
2015-10-28,9.33,9.51,9.21,9.36,18674900,9.230504
2015-10-27,9.94,10.00,9.20,9.29,31630400,9.161473
2015-10-26,10.43,10.60,9.93,10.03,22450800,9.891235
2015-10-23,10.36,10.49,10.27,10.34,15416800,10.196947
2015-10-22,10.19,10.34,10.15,10.29,9322100,10.147638
2015-10-21,10.26,10.31,10.13,10.16,12287300,10.019437
2015-10-20,10.15,10.39,10.13,10.23,8860200,10.088468
2015-10-19,10.16,10.21,10.11,10.19,12081100,10.049021
2015-10-16,10.34,10.35,10.10,10.20,15649100,10.058883
2015-10-15,10.10,10.34,10.03,10.30,35494100,10.1575
2015-10-14,10.40,10.43,10.11,10.13,16702000,9.989852
2015-10-13,10.41,10.53,10.35,10.41,7509200,10.265978
2015-10-12,10.56,10.61,10.39,10.46,8669000,10.315286
2015-10-09,10.53,10.64,10.49,10.55,11029800,10.404041
2015-10-08,10.36,10.59,10.34,10.53,10203600,10.384318
2015-10-07,10.06,10.36,9.99,10.35,19453200,10.206809
2015-10-06,9.98,10.06,9.90,9.98,10694100,9.841927
2015-10-05,9.93,10.00,9.77,9.97,12539800,9.832066
2015-10-02,9.50,9.86,9.45,9.85,9357000,9.713726
2015-10-01,9.71,9.78,9.50,9.64,11175500,9.506631
2015-09-30,9.62,9.75,9.52,9.73,11087700,9.595385
2015-09-29,9.65,9.72,9.46,9.49,12343100,9.358706
2015-09-28,9.97,10.03,9.60,9.64,11139700,9.506631
2015-09-25,10.22,10.25,9.97,10.08,10012400,9.871512
2015-09-24,10.09,10.18,9.96,10.10,8283900,9.891099
2015-09-23,10.33,10.34,10.16,10.18,8210500,9.969444
2015-09-22,10.36,10.40,10.28,10.33,9090600,10.116342
2015-09-21,10.40,10.51,10.29,10.51,12606700,10.292619
2015-09-18,10.39,10.52,10.25,10.35,23703300,10.135928
2015-09-17,10.59,10.78,10.55,10.58,9012500,10.361171
2015-09-16,10.58,10.73,10.55,10.62,10288100,10.400343
2015-09-15,10.37,10.63,10.33,10.58,9782300,10.361171
2015-09-14,10.44,10.45,10.27,10.32,8397500,10.106548
2015-09-11,10.24,10.44,10.22,10.43,9059300,10.214274
2015-09-10,10.24,10.38,10.19,10.31,10448900,10.096756
2015-09-09,10.55,10.59,10.22,10.23,13464200,10.01841
2015-09-08,10.09,10.45,10.05,10.42,13545700,10.20448
2015-09-04,9.91,10.00,9.86,9.91,10229000,9.705028
2015-09-03,9.98,10.17,9.98,10.02,19731700,9.812754
2015-09-02,9.96,9.97,9.78,9.97,12796600,9.763788
2015-09-01,9.92,10.05,9.73,9.78,15445300,9.577717
2015-08-31,10.26,10.40,10.13,10.17,17311400,9.959651
2015-08-28,10.16,10.37,10.13,10.31,10831000,10.096756
2015-08-27,10.05,10.26,9.99,10.23,15458600,10.01841
2015-08-26,9.90,9.99,9.62,9.96,14709500,9.753994
2015-08-25,10.28,10.29,9.66,9.66,16869200,9.460199
2015-08-24,10.04,10.38,9.76,9.93,31964100,9.724615
2015-08-21,10.94,11.13,10.66,10.69,19650300,10.468895
2015-08-20,11.14,11.23,11.01,11.03,11430700,10.801863
2015-08-19,11.28,11.33,11.18,11.24,9710800,11.00752
2015-08-18,11.42,11.46,11.25,11.32,7670100,11.085865
2015-08-17,11.04,11.45,10.99,11.37,12601400,11.134831
2015-08-14,10.93,11.08,10.89,11.05,8236800,10.82145
2015-08-13,11.01,11.07,10.89,10.95,6575900,10.723518
2015-08-12,11.00,11.07,10.84,11.01,9337900,10.782277
2015-08-11,11.18,11.25,11.00,11.08,10928900,10.850829
2015-08-10,10.96,11.32,10.94,11.27,9442800,11.0369
2015-08-07,10.93,10.99,10.79,10.88,10532900,10.654966
